"plj0014_v3","year","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"No","1996","general elemantary","656","0.115967508187167","0.103181588637601","0.128753427736733","2"
"No","1996","higher education","88","0.0678917381075432","0.0561723995634142","0.0796110766516722","2"
"No","1996","higher vocational","22","","","","2"
"No","1996","in school","45","0.106214894796855","0.0709953536173671","0.141434435976342","2"
"No","1996","inadequately","406","0.621081305698241","0.578388519594177","0.663774091802304","2"
"No","1996","middle vocational","677","0.0514385219849257","0.0461283054090687","0.0567487385607827","2"
"No","1996","vocational + Abi","99","0.156112493218474","0.123574163823726","0.188650822613222","2"
"Yes","1996","inadequately","90","0.378918694301759","0.336225908197696","0.421611480405823","1"
"Yes","1996","vocational + Abi","379","0.843887506781526","0.811349177386778","0.876425836176274","1"
"Yes","1996","higher vocational","748","0.984421280609315","0.975674281092892","0.993168280125738","1"
"Yes","1996","in school","249","0.893785105203145","0.858565564023658","0.929004646382633","1"
"Yes","1996","middle vocational","5970","0.948561478015074","0.943251261439217","0.953871694590931","1"
"Yes","1996","general elemantary","1753","0.884032491812833","0.871246572263267","0.896818411362399","1"
"Yes","1996","higher education","1682","0.932108261892457","0.920388923348328","0.943827600436586","1"
"No","1997","general elemantary","632","0.119240976968321","0.10613843760112","0.132343516335521","2"
"No","1997","higher education","85","0.0655060309081657","0.0539959651001761","0.0770160967161553","2"
"No","1997","higher vocational","16","","","","2"
"No","1997","in school","56","0.130259552474956","0.0931484228221514","0.167370682127761","2"
"No","1997","inadequately","383","0.639377833858033","0.595873736583983","0.682881931132083","2"
"No","1997","middle vocational","627","0.0551469148055699","0.0496044836618268","0.060689345949313","2"
"No","1997","vocational + Abi","93","0.153022650596271","0.12005187903823","0.185993422154313","2"
"Yes","1997","higher vocational","747","0.985031516484441","0.97641563360304","0.993647399365841","1"
"Yes","1997","vocational + Abi","365","0.846977349403729","0.814006577845687","0.87994812096177","1"
"Yes","1997","inadequately","85","0.360622166141967","0.317118068867917","0.404126263416017","1"
"Yes","1997","general elemantary","1718","0.880759023031679","0.867656483664479","0.89386156239888","1"
"Yes","1997","higher education","1690","0.934493969091834","0.922983903283845","0.946004034899824","1"
"Yes","1997","in school","260","0.869740447525044","0.832629317872239","0.906851577177849","1"
"Yes","1997","middle vocational","5889","0.94485308519443","0.939310654050687","0.950395516338173","1"
"No","1998","general elemantary","597","0.124742127706075","0.111944841339416","0.137539414072734","2"
"No","1998","higher education","89","0.0603600670357373","0.0498675234185055","0.0708526106529692","2"
"No","1998","higher vocational","21","","","","2"
"No","1998","in school","56","0.149643125221459","0.111386746685721","0.187899503757198","2"
"No","1998","inadequately","337","0.59922998104009","0.553851133346119","0.644608828734061","2"
"No","1998","middle vocational","565","0.0532326965114666","0.0479952678249746","0.0584701251979585","2"
"No","1998","vocational + Abi","90","0.164837724681229","0.132699132368462","0.196976316993997","2"
"Yes","1998","higher vocational","807","0.975207577897368","0.964616481156534","0.985798674638201","1"
"Yes","1998","vocational + Abi","422","0.835162275318771","0.803023683006003","0.867300867631538","1"
"Yes","1998","inadequately","111","0.40077001895991","0.355391171265939","0.446148866653881","1"
"Yes","1998","general elemantary","1964","0.875257872293925","0.862460585927266","0.888055158660584","1"
"Yes","1998","higher education","1890","0.939639932964263","0.929147389347031","0.950132476581495","1"
"Yes","1998","in school","278","0.850356874778541","0.812100496242802","0.888613253314279","1"
"Yes","1998","middle vocational","6493","0.946767303488533","0.941529874802042","0.952004732175025","1"
"No","1999","middle vocational","544","0.0555061942727501","0.0501301318505481","0.0608822566949521","2"
"No","1999","vocational + Abi","78","0.150201549206519","0.119194661493687","0.181208436919352","2"
"No","1999","general elemantary","544","0.118758487970194","0.105977274529977","0.131539701410411","2"
"No","1999","higher education","81","0.0608525442981802","0.0502986912539683","0.0714063973423922","2"
"No","1999","higher vocational","20","","","","2"
"No","1999","in school","44","0.113239211014606","0.0785737298425281","0.147904692186683","2"
"No","1999","inadequately","311","0.590172549036953","0.543580025691907","0.636765072381999","2"
"Yes","1999","general elemantary","1917","0.881241512029806","0.868460298589589","0.894022725470023","1"
"Yes","1999","inadequately","117","0.409827450963047","0.363234927618001","0.456419974308093","1"
"Yes","1999","higher vocational","803","0.977886167782078","0.967839447057726","0.98793288850643","1"
"Yes","1999","vocational + Abi","432","0.849798450793481","0.818791563080648","0.880805338506313","1"
"Yes","1999","higher education","1890","0.93914745570182","0.928593602657608","0.949701308746032","1"
"Yes","1999","in school","277","0.886760788985394","0.852095307813317","0.921426270157472","1"
"Yes","1999","middle vocational","6424","0.94449380572725","0.939117743305048","0.949869868149452","1"
"No","2000","middle vocational","813","0.0543106081802297","0.0503964310743642","0.0582247852860952","2"
"No","2000","vocational + Abi","156","0.13420290593722","0.114328329075294","0.154077482799147","2"
"No","2000","general elemantary","737","0.147296802331909","0.135685983542759","0.158907621121059","2"
"No","2000","higher education","209","0.0721506634896303","0.0639671203869045","0.0803342065923562","2"
"No","2000","higher vocational","91","0.052799765360127","0.0427282458482201","0.0628712848720339","2"
"No","2000","in school","55","0.0941323869371276","0.0684854607585245","0.119779313115731","2"
"No","2000","inadequately","250","0.547281974626499","0.498864231751937","0.595699717501061","2"
"Yes","2000","general elemantary","2842","0.852703197668091","0.841092378878941","0.864314016457241","1"
"Yes","2000","higher vocational","1803","0.947200234639873","0.937128715127966","0.95727175415178","1"
"Yes","2000","inadequately","156","0.452718025373501","0.404300282498939","0.501135768248064","1"
"Yes","2000","vocational + Abi","974","0.86579709406278","0.845922517200853","0.885671670924706","1"
"Yes","2000","higher education","3631","0.92784933651037","0.919665793407644","0.936032879613096","1"
"Yes","2000","in school","443","0.905867613062872","0.880220686884269","0.931514539241475","1"
"Yes","2000","middle vocational","12065","0.94568939181977","0.941775214713905","0.949603568925636","1"
"No","2001","middle vocational","715","0.0535197313930238","0.0494334964904723","0.0576059662955752","2"
"No","2001","vocational + Abi","134","0.11604994849042","0.0969393755544477","0.135160521426392","2"
"No","2001","general elemantary","674","0.15868859011173","0.145871693475455","0.171505486748006","2"
"No","2001","higher education","187","0.0747361837462805","0.0661077113033449","0.0833646561892161","2"
"No","2001","higher vocational","75","0.0478148965126562","0.0376177796432554","0.058012013382057","2"
"No","2001","in school","53","0.0998981056769003","0.0748602716662472","0.124935939687553","2"
"No","2001","inadequately","182","0.498453435546534","0.442973145764658","0.55393372532841","2"
"Yes","2001","general elemantary","2448","0.84131140988827","0.828494513251994","0.854128306524545","1"
"Yes","2001","higher vocational","1607","0.952185103487344","0.941987986617943","0.962382220356745","1"
"Yes","2001","inadequately","130","0.501546564453466","0.44606627467159","0.557026854235342","1"
"Yes","2001","vocational + Abi","945","0.88395005150958","0.864839478573608","0.903060624445552","1"
"Yes","2001","higher education","3381","0.92526381625372","0.916635343810784","0.933892288696655","1"
"Yes","2001","in school","498","0.9001018943231","0.875064060312446","0.925139728333753","1"
"Yes","2001","middle vocational","10939","0.946480268606976","0.942394033704425","0.950566503509528","1"
"No","2002","middle vocational","661","0.0523195536557202","0.0482768346218431","0.0563622726895973","2"
"No","2002","vocational + Abi","128","0.120114104299439","0.101565242350118","0.13866296624876","2"
"No","2002","in school","48","0.116627392053949","0.0913007416680031","0.141954042439894","2"
"No","2002","inadequately","161","0.496176035361382","0.438128609722158","0.554223461000607","2"
"No","2002","general elemantary","591","0.153631694163033","0.140561576037608","0.166701812288457","2"
"No","2002","higher education","208","0.0732309604892534","0.0656812006893256","0.0807807202891811","2"
"No","2002","higher vocational","74","0.0492603553316951","0.039121039791592","0.0593996708717982","2"
"Yes","2002","vocational + Abi","1052","0.879885895700561","0.86133703375124","0.898434757649882","1"
"Yes","2002","general elemantary","2333","0.846368305836967","0.833298187711543","0.859438423962391","1"
"Yes","2002","higher vocational","1676","0.950739644668305","0.940600329128202","0.960878960208408","1"
"Yes","2002","inadequately","124","0.503823964638618","0.445776538999393","0.561871390277842","1"
"Yes","2002","middle vocational","10993","0.94768044634428","0.943637727310403","0.951723165378157","1"
"Yes","2002","higher education","4366","0.926769039510747","0.919219279710819","0.934318799310674","1"
"Yes","2002","in school","569","0.883372607946051","0.858045957560106","0.908699258331997","1"
"No","2003","middle vocational","613","0.0558130988069666","0.0515572859821621","0.0600689116317712","2"
"No","2003","vocational + Abi","116","0.112695471091979","0.0945293927970866","0.130861549386871","2"
"No","2003","in school","35","0.103655245704134","0.0796234049897282","0.127687086418539","2"
"No","2003","inadequately","140","0.449693385003676","0.390465794940624","0.508920975066728","2"
"No","2003","general elemantary","544","0.152299000321692","0.138911071786021","0.165686928857362","2"
"No","2003","higher education","189","0.073235747490122","0.065510662524132","0.0809608324561119","2"
"No","2003","higher vocational","67","0.0492002956947538","0.0389007098081201","0.0594998815813875","2"
"Yes","2003","vocational + Abi","1048","0.887304528908021","0.869138450613129","0.905470607202914","1"
"Yes","2003","general elemantary","2223","0.847700999678308","0.834313071142638","0.861088928213979","1"
"Yes","2003","higher vocational","1627","0.950799704305246","0.940500118418612","0.96109929019188","1"
"Yes","2003","inadequately","131","0.550306614996324","0.491079024933272","0.609534205059376","1"
"Yes","2003","middle vocational","10564","0.944186901193033","0.939931088368229","0.948442714017838","1"
"Yes","2003","higher education","4180","0.926764252509878","0.919039167543888","0.934489337475868","1"
"Yes","2003","in school","583","0.896344754295866","0.872312913581461","0.920376595010272","1"
"No","2004","middle vocational","572","0.055905636303686","0.0515820036230734","0.0602292689842986","2"
"No","2004","vocational + Abi","112","0.11216269901042","0.0940574883531545","0.130267909667686","2"
"No","2004","in school","34","0.0931491009932668","0.0706142370788195","0.115683964907714","2"
"No","2004","inadequately","131","0.448681128469315","0.387755721427696","0.509606535510935","2"
"No","2004","general elemantary","496","0.157166060382857","0.143181628230141","0.171150492535573","2"
"No","2004","higher education","176","0.0687358691613316","0.0611834300646124","0.0762883082580508","2"
"No","2004","higher vocational","68","0.052578037712179","0.0418023896645001","0.0633536857598579","2"
"Yes","2004","vocational + Abi","1055","0.88783730098958","0.869732090332314","0.905942511646845","1"
"Yes","2004","general elemantary","2106","0.842833939617143","0.828849507464427","0.856818371769859","1"
"Yes","2004","higher vocational","1580","0.947421962287821","0.936646314240142","0.9581976103355","1"
"Yes","2004","inadequately","125","0.551318871530685","0.490393464489065","0.612244278572304","1"
"Yes","2004","middle vocational","10274","0.944094363696314","0.939770731015702","0.948417996376927","1"
"Yes","2004","higher education","4135","0.931264130838668","0.923711691741949","0.938816569935388","1"
"Yes","2004","in school","605","0.906850899006733","0.884316035092286","0.92938576292118","1"
"No","2005","middle vocational","544","0.0578216531394853","0.0533158449744438","0.0623274613045268","2"
"No","2005","vocational + Abi","106","0.106855857205288","0.088899104479487","0.12481260993109","2"
"No","2005","in school","40","0.0839484558311348","0.0626462827848281","0.105250628877442","2"
"No","2005","inadequately","128","0.449532424314214","0.387370146487897","0.511694702140532","2"
"No","2005","higher education","168","0.0732705556024042","0.0653710270454203","0.0811700841593881","2"
"No","2005","higher vocational","62","0.0518138766554302","0.040842909803085","0.0627848435077753","2"
"No","2005","general elemantary","449","0.167399755270573","0.152513162695105","0.182286347846041","2"
"Yes","2005","vocational + Abi","1031","0.893144142794712","0.87518739006891","0.911100895520513","1"
"Yes","2005","inadequately","118","0.550467575685786","0.488305297859468","0.612629853512103","1"
"Yes","2005","middle vocational","9764","0.942178346860515","0.937672538695473","0.946684155025556","1"
"Yes","2005","general elemantary","1967","0.832600244729427","0.817713652153959","0.847486837304895","1"
"Yes","2005","higher vocational","1506","0.94818612334457","0.937215156492225","0.959157090196915","1"
"Yes","2005","in school","611","0.916051544168865","0.894749371122558","0.937353717215172","1"
"Yes","2005","higher education","4012","0.926729444397596","0.918829915840612","0.93462897295458","1"
"No","2006","middle vocational","538","0.0631212493508928","0.0586052437012043","0.0676372550005813","2"
"No","2006","vocational + Abi","101","0.0999694579932286","0.0831376616388154","0.116801254347642","2"
"No","2006","in school","22","","","","2"
"No","2006","inadequately","110","0.407334077417775","0.345557292147286","0.469110862688264","2"
"No","2006","higher education","181","0.0737867078300167","0.0662238433245049","0.0813495723355284","2"
"No","2006","higher vocational","68","0.0580514864835011","0.0467990867180579","0.0693038862489444","2"
"No","2006","general elemantary","402","0.156097554244197","0.141878790496209","0.170316317992185","2"
"Yes","2006","vocational + Abi","1119","0.900030542006771","0.883198745652358","0.916862338361185","1"
"Yes","2006","inadequately","133","0.592665922582225","0.530889137311736","0.654442707852714","1"
"Yes","2006","middle vocational","10601","0.936878750649107","0.932362744999419","0.941394756298796","1"
"Yes","2006","general elemantary","2101","0.843902445755803","0.829683682007815","0.858121209503791","1"
"Yes","2006","higher vocational","1591","0.941948513516499","0.930696113751056","0.953200913281942","1"
"Yes","2006","in school","375","0.904955230329429","0.876106248102083","0.933804212556776","1"
"Yes","2006","higher education","4409","0.926213292169983","0.918650427664471","0.933776156675495","1"
"No","2007","middle vocational","472","0.0645070910453286","0.0597817674199918","0.0692324146706655","2"
"No","2007","vocational + Abi","93","0.0935019811907696","0.0768554789369017","0.110148483444637","2"
"No","2007","in school","15","","","","2"
"No","2007","inadequately","93","0.415282834129981","0.350019246270683","0.480546421989278","2"
"No","2007","higher education","166","0.0697873744483656","0.0622607089306285","0.0773140399661027","2"
"No","2007","higher vocational","55","0.0559223868335259","0.0444428205387173","0.0674019531283345","2"
"No","2007","general elemantary","350","0.169170947456407","0.153600298605433","0.184741596307381","2"
"Yes","2007","vocational + Abi","1082","0.90649801880923","0.889851516555363","0.923144521063098","1"
"Yes","2007","inadequately","126","0.584717165870019","0.519453578010722","0.649980753729317","1"
"Yes","2007","middle vocational","9910","0.935492908954671","0.930767585329335","0.940218232580008","1"
"Yes","2007","general elemantary","1877","0.830829052543593","0.815258403692619","0.846399701394567","1"
"Yes","2007","higher vocational","1484","0.944077613166474","0.932598046871666","0.955557179461283","1"
"Yes","2007","in school","327","0.926005225302984","0.898262936868636","0.953747513737331","1"
"Yes","2007","higher education","4236","0.930212625551634","0.922685960033897","0.937739291069371","1"
"No","2008","middle vocational","408","0.065854272986991","0.0609396618031643","0.0707688841708178","2"
"No","2008","in school","13","","","","2"
"No","2008","inadequately","82","0.443531537526238","0.372326647710572","0.514736427341904","2"
"No","2008","vocational + Abi","83","0.101164282914562","0.0833443726389888","0.118984193190136","2"
"No","2008","higher education","143","0.0673255482934896","0.0597543396366488","0.0748967569503304","2"
"No","2008","higher vocational","47","0.051770152083373","0.0402543332466287","0.0632859709201173","2"
"No","2008","general elemantary","316","0.169011524290012","0.152740995751474","0.185282052828551","2"
"Yes","2008","vocational + Abi","1017","0.898835717085438","0.881015806809864","0.916655627361011","1"
"Yes","2008","inadequately","105","0.556468462473762","0.485263572658096","0.627673352289428","1"
"Yes","2008","middle vocational","9376","0.934145727013009","0.929231115829182","0.939060338196836","1"
"Yes","2008","higher vocational","1375","0.948229847916627","0.936714029079883","0.959745666753371","1"
"Yes","2008","in school","342","0.941827859762347","0.917479079959326","0.966176639565368","1"
"Yes","2008","general elemantary","1722","0.830988475709988","0.814717947171449","0.847259004248526","1"
"Yes","2008","higher education","4065","0.93267445170651","0.92510324304967","0.940245660363351","1"
"No","2009","middle vocational","343","0.0652374542965124","0.0601667974395805","0.0703081111534442","2"
"No","2009","in school","14","","","","2"
"No","2009","inadequately","77","0.470292315527555","0.39504226140533","0.54554236964978","2"
"No","2009","vocational + Abi","72","0.103502105645359","0.0846505647727479","0.122353646517969","2"
"No","2009","higher education","129","0.0702935879120874","0.0624194145668805","0.0781677612572944","2"
"No","2009","higher vocational","39","0.0495229037459413","0.0378978782775353","0.0611479292143474","2"
"No","2009","general elemantary","276","0.170735486552599","0.153410319407957","0.188060653697241","2"
"Yes","2009","vocational + Abi","931","0.896497894354641","0.877646353482031","0.915349435227252","1"
"Yes","2009","inadequately","92","0.529707684472445","0.45445763035022","0.60495773859467","1"
"Yes","2009","middle vocational","8768","0.934762545703488","0.929691888846556","0.939833202560419","1"
"Yes","2009","higher vocational","1299","0.950477096254059","0.938852070785653","0.962102121722465","1"
"Yes","2009","in school","299","0.902304413315968","0.869412439514375","0.935196387117561","1"
"Yes","2009","general elemantary","1536","0.829264513447401","0.811939346302759","0.846589680592043","1"
"Yes","2009","higher education","3920","0.929706412087912","0.921832238742706","0.937580585433119","1"
"No","2010","middle vocational","523","0.0631437785083216","0.0587551659022696","0.0675323911143737","2"
"No","2010","in school","27","","","","2"
"No","2010","inadequately","150","0.434151567669985","0.381926286488032","0.486376848851937","2"
"No","2010","vocational + Abi","152","0.101802722041354","0.0874913394718235","0.116114104610884","2"
"No","2010","higher education","293","0.0757250221329666","0.068659647106841","0.0827903971590921","2"
"No","2010","higher vocational","47","0.0493977311649123","0.0388422607939716","0.0599532015358531","2"
"No","2010","general elemantary","422","0.183262048009074","0.168004763296223","0.198519332721925","2"
"Yes","2010","vocational + Abi","1563","0.898197277958646","0.883885895389116","0.912508660528176","1"
"Yes","2010","inadequately","196","0.565848432330015","0.513623151148063","0.618073713511968","1"
"Yes","2010","middle vocational","11276","0.936856221491678","0.932467608885626","0.94124483409773","1"
"Yes","2010","higher vocational","1572","0.950602268835088","0.940046798464147","0.961157739206028","1"
"Yes","2010","in school","389","0.899081846451989","0.870136037720973","0.928027655183004","1"
"Yes","2010","general elemantary","2048","0.816737951990926","0.801480667278075","0.831995236703777","1"
"Yes","2010","higher education","5093","0.924274977867033","0.917209602840908","0.931340352893159","1"
"No","2011","in school","19","","","","2"
"No","2011","middle vocational","393","0.0555814192642567","0.0513291692799334","0.05983366924858","2"
"No","2011","higher education","174","0.0620745151737635","0.0553533825646338","0.0687956477828931","2"
"No","2011","higher vocational","42","0.0422370217727352","0.0322306208609262","0.0522434226845443","2"
"No","2011","inadequately","79","0.337734129494917","0.280025348533012","0.395442910456822","2"
"No","2011","vocational + Abi","95","0.0856332118689135","0.0708374932650228","0.100428930472804","2"
"No","2011","general elemantary","268","0.136620444492552","0.122569177910806","0.150671711074297","2"
"Yes","2011","inadequately","179","0.662265870505083","0.604557089543178","0.719974651466988","1"
"Yes","2011","middle vocational","10759","0.944418580735743","0.94016633075142","0.948670830720067","1"
"Yes","2011","vocational + Abi","1279","0.914366788131087","0.899571069527196","0.929162506734977","1"
"Yes","2011","higher vocational","1510","0.957762978227265","0.947756577315456","0.967769379139074","1"
"Yes","2011","in school","339","0.911413009947918","0.881979018294015","0.940847001601821","1"
"Yes","2011","general elemantary","2027","0.863379555507448","0.849328288925702","0.877430822089194","1"
"Yes","2011","higher education","4777","0.937925484826236","0.931204352217107","0.944646617435366","1"
"No","2012","in school","21","","","","2"
"No","2012","middle vocational","517","0.0614639430496693","0.0574273559606304","0.0655005301387083","2"
"No","2012","higher education","303","0.0782275432384264","0.0715228493686125","0.0849322371082403","2"
"No","2012","higher vocational","44","0.0382772801607981","0.0294504402551502","0.0471041200664461","2"
"No","2012","inadequately","121","0.346684723908706","0.29933025310862","0.394039194708792","2"
"No","2012","vocational + Abi","168","0.105529800072025","0.0919661906704098","0.119093409473641","2"
"No","2012","general elemantary","372","0.152497218691634","0.139437659569823","0.165556777813446","2"
"Yes","2012","inadequately","267","0.653315276091294","0.605960805291208","0.70066974689138","1"
"Yes","2012","middle vocational","13083","0.938536056950331","0.934499469861292","0.94257264403937","1"
"Yes","2012","vocational + Abi","1803","0.894470199927975","0.880906590526359","0.90803380932959","1"
"Yes","2012","higher vocational","1771","0.961722719839202","0.952895879933554","0.97054955974485","1"
"Yes","2012","in school","452","0.933088533494034","0.910570564274778","0.95560650271329","1"
"Yes","2012","general elemantary","2539","0.847502781308366","0.834443222186554","0.860562340430177","1"
"Yes","2012","higher education","5859","0.921772456761574","0.91506776289176","0.928477150631387","1"
"No","2013","in school","19","","","","2"
"No","2013","middle vocational","451","0.0367840790723744","0.0334911422714261","0.0400770158733227","2"
"No","2013","higher education","284","0.0467006776941693","0.0413034805188118","0.0520978748695268","2"
