"plj0014_v3","year","migback","regtyp","n","percent","lower_confidence","upper_confidence","value"
"No","1996","indirect migration background","Urban Area","332","0.571462435644976","0.52633762467484","0.616587246615112","2"
"No","1996","indirect migration background","Rural Area","51","0.410927831263202","0.307543316185549","0.514312346340855","2"
"No","1996","no migration background","Urban Area","5","","","","2"
"No","1996","no migration background","Rural Area","1","","","","2"
"No","1996","direct migration background","Urban Area","1528","0.568158068747937","0.547331619998327","0.588984517497548","2"
"No","1996","direct migration background","Rural Area","209","0.292556827118751","0.250429880482934","0.334683773754567","2"
"Yes","1996","no migration background","Urban Area","6050","0.998296937666476","0.997258366745404","0.999335508587548","1"
"Yes","1996","no migration background","Rural Area","3898","0.999631022806745","0.999028198024794","1.0002338475887","1"
"Yes","1996","direct migration background","Urban Area","645","0.431841931252063","0.411015482502452","0.452668380001673","1"
"Yes","1996","direct migration background","Rural Area","239","0.707443172881249","0.665316226245433","0.749570119517066","1"
"Yes","1996","indirect migration background","Urban Area","130","0.428537564355024","0.383412753384888","0.47366237532516","1"
"Yes","1996","indirect migration background","Rural Area","36","0.589072168736798","0.485687653659145","0.692456683814451","1"
"No","1997","indirect migration background","Urban Area","346","0.557576801166344","0.513645037492552","0.601508564840135","2"
"No","1997","indirect migration background","Rural Area","48","0.419091210997354","0.313575604840347","0.524606817154362","2"
"No","1997","no migration background","Urban Area","5","","","","2"
"No","1997","no migration background","Rural Area","1","","","","2"
"No","1997","direct migration background","Urban Area","1419","0.569264879791382","0.547933190183255","0.590596569399508","2"
"No","1997","direct migration background","Rural Area","193","0.29983449773624","0.256119242363507","0.343549753108973","2"
"Yes","1997","no migration background","Urban Area","5982","0.998048765446914","0.996930939768667","0.999166591125162","1"
"Yes","1997","no migration background","Rural Area","3859","0.9996130715511","0.998992651631404","1.0002334914708","1"
"Yes","1997","direct migration background","Urban Area","651","0.430735120208618","0.409403430600492","0.452066809816745","1"
"Yes","1997","direct migration background","Rural Area","229","0.70016550226376","0.656450246891027","0.743880757636493","1"
"Yes","1997","indirect migration background","Urban Area","145","0.442423198833656","0.398491435159865","0.486354962507447","1"
"Yes","1997","indirect migration background","Rural Area","36","0.580908789002646","0.475393182845638","0.686424395159653","1"
"No","1998","indirect migration background","Urban Area","344","0.527883411797659","0.484683481515302","0.571083342080016","2"
"No","1998","indirect migration background","Rural Area","49","0.421160212622361","0.319715305081646","0.522605120163075","2"
"No","1998","no migration background","Urban Area","7","","","","2"
"No","1998","no migration background","Rural Area","1","","","","2"
"No","1998","direct migration background","Urban Area","1312","0.570035374525851","0.548413884246632","0.591656864805071","2"
"No","1998","direct migration background","Rural Area","176","0.328937262121561","0.283292706295063","0.374581817948059","2"
"Yes","1998","no migration background","Urban Area","6908","0.998383713717304","0.997436910148379","0.999330517286229","1"
"Yes","1998","no migration background","Rural Area","4386","0.999700091382886","0.999187709681013","1.00021247308476","1"
"Yes","1998","direct migration background","Urban Area","702","0.429964625474149","0.408343135194929","0.451586115753368","1"
"Yes","1998","direct migration background","Rural Area","231","0.671062737878439","0.625418182051941","0.716707293704937","1"
"Yes","1998","indirect migration background","Urban Area","169","0.472116588202341","0.428916657919984","0.515316518484698","1"
"Yes","1998","indirect migration background","Rural Area","42","0.578839787377639","0.477394879836924","0.680284694918354","1"
"No","1999","indirect migration background","Urban Area","333","0.507768882930492","0.46500412548112","0.550533640379864","2"
"No","1999","indirect migration background","Rural Area","50","0.466687435406702","0.361855784116979","0.571519086696424","2"
"No","1999","no migration background","Urban Area","8","","","","2"
"No","1999","no migration background","Rural Area","1","","","","2"
"No","1999","direct migration background","Urban Area","1193","0.570963396122538","0.548512833007643","0.593413959237432","2"
"No","1999","direct migration background","Rural Area","150","0.308177355659914","0.260212754150036","0.356141957169792","2"
"Yes","1999","no migration background","Urban Area","6640","0.997474670152397","0.996268211119014","0.99868112918578","1"
"Yes","1999","no migration background","Rural Area","4284","0.999659537561962","0.99910716342348","1.00021191170044","1"
"Yes","1999","direct migration background","Urban Area","674","0.429036603877462","0.406586040762568","0.451487166992357","1"
"Yes","1999","direct migration background","Rural Area","206","0.691822644340086","0.643858042830208","0.739787245849964","1"
"Yes","1999","indirect migration background","Urban Area","192","0.492231117069508","0.449466359620136","0.534995874518879","1"
"Yes","1999","indirect migration background","Rural Area","37","0.533312564593298","0.428480913303576","0.638144215883021","1"
"No","2000","no migration background","Urban Area","11","","","","2"
"No","2000","indirect migration background","Urban Area","412","0.504785325467164","0.468290560423489","0.541280090510838","2"
"No","2000","indirect migration background","Rural Area","53","0.395149332732604","0.303789255730873","0.486509409734334","2"
"No","2000","no migration background","Rural Area","1","","","","2"
"No","2000","direct migration background","Urban Area","1631","0.573690923905646","0.555277646031263","0.592104201780029","2"
"No","2000","direct migration background","Rural Area","223","0.334832013615928","0.296190873056483","0.373473154175372","2"
"Yes","2000","no migration background","Urban Area","12456","0.998266214425816","0.997535936807788","0.998996492043844","1"
"Yes","2000","no migration background","Rural Area","7623","0.999790523769389","0.999465677016134","1.00011537052264","1"
"Yes","2000","direct migration background","Urban Area","1140","0.426309076094354","0.407895798219971","0.444722353968737","1"
"Yes","2000","direct migration background","Rural Area","350","0.665167986384072","0.626526845824628","0.703809126943517","1"
"Yes","2000","indirect migration background","Urban Area","309","0.495214674532836","0.458719909489162","0.531709439576511","1"
"Yes","2000","indirect migration background","Rural Area","57","0.604850667267396","0.513490590265666","0.696210744269127","1"
"No","2001","no migration background","Urban Area","10","","","","2"
"No","2001","no migration background","Rural Area","1","","","","2"
"No","2001","indirect migration background","Urban Area","365","0.477348618864142","0.439723520582506","0.514973717145777","2"
"No","2001","indirect migration background","Rural Area","51","0.457616298789155","0.359970817963509","0.555261779614801","2"
"No","2001","direct migration background","Urban Area","1424","0.582777262753555","0.563183749265786","0.602370776241323","2"
"No","2001","direct migration background","Rural Area","193","0.333395344094584","0.292560862436091","0.374229825753077","2"
"Yes","2001","no migration background","Urban Area","11410","0.998473891543464","0.997757952420881","0.999189830666046","1"
"Yes","2001","no migration background","Rural Area","6920","0.999778824973158","0.999428489851785","1.00012916009453","1"
"Yes","2001","direct migration background","Urban Area","1009","0.417222737246445","0.397629223758677","0.436816250734214","1"
"Yes","2001","direct migration background","Rural Area","319","0.666604655905416","0.625770174246923","0.707439137563909","1"
"Yes","2001","indirect migration background","Urban Area","312","0.522651381135859","0.485026282854223","0.560276479417494","1"
"Yes","2001","indirect migration background","Rural Area","49","0.542383701210845","0.444738220385199","0.640029182036491","1"
"No","2002","no migration background","Urban Area","9","","","","2"
"No","2002","no migration background","Rural Area","1","","","","2"
"No","2002","indirect migration background","Urban Area","339","0.44788328155182","0.410698297694667","0.485068265408972","2"
"No","2002","indirect migration background","Rural Area","43","0.426685038892845","0.32825841945442","0.52511165833127","2"
