"plj0014_v3","year","bula_h","sex","n","percent","lower_confidence","upper_confidence","value"
"No","1996","Hamburg","Female","12","","","","2"
"No","1996","Schleswig-Holstein","Male","11","","","","2"
"No","1996","Schleswig-Holstein","Female","8","","","","2"
"No","1996","Hamburg","Male","14","","","","2"
"No","1996","Lower Saxony","Male","64","0.0665813258093046","0.0449453012863533","0.088217350332256","2"
"No","1996","Bremen","Male","7","","","","2"
"No","1996","Berlin","Male","35","0.117749583057405","0.0783440547452508","0.15715511136956","2"
"No","1996","Lower Saxony","Female","61","0.0544156560808155","0.0352835278740887","0.0735477842875424","2"
"No","1996","North Rhine-Westphalia","Male","292","0.111925439289396","0.0942414852425807","0.129609393336211","2"
"No","1996","Bremen","Female","8","","","","2"
"No","1996","North Rhine-Westphalia","Female","279","0.0910699052272629","0.0756940375534181","0.106445772901108","2"
"No","1996","Berlin","Female","32","0.0852552961635179","0.0531142707921081","0.117396321534928","2"
"No","1996","Hesse","Male","141","0.154278759603418","0.120642095667219","0.187915423539618","2"
"No","1996","Hesse","Female","125","0.119522100455237","0.0902562984712379","0.148787902439236","2"
"No","1996","Rhineland-Palatinate,Saarland","Male","49","0.0956078211175956","0.0642129828599485","0.127002659375243","2"
"No","1996","Baden-Württemberg","Male","317","0.143041788417722","0.11935106084798","0.166732515987465","2"
"No","1996","Rhineland-Palatinate,Saarland","Female","46","0.0664448791410204","0.0406815722164434","0.0922081860655974","2"
"No","1996","Brandenburg","Male","1","","","","2"
"No","1996","Baden-Württemberg","Female","295","0.135883591347649","0.11325644576506","0.158510736930239","2"
"No","1996","Bavaria","Male","162","0.110250501308244","0.0888264956242185","0.131674506992269","2"
"No","1996","Brandenburg","Female","1","","","","2"
"No","1996","Bavaria","Female","158","0.095040464456892","0.0752784248766889","0.114802504037095","2"
"No","1996","Mecklenburg-Western Pomerania","Male","","","","","2"
"No","1996","Mecklenburg-Western Pomerania","Female","","","","","2"
"No","1996","Saxony","Male","3","","","","2"
"No","1996","Saxony","Female","2","","","","2"
"No","1996","Saxony-Anhalt","Male","","","","","2"
"No","1996","Saxony-Anhalt","Female","","","","","2"
"No","1996","Thuringia","Male","1","","","","2"
"No","1996","Thuringia","Female","2","","","","2"
"Yes","1996","Schleswig-Holstein","Male","127","0.950236096599132","0.913954906116955","0.986517287081308","1"
"Yes","1996","Schleswig-Holstein","Female","142","0.983845661870408","0.963670801695173","1.00402052204564","1"
"Yes","1996","Hamburg","Male","46","0.897410001410527","0.820634894405032","0.974185108416023","1"
"Yes","1996","Hamburg","Female","56","0.925477847172738","0.863058482385063","0.987897211960412","1"
"Yes","1996","Lower Saxony","Male","446","0.933418674190695","0.911782649667744","0.955054698713647","1"
"Yes","1996","Lower Saxony","Female","479","0.945584343919185","0.926452215712458","0.964716472125911","1"
"Yes","1996","Bremen","Male","39","0.850391417298457","0.74731558180378","0.953467252793134","1"
"Yes","1996","Bremen","Female","41","0.858132702542398","0.760438582553267","0.955826822531529","1"
"Yes","1996","North Rhine-Westphalia","Male","929","0.888074560710604","0.870390606663789","0.905758514757419","1"
"Yes","1996","North Rhine-Westphalia","Female","1066","0.908930094772737","0.893554227098892","0.924305962446582","1"
"Yes","1996","Hesse","Male","302","0.845721240396582","0.812084576460382","0.879357904332781","1"
"Yes","1996","Hesse","Female","347","0.880477899544763","0.851212097560764","0.909743701528762","1"
"Yes","1996","Rhineland-Palatinate,Saarland","Male","288","0.904392178882404","0.872997340624757","0.935787017140052","1"
"Yes","1996","Rhineland-Palatinate,Saarland","Female","313","0.93355512085898","0.907791813934402","0.959318427783557","1"
"Yes","1996","Baden-Württemberg","Male","522","0.856958211582278","0.833267484012535","0.88064893915202","1"
"Yes","1996","Baden-Württemberg","Female","586","0.864116408652351","0.841489263069761","0.88674355423494","1"
"Yes","1996","Bavaria","Male","659","0.889749498691756","0.868325493007731","0.911173504375781","1"
"Yes","1996","Bavaria","Female","688","0.904959535543108","0.885197495962905","0.924721575123311","1"
"Yes","1996","Berlin","Male","222","0.882250416942594","0.84284488863044","0.921655945254749","1"
"Yes","1996","Berlin","Female","258","0.914744703836482","0.882603678465072","0.946885729207892","1"
"Yes","1996","Brandenburg","Male","285","0.996506196653583","0.989667799739313","1.00334459356785","1"
"Yes","1996","Brandenburg","Female","313","0.993650136553841","0.984864318438875","1.00243595466881","1"
"Yes","1996","Mecklenburg-Western Pomerania","Male","198","1","1","1","1"
"Yes","1996","Mecklenburg-Western Pomerania","Female","202","1","1","1","1"
"Yes","1996","Saxony","Male","523","0.994629840995121","0.988384163805074","1.00087551818517","1"
"Yes","1996","Saxony","Female","584","0.994838081171259","0.989036036488344","1.00064012585417","1"
"Yes","1996","Saxony-Anhalt","Male","314","1","1","1","1"
"Yes","1996","Saxony-Anhalt","Female","365","1","1","1","1"
"Yes","1996","Thuringia","Male","318","0.999022979117359","0.995594571814187","1.00245138642053","1"
"Yes","1996","Thuringia","Female","340","0.992908171324256","0.984014753467652","1.00180158918086","1"
"No","1997","Hamburg","Male","14","","","","2"
