"plj0014_v3","year","age_gr","e11102","n","percent","lower_confidence","upper_confidence"
"No","1996","16-34 y.","Employed","661","0.108418196868893","0.0981194656526968","0.11871692808509"
"No","1996","16-34 y.","Not Employed","320","0.159971989513049","0.139889758294462","0.180054220731635"
"No","1996","35-65 y.","Employed","704","0.0813194005216574","0.0736680024998937","0.088970798543421"
"No","1996","35-65 y.","Not Employed","372","0.107545965081612","0.0934779879770988","0.121613942186125"
"No","1996","66 and older","Employed","3","","",""
"No","1996","66 and older","Not Employed","66","0.0146272686815248","0.00860765940012188","0.0206468779629278"
"Yes","1996","16-34 y.","Employed","2840","0.891581803131107","0.88128307191491","0.901880534347303"
"Yes","1996","16-34 y.","Not Employed","960","0.840028010486951","0.819945779268365","0.860110241705538"
"Yes","1996","35-65 y.","Employed","4198","0.918680599478343","0.911029201456579","0.926331997500106"
"Yes","1996","35-65 y.","Not Employed","1491","0.892454034918388","0.878386057813875","0.906522012022901"
"Yes","1996","66 and older","Employed","48","0.964089848144233","0.9130240200765","1.01515567621197"
"Yes","1996","66 and older","Not Employed","1462","0.985372731318475","0.979353122037072","0.991392340599878"
"No","1997","16-34 y.","Employed","594","0.101934719215377","0.0916397531575311","0.112229685273224"
"No","1997","16-34 y.","Not Employed","328","0.18102398448492","0.160236878161419","0.201811090808421"
"No","1997","35-65 y.","Employed","632","0.0805157834443989","0.0728112267282702","0.0882203401605276"
"No","1997","35-65 y.","Not Employed","375","0.108235849369902","0.0941734954333684","0.122298203306436"
"No","1997","66 and older","Employed","7","","",""
"No","1997","66 and older","Not Employed","76","0.0218649655791355","0.0146055971278354","0.0291243340304355"
"Yes","1997","16-34 y.","Employed","2724","0.898065280784623","0.887770314726776","0.908360246842469"
"Yes","1997","16-34 y.","Not Employed","990","0.81897601551508","0.798188909191579","0.839763121838581"
"Yes","1997","35-65 y.","Employed","4159","0.919484216555601","0.911779659839472","0.92718877327173"
"Yes","1997","35-65 y.","Not Employed","1500","0.891764150630098","0.877701796693564","0.905826504566632"
"Yes","1997","66 and older","Employed","47","0.913703217792025","0.838808517114444","0.988597918469606"
"Yes","1997","66 and older","Not Employed","1483","0.978135034420865","0.970875665969565","0.985394402872165"
"No","1998","16-34 y.","Employed","549","0.112278444015039","0.101796706607944","0.122760181422134"
"No","1998","16-34 y.","Not Employed","301","0.165830965166209","0.146348499499156","0.185313430833262"
"No","1998","35-65 y.","Employed","603","0.0832390839539415","0.0758333871566528","0.0906447807512301"
"No","1998","35-65 y.","Not Employed","357","0.0975845789847704","0.0852011993433056","0.109967958626235"
"No","1998","66 and older","Employed","5","","",""
"No","1998","66 and older","Not Employed","74","0.0236541752601567","0.0166971656964967","0.0306111848238166"
"Yes","1998","16-34 y.","Employed","2936","0.887721555984961","0.877239818577866","0.898203293392056"
"Yes","1998","16-34 y.","Not Employed","1099","0.834169034833791","0.814686569166738","0.853651500500844"
"Yes","1998","35-65 y.","Employed","4742","0.916760916046059","0.90935521924877","0.924166612843347"
"Yes","1998","35-65 y.","Not Employed","1849","0.90241542101523","0.890032041373765","0.914798800656694"
"Yes","1998","66 and older","Employed","53","0.97390133925567","0.93287141768709","1.01493126082425"
"Yes","1998","66 and older","Not Employed","1759","0.976345824739843","0.969388815176183","0.983302834303503"
"No","1999","16-34 y.","Employed","514","0.108402602866935","0.0979710772029014","0.118834128530969"
"No","1999","16-34 y.","Not Employed","256","0.156822882288118","0.136291476367127","0.177354288209108"
"No","1999","35-65 y.","Employed","547","0.0855848068763365","0.078063256473004","0.0931063572796691"
"No","1999","35-65 y.","Not Employed","328","0.103035329859831","0.0897186240349673","0.116352035684695"
"No","1999","66 and older","Employed","5","","",""
"No","1999","66 and older","Not Employed","85","0.0262327181669371","0.0187679272339559","0.0336975090999182"
"Yes","1999","16-34 y.","Employed","2898","0.891597397133065","0.881165871469031","0.902028922797099"
"Yes","1999","16-34 y.","Not Employed","949","0.843177117711882","0.822645711790892","0.863708523632873"
"Yes","1999","35-65 y.","Employed","4767","0.914415193123663","0.906893642720331","0.921936743526996"
"Yes","1999","35-65 y.","Not Employed","1674","0.896964670140169","0.883647964315305","0.910281375965033"
"Yes","1999","66 and older","Employed","69","0.929705603181796","0.871459709962869","0.987951496400723"
