"plj0014_v3","year","e11103","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"No","1996","Full Time","(Married) couple without C. ","157","0.0639293991912964","0.0512988941983074","0.0765599041842853","2"
"No","1996","Full Time","1-pers.-HH","63","0.0664242401377059","0.04578088576246","0.0870675945129517","2"
"No","1996","Full Time","Couple + C. GT 16 ","184","0.101993081791822","0.0837742571023146","0.120211906481329","2"
"No","1996","Full Time","Couple + C. LE 16 ","226","0.093677136845391","0.0792456697239338","0.108108603966848","2"
"No","1996","Full Time","Couple + C. LE and GT 16","126","0.129331090604268","0.101974488105663","0.156687693102873","2"
"No","1996","Full Time","Single parent ","35","0.100930910877565","0.0635898445020717","0.138271977253058","2"
"No","1996","Not Working","(Married) couple without C. ","130","0.0435399016817068","0.033435962039879","0.0536438413235346","2"
"No","1996","Not Working","1-pers.-HH","35","0.0265882308315289","0.0150360767901141","0.0381403848729437","2"
"No","1996","Not Working","Couple + C. GT 16 ","203","0.123664654293975","0.100838504676877","0.146490803911074","2"
"No","1996","Not Working","Couple + C. LE 16 ","183","0.198998947533024","0.168812960050842","0.229184935015205","2"
"No","1996","Not Working","Couple + C. LE and GT 16","100","0.187142125617431","0.146455298277297","0.227828952957565","2"
"No","1996","Not Working","Single parent ","37","0.103415397311428","0.0638906676562959","0.14294012696656","2"
"No","1996","Part Time","(Married) couple without C. ","86","0.0962582672117473","0.0718950250429891","0.120621509380506","2"
"No","1996","Part Time","1-pers.-HH","22","","","","2"
"No","1996","Part Time","Couple + C. GT 16 ","115","0.111133869804523","0.084067836696156","0.13819990291289","2"
"No","1996","Part Time","Couple + C. LE 16 ","153","0.129259641434179","0.105578822748595","0.152940460119764","2"
"No","1996","Part Time","Couple + C. LE and GT 16","83","0.153702934297966","0.114370635776447","0.193035232819485","2"
"No","1996","Part Time","Single parent ","17","","","","2"
"Yes","1996","Not Working","Single parent ","191","0.896584602688572","0.85705987303344","0.936109332343704","1"
"Yes","1996","Full Time","Couple + C. LE 16 ","1340","0.906322863154609","0.891891396033152","0.920754330276066","1"
"Yes","1996","Full Time","1-pers.-HH","496","0.933575759862294","0.912932405487048","0.95421911423754","1"
"Yes","1996","Not Working","Couple + C. LE and GT 16","253","0.812857874382569","0.772171047042435","0.853544701722703","1"
"Yes","1996","Full Time","Couple + C. GT 16 ","876","0.898006918208178","0.879788093518671","0.916225742897685","1"
"Yes","1996","Full Time","(Married) couple without C. ","1284","0.936070600808704","0.923440095815715","0.948701105801693","1"
"Yes","1996","Full Time","Couple + C. LE and GT 16","452","0.870668909395732","0.843312306897127","0.898025511894337","1"
"Yes","1996","Not Working","1-pers.-HH","710","0.973411769168471","0.961859615127056","0.984963923209886","1"
"Yes","1996","Not Working","Couple + C. GT 16 ","596","0.876335345706025","0.853509196088926","0.899161495323124","1"
"Yes","1996","Not Working","Couple + C. LE 16 ","489","0.801001052466976","0.770815064984795","0.831187039949158","1"
"Yes","1996","Part Time","Couple + C. GT 16 ","403","0.888866130195477","0.86180009708711","0.915932163303844","1"
"Yes","1996","Part Time","1-pers.-HH","164","0.940375230118251","0.906345730163241","0.97440473007326","1"
"Yes","1996","Full Time","Single parent ","215","0.899069089122435","0.861728022746942","0.936410155497928","1"
"Yes","1996","Not Working","(Married) couple without C. ","1437","0.956460098318293","0.946356158676465","0.966564037960121","1"
"Yes","1996","Part Time","(Married) couple without C. ","477","0.903741732788253","0.879378490619494","0.928104974957011","1"
"Yes","1996","Part Time","Couple + C. LE and GT 16","240","0.846297065702034","0.806964767180515","0.885629364223553","1"
"Yes","1996","Part Time","Single parent ","159","0.957538154967217","0.927748242181122","0.987328067753313","1"
"Yes","1996","Part Time","Couple + C. LE 16 ","618","0.870740358565821","0.847059539880236","0.894421177251405","1"
"No","1997","Full Time","(Married) couple without C. ","171","0.0749356109453428","0.0613416440414207","0.0885295778492649","2"
"No","1997","Full Time","1-pers.-HH","50","0.0526227322599477","0.0338426991822492","0.0714027653376463","2"
"No","1997","Full Time","Couple + C. GT 16 ","171","0.0954757856496426","0.0778014722420411","0.113150099057244","2"
"No","1997","Full Time","Couple + C. LE 16 ","227","0.0939418924248247","0.0789716744891682","0.108912110360481","2"
"No","1997","Full Time","Couple + C. LE and GT 16","106","0.133824057769621","0.105874121696629","0.161773993842613","2"
"No","1997","Full Time","Single parent ","21","","","","2"
"No","1997","Not Working","(Married) couple without C. ","146","0.0502977455831298","0.039745680001587","0.0608498111646727","2"
"No","1997","Not Working","1-pers.-HH","44","0.0359593386946782","0.0225444907217762","0.0493741866675802","2"
"No","1997","Not Working","Couple + C. GT 16 ","199","0.120596643013371","0.0981003054662535","0.143092980560489","2"
"No","1997","Not Working","Couple + C. LE 16 ","179","0.219543837061946","0.187987815537243","0.251099858586649","2"
"No","1997","Not Working","Couple + C. LE and GT 16","100","0.202799098963719","0.161379040577343","0.244219157350094","2"
"No","1997","Not Working","Single parent ","29","","","","2"
