"plj0014_v3","year","hgtyp1hh","sex","n","percent","lower_confidence","upper_confidence","value"
"No","1996","(Married) couple without C. ","Female","178","0.0522521341838905","0.0419688714117335","0.0625353969560474","2"
"No","1996","(Married) couple without C. ","Male","195","0.0640569597145423","0.0526564543582697","0.0754574650708148","2"
"No","1996","1-pers.-HH","Female","60","0.0308823547020902","0.0198230552353542","0.0419416541688262","2"
"No","1996","1-pers.-HH","Male","60","0.065730728208495","0.0450203990838441","0.0864410573331459","2"
"No","1996","Couple + C. GT 16 ","Female","231","0.113189832843059","0.0943640656199893","0.132015600066129","2"
"No","1996","Couple + C. GT 16 ","Male","271","0.110708205501598","0.0935791395900379","0.127837271413158","2"
"No","1996","Couple + C. LE 16 ","Female","273","0.129926349008381","0.113068077668285","0.146784620348477","2"
"No","1996","Couple + C. LE 16 ","Male","289","0.123810535465143","0.107036082117604","0.140584988812682","2"
"No","1996","Couple + C. LE and GT 16","Female","150","0.156963093360704","0.127928783775145","0.185997402946263","2"
"No","1996","Couple + C. LE and GT 16","Male","159","0.149580235788151","0.122182708011316","0.176977763564985","2"
"No","1996","Single parent ","Female","53","0.0802451885234462","0.0545073695725205","0.105983007474372","2"
"No","1996","Single parent ","Male","36","0.094217940640158","0.0561313119120602","0.132304569368256","2"
"Yes","1996","(Married) couple without C. ","Female","1621","0.94774786581611","0.937464603043953","0.958031128588267","1"
"Yes","1996","(Married) couple without C. ","Male","1577","0.935943040285458","0.924542534929185","0.94734354564173","1"
"Yes","1996","1-pers.-HH","Female","880","0.96911764529791","0.958058345831174","0.980176944764646","1"
"Yes","1996","Couple + C. LE and GT 16","Female","453","0.843036906639296","0.814002597053736","0.872071216224855","1"
"Yes","1996","1-pers.-HH","Male","490","0.934269271791505","0.913558942666854","0.954979600916156","1"
"Yes","1996","Couple + C. GT 16 ","Female","857","0.886810167156941","0.867984399933871","0.905635934380011","1"
"Yes","1996","Couple + C. LE 16 ","Female","1255","0.870073650991619","0.853215379651523","0.886931922331715","1"
"Yes","1996","Couple + C. LE and GT 16","Male","492","0.850419764211849","0.823022236435015","0.877817291988684","1"
"Yes","1996","Couple + C. GT 16 ","Male","1018","0.889291794498402","0.872162728586842","0.906420860409962","1"
"Yes","1996","Couple + C. LE 16 ","Male","1192","0.876189464534857","0.859415011187318","0.892963917882396","1"
"Yes","1996","Single parent ","Female","375","0.919754811476554","0.894016992525628","0.94549263042748","1"
"Yes","1996","Single parent ","Male","190","0.905782059359842","0.867695430631744","0.94386868808794","1"
"No","1997","(Married) couple without C. ","Female","190","0.063752672502107","0.0525067863656106","0.0749985586386035","2"
"No","1997","(Married) couple without C. ","Male","205","0.0694931795895798","0.0577587847790684","0.0812275744000913","2"
"No","1997","1-pers.-HH","Female","59","0.0350879564883515","0.0232174256138806","0.0469584873628225","2"
"No","1997","1-pers.-HH","Male","53","0.0546601363778263","0.0354875566468526","0.0738327161088","2"
"No","1997","Couple + C. GT 16 ","Female","219","0.115825048551475","0.0967217193555914","0.134928377747359","2"
"No","1997","Couple + C. GT 16 ","Male","255","0.101526539863237","0.0851212080794889","0.117931871646985","2"
"No","1997","Couple + C. LE 16 ","Female","252","0.129587523416506","0.112300976917366","0.146874069915647","2"
"No","1997","Couple + C. LE 16 ","Male","272","0.125861673058271","0.108474405515855","0.143248940600687","2"
"No","1997","Couple + C. LE and GT 16","Female","131","0.159456703946244","0.129965760019881","0.188947647872606","2"
"No","1997","Couple + C. LE and GT 16","Male","145","0.164967389125642","0.135776114432626","0.194158663818657","2"
"No","1997","Single parent ","Female","41","0.0642632202480665","0.0406702763561937","0.0878561641399392","2"
"No","1997","Single parent ","Male","28","","","","2"
"Yes","1997","(Married) couple without C. ","Female","1623","0.936247327497893","0.925001441361397","0.947493213634389","1"
"Yes","1997","(Married) couple without C. ","Male","1599","0.93050682041042","0.918772425599909","0.942241215220932","1"
"Yes","1997","1-pers.-HH","Female","864","0.964912043511648","0.953041512637177","0.976782574386119","1"
"Yes","1997","Couple + C. LE and GT 16","Female","461","0.840543296053756","0.811052352127393","0.870034239980119","1"
"Yes","1997","1-pers.-HH","Male","487","0.945339863622174","0.9261672838912","0.964512443353147","1"
"Yes","1997","Couple + C. GT 16 ","Female","859","0.884174951448525","0.865071622252641","0.903278280644409","1"
"Yes","1997","Couple + C. GT 16 ","Male","1047","0.898473460136763","0.882068128353015","0.914878791920511","1"
"Yes","1997","Couple + C. LE 16 ","Female","1198","0.870412476583494","0.853125930084353","0.887699023082634","1"
"Yes","1997","Couple + C. LE and GT 16","Male","476","0.835032610874358","0.805841336181343","0.864223885567374","1"
"Yes","1997","Couple + C. LE 16 ","Male","1126","0.874138326941729","0.856751059399313","0.891525594484145","1"
"Yes","1997","Single parent ","Female","374","0.935736779751933","0.912143835860061","0.959329723643806","1"
"Yes","1997","Single parent ","Male","195","0.919210988783567","0.88344424450403","0.954977733063104","1"
"No","1998","Couple + C. GT 16 ","Female","206","0.113642830249352","0.0954024605988646","0.131883199899839","2"
"No","1998","Couple + C. GT 16 ","Male","247","0.112517844707218","0.0960061534532563","0.12902953596118","2"
"No","1998","Couple + C. LE 16 ","Female","235","0.118847153503441","0.102895629837734","0.134798677169149","2"
"No","1998","Couple + C. LE 16 ","Male","253","0.119013985373961","0.10279953564015","0.135228435107772","2"
"No","1998","Couple + C. LE and GT 16","Female","115","0.169934573651552","0.140130185603383","0.19973896169972","2"
"No","1998","Couple + C. LE and GT 16","Male","136","0.194569549717777","0.164066208709038","0.225072890726515","2"
"No","1998","Single parent ","Female","49","0.0793641599097165","0.0549526980178404","0.103775621801593","2"
"No","1998","Single parent ","Male","26","","","","2"
"No","1998","(Married) couple without C. ","Female","185","0.0621648723300062","0.0518550401961984","0.072474704463814","2"
"No","1998","(Married) couple without C. ","Male","189","0.0592730853317353","0.0491276052457894","0.0694185654176812","2"
"No","1998","1-pers.-HH","Female","60","0.0374404862350501","0.0262117351021162","0.048669237367984","2"
"No","1998","1-pers.-HH","Male","62","0.0645932649199532","0.0459389614002939","0.0832475684396125","2"
"Yes","1998","(Married) couple without C. ","Male","1892","0.940726914668265","0.930581434582319","0.95087239475421","1"
"Yes","1998","(Married) couple without C. ","Female","1922","0.937835127669994","0.927525295536186","0.948144959803802","1"
"Yes","1998","1-pers.-HH","Female","1038","0.96255951376495","0.951330762632016","0.973788264897884","1"
"Yes","1998","1-pers.-HH","Male","605","0.935406735080047","0.916752431560388","0.954061038599706","1"
