"plj0014_v3","year","e11102","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"No","1996","Employed","(Married) couple without C. ","243","0.0733996216270084","0.0619815600816601","0.0848176831723568"
"No","1996","Employed","1-pers.-HH","85","0.0647022451811327","0.0470376139259094","0.0823668764363559"
"No","1996","Employed","Couple + C. GT 16 ","299","0.105073337490296","0.0899434890096722","0.120203185970919"
"No","1996","Employed","Couple + C. LE 16 ","379","0.105948512037483","0.0934704416570902","0.118426582417876"
"No","1996","Employed","Couple + C. LE and GT 16","209","0.138286939793896","0.115746747531034","0.160827132056758"
"No","1996","Employed","Single parent ","52","0.0752315196863384","0.0501842888498143","0.100278750522862"
"No","1996","Not Employed","(Married) couple without C. ","130","0.0435399016817068","0.033435962039879","0.0536438413235346"
"No","1996","Not Employed","1-pers.-HH","35","0.0265882308315289","0.0150360767901141","0.0381403848729437"
"No","1996","Not Employed","Couple + C. GT 16 ","203","0.123664654293975","0.100838504676877","0.146490803911074"
"No","1996","Not Employed","Couple + C. LE 16 ","183","0.198998947533024","0.168812960050842","0.229184935015205"
"No","1996","Not Employed","Couple + C. LE and GT 16","100","0.187142125617431","0.146455298277297","0.227828952957565"
"No","1996","Not Employed","Single parent ","37","0.103415397311428","0.0638906676562959","0.14294012696656"
"Yes","1996","Employed","(Married) couple without C. ","1761","0.926600378372991","0.915182316827643","0.93801843991834"
"Yes","1996","Employed","1-pers.-HH","660","0.935297754818867","0.917633123563644","0.952962386074091"
"Yes","1996","Employed","Couple + C. GT 16 ","1279","0.894926662509704","0.879796814029081","0.910056510990328"
"Yes","1996","Employed","Couple + C. LE 16 ","1958","0.894051487962517","0.881573417582124","0.90652955834291"
"Yes","1996","Employed","Couple + C. LE and GT 16","692","0.861713060206104","0.839172867943242","0.884253252468966"
"Yes","1996","Employed","Single parent ","374","0.924768480313662","0.899721249477137","0.949815711150186"
"Yes","1996","Not Employed","(Married) couple without C. ","1437","0.956460098318293","0.946356158676465","0.966564037960121"
"Yes","1996","Not Employed","1-pers.-HH","710","0.973411769168471","0.961859615127056","0.984963923209886"
"Yes","1996","Not Employed","Couple + C. GT 16 ","596","0.876335345706025","0.853509196088926","0.899161495323124"
"Yes","1996","Not Employed","Couple + C. LE 16 ","489","0.801001052466976","0.770815064984795","0.831187039949158"
"Yes","1996","Not Employed","Couple + C. LE and GT 16","253","0.812857874382569","0.772171047042435","0.853544701722703"
"Yes","1996","Not Employed","Single parent ","191","0.896584602688572","0.85705987303344","0.936109332343704"
"No","1997","Employed","(Married) couple without C. ","249","0.0846675532441062","0.0723712895946041","0.0969638168936082"
"No","1997","Employed","1-pers.-HH","68","0.0502382191424519","0.0343160070371477","0.066160431247756"
"No","1997","Employed","Couple + C. GT 16 ","275","0.100562310611244","0.0857094202685033","0.115415200953986"
"No","1997","Employed","Couple + C. LE 16 ","345","0.100826674497626","0.0882074365752315","0.11344591242002"
"No","1997","Employed","Couple + C. LE and GT 16","176","0.14329455295727","0.11975414873426","0.166834957180279"
"No","1997","Employed","Single parent ","40","0.0618142338877919","0.0388106391187907","0.084817828656793"
"No","1997","Not Employed","(Married) couple without C. ","146","0.0502977455831298","0.039745680001587","0.0608498111646727"
"No","1997","Not Employed","1-pers.-HH","44","0.0359593386946782","0.0225444907217762","0.0493741866675802"
"No","1997","Not Employed","Couple + C. GT 16 ","199","0.120596643013371","0.0981003054662535","0.143092980560489"
"No","1997","Not Employed","Couple + C. LE 16 ","179","0.219543837061946","0.187987815537243","0.251099858586649"
"No","1997","Not Employed","Couple + C. LE and GT 16","100","0.202799098963719","0.161379040577343","0.244219157350094"
"No","1997","Not Employed","Single parent ","29","","",""
"Yes","1997","Employed","(Married) couple without C. ","1720","0.915332446755894","0.903036183106392","0.927628710405396"
"Yes","1997","Employed","1-pers.-HH","655","0.949761780857548","0.933839568752244","0.965683992962852"
"Yes","1997","Employed","Couple + C. GT 16 ","1300","0.899437689388756","0.884584799046014","0.914290579731497"
"Yes","1997","Employed","Couple + C. LE 16 ","1842","0.899173325502374","0.88655408757998","0.911792563424768"
"Yes","1997","Employed","Couple + C. LE and GT 16","675","0.856705447042731","0.833165042819721","0.88024585126574"
"Yes","1997","Employed","Single parent ","381","0.938185766112208","0.915182171343207","0.961189360881209"
"Yes","1997","Not Employed","(Married) couple without C. ","1502","0.94970225441687","0.939150188835327","0.960254319998413"
"Yes","1997","Not Employed","1-pers.-HH","696","0.964040661305322","0.95062581333242","0.977455509278224"
"Yes","1997","Not Employed","Couple + C. GT 16 ","606","0.879403356986629","0.856907019439511","0.901899694533747"
"Yes","1997","Not Employed","Couple + C. LE 16 ","482","0.780456162938054","0.748900141413351","0.812012184462757"
"Yes","1997","Not Employed","Couple + C. LE and GT 16","262","0.797200901036281","0.755780842649906","0.838620959422657"
"Yes","1997","Not Employed","Single parent ","188","0.914631876000378","0.877453598948467","0.951810153052289"
"No","1998","Employed","(Married) couple without C. ","230","0.0860674204365468","0.074353132178855","0.0977817086942387"
"No","1998","Employed","1-pers.-HH","81","0.0625744408153599","0.0463402024800986","0.0788086791506213"
"No","1998","Employed","Couple + C. GT 16 ","263","0.105108591205158","0.0906145949580353","0.11960258745228"
"No","1998","Employed","Couple + C. LE 16 ","314","0.0941324263068267","0.0824031726942266","0.105861679919427"
"No","1998","Employed","Couple + C. LE and GT 16","160","0.171847516876285","0.146692882770659","0.197002150981911"
"No","1998","Employed","Single parent ","43","0.0760555279051984","0.0515903629465553","0.100520692863842"
"No","1998","Not Employed","(Married) couple without C. ","144","0.0379365290678016","0.0295344042647478","0.0463386538708553"
"No","1998","Not Employed","1-pers.-HH","41","0.0361909532436389","0.0240564247658494","0.0483254817214283"
"No","1998","Not Employed","Couple + C. GT 16 ","190","0.127426292173551","0.105009719513302","0.1498428648338"
"No","1998","Not Employed","Couple + C. LE 16 ","174","0.202155459731383","0.173062063166228","0.231248856296538"
"No","1998","Not Employed","Couple + C. LE and GT 16","91","0.204217128947153","0.164360992923463","0.244073264970843"
"No","1998","Not Employed","Single parent ","32","0.084102337898939","0.0505596604251125","0.117645015372766"
"Yes","1998","Employed","(Married) couple without C. ","1972","0.913932579563453","0.902218291305761","0.925646867821145"
"Yes","1998","Employed","1-pers.-HH","774","0.93742555918464","0.921191320849379","0.953659797519901"
"Yes","1998","Employed","Couple + C. GT 16 ","1457","0.894891408794842","0.88039741254772","0.909385405041965"
"Yes","1998","Employed","Couple + C. LE 16 ","2067","0.905867573693173","0.894138320080573","0.917596827305773"
"Yes","1998","Employed","Couple + C. LE and GT 16","704","0.828152483123715","0.802997849018089","0.853307117229341"
"Yes","1998","Employed","Single parent ","408","0.923944472094801","0.899479307136158","0.948409637053445"
"Yes","1998","Not Employed","(Married) couple without C. ","1842","0.962063470932198","0.953661346129145","0.970465595735252"
"Yes","1998","Not Employed","1-pers.-HH","869","0.963809046756361","0.951674518278572","0.975943575234151"
"Yes","1998","Not Employed","Couple + C. GT 16 ","660","0.872573707826449","0.8501571351662","0.894990280486698"
"Yes","1998","Not Employed","Couple + C. LE 16 ","558","0.797844540268617","0.768751143703462","0.826937936833772"
"Yes","1998","Not Employed","Couple + C. LE and GT 16","302","0.795782871052847","0.755926735029157","0.835639007076537"
"Yes","1998","Not Employed","Single parent ","231","0.915897662101061","0.882354984627234","0.949440339574888"
"No","1999","Employed","(Married) couple without C. ","224","0.0900199669536344","0.0782200424804984","0.10181989142677"
"No","1999","Employed","1-pers.-HH","72","0.065870375254819","0.0492530986064064","0.0824876519032315"
"No","1999","Employed","Couple + C. GT 16 ","245","0.103865876724391","0.0895267978687352","0.118204955580048"
"No","1999","Employed","Couple + C. LE 16 ","297","0.0928543349819406","0.0812138644289097","0.104494805534972"
"No","1999","Employed","Couple + C. LE and GT 16","125","0.143576081806983","0.11984855060811","0.167303613005856"
"No","1999","Employed","Single parent ","48","0.0875854760017294","0.0618913554870893","0.113279596516369"
"No","1999","Not Employed","(Married) couple without C. ","137","0.0420329426650491","0.0329791128661727","0.0510867724639255"
"No","1999","Not Employed","1-pers.-HH","40","0.0340927334857648","0.0218428225231924","0.0463426444483373"
"No","1999","Not Employed","Couple + C. GT 16 ","185","0.145925112409322","0.120989747799888","0.170860477018755"
"No","1999","Not Employed","Couple + C. LE 16 ","151","0.20277562786187","0.171770752274806","0.233780503448935"
"No","1999","Not Employed","Couple + C. LE and GT 16","74","0.202860999135821","0.159141747471584","0.246580250800058"
"No","1999","Not Employed","Single parent ","26","","",""
"Yes","1999","Employed","(Married) couple without C. ","2036","0.909980033046366","0.89818010857323","0.921779957519502"
"Yes","1999","Employed","1-pers.-HH","784","0.934129624745181","0.917512348096769","0.950746901393594"
"Yes","1999","Employed","Couple + C. GT 16 ","1494","0.896134123275608","0.881795044419952","0.910473202131265"
"Yes","1999","Employed","Couple + C. LE 16 ","2091","0.907145665018059","0.895505194465028","0.91878613557109"
"Yes","1999","Employed","Couple + C. LE and GT 16","714","0.856423918193017","0.832696386994144","0.88015144939189"
"Yes","1999","Employed","Single parent ","417","0.912414523998271","0.886720403483631","0.938108644512911"
"Yes","1999","Not Employed","(Married) couple without C. ","1750","0.957967057334951","0.948913227536075","0.967020887133827"
"Yes","1999","Not Employed","1-pers.-HH","803","0.965907266514235","0.953657355551663","0.978157177476808"
"Yes","1999","Not Employed","Couple + C. GT 16 ","585","0.854074887590678","0.829139522981245","0.879010252200112"
"Yes","1999","Not Employed","Couple + C. LE 16 ","495","0.79722437213813","0.766219496551065","0.828229247725194"
"Yes","1999","Not Employed","Couple + C. LE and GT 16","251","0.797139000864179","0.753419749199942","0.840858252528416"
"Yes","1999","Not Employed","Single parent ","228","0.945474240529543","0.917551570452014","0.973396910607071"
"No","2000","Employed","(Married) couple without C. ","278","0.0725733978244871","0.0643344622355276","0.0808123334134467"
"No","2000","Employed","1-pers.-HH","119","0.0572614560533113","0.0464313231525341","0.0680915889540885"
"No","2000","Employed","Couple + C. GT 16 ","310","0.0990314571509257","0.0879793355066545","0.110083578795197"
"No","2000","Employed","Couple + C. LE 16 ","446","0.109063854614349","0.0995684903228977","0.118559218905801"
"No","2000","Employed","Couple + C. LE and GT 16","156","0.133074842110519","0.115244671983248","0.15090501223779"
"No","2000","Employed","Single parent ","68","0.0829168241363095","0.0638912830682877","0.101942365204331"
"No","2000","Not Employed","(Married) couple without C. ","189","0.0430445176452979","0.0365770433614271","0.0495119919291688"
"No","2000","Not Employed","1-pers.-HH","57","0.0299743326654229","0.0216270003343733","0.0383216649964726"
"No","2000","Not Employed","Couple + C. GT 16 ","195","0.130746765307633","0.111363200023056","0.150130330592209"
"No","2000","Not Employed","Couple + C. LE 16 ","240","0.22179200039692","0.197439252459407","0.246144748334434"
"No","2000","Not Employed","Couple + C. LE and GT 16","104","0.185411446430718","0.153049798319784","0.217773094541652"
"No","2000","Not Employed","Single parent ","32","0.0693695312017556","0.0444388206485841","0.0943002417549271"
"Yes","2000","Employed","(Married) couple without C. ","3531","0.927426602175513","0.919187666586553","0.935665537764472"
"Yes","2000","Employed","1-pers.-HH","1649","0.942738543946689","0.931908411045911","0.953568676847466"
"Yes","2000","Employed","Couple + C. GT 16 ","2496","0.900968542849074","0.889916421204803","0.912020664493345"
"Yes","2000","Employed","Couple + C. LE 16 ","3694","0.890936145385651","0.881440781094199","0.900431509677102"
"Yes","2000","Employed","Couple + C. LE and GT 16","1238","0.866925157889481","0.84909498776221","0.884755328016752"
"Yes","2000","Employed","Single parent ","739","0.91708317586369","0.898057634795669","0.936108716931712"
"Yes","2000","Not Employed","(Married) couple without C. ","3594","0.956955482354702","0.950488008070831","0.963422956638573"
"Yes","2000","Not Employed","1-pers.-HH","1546","0.970025667334577","0.961678335003527","0.978372999665627"
"Yes","2000","Not Employed","Couple + C. GT 16 ","967","0.869253234692367","0.849869669407791","0.888636799976944"
"Yes","2000","Not Employed","Couple + C. LE 16 ","878","0.77820799960308","0.753855251665566","0.802560747540593"
"Yes","2000","Not Employed","Couple + C. LE and GT 16","450","0.814588553569282","0.782226905458348","0.846950201680216"
