"plj0014_v3","year","bula_h","migback","n","percent","lower_confidence","upper_confidence"
"Yes","1996","Schleswig-Holstein","no migration background","248","1","1","1"
"Yes","1996","Schleswig-Holstein","direct migration background","15","","",""
"Yes","1996","Schleswig-Holstein","indirect migration background","6","","",""
"Yes","1996","Hamburg","no migration background","94","1","1","1"
"Yes","1996","Hamburg","direct migration background","2","","",""
"Yes","1996","Hamburg","indirect migration background","6","","",""
"Yes","1996","Lower Saxony","no migration background","819","1","1","1"
"Yes","1996","Lower Saxony","direct migration background","97","0.584275662190663","0.515278428547827","0.6532728958335"
"Yes","1996","Lower Saxony","indirect migration background","9","","",""
"Yes","1996","Bremen","no migration background","71","1","1","1"
"Yes","1996","Bremen","direct migration background","8","","",""
"Yes","1996","Bremen","indirect migration background","1","","",""
"Yes","1996","North Rhine-Westphalia","no migration background","1743","1","1","1"
"Yes","1996","North Rhine-Westphalia","direct migration background","210","0.453572592818417","0.415562841957187","0.491582343679647"
"Yes","1996","North Rhine-Westphalia","indirect migration background","42","0.436594482240757","0.360688529392664","0.51250043508885"
"Yes","1996","Hesse","no migration background","567","0.996441148677391","0.991543871641348","1.00133842571343"
"Yes","1996","Hesse","direct migration background","72","0.43017357323479","0.373386456061572","0.486960690408008"
"Yes","1996","Hesse","indirect migration background","10","","",""
"Yes","1996","Rhineland-Palatinate,Saarland","no migration background","511","1","1","1"
"Yes","1996","Rhineland-Palatinate,Saarland","direct migration background","83","0.481206709131491","0.405652882968006","0.556760535294976"
"Yes","1996","Rhineland-Palatinate,Saarland","indirect migration background","7","","",""
"Yes","1996","Baden-Württemberg","no migration background","952","0.999748566589039","0.998742490581469","1.00075464259661"
"Yes","1996","Baden-Württemberg","direct migration background","129","0.418185844789847","0.379760033841741","0.456611655737952"
"Yes","1996","Baden-Württemberg","indirect migration background","27","","",""
"Yes","1996","Bavaria","no migration background","1195","0.995742473267466","0.992052402380593","0.999432544154339"
"Yes","1996","Bavaria","direct migration background","115","0.430126074881291","0.380607315296915","0.479644834465667"
"Yes","1996","Bavaria","indirect migration background","37","0.491604358940631","0.3865540736047","0.596654644276562"
"Yes","1996","Berlin","no migration background","446","0.993463965694304","0.985993846172148","1.00093408521646"
"Yes","1996","Berlin","direct migration background","30","0.424243414771366","0.317271892362841","0.531214937179892"
"Yes","1996","Berlin","indirect migration background","4","","",""
"Yes","1996","Brandenburg","no migration background","578","0.996670261779195","0.991977920353628","1.00136260320476"
"Yes","1996","Brandenburg","direct migration background","17","","",""
"Yes","1996","Brandenburg","indirect migration background","3","","",""
"Yes","1996","Mecklenburg-Western Pomerania","no migration background","387","1","1","1"
"Yes","1996","Mecklenburg-Western Pomerania","direct migration background","12","","",""
"Yes","1996","Mecklenburg-Western Pomerania","indirect migration background","1","","",""
"Yes","1996","Saxony","no migration background","1063","1","1","1"
"Yes","1996","Saxony","direct migration background","36","0.879692171114765","0.780113008272913","0.979271333956618"
"Yes","1996","Saxony","indirect migration background","8","","",""
"Yes","1996","Saxony-Anhalt","no migration background","643","1","1","1"
"Yes","1996","Saxony-Anhalt","direct migration background","34","1","1","1"
"Yes","1996","Saxony-Anhalt","indirect migration background","2","","",""
"Yes","1996","Thuringia","no migration background","631","1","1","1"
"Yes","1996","Thuringia","direct migration background","24","","",""
"Yes","1996","Thuringia","indirect migration background","3","","",""
"No","1996","Schleswig-Holstein","no migration background","","","",""
"No","1996","Schleswig-Holstein","direct migration background","16","","",""
"No","1996","Schleswig-Holstein","indirect migration background","3","","",""
"No","1996","Hamburg","no migration background","","","",""
"No","1996","Hamburg","direct migration background","24","","",""
"No","1996","Hamburg","indirect migration background","2","","",""
"No","1996","Lower Saxony","no migration background","","","",""
"No","1996","Lower Saxony","direct migration background","99","0.415724337809337","0.3467271041665","0.484721571452173"
"No","1996","Lower Saxony","indirect migration background","26","","",""
"No","1996","Bremen","no migration background","","","",""
"No","1996","Bremen","direct migration background","12","","",""
"No","1996","Bremen","indirect migration background","3","","",""
"No","1996","North Rhine-Westphalia","no migration background","","","",""
"No","1996","North Rhine-Westphalia","direct migration background","449","0.546427407181583","0.508417656320353","0.584437158042813"
"No","1996","North Rhine-Westphalia","indirect migration background","122","0.563405517759243","0.48749956491115","0.639311470607336"
"No","1996","Hesse","no migration background","1","","",""
"No","1996","Hesse","direct migration background","220","0.56982642676521","0.513039309591992","0.626613543938428"
"No","1996","Hesse","indirect migration background","45","0.847513269283217","0.752506177082477","0.942520361483957"
"No","1996","Rhineland-Palatinate,Saarland","no migration background","","","",""
"No","1996","Rhineland-Palatinate,Saarland","direct migration background","85","0.518793290868509","0.443239464705024","0.594347117031994"
"No","1996","Rhineland-Palatinate,Saarland","indirect migration background","10","","",""
"No","1996","Baden-Württemberg","no migration background","2","","",""
"No","1996","Baden-Württemberg","direct migration background","504","0.581814155210153","0.543388344262048","0.620239966158259"
"No","1996","Baden-Württemberg","indirect migration background","106","0.534817626549577","0.450048686688933","0.619586566410221"
"No","1996","Bavaria","no migration background","1","","",""
"No","1996","Bavaria","direct migration background","269","0.569873925118709","0.520355165534333","0.619392684703085"
"No","1996","Bavaria","indirect migration background","50","0.508395641059369","0.403345355723438","0.6134459263953"
"No","1996","Berlin","no migration background","1","","",""
"No","1996","Berlin","direct migration background","52","0.575756585228634","0.468785062820108","0.682728107637159"
"No","1996","Berlin","indirect migration background","14","","",""
"No","1996","Brandenburg","no migration background","1","","",""
"No","1996","Brandenburg","direct migration background","","","",""
"No","1996","Brandenburg","indirect migration background","1","","",""
"No","1996","Mecklenburg-Western Pomerania","no migration background","","","",""
"No","1996","Mecklenburg-Western Pomerania","direct migration background","","","",""
"No","1996","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"No","1996","Saxony","no migration background","","","",""
"No","1996","Saxony","direct migration background","5","","",""
"No","1996","Saxony","indirect migration background","","","",""
"No","1996","Saxony-Anhalt","no migration background","","","",""
"No","1996","Saxony-Anhalt","direct migration background","","","",""
"No","1996","Saxony-Anhalt","indirect migration background","","","",""
"No","1996","Thuringia","no migration background","","","",""
"No","1996","Thuringia","direct migration background","2","","",""
"No","1996","Thuringia","indirect migration background","1","","",""
"Yes","1997","Schleswig-Holstein","no migration background","243","1","1","1"
"Yes","1997","Schleswig-Holstein","direct migration background","14","","",""
"Yes","1997","Schleswig-Holstein","indirect migration background","5","","",""
"Yes","1997","Hamburg","no migration background","93","1","1","1"
"Yes","1997","Hamburg","direct migration background","2","","",""
"Yes","1997","Hamburg","indirect migration background","5","","",""
"Yes","1997","Lower Saxony","no migration background","806","1","1","1"
"Yes","1997","Lower Saxony","direct migration background","99","0.598585855652226","0.529068864235849","0.668102847068603"
"Yes","1997","Lower Saxony","indirect migration background","12","","",""
"Yes","1997","Bremen","no migration background","71","1","1","1"
"Yes","1997","Bremen","direct migration background","9","","",""
"Yes","1997","Bremen","indirect migration background","1","","",""
"Yes","1997","North Rhine-Westphalia","no migration background","1741","1","1","1"
"Yes","1997","North Rhine-Westphalia","direct migration background","208","0.467913659137817","0.428317132640201","0.507510185635432"
"Yes","1997","North Rhine-Westphalia","indirect migration background","45","0.380655674803102","0.30788066518994","0.453430684416265"
"Yes","1997","Hesse","no migration background","529","0.995656033054586","0.990057063873218","1.00125500223595"
"Yes","1997","Hesse","direct migration background","72","0.383707666844547","0.326023000034676","0.441392333654417"
"Yes","1997","Hesse","indirect migration background","11","","",""
"Yes","1997","Rhineland-Palatinate,Saarland","no migration background","526","1","1","1"
"Yes","1997","Rhineland-Palatinate,Saarland","direct migration background","86","0.530699548613434","0.456117602300756","0.605281494926111"
"Yes","1997","Rhineland-Palatinate,Saarland","indirect migration background","6","","",""
"Yes","1997","Baden-Württemberg","no migration background","946","0.999739766551712","0.998713006497423","1.000766526606"
"Yes","1997","Baden-Württemberg","direct migration background","136","0.41070722525855","0.372291454952714","0.449122995564387"
"Yes","1997","Baden-Württemberg","indirect migration background","33","0.476921768531908","0.396180360282736","0.557663176781079"
"Yes","1997","Bavaria","no migration background","1192","0.995335031510285","0.991468363625772","0.999201699394797"
"Yes","1997","Bavaria","direct migration background","110","0.430958248488898","0.379298724120427","0.482617772857369"
"Yes","1997","Bavaria","indirect migration background","34","0.524369864322551","0.418821280772427","0.629918447872675"
"Yes","1997","Berlin","no migration background","426","0.991791540259143","0.983233482967561","1.00034959755073"
"Yes","1997","Berlin","direct migration background","28","","",""
"Yes","1997","Berlin","indirect migration background","9","","",""
"Yes","1997","Brandenburg","no migration background","579","0.996469420559837","0.991642289659602","1.00129655146007"
"Yes","1997","Brandenburg","direct migration background","15","","",""
"Yes","1997","Brandenburg","indirect migration background","3","","",""
"Yes","1997","Mecklenburg-Western Pomerania","no migration background","376","1","1","1"
"Yes","1997","Mecklenburg-Western Pomerania","direct migration background","12","","",""
"Yes","1997","Mecklenburg-Western Pomerania","indirect migration background","3","","",""
"Yes","1997","Saxony","no migration background","1048","1","1","1"
"Yes","1997","Saxony","direct migration background","33","0.867791618084681","0.760097120830638","0.975486115338725"
"Yes","1997","Saxony","indirect migration background","7","","",""
"Yes","1997","Saxony-Anhalt","no migration background","634","1","1","1"
"Yes","1997","Saxony-Anhalt","direct migration background","32","1","1","1"
"Yes","1997","Saxony-Anhalt","indirect migration background","3","","",""
"Yes","1997","Thuringia","no migration background","631","1","1","1"
"Yes","1997","Thuringia","direct migration background","24","","",""
"Yes","1997","Thuringia","indirect migration background","4","","",""
"No","1997","Schleswig-Holstein","no migration background","","","",""
"No","1997","Schleswig-Holstein","direct migration background","9","","",""
"No","1997","Schleswig-Holstein","indirect migration background","1","","",""
"No","1997","Hamburg","no migration background","","","",""
"No","1997","Hamburg","direct migration background","23","","",""
"No","1997","Hamburg","indirect migration background","2","","",""
"No","1997","Lower Saxony","no migration background","","","",""
"No","1997","Lower Saxony","direct migration background","92","0.401414144347774","0.331897152931397","0.470931135764151"
"No","1997","Lower Saxony","indirect migration background","36","0.547609978302841","0.406804465869357","0.688415490736324"
"No","1997","Bremen","no migration background","","","",""
"No","1997","Bremen","direct migration background","11","","",""
"No","1997","Bremen","indirect migration background","2","","",""
"No","1997","North Rhine-Westphalia","no migration background","","","",""
"No","1997","North Rhine-Westphalia","direct migration background","402","0.532086340862183","0.492489814364568","0.571682867359799"
"No","1997","North Rhine-Westphalia","indirect migration background","126","0.619344325196898","0.546569315583735","0.69211933481006"
"No","1997","Hesse","no migration background","1","","",""
"No","1997","Hesse","direct migration background","201","0.616292333155453","0.558607666345583","0.673976999965324"
"No","1997","Hesse","indirect migration background","42","0.770668600681743","0.657487021505412","0.883850179858075"
"No","1997","Rhineland-Palatinate,Saarland","no migration background","","","",""
"No","1997","Rhineland-Palatinate,Saarland","direct migration background","86","0.469300451386566","0.394718505073889","0.543882397699244"
"No","1997","Rhineland-Palatinate,Saarland","indirect migration background","11","","",""
"No","1997","Baden-Württemberg","no migration background","2","","",""
"No","1997","Baden-Württemberg","direct migration background","494","0.58929277474145","0.550877004435613","0.627708545047286"
"No","1997","Baden-Württemberg","indirect migration background","114","0.523078231468092","0.442336823218921","0.603819639717263"
"No","1997","Bavaria","no migration background","1","","",""
"No","1997","Bavaria","direct migration background","243","0.569041751511102","0.517382227142631","0.620701275879573"
"No","1997","Bavaria","indirect migration background","52","0.475630135677449","0.370081552127325","0.581178719227573"
"No","1997","Berlin","no migration background","1","","",""
"No","1997","Berlin","direct migration background","43","0.618729123378158","0.505753170648313","0.731705076108003"
"No","1997","Berlin","indirect migration background","6","","",""
"No","1997","Brandenburg","no migration background","1","","",""
"No","1997","Brandenburg","direct migration background","1","","",""
"No","1997","Brandenburg","indirect migration background","1","","",""
"No","1997","Mecklenburg-Western Pomerania","no migration background","","","",""
"No","1997","Mecklenburg-Western Pomerania","direct migration background","","","",""
"No","1997","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"No","1997","Saxony","no migration background","","","",""
"No","1997","Saxony","direct migration background","5","","",""
"No","1997","Saxony","indirect migration background","","","",""
"No","1997","Saxony-Anhalt","no migration background","","","",""
"No","1997","Saxony-Anhalt","direct migration background","","","",""
"No","1997","Saxony-Anhalt","indirect migration background","","","",""
"No","1997","Thuringia","no migration background","","","",""
"No","1997","Thuringia","direct migration background","2","","",""
"No","1997","Thuringia","indirect migration background","1","","",""
"Yes","1998","Schleswig-Holstein","no migration background","316","1","1","1"
"Yes","1998","Schleswig-Holstein","direct migration background","15","","",""
"Yes","1998","Schleswig-Holstein","indirect migration background","5","","",""
"Yes","1998","Hamburg","no migration background","124","1","1","1"
"Yes","1998","Hamburg","direct migration background","1","","",""
"Yes","1998","Hamburg","indirect migration background","6","","",""
"Yes","1998","Lower Saxony","no migration background","970","1","1","1"
"Yes","1998","Lower Saxony","direct migration background","107","0.627403542112234","0.557919597887912","0.696887486336556"
"Yes","1998","Lower Saxony","indirect migration background","18","","",""
"Yes","1998","Bremen","no migration background","81","1","1","1"
"Yes","1998","Bremen","direct migration background","7","","",""
"Yes","1998","Bremen","indirect migration background","1","","",""
"Yes","1998","North Rhine-Westphalia","no migration background","2079","0.998157418074007","0.996314843925515","0.999999992222499"
"Yes","1998","North Rhine-Westphalia","direct migration background","229","0.467644656735213","0.427951783017553","0.507337530452872"
"Yes","1998","North Rhine-Westphalia","indirect migration background","52","0.409102266698877","0.33519353746014","0.483010995937613"
"Yes","1998","Hesse","no migration background","620","0.99523561994298","0.989819747269489","1.00065149261647"
"Yes","1998","Hesse","direct migration background","91","0.438404607591504","0.378998647800354","0.497810567382654"
"Yes","1998","Hesse","indirect migration background","15","","",""
"Yes","1998","Rhineland-Palatinate,Saarland","no migration background","618","1","1","1"
"Yes","1998","Rhineland-Palatinate,Saarland","direct migration background","89","0.512465688532887","0.437547886876378","0.587383490189396"
"Yes","1998","Rhineland-Palatinate,Saarland","indirect migration background","7","","",""
"Yes","1998","Baden-Württemberg","no migration background","1076","0.999412387325153","0.997966430551112","1.00085834409919"
"Yes","1998","Baden-Württemberg","direct migration background","145","0.391588090708686","0.352466987808881","0.430709193608491"
"Yes","1998","Baden-Württemberg","indirect migration background","35","0.477239019387529","0.398351684370487","0.55612635440457"
"Yes","1998","Bavaria","no migration background","1444","1","1","1"
"Yes","1998","Bavaria","direct migration background","120","0.38616707692352","0.33530554101624","0.437028612830801"
"Yes","1998","Bavaria","indirect migration background","37","0.609090089370457","0.504114541013678","0.714065637727237"
"Yes","1998","Berlin","no migration background","456","0.99236042711048","0.984377553577622","1.00034330064334"
"Yes","1998","Berlin","direct migration background","21","","",""
"Yes","1998","Berlin","indirect migration background","12","","",""
"Yes","1998","Brandenburg","no migration background","602","0.997321090232858","0.993195501053453","1.00144667941226"
"Yes","1998","Brandenburg","direct migration background","15","","",""
"Yes","1998","Brandenburg","indirect migration background","4","","",""
"Yes","1998","Mecklenburg-Western Pomerania","no migration background","399","1","1","1"
"Yes","1998","Mecklenburg-Western Pomerania","direct migration background","10","","",""
"Yes","1998","Mecklenburg-Western Pomerania","indirect migration background","2","","",""
"Yes","1998","Saxony","no migration background","1145","1","1","1"
"Yes","1998","Saxony","direct migration background","31","0.928905119318733","0.842525064463776","1.01528517417369"
"Yes","1998","Saxony","indirect migration background","9","","",""
"Yes","1998","Saxony-Anhalt","no migration background","657","1","1","1"
"Yes","1998","Saxony-Anhalt","direct migration background","30","0.961466313637188","0.893709252700905","1.02922337457347"
"Yes","1998","Saxony-Anhalt","indirect migration background","5","","",""
"Yes","1998","Thuringia","no migration background","707","1","1","1"
"Yes","1998","Thuringia","direct migration background","22","","",""
"Yes","1998","Thuringia","indirect migration background","3","","",""
"No","1998","Schleswig-Holstein","no migration background","","","",""
"No","1998","Schleswig-Holstein","direct migration background","16","","",""
"No","1998","Schleswig-Holstein","indirect migration background","4","","",""
"No","1998","Hamburg","no migration background","","","",""
"No","1998","Hamburg","direct migration background","20","","",""
"No","1998","Hamburg","indirect migration background","3","","",""
"No","1998","Lower Saxony","no migration background","","","",""
"No","1998","Lower Saxony","direct migration background","79","0.372596457887766","0.303112513663444","0.442080402112088"
"No","1998","Lower Saxony","indirect migration background","31","0.520930935170523","0.38105622837049","0.660805641970556"
"No","1998","Bremen","no migration background","","","",""
"No","1998","Bremen","direct migration background","9","","",""
"No","1998","Bremen","indirect migration background","3","","",""
"No","1998","North Rhine-Westphalia","no migration background","2","","",""
"No","1998","North Rhine-Westphalia","direct migration background","378","0.532355343264787","0.492662469547128","0.572048216982447"
"No","1998","North Rhine-Westphalia","indirect migration background","118","0.590897733301123","0.516989004062387","0.66480646253986"
"No","1998","Hesse","no migration background","1","","",""
"No","1998","Hesse","direct migration background","177","0.561595392408496","0.502189432617346","0.621001352199646"
"No","1998","Hesse","indirect migration background","49","0.656156040282323","0.53978568255969","0.772526398004956"
"No","1998","Rhineland-Palatinate,Saarland","no migration background","","","",""
"No","1998","Rhineland-Palatinate,Saarland","direct migration background","82","0.487534311467113","0.412616509810604","0.562452113123622"
"No","1998","Rhineland-Palatinate,Saarland","indirect migration background","11","","",""
"No","1998","Baden-Württemberg","no migration background","3","","",""
"No","1998","Baden-Württemberg","direct migration background","453","0.608411909291314","0.569290806391509","0.647533012191119"
"No","1998","Baden-Württemberg","indirect migration background","119","0.522760980612471","0.44387364559543","0.601648315629513"
"No","1998","Bavaria","no migration background","","","",""
"No","1998","Bavaria","direct migration background","232","0.61383292307648","0.562971387169199","0.66469445898376"
"No","1998","Bavaria","indirect migration background","46","0.390909910629542","0.285934362272763","0.495885458986322"
"No","1998","Berlin","no migration background","1","","",""
"No","1998","Berlin","direct migration background","35","0.639947190139715","0.514225778712677","0.765668601566753"
"No","1998","Berlin","indirect migration background","7","","",""
"No","1998","Brandenburg","no migration background","1","","",""
"No","1998","Brandenburg","direct migration background","1","","",""
"No","1998","Brandenburg","indirect migration background","1","","",""
"No","1998","Mecklenburg-Western Pomerania","no migration background","","","",""
"No","1998","Mecklenburg-Western Pomerania","direct migration background","","","",""
"No","1998","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"No","1998","Saxony","no migration background","","","",""
"No","1998","Saxony","direct migration background","3","","",""
"No","1998","Saxony","indirect migration background","","","",""
"No","1998","Saxony-Anhalt","no migration background","","","",""
"No","1998","Saxony-Anhalt","direct migration background","1","","",""
"No","1998","Saxony-Anhalt","indirect migration background","","","",""
"No","1998","Thuringia","no migration background","","","",""
"No","1998","Thuringia","direct migration background","2","","",""
"No","1998","Thuringia","indirect migration background","1","","",""
"Yes","1999","Schleswig-Holstein","no migration background","297","1","1","1"
"Yes","1999","Schleswig-Holstein","direct migration background","11","","",""
"Yes","1999","Schleswig-Holstein","indirect migration background","3","","",""
"Yes","1999","Hamburg","no migration background","107","1","1","1"
"Yes","1999","Hamburg","direct migration background","1","","",""
"Yes","1999","Hamburg","indirect migration background","7","","",""
"Yes","1999","Lower Saxony","no migration background","946","0.998974337236276","0.996935640808985","1.00101303366357"
"Yes","1999","Lower Saxony","direct migration background","103","0.609825278326969","0.538166340610938","0.681484216043"
"Yes","1999","Lower Saxony","indirect migration background","23","","",""
"Yes","1999","Bremen","no migration background","71","1","1","1"
"Yes","1999","Bremen","direct migration background","9","","",""
