"plj0014_v3","year","e11102","pgisced97","n","percent","lower_confidence","upper_confidence"
"Yes","1996","Not Employed","in school","233","0.892130609120067","0.855598769713529","0.928662448526606"
"Yes","1996","Not Employed","inadequately","47","0.404461325621865","0.343255452200094","0.465667199043635"
"Yes","1996","Not Employed","general elemantary","970","0.926577596609843","0.911813948156475","0.941341245063212"
"Yes","1996","Not Employed","middle vocational","2024","0.968820721513558","0.961546550361308","0.976094892665808"
"Yes","1996","Not Employed","vocational + Abi","87","0.788772792496438","0.715435394016487","0.862110190976389"
"Yes","1996","Not Employed","higher vocational","176","0.979286398306311","0.958594750927217","0.999978045685405"
"Yes","1996","Not Employed","higher education","330","0.900950804929842","0.869832031249482","0.932069578610202"
"Yes","1996","Employed","in school","16","","",""
"Yes","1996","Employed","inadequately","43","0.352787035266436","0.293435995741262","0.412138074791609"
"Yes","1996","Employed","general elemantary","783","0.814928001060709","0.793046083174059","0.836809918947358"
"Yes","1996","Employed","middle vocational","3946","0.935257027583615","0.928030414683306","0.942483640483925"
"Yes","1996","Employed","vocational + Abi","292","0.861306457446767","0.82555384024889","0.897059074644645"
"Yes","1996","Employed","higher vocational","572","0.986822186766015","0.977604954008308","0.996039419523722"
"Yes","1996","Employed","higher education","1352","0.941735693719892","0.929535063348499","0.953936324091286"
"No","1996","Not Employed","in school","44","0.107869390879933","0.0713375514733941","0.144401230286471"
"No","1996","Not Employed","inadequately","200","0.595538674378135","0.534332800956365","0.656744547799905"
"No","1996","Not Employed","general elemantary","229","0.0734224033901568","0.0586587549367884","0.0881860518435251"
"No","1996","Not Employed","middle vocational","169","0.0311792784864418","0.0239051073341917","0.0384534496386919"
"No","1996","Not Employed","vocational + Abi","32","0.211227207503562","0.137889809023611","0.284564605983513"
"No","1996","Not Employed","higher vocational","6","","",""
"No","1996","Not Employed","higher education","24","","",""
"No","1996","Employed","in school","1","","",""
"No","1996","Employed","inadequately","206","0.647212964733564","0.587861925208391","0.706564004258738"
"No","1996","Employed","general elemantary","427","0.185071998939291","0.163190081052641","0.206953916825941"
"No","1996","Employed","middle vocational","508","0.0647429724163848","0.0575163595160753","0.0719695853166943"
"No","1996","Employed","vocational + Abi","67","0.138693542553233","0.102940925355355","0.17444615975111"
"No","1996","Employed","higher vocational","16","","",""
"No","1996","Employed","higher education","64","0.0582643062801078","0.0460636759087144","0.0704649366515012"
"Yes","1997","Not Employed","in school","247","0.86865425653752","0.83055854433548","0.90674996873956"
"Yes","1997","Not Employed","inadequately","47","0.392966779372956","0.332180382830585","0.453753175915327"
"Yes","1997","Not Employed","general elemantary","975","0.921528589671517","0.90636420615043","0.936692973192604"
"Yes","1997","Not Employed","middle vocational","2050","0.952929997067935","0.94414374602901","0.96171624810686"
"Yes","1997","Not Employed","vocational + Abi","82","0.782510177610383","0.707111515874227","0.857908839346539"
"Yes","1997","Not Employed","higher vocational","177","0.972043559166343","0.948028005302956","0.996059113029729"
"Yes","1997","Not Employed","higher education","341","0.901366831632808","0.870735937259795","0.931997726005821"
"Yes","1997","Employed","in school","13","","",""
"Yes","1997","Employed","inadequately","38","0.327033637341129","0.26504249469383","0.389024779988428"
"Yes","1997","Employed","general elemantary","743","0.809991408156572","0.787238240607929","0.832744575705215"
"Yes","1997","Employed","middle vocational","3839","0.939255816118458","0.932103154870596","0.94640847736632"
"Yes","1997","Employed","vocational + Abi","283","0.865982050684645","0.829929419951657","0.902034681417633"
"Yes","1997","Employed","higher vocational","570","0.990931245903899","0.98322962437125","0.998632867436548"
"Yes","1997","Employed","higher education","1349","0.944486565599148","0.932538942200914","0.956434188997383"
"No","1997","Not Employed","in school","55","0.13134574346248","0.0932500312604397","0.16944145566452"
"No","1997","Not Employed","inadequately","201","0.607033220627044","0.546246824084673","0.667819617169416"
"No","1997","Not Employed","general elemantary","233","0.0784714103284833","0.0633070268073961","0.0936357938495705"
"No","1997","Not Employed","middle vocational","182","0.047070002932065","0.0382837518931398","0.0558562539709903"
"No","1997","Not Employed","vocational + Abi","33","0.217489822389617","0.142091160653461","0.292888484125773"
"No","1997","Not Employed","higher vocational","4","","",""
"No","1997","Not Employed","higher education","23","","",""
"No","1997","Employed","in school","1","","",""
"No","1997","Employed","inadequately","182","0.672966362658871","0.610975220011572","0.73495750530617"
"No","1997","Employed","general elemantary","399","0.190008591843428","0.167255424294785","0.212761759392071"
"No","1997","Employed","middle vocational","445","0.0607441838815417","0.0535915226336798","0.0678968451294036"
"No","1997","Employed","vocational + Abi","60","0.134017949315355","0.0979653185823668","0.170070580048343"
"No","1997","Employed","higher vocational","12","","",""
"No","1997","Employed","higher education","62","0.0555134344008517","0.0435658110026174","0.0674610577990859"
"Yes","1998","Not Employed","in school","261","0.841680690322898","0.801496142519605","0.88186523812619"
"Yes","1998","Not Employed","inadequately","61","0.424146952394358","0.36122706622772","0.487066838560995"
"Yes","1998","Not Employed","general elemantary","1126","0.918180212790935","0.90360779881934","0.932752626762531"
"Yes","1998","Not Employed","middle vocational","2362","0.963179648455436","0.955821129944144","0.970538166966727"
"Yes","1998","Not Employed","vocational + Abi","96","0.814727991932557","0.74688983477551","0.882566149089604"
"Yes","1998","Not Employed","higher vocational","202","0.969733528997249","0.946338608167124","0.993128449827375"
"Yes","1998","Not Employed","higher education","408","0.914293983365491","0.887896969292746","0.940690997438235"
"Yes","1998","Employed","in school","17","","",""
"Yes","1998","Employed","inadequately","50","0.377014796736502","0.311622750582871","0.442406842890133"
"Yes","1998","Employed","general elemantary","838","0.803819114857061","0.781369785747666","0.826268443966456"
"Yes","1998","Employed","middle vocational","4131","0.934890991490398","0.92771593120301","0.942066051777787"
"Yes","1998","Employed","vocational + Abi","326","0.842083888501426","0.805705342371646","0.878462434631206"
"Yes","1998","Employed","higher vocational","605","0.977753334890421","0.966162892565228","0.989343777215615"
"Yes","1998","Employed","higher education","1482","0.948182472747406","0.937136925493433","0.959228020001379"
"No","1998","Not Employed","in school","56","0.158319309677102","0.11813476187381","0.198503857480395"
"No","1998","Not Employed","inadequately","176","0.575853047605643","0.512933161439006","0.63877293377228"
"No","1998","Not Employed","general elemantary","233","0.0818197872090647","0.0672473732374691","0.0963922011806602"
"No","1998","Not Employed","middle vocational","154","0.0368203515445642","0.0294618330332726","0.0441788700558559"
"No","1998","Not Employed","vocational + Abi","30","0.185272008067443","0.117433850910396","0.25311016522449"
"No","1998","Not Employed","higher vocational","4","","",""
"No","1998","Not Employed","higher education","24","","",""
"No","1998","Employed","in school","","","",""
"No","1998","Employed","inadequately","161","0.622985203263498","0.557593157109867","0.688377249417129"
"No","1998","Employed","general elemantary","364","0.196180885142939","0.173731556033544","0.218630214252334"
"No","1998","Employed","middle vocational","411","0.0651090085096017","0.0579339482222132","0.0722840687969902"
"No","1998","Employed","vocational + Abi","60","0.157916111498574","0.121537565368794","0.194294657628354"
"No","1998","Employed","higher vocational","17","","",""
"No","1998","Employed","higher education","65","0.0518175272525939","0.0407719799986212","0.0628630745065667"
"Yes","1999","Not Employed","in school","234","0.871990338571082","0.832574500872253","0.911406176269912"
"Yes","1999","Not Employed","inadequately","61","0.415763708674723","0.351649731727353","0.479877685622093"
"Yes","1999","Not Employed","general elemantary","1060","0.920115890455067","0.905234467390475","0.934997313519659"
"Yes","1999","Not Employed","middle vocational","2204","0.961909242514745","0.954173423762896","0.969645061266595"
"Yes","1999","Not Employed","vocational + Abi","82","0.828078939525024","0.756587076835013","0.899570802215035"
"Yes","1999","Not Employed","higher vocational","190","0.965237459915461","0.939461190555869","0.991013729275053"
"Yes","1999","Not Employed","higher education","407","0.941737501882413","0.9194940197671","0.963980983997726"
"Yes","1999","Employed","in school","43","0.962651122877794","0.907250446149235","1.01805179960635"
"Yes","1999","Employed","inadequately","56","0.404572117158331","0.336720122313535","0.472424112003127"
"Yes","1999","Employed","general elemantary","857","0.82068062243931","0.798847972700357","0.842513272178262"
"Yes","1999","Employed","middle vocational","4220","0.933110789661363","0.925903701559902","0.940317877762824"
"Yes","1999","Employed","vocational + Abi","350","0.855993411377918","0.821714899470498","0.890271923285338"
"Yes","1999","Employed","higher vocational","613","0.983399279705134","0.973414208245009","0.993384351165259"
"Yes","1999","Employed","higher education","1483","0.938300836376772","0.926303231933306","0.950298440820238"
"No","1999","Not Employed","in school","42","0.128009661428918","0.0885938237300878","0.167425499127747"
"No","1999","Not Employed","inadequately","166","0.584236291325276","0.520122314377906","0.648350268272646"
"No","1999","Not Employed","general elemantary","215","0.0798841095449332","0.0650026864803415","0.0947655326095248"
"No","1999","Not Employed","middle vocational","148","0.0380907574852548","0.0303549387334054","0.0458265762371041"
"No","1999","Not Employed","vocational + Abi","25","","",""
"No","1999","Not Employed","higher vocational","4","","",""
"No","1999","Not Employed","higher education","19","","",""
"No","1999","Employed","in school","2","","",""
"No","1999","Employed","inadequately","145","0.595427882841669","0.527575887996873","0.663279877686465"
"No","1999","Employed","general elemantary","329","0.17931937756069","0.157486727821738","0.201152027299643"
"No","1999","Employed","middle vocational","396","0.0668892103386372","0.0596821222371761","0.0740962984400982"
"No","1999","Employed","vocational + Abi","53","0.144006588622082","0.109728076714662","0.178285100529502"
"No","1999","Employed","higher vocational","16","","",""
"No","1999","Employed","higher education","62","0.061699163623228","0.0497015591797615","0.0736967680666945"
"Yes","2000","Not Employed","in school","366","0.901946219488263","0.873299795657924","0.930592643318601"
"Yes","2000","Not Employed","inadequately","93","0.473617556940319","0.410579304642801","0.536655809237837"
"Yes","2000","Not Employed","general elemantary","1685","0.901646932530877","0.888586087754581","0.914707777307172"
"Yes","2000","Not Employed","middle vocational","4490","0.960803697713516","0.955265084022652","0.96634231140438"
"Yes","2000","Not Employed","vocational + Abi","242","0.834153382014425","0.791418957112852","0.876887806915997"
"Yes","2000","Not Employed","higher vocational","492","0.951358745405017","0.932833765199597","0.969883725610437"
"Yes","2000","Not Employed","higher education","802","0.916721306373638","0.898308259790479","0.935134352956798"
"Yes","2000","Employed","in school","77","0.926234054980207","0.870335989816557","0.982132120143856"
"Yes","2000","Employed","inadequately","63","0.423753333292521","0.348354105896197","0.499152560688845"
"Yes","2000","Employed","general elemantary","1157","0.779094019278112","0.758651071291143","0.79953696726508"
"Yes","2000","Employed","middle vocational","7575","0.93582523463936","0.930508691815","0.941141777463721"
"Yes","2000","Employed","vocational + Abi","732","0.877095268951781","0.854878812218203","0.899311725685359"
"Yes","2000","Employed","higher vocational","1311","0.945299991429168","0.933285167848395","0.957314815009942"
"Yes","2000","Employed","higher education","2827","0.931508248221141","0.922428723282215","0.940587773160067"
"No","2000","Not Employed","in school","48","0.0980537805117372","0.0694073566813986","0.126700204342076"
"No","2000","Not Employed","inadequately","148","0.526382443059681","0.463344190762163","0.589420695357199"
"No","2000","Not Employed","general elemantary","312","0.0983530674691234","0.0852922226928278","0.111413912245419"
"No","2000","Not Employed","middle vocational","226","0.0391963022864843","0.0336576885956203","0.0447349159773482"
"No","2000","Not Employed","vocational + Abi","49","0.165846617985575","0.123112193084003","0.208581042887148"
"No","2000","Not Employed","higher vocational","26","","",""
"No","2000","Not Employed","higher education","63","0.0832786936263617","0.0648656470432024","0.101691740209521"
"No","2000","Employed","in school","7","","",""
"No","2000","Employed","inadequately","102","0.576246666707479","0.500847439311155","0.651645894103803"
"No","2000","Employed","general elemantary","425","0.220905980721888","0.20046303273492","0.241348928708857"
"No","2000","Employed","middle vocational","587","0.0641747653606397","0.0588582225362792","0.0694913081850001"
"No","2000","Employed","vocational + Abi","107","0.122904731048219","0.100688274314641","0.145121187781797"
"No","2000","Employed","higher vocational","65","0.0547000085708316","0.0426851849900578","0.0667148321516054"
"No","2000","Employed","higher education","146","0.0684917517788592","0.0594122268399331","0.0775712767177853"
"Yes","2001","Not Employed","in school","385","0.891217839376561","0.861753940131324","0.920681738621798"
"Yes","2001","Not Employed","inadequately","70","0.498043349067403","0.424796616792807","0.571290081341999"
"Yes","2001","Not Employed","general elemantary","1391","0.897905033710999","0.88332682361049","0.912483243811509"
"Yes","2001","Not Employed","middle vocational","4058","0.96060670816715","0.954765855275741","0.966447561058558"
"Yes","2001","Not Employed","vocational + Abi","247","0.899430775195118","0.864328120667225","0.934533429723012"
"Yes","2001","Not Employed","higher vocational","455","0.961362162626174","0.943938113787213","0.978786211465136"
"Yes","2001","Not Employed","higher education","765","0.912610288951121","0.893233766150251","0.93198681175199"
"Yes","2001","Employed","in school","113","0.928723489812607","0.883068883237359","0.974378096387854"
"Yes","2001","Employed","inadequately","60","0.50640604710598","0.421437806177605","0.591374288034354"
"Yes","2001","Employed","general elemantary","1057","0.762987655458204","0.741211885617754","0.784763425298654"
"Yes","2001","Employed","middle vocational","6881","0.937454426934312","0.931934782424625","0.942974071444"
"Yes","2001","Employed","vocational + Abi","698","0.877809002678046","0.855071720562389","0.900546284793704"
"Yes","2001","Employed","higher vocational","1152","0.948065774376845","0.935573461708308","0.960558087045382"
"Yes","2001","Employed","higher education","2616","0.929442731944558","0.919875064480807","0.939010399408309"
"No","2001","Not Employed","in school","44","0.108782160623439","0.0793182613782019","0.138246059868676"
"No","2001","Not Employed","inadequately","109","0.501956650932597","0.428709918658001","0.575203383207193"
"No","2001","Not Employed","general elemantary","266","0.102094966289001","0.0875167561884913","0.11667317638951"
"No","2001","Not Employed","middle vocational","203","0.0393932918328504","0.0335524389414415","0.0452341447242593"
"No","2001","Not Employed","vocational + Abi","35","0.100569224804882","0.065466570276988","0.135671879332775"
"No","2001","Not Employed","higher vocational","15","","",""
"No","2001","Not Employed","higher education","51","0.0873897110488791","0.0680131882480096","0.106766233849749"
"No","2001","Employed","in school","9","","",""
"No","2001","Employed","inadequately","73","0.49359395289402","0.408625711965646","0.578562193822395"
"No","2001","Employed","general elemantary","408","0.237012344541796","0.215236574701346","0.258788114382246"
"No","2001","Employed","middle vocational","512","0.0625455730656876","0.0570259285560004","0.0680652175753749"
"No","2001","Employed","vocational + Abi","99","0.122190997321954","0.0994537152062959","0.144928279437611"
"No","2001","Employed","higher vocational","60","0.051934225623155","0.0394419129546177","0.0644265382916923"
"No","2001","Employed","higher education","136","0.0705572680554423","0.0609896005916913","0.0801249355191933"
"Yes","2002","Not Employed","in school","448","0.87291788057933","0.843397457267054","0.902438303891606"
"Yes","2002","Not Employed","inadequately","71","0.534787560072172","0.458449261725323","0.611125858419022"
"Yes","2002","Not Employed","general elemantary","1327","0.895297138952181","0.880166871582474","0.910427406321888"
"Yes","2002","Not Employed","middle vocational","4075","0.962579910015962","0.95688671809988","0.968273101932044"
"Yes","2002","Not Employed","vocational + Abi","274","0.881856313276954","0.846040487585964","0.917672138967944"
"Yes","2002","Not Employed","higher vocational","467","0.959131629382508","0.941493270359608","0.976769988405409"
"Yes","2002","Not Employed","higher education","895","0.898398600967721","0.879186685551201","0.917610516384241"
"Yes","2002","Employed","in school","121","0.926932715677064","0.881848066490914","0.972017364863215"
"Yes","2002","Employed","inadequately","53","0.460254585772702","0.371447228074514","0.54906194347089"
"Yes","2002","Employed","general elemantary","1006","0.782341516434324","0.760337274829723","0.804345758038925"
"Yes","2002","Employed","middle vocational","6918","0.937925545463122","0.932422368487189","0.943428722439055"
"Yes","2002","Employed","vocational + Abi","778","0.879030005019078","0.857336540813386","0.900723469224769"
"Yes","2002","Employed","higher vocational","1209","0.946554746189841","0.934165106435961","0.958944385943721"
"Yes","2002","Employed","higher education","3471","0.936886548265051","0.92896958801094","0.944803508519163"
"No","2002","Not Employed","in school","41","0.12708211942067","0.0975616961083943","0.156602542732946"
"No","2002","Not Employed","inadequately","93","0.465212439927828","0.388874141580978","0.541550738274677"
"No","2002","Not Employed","general elemantary","246","0.104702861047819","0.0895725936781122","0.119833128417526"
"No","2002","Not Employed","middle vocational","194","0.0374200899840383","0.0317268980679565","0.0431132819001202"
"No","2002","Not Employed","vocational + Abi","38","0.118143686723046","0.0823278610320557","0.153959512414036"
"No","2002","Not Employed","higher vocational","17","","",""
"No","2002","Not Employed","higher education","55","0.101601399032279","0.0823894836157594","0.120813314448799"
"No","2002","Employed","in school","7","","",""
"No","2002","Employed","inadequately","68","0.539745414227298","0.45093805652911","0.628552771925486"
"No","2002","Employed","general elemantary","345","0.217658483565676","0.195654241961075","0.239662725170277"
"No","2002","Employed","middle vocational","467","0.062074454536878","0.0565712775609448","0.0675776315128111"
"No","2002","Employed","vocational + Abi","90","0.120969994980922","0.0992765307752305","0.142663459186614"
"No","2002","Employed","higher vocational","57","0.0534452538101586","0.0410556140562785","0.0658348935640386"
"No","2002","Employed","higher education","153","0.0631134517349487","0.0551964914808371","0.0710304119890602"
"Yes","2003","Not Employed","in school","468","0.882274602502002","0.854054005323527","0.910495199680477"
"Yes","2003","Not Employed","inadequately","80","0.573747024478382","0.497594462509438","0.649899586447327"
"Yes","2003","Not Employed","general elemantary","1260","0.887007570892019","0.870997197499048","0.903017944284989"
"Yes","2003","Not Employed","middle vocational","4009","0.95826310312611","0.952217065335934","0.964309140916287"
"Yes","2003","Not Employed","vocational + Abi","260","0.900917354272574","0.866648629854036","0.935186078691112"
"Yes","2003","Not Employed","higher vocational","467","0.932613665791623","0.910348782976954","0.954878548606293"
"Yes","2003","Not Employed","higher education","922","0.905080789136865","0.886654592925157","0.923506985348573"
"Yes","2003","Employed","in school","115","0.970012979765501","0.93910927193131","1.00091668759969"
"Yes","2003","Employed","inadequately","51","0.511994144528805","0.418155904107895","0.605832384949714"
"Yes","2003","Employed","general elemantary","963","0.793304232852558","0.770989663721632","0.815618801983484"
"Yes","2003","Employed","middle vocational","6555","0.934559828639839","0.928755755345865","0.940363901933813"
"Yes","2003","Employed","vocational + Abi","788","0.881839316427857","0.860414304380183","0.90326432847553"
"Yes","2003","Employed","higher vocational","1160","0.960267610564231","0.949248083953316","0.971287137175147"
"Yes","2003","Employed","higher education","3258","0.934965009785765","0.926672776029679","0.94325724354185"
"No","2003","Not Employed","in school","33","0.117725397497998","0.0895048003195227","0.145945994676473"
"No","2003","Not Employed","inadequately","82","0.426252975521618","0.350100413552673","0.502405537490562"
"No","2003","Not Employed","general elemantary","242","0.112992429107981","0.0969820557150106","0.129002802500952"
"No","2003","Not Employed","middle vocational","194","0.0417368968738895","0.0356908590837134","0.0477829346640656"
"No","2003","Not Employed","vocational + Abi","32","0.099082645727426","0.0648139213088878","0.133351370145964"
"No","2003","Not Employed","higher vocational","20","","",""
"No","2003","Not Employed","higher education","50","0.094919210863135","0.0764930146514271","0.113345407074843"
"No","2003","Employed","in school","2","","",""
"No","2003","Employed","inadequately","58","0.488005855471195","0.394167615050286","0.581844095892105"
"No","2003","Employed","general elemantary","302","0.206695767147442","0.184381198016516","0.229010336278368"
"No","2003","Employed","middle vocational","419","0.065440171360161","0.0596360980661867","0.0712442446541354"
"No","2003","Employed","vocational + Abi","84","0.118160683572143","0.09673567152447","0.139585695619817"
"No","2003","Employed","higher vocational","47","0.0397323894357686","0.0287128628248531","0.0507519160466841"
"No","2003","Employed","higher education","139","0.0650349902142353","0.0567427564581499","0.0733272239703208"
