"plj0014_v3","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"No","1999","1-pers.-HH","higher education","12","","","","2"
"No","1999","(Married) couple without C. ","in school","1","","","","2"
"No","1999","(Married) couple without C. ","inadequately","79","0.799185379314546","0.71820019146587","0.880170567163222","2"
"No","1999","(Married) couple without C. ","general elemantary","97","0.0815104047851292","0.0607611021442498","0.102259707426009","2"
"No","1999","Couple + C. GT 16 ","higher vocational","3","","","","2"
"No","1999","Couple + C. GT 16 ","higher education","8","","","","2"
"No","1999","Couple + C. LE and GT 16","in school","14","","","","2"
"No","1999","Couple + C. LE and GT 16","inadequately","37","0.641586115856711","0.511249539105737","0.771922692607684","2"
"No","1999","Couple + C. LE and GT 16","general elemantary","74","0.248974424292448","0.195479083057733","0.302469765527164","2"
"No","1999","Couple + C. LE and GT 16","middle vocational","49","0.085412386671113","0.0601978972676101","0.110626876074616","2"
"No","1999","Couple + C. LE and GT 16","vocational + Abi","5","","","","2"
"No","1999","Couple + C. LE and GT 16","higher vocational","1","","","","2"
"No","1999","Couple + C. LE and GT 16","higher education","5","","","","2"
"No","1999","Single parent ","in school","5","","","","2"
"No","1999","Single parent ","inadequately","12","","","","2"
"No","1999","Single parent ","general elemantary","27","","","","2"
"No","1999","Single parent ","middle vocational","27","","","","2"
"No","1999","Single parent ","vocational + Abi","","","","","2"
"No","1999","Single parent ","higher vocational","","","","","2"
"No","1999","Single parent ","higher education","1","","","","2"
"No","1999","Couple + C. LE 16 ","in school","1","","","","2"
"No","1999","Couple + C. LE 16 ","inadequately","40","0.447956940969408","0.32212900350368","0.573784878435135","2"
"No","1999","Couple + C. LE 16 ","general elemantary","152","0.302413987345663","0.254769374514274","0.350058600177052","2"
"No","1999","Couple + C. LE 16 ","middle vocational","153","0.0774349365376751","0.0644155163927453","0.0904543566826049","2"
"No","1999","Couple + C. LE 16 ","vocational + Abi","28","","","","2"
"No","1999","Couple + C. LE 16 ","higher vocational","6","","","","2"
"No","1999","Couple + C. LE 16 ","higher education","23","","","","2"
"Yes","1999","1-pers.-HH","in school","1","","","","1"
"Yes","1999","1-pers.-HH","inadequately","11","","","","1"
"Yes","1999","1-pers.-HH","general elemantary","370","0.966062870913314","0.948251674890943","0.983874066935686","1"
"Yes","1999","1-pers.-HH","middle vocational","826","0.974224625590962","0.963658317671834","0.98479093351009","1"
"Yes","1999","1-pers.-HH","vocational + Abi","64","0.850818656680264","0.769092247076586","0.932545066283943","1"
"Yes","1999","1-pers.-HH","higher vocational","76","0.936607732456873","0.884186641175162","0.989028823738584","1"
"Yes","1999","1-pers.-HH","higher education","224","0.914965485668486","0.879378429540419","0.950552541796553","1"
"Yes","1999","(Married) couple without C. ","in school","1","","","","1"
"Yes","1999","(Married) couple without C. ","inadequately","15","","","","1"
"Yes","1999","(Married) couple without C. ","general elemantary","571","0.918489595214871","0.897740292573991","0.93923889785575","1"
"Yes","1999","(Married) couple without C. ","middle vocational","2136","0.95296348099922","0.944225108902886","0.961701853095553","1"
"Yes","1999","(Married) couple without C. ","vocational + Abi","131","0.883780590794169","0.83266290562615","0.934898275962187","1"
"Yes","1999","(Married) couple without C. ","higher vocational","268","0.989971268092087","0.978108180103413","1.00183435608076","1"
"Yes","1999","(Married) couple without C. ","higher education","631","0.952260735475127","0.935994317635196","0.968527153315057","1"
"Yes","1999","Single parent ","in school","31","0.890487597684529","0.788477671993594","0.992497523375465","1"
"Yes","1999","Single parent ","inadequately","13","","","","1"
"Yes","1999","Single parent ","general elemantary","153","0.894249931144165","0.849325599406784","0.939174262881546","1"
"Yes","1999","Single parent ","middle vocational","330","0.944663840467269","0.920946983399175","0.968380697535362","1"
"Yes","1999","Single parent ","vocational + Abi","12","","","","1"
"Yes","1999","Single parent ","higher vocational","18","","","","1"
"Yes","1999","Single parent ","higher education","69","0.967874715553772","0.92656690903249","1.00918252207505","1"
"Yes","1999","Couple + C. LE 16 ","in school","2","","","","1"
"Yes","1999","Couple + C. LE 16 ","inadequately","20","","","","1"
"Yes","1999","Couple + C. LE 16 ","general elemantary","205","0.697586012654337","0.649941399822948","0.745230625485726","1"
"Yes","1999","Couple + C. LE 16 ","middle vocational","1466","0.922565063462325","0.909545643317395","0.935584483607255","1"
"Yes","1999","Couple + C. LE 16 ","vocational + Abi","137","0.816739610492261","0.757708326336816","0.875770894647706","1"
"Yes","1999","Couple + C. LE 16 ","higher vocational","242","0.986540658515344","0.972199255149725","1.00088206188096","1"
"Yes","1999","Couple + C. LE 16 ","higher education","478","0.92625700442639","0.903371769847831","0.949142239004949","1"
"Yes","1999","Couple + C. GT 16 ","in school","122","0.894257843233823","0.844206060469743","0.944309625997902","1"
"Yes","1999","Couple + C. GT 16 ","inadequately","29","","","","1"
"Yes","1999","Couple + C. GT 16 ","general elemantary","362","0.839560660811242","0.807229078155095","0.871892243467388","1"
"Yes","1999","Couple + C. GT 16 ","middle vocational","1054","0.921820559056631","0.906516422650811","0.937124695462451","1"
"Yes","1999","Couple + C. GT 16 ","vocational + Abi","52","0.829952272689171","0.737913656736159","0.921990888642184","1"
