"plj0014_v3","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"No","1996","Couple + C. GT 16 ","inadequately","125","0.729609486136361","0.657315020593517","0.801903951679206","2"
"No","1996","Couple + C. LE and GT 16","higher education","5","","","","2"
"No","1996","1-pers.-HH","general elemantary","33","0.0351684320989939","0.01614017125175","0.0541966929462378","2"
"No","1996","1-pers.-HH","inadequately","21","","","","2"
"No","1996","Couple + C. LE and GT 16","middle vocational","86","0.0957981145472977","0.0701542179198022","0.121442011174793","2"
"No","1996","Couple + C. LE and GT 16","vocational + Abi","6","","","","2"
"No","1996","Couple + C. LE and GT 16","higher vocational","2","","","","2"
"No","1996","1-pers.-HH","middle vocational","36","0.0162925951462416","0.00735067408436267","0.0252345162081206","2"
"No","1996","Couple + C. GT 16 ","general elemantary","147","0.154380009794461","0.121853154862126","0.186906864726796","2"
"No","1996","Couple + C. GT 16 ","middle vocational","156","0.0697582654631843","0.0548858373090524","0.0846306936173162","2"
"No","1996","Couple + C. LE and GT 16","in school","24","","","","2"
"No","1996","Couple + C. LE and GT 16","general elemantary","97","0.204587920455488","0.157917337278105","0.251258503632871","2"
"No","1996","1-pers.-HH","in school","","","","","2"
"No","1996","1-pers.-HH","vocational + Abi","10","","","","2"
"No","1996","1-pers.-HH","higher vocational","5","","","","2"
"No","1996","Couple + C. LE and GT 16","inadequately","75","0.731169970915541","0.636918813737169","0.825421128093912","2"
"No","1996","(Married) couple without C. ","middle vocational","119","0.0390951806796251","0.0305035320356713","0.0476868293235789","2"
"No","1996","(Married) couple without C. ","vocational + Abi","22","","","","2"
"No","1996","(Married) couple without C. ","higher vocational","5","","","","2"
"No","1996","(Married) couple without C. ","higher education","21","","","","2"
"No","1996","Couple + C. GT 16 ","in school","13","","","","2"
"No","1996","Couple + C. GT 16 ","vocational + Abi","14","","","","2"
"No","1996","Couple + C. GT 16 ","higher vocational","2","","","","2"
"No","1996","Couple + C. GT 16 ","higher education","17","","","","2"
"No","1996","1-pers.-HH","higher education","13","","","","2"
"No","1996","(Married) couple without C. ","in school","2","","","","2"
"No","1996","(Married) couple without C. ","inadequately","62","0.639368189746145","0.531411682952009","0.747324696540282","2"
"No","1996","(Married) couple without C. ","general elemantary","110","0.0832913815885148","0.061162963412937","0.105419799764093","2"
"No","1996","Single parent ","in school","5","","","","2"
"No","1996","Single parent ","inadequately","20","","","","2"
"No","1996","Single parent ","general elemantary","21","","","","2"
"No","1996","Single parent ","middle vocational","35","0.0671547491238295","0.0401503642512235","0.0941591339964355","2"
"No","1996","Single parent ","vocational + Abi","1","","","","2"
"No","1996","Single parent ","higher vocational","1","","","","2"
"No","1996","Single parent ","higher education","1","","","","2"
"No","1996","Couple + C. LE 16 ","in school","","","","","2"
"No","1996","Couple + C. LE 16 ","inadequately","60","0.537295239418736","0.426643238956148","0.647947239881325","2"
"No","1996","Couple + C. LE 16 ","general elemantary","189","0.334573143965271","0.286299424762994","0.382846863167549","2"
"No","1996","Couple + C. LE 16 ","middle vocational","198","0.0811511959594731","0.0677711504934914","0.0945312414254549","2"
"No","1996","Couple + C. LE 16 ","vocational + Abi","39","0.210250809412722","0.147111252099048","0.273390366726395","2"
"No","1996","Couple + C. LE 16 ","higher vocational","7","","","","2"
"No","1996","Couple + C. LE 16 ","higher education","28","","","","2"
"Yes","1996","1-pers.-HH","in school","2","","","","1"
"Yes","1996","1-pers.-HH","inadequately","9","","","","1"
"Yes","1996","1-pers.-HH","general elemantary","327","0.964831567901006","0.945803307053762","0.98385982874825","1"
"Yes","1996","1-pers.-HH","middle vocational","734","0.983707404853758","0.974765483791879","0.992649325915637","1"
"Yes","1996","1-pers.-HH","vocational + Abi","57","0.87491953210213","0.79570780286864","0.954131261335619","1"
"Yes","1996","1-pers.-HH","higher vocational","68","0.968793197766651","0.92890661449872","1.00867978103458","1"
"Yes","1996","1-pers.-HH","higher education","165","0.908088126068347","0.865646902232669","0.950529349904025","1"
"Yes","1996","(Married) couple without C. ","in school","","","","","1"
"Yes","1996","(Married) couple without C. ","inadequately","14","","","","1"
"Yes","1996","(Married) couple without C. ","general elemantary","489","0.916708618411485","0.894580200235907","0.938837036587063","1"
"Yes","1996","(Married) couple without C. ","middle vocational","1836","0.960904819320375","0.952313170676421","0.969496467964329","1"
"Yes","1996","(Married) couple without C. ","vocational + Abi","94","0.873942949743308","0.813541938710892","0.934343960775725","1"
"Yes","1996","(Married) couple without C. ","higher vocational","238","0.992710137835962","0.98201427459965","1.00340600107227","1"
"Yes","1996","(Married) couple without C. ","higher education","494","0.948584987502149","0.929511611385069","0.967658363619229","1"
"Yes","1996","Single parent ","in school","28","","","","1"
"Yes","1996","Single parent ","inadequately","7","","","","1"
"Yes","1996","Single parent ","general elemantary","123","0.917811188955081","0.872952160051721","0.962670217858441","1"
"Yes","1996","Single parent ","middle vocational","295","0.932845250876171","0.905840866003565","0.959849635748777","1"
"Yes","1996","Single parent ","vocational + Abi","12","","","","1"
"Yes","1996","Single parent ","higher vocational","20","","","","1"
"Yes","1996","Single parent ","higher education","63","0.968386892357087","0.925520577429839","1.01125320728434","1"
"Yes","1996","Couple + C. LE 16 ","in school","3","","","","1"
"Yes","1996","Couple + C. LE 16 ","inadequately","18","","","","1"
"Yes","1996","Couple + C. LE 16 ","general elemantary","178","0.665426856034729","0.617153136832451","0.713700575237007","1"
"Yes","1996","Couple + C. LE 16 ","middle vocational","1402","0.918848804040527","0.905468758574545","0.932228849506509","1"
"Yes","1996","Couple + C. LE 16 ","vocational + Abi","121","0.789749190587278","0.726609633273605","0.852888747900952","1"
"Yes","1996","Couple + C. LE 16 ","higher vocational","230","0.988146622428115","0.974368004027719","1.00192524082851","1"
"Yes","1996","Couple + C. LE 16 ","higher education","470","0.917642378007113","0.893497664887873","0.941787091126352","1"
"Yes","1996","Couple + C. GT 16 ","in school","109","0.912131079537331","0.861895149371461","0.962367009703202","1"
"Yes","1996","Couple + C. GT 16 ","inadequately","20","","","","1"
"Yes","1996","Couple + C. GT 16 ","general elemantary","327","0.845619990205539","0.813093135273204","0.878146845137874","1"
"Yes","1996","Couple + C. GT 16 ","middle vocational","971","0.930241734536816","0.915369306382684","0.945114162690948","1"
"Yes","1996","Couple + C. GT 16 ","vocational + Abi","57","0.851952597364129","0.769343661356079","0.934561533372179","1"
"Yes","1996","Couple + C. GT 16 ","higher vocational","105","0.991055724762339","0.973216424434471","1.00889502509021","1"
"Yes","1996","Couple + C. GT 16 ","higher education","261","0.934369453059969","0.905259733553126","0.963479172566812","1"
"Yes","1996","Couple + C. LE and GT 16","in school","95","0.864396847067464","0.802883962790901","0.925909731344026","1"
"Yes","1996","Couple + C. LE and GT 16","inadequately","10","","","","1"
"Yes","1996","Couple + C. LE and GT 16","general elemantary","190","0.795412079544512","0.748741496367129","0.842082662721895","1"
"Yes","1996","Couple + C. LE and GT 16","middle vocational","420","0.904201885452702","0.878557988825207","0.929845782080198","1"
"Yes","1996","Couple + C. LE and GT 16","vocational + Abi","25","","","","1"
"Yes","1996","Couple + C. LE and GT 16","higher vocational","49","0.915455164460496","0.83910234402192","0.991807984899073","1"
"Yes","1996","Couple + C. LE and GT 16","higher education","144","0.929826271849653","0.888811231959054","0.970841311740252","1"
"No","1997","1-pers.-HH","inadequately","25","","","","2"
"No","1997","1-pers.-HH","middle vocational","33","0.0180072404725283","0.00852818819956851","0.027486292745488","2"
"No","1997","1-pers.-HH","vocational + Abi","8","","","","2"
"No","1997","Couple + C. GT 16 ","vocational + Abi","14","","","","2"
"No","1997","1-pers.-HH","general elemantary","28","","","","2"
"No","1997","Couple + C. GT 16 ","inadequately","116","0.726123987124146","0.650618575058232","0.80162939919006","2"
"No","1997","Couple + C. GT 16 ","general elemantary","145","0.140063750118166","0.10920872105831","0.170918779178022","2"
"No","1997","Couple + C. GT 16 ","middle vocational","143","0.0677770182203239","0.0529496290594123","0.0826044073812355","2"
"No","1997","Couple + C. LE and GT 16","middle vocational","75","0.0975377077231508","0.0711332029513922","0.123942212494909","2"
"No","1997","Couple + C. LE and GT 16","vocational + Abi","6","","","","2"
"No","1997","Couple + C. LE and GT 16","higher education","6","","","","2"
"No","1997","Couple + C. LE and GT 16","higher vocational","2","","","","2"
"No","1997","1-pers.-HH","in school","","","","","2"
"No","1997","1-pers.-HH","higher vocational","4","","","","2"
"No","1997","(Married) couple without C. ","middle vocational","129","0.0497835974075618","0.0402131628804108","0.0593540319347127","2"
"No","1997","(Married) couple without C. ","vocational + Abi","23","","","","2"
"No","1997","(Married) couple without C. ","higher vocational","2","","","","2"
"No","1997","(Married) couple without C. ","higher education","30","0.0600133797208177","0.0398874441250611","0.0801393153165742","2"
"No","1997","Couple + C. GT 16 ","in school","24","","","","2"
"No","1997","Couple + C. GT 16 ","higher vocational","1","","","","2"
"No","1997","Couple + C. GT 16 ","higher education","9","","","","2"
"No","1997","Couple + C. LE and GT 16","in school","27","","","","2"
"No","1997","Couple + C. LE and GT 16","inadequately","59","0.873274549649165","0.791773082383266","0.954776016915063","2"
"No","1997","Couple + C. LE and GT 16","general elemantary","90","0.219019902287718","0.168157952308022","0.269881852267413","2"
"No","1997","1-pers.-HH","higher education","10","","","","2"
"No","1997","(Married) couple without C. ","in school","1","","","","2"
"No","1997","(Married) couple without C. ","inadequately","74","0.753154564411885","0.662551461472327","0.843757667351443","2"
"No","1997","(Married) couple without C. ","general elemantary","114","0.0807856645296222","0.058871222684639","0.102700106374605","2"
"No","1997","Single parent ","in school","3","","","","2"
"No","1997","Single parent ","inadequately","14","","","","2"
"No","1997","Single parent ","general elemantary","18","","","","2"
"No","1997","Single parent ","middle vocational","25","","","","2"
"No","1997","Single parent ","vocational + Abi","2","","","","2"
"No","1997","Single parent ","higher vocational","1","","","","2"
"No","1997","Single parent ","higher education","1","","","","2"
"No","1997","Couple + C. LE 16 ","in school","","","","","2"
"No","1997","Couple + C. LE 16 ","inadequately","54","0.522509477191466","0.406324927054977","0.638694027327954","2"
"No","1997","Couple + C. LE 16 ","general elemantary","179","0.346293695195053","0.297281129786974","0.395306260603133","2"
"No","1997","Couple + C. LE 16 ","middle vocational","184","0.0868786009281034","0.072709807297435","0.101047394558772","2"
"No","1997","Couple + C. LE 16 ","vocational + Abi","33","0.190171563856359","0.126074793817368","0.254268333895349","2"
"No","1997","Couple + C. LE 16 ","higher vocational","5","","","","2"
"No","1997","Couple + C. LE 16 ","higher education","26","","","","2"
"Yes","1997","1-pers.-HH","in school","","","","","1"
"Yes","1997","1-pers.-HH","inadequately","5","","","","1"
"Yes","1997","1-pers.-HH","general elemantary","316","0.954220243575363","0.932133589896374","0.976306897254352","1"
"Yes","1997","1-pers.-HH","middle vocational","723","0.981992759527472","0.972513707254512","0.991471811800431","1"
"Yes","1997","1-pers.-HH","vocational + Abi","47","0.907308897318377","0.83066751035635","0.983950284280404","1"
"Yes","1997","1-pers.-HH","higher vocational","63","0.957890821936982","0.90980056716066","1.0059810767133","1"
"Yes","1997","1-pers.-HH","higher education","184","0.934495394954955","0.899679968031781","0.969310821878129","1"
"Yes","1997","(Married) couple without C. ","in school","1","","","","1"
"Yes","1997","(Married) couple without C. ","inadequately","13","","","","1"
"Yes","1997","(Married) couple without C. ","general elemantary","480","0.919214335470378","0.897299893625395","0.941128777315361","1"
"Yes","1997","(Married) couple without C. ","middle vocational","1855","0.950216402592438","0.940645968065287","0.959786837119589","1"
"Yes","1997","(Married) couple without C. ","vocational + Abi","100","0.852422396237561","0.789741789988529","0.915103002486593","1"
"Yes","1997","(Married) couple without C. ","higher vocational","238","0.999049652570116","0.995151335056758","1.00294797008347","1"
"Yes","1997","(Married) couple without C. ","higher education","505","0.939986620279182","0.919860684683426","0.960112555874939","1"
"Yes","1997","Single parent ","in school","23","","","","1"
"Yes","1997","Single parent ","inadequately","9","","","","1"
"Yes","1997","Single parent ","general elemantary","122","0.933114211639721","0.891731551883654","0.974496871395788","1"
"Yes","1997","Single parent ","middle vocational","299","0.948177960525646","0.924041267641877","0.972314653409414","1"
"Yes","1997","Single parent ","vocational + Abi","13","","","","1"
"Yes","1997","Single parent ","higher vocational","15","","","","1"
"Yes","1997","Single parent ","higher education","75","0.975527578679097","0.940790000182814","1.01026515717538","1"
"Yes","1997","Couple + C. LE 16 ","in school","4","","","","1"
"Yes","1997","Couple + C. LE 16 ","inadequately","17","","","","1"
"Yes","1997","Couple + C. LE 16 ","general elemantary","183","0.653706304804947","0.604693739396867","0.702718870213026","1"
"Yes","1997","Couple + C. LE 16 ","middle vocational","1334","0.913121399071897","0.898952605441228","0.927290192702565","1"
"Yes","1997","Couple + C. LE 16 ","vocational + Abi","111","0.809828436143642","0.745731666104651","0.873925206182632","1"
"Yes","1997","Couple + C. LE 16 ","higher vocational","232","0.990923252322655","0.978849033035206","1.0029974716101","1"
"Yes","1997","Couple + C. LE 16 ","higher education","420","0.913158778123885","0.887024122995478","0.939293433252292","1"
"Yes","1997","Couple + C. GT 16 ","in school","115","0.890183571716915","0.838206221488881","0.942160921944949","1"
"Yes","1997","Couple + C. GT 16 ","inadequately","18","","","","1"
"Yes","1997","Couple + C. GT 16 ","general elemantary","341","0.859936249881834","0.829081220821978","0.89079127894169","1"
"Yes","1997","Couple + C. GT 16 ","middle vocational","961","0.932222981779676","0.917395592618764","0.947050370940588","1"
"Yes","1997","Couple + C. GT 16 ","vocational + Abi","51","0.862959777592378","0.779358922991375","0.946560632193382","1"
"Yes","1997","Couple + C. GT 16 ","higher vocational","107","0.99594608114225","0.983962361155937","1.00792980112856","1"
"Yes","1997","Couple + C. GT 16 ","higher education","271","0.947491763672697","0.921365908641255","0.973617618704139","1"
"Yes","1997","Couple + C. LE and GT 16","in school","109","0.834488828078472","0.772028745060414","0.896948911096529","1"
"Yes","1997","Couple + C. LE and GT 16","inadequately","5","","","","1"
"Yes","1997","Couple + C. LE and GT 16","general elemantary","164","0.780980097712282","0.730118147732587","0.831842047691978","1"
"Yes","1997","Couple + C. LE and GT 16","middle vocational","410","0.902462292276849","0.876057787505091","0.928866797048608","1"
"Yes","1997","Couple + C. LE and GT 16","vocational + Abi","29","","","","1"
"Yes","1997","Couple + C. LE and GT 16","higher vocational","56","0.924894305104012","0.857065122851439","0.992723487356585","1"
"Yes","1997","Couple + C. LE and GT 16","higher education","147","0.915660406373806","0.87162668952771","0.959694123219901","1"
"No","1998","1-pers.-HH","general elemantary","28","","","","2"
"No","1998","1-pers.-HH","vocational + Abi","10","","","","2"
"No","1998","(Married) couple without C. ","vocational + Abi","23","","","","2"
"No","1998","1-pers.-HH","inadequately","20","","","","2"
"No","1998","(Married) couple without C. ","higher vocational","5","","","","2"
"No","1998","1-pers.-HH","middle vocational","37","0.0252372005433767","0.0146806938462704","0.0357937072404831","2"
"No","1998","1-pers.-HH","higher vocational","7","","","","2"
"No","1998","(Married) couple without C. ","higher education","29","","","","2"
"No","1998","1-pers.-HH","in school","","","","","2"
"No","1998","(Married) couple without C. ","middle vocational","111","0.0380008933752456","0.0299931477046175","0.0460086390458738","2"
"No","1998","Couple + C. GT 16 ","in school","25","","","","2"
"No","1998","Couple + C. GT 16 ","inadequately","102","0.65764897624135","0.575448185399404","0.739849767083296","2"
"No","1998","Couple + C. GT 16 ","general elemantary","145","0.153693088486787","0.122959634749343","0.184426542224231","2"
"No","1998","Couple + C. GT 16 ","middle vocational","132","0.0675770088051075","0.0533389134666632","0.0818151041435518","2"
"No","1998","Couple + C. GT 16 ","vocational + Abi","14","","","","2"
"No","1998","Couple + C. LE and GT 16","middle vocational","58","0.108348679165226","0.0806005369802417","0.136096821350211","2"
"No","1998","Couple + C. LE and GT 16","vocational + Abi","4","","","","2"
"No","1998","Couple + C. LE and GT 16","higher vocational","1","","","","2"
"No","1998","Couple + C. LE and GT 16","higher education","5","","","","2"
"No","1998","1-pers.-HH","higher education","12","","","","2"
"No","1998","(Married) couple without C. ","in school","3","","","","2"
"No","1998","(Married) couple without C. ","inadequately","70","0.750200991227588","0.658172394397557","0.842229588057618","2"
"No","1998","(Married) couple without C. ","general elemantary","109","0.0877026629725979","0.0663953664177334","0.109009959527462","2"
"No","1998","Couple + C. GT 16 ","higher vocational","2","","","","2"
"No","1998","Couple + C. GT 16 ","higher education","12","","","","2"
"No","1998","Couple + C. LE and GT 16","in school","23","","","","2"
"No","1998","Couple + C. LE and GT 16","inadequately","57","0.732806477530368","0.629880137685971","0.835732817374764","2"
"No","1998","Couple + C. LE and GT 16","general elemantary","87","0.278289507028237","0.224433122115313","0.332145891941162","2"
"No","1998","Single parent ","higher vocational","","","","","2"
"No","1998","Single parent ","higher education","1","","","","2"
"No","1998","Couple + C. LE 16 ","in school","","","","","2"
"No","1998","Couple + C. LE 16 ","inadequately","41","0.488699412329241","0.358930782981738","0.618468041676745","2"
"No","1998","Couple + C. LE 16 ","general elemantary","169","0.318132755054303","0.271242500155542","0.365023009953064","2"
"No","1998","Couple + C. LE 16 ","middle vocational","166","0.0791907593391942","0.0661374908030743","0.0922440278753141","2"
"No","1998","Couple + C. LE 16 ","vocational + Abi","32","0.220995446900909","0.15670450910106","0.285286384700757","2"
"No","1998","Couple + C. LE 16 ","higher vocational","6","","","","2"
"No","1998","Couple + C. LE 16 ","higher education","25","","","","2"
"No","1998","Single parent ","in school","4","","","","2"
"No","1998","Single parent ","inadequately","11","","","","2"
"No","1998","Single parent ","general elemantary","23","","","","2"
"No","1998","Single parent ","middle vocational","28","","","","2"
"No","1998","Single parent ","vocational + Abi","2","","","","2"
"Yes","1998","1-pers.-HH","in school","2","","","","1"
"Yes","1998","1-pers.-HH","inadequately","10","","","","1"
"Yes","1998","1-pers.-HH","general elemantary","371","0.95503542542905","0.934702183491359","0.97536866736674","1"
"Yes","1998","1-pers.-HH","middle vocational","811","0.974762799456623","0.964206292759517","0.98531930615373","1"
"Yes","1998","1-pers.-HH","vocational + Abi","65","0.873262735488094","0.79797190495165","0.948553566024538","1"
"Yes","1998","1-pers.-HH","higher vocational","81","0.940277523197262","0.89076629639885","0.989788749995674","1"
"Yes","1998","1-pers.-HH","higher education","223","0.929035297700677","0.896206765912806","0.961863829488548","1"
"Yes","1998","(Married) couple without C. ","in school","2","","","","1"
"Yes","1998","(Married) couple without C. ","inadequately","15","","","","1"
"Yes","1998","(Married) couple without C. ","general elemantary","568","0.912297337027402","0.890990040472538","0.933604633582267","1"
"Yes","1998","(Married) couple without C. ","middle vocational","2079","0.961999106624754","0.953991360954126","0.970006852295383","1"
"Yes","1998","(Married) couple without C. ","vocational + Abi","115","0.858312441985948","0.800129308128802","0.916495575843094","1"
"Yes","1998","(Married) couple without C. ","higher vocational","260","0.977690156379521","0.959908425280064","0.995471887478978","1"
"Yes","1998","(Married) couple without C. ","higher education","604","0.957502906411617","0.941788575251844","0.97321723757139","1"
"Yes","1998","Single parent ","in school","29","","","","1"
"Yes","1998","Single parent ","inadequately","13","","","","1"
"Yes","1998","Single parent ","general elemantary","143","0.910400478101699","0.866953144189321","0.953847812014076","1"
"Yes","1998","Single parent ","middle vocational","322","0.937043109603806","0.911597345947846","0.962488873259765","1"
"Yes","1998","Single parent ","vocational + Abi","15","","","","1"
"Yes","1998","Single parent ","higher vocational","14","","","","1"
"Yes","1998","Single parent ","higher education","73","0.972001361106893","0.934414667187506","1.00958805502628","1"
"Yes","1998","Couple + C. LE 16 ","in school","3","","","","1"
"Yes","1998","Couple + C. LE 16 ","inadequately","16","","","","1"
"Yes","1998","Couple + C. LE 16 ","general elemantary","210","0.681867244945697","0.634976990046936","0.728757499844458","1"
"Yes","1998","Couple + C. LE 16 ","middle vocational","1478","0.920809240660806","0.907755972124686","0.933862509196926","1"
"Yes","1998","Couple + C. LE 16 ","vocational + Abi","128","0.779004553099091","0.714713615299243","0.84329549089894","1"
"Yes","1998","Couple + C. LE 16 ","higher vocational","255","0.987799809540171","0.974481607109352","1.00111801197099","1"
"Yes","1998","Couple + C. LE 16 ","higher education","470","0.924435281597725","0.901152048729565","0.947718514465885","1"
"Yes","1998","Couple + C. GT 16 ","in school","105","0.829964206859585","0.765387443756346","0.894540969962824","1"
"Yes","1998","Couple + C. GT 16 ","inadequately","26","","","","1"
"Yes","1998","Couple + C. GT 16 ","general elemantary","384","0.846306911513213","0.815573457775768","0.877040365250657","1"
"Yes","1998","Couple + C. GT 16 ","middle vocational","1062","0.932422991194892","0.918184895856448","0.946661086533337","1"
"Yes","1998","Couple + C. GT 16 ","vocational + Abi","55","0.817457200246296","0.726311032999561","0.90860336749303","1"
"Yes","1998","Couple + C. GT 16 ","higher vocational","110","0.995846729218313","0.98393621659461","1.00775724184202","1"
"Yes","1998","Couple + C. GT 16 ","higher education","290","0.951573196561576","0.927362425482397","0.975783967640756","1"
"Yes","1998","Couple + C. LE and GT 16","in school","125","0.843638016416802","0.785123867874052","0.902152164959552","1"
"Yes","1998","Couple + C. LE and GT 16","inadequately","14","","","","1"
"Yes","1998","Couple + C. LE and GT 16","general elemantary","179","0.721710492971763","0.667854108058838","0.775566877884687","1"
"Yes","1998","Couple + C. LE and GT 16","middle vocational","424","0.891651320834773","0.863903178649789","0.919399463019758","1"
"Yes","1998","Couple + C. LE and GT 16","vocational + Abi","33","0.93042397545427","0.848442169586884","1.01240578132166","1"
"Yes","1998","Couple + C. LE and GT 16","higher vocational","58","0.948746765719139","0.892479232301585","1.00501429913669","1"
"Yes","1998","Couple + C. LE and GT 16","higher education","144","0.891999848535888","0.842163119599194","0.941836577472583","1"
"No","1999","1-pers.-HH","inadequately","15","","","","2"
"No","1999","1-pers.-HH","general elemantary","27","","","","2"
"No","1999","(Married) couple without C. ","vocational + Abi","20","","","","2"
"No","1999","(Married) couple without C. ","higher vocational","3","","","","2"
"No","1999","1-pers.-HH","in school","","","","","2"
"No","1999","1-pers.-HH","middle vocational","38","0.0257753744090379","0.0152090664899099","0.036341682328166","2"
"No","1999","1-pers.-HH","vocational + Abi","9","","","","2"
"No","1999","Couple + C. GT 16 ","in school","23","","","","2"
"No","1999","Couple + C. GT 16 ","inadequately","99","0.635501721057163","0.552124155074902","0.718879287039425","2"
"No","1999","1-pers.-HH","higher vocational","7","","","","2"
"No","1999","(Married) couple without C. ","middle vocational","119","0.0470365190007803","0.0382981469044468","0.0557748910971139","2"
"No","1999","(Married) couple without C. ","higher education","29","","","","2"
"No","1999","Couple + C. GT 16 ","general elemantary","133","0.160439339188758","0.128107756532612","0.192770921844905","2"
"No","1999","Couple + C. GT 16 ","middle vocational","128","0.0781794409433693","0.0628753045375493","0.0934835773491894","2"
"No","1999","Couple + C. GT 16 ","vocational + Abi","12","","","","2"
