"plj0014_v3","year","migback","sampreg","n","percent","lower_confidence","upper_confidence"
"Yes","1996","no migration background","West Germany","6415","0.998530770729531","0.997593843007248","0.999467698451815"
"Yes","1996","no migration background","East Germany","3534","0.999444481380512","0.998667730008484","1.00022123275254"
"Yes","1996","direct migration background","West Germany","750","0.446461029864402","0.426895656961909","0.466026402766895"
"Yes","1996","direct migration background","East Germany","134","0.956638512180608","0.923021078819426","0.99025594554179"
"Yes","1996","indirect migration background","West Germany","149","0.441289873011481","0.398976708431497","0.483603037591465"
"Yes","1996","indirect migration background","East Germany","17","","",""
"No","1996","no migration background","West Germany","5","","",""
"No","1996","no migration background","East Germany","1","","",""
"No","1996","direct migration background","West Germany","1730","0.553538970135598","0.533973597233105","0.573104343038091"
"No","1996","direct migration background","East Germany","7","","",""
"No","1996","indirect migration background","West Germany","380","0.558710126988519","0.516396962408535","0.601023291568503"
"No","1996","indirect migration background","East Germany","3","","",""
"Yes","1997","no migration background","West Germany","6346","0.998317692657428","0.997309800446739","0.999325584868118"
"Yes","1997","no migration background","East Germany","3496","0.999417063558129","0.9986170741116","1.00021705300466"
"Yes","1997","direct migration background","West Germany","756","0.445054933749775","0.425004494244472","0.465105373255077"
"Yes","1997","direct migration background","East Germany","124","0.941664094235362","0.901680935267265","0.981647253203458"
"Yes","1997","indirect migration background","West Germany","161","0.444405559732411","0.402990889011339","0.485820230453484"
"Yes","1997","indirect migration background","East Germany","20","","",""
"No","1997","no migration background","West Germany","5","","",""
"No","1997","no migration background","East Germany","1","","",""
"No","1997","direct migration background","West Germany","1604","0.554945066250226","0.534894626744923","0.574995505755528"
"No","1997","direct migration background","East Germany","8","","",""
"No","1997","indirect migration background","West Germany","392","0.555594440267589","0.514179769546516","0.597009110988661"
"No","1997","indirect migration background","East Germany","2","","",""
"Yes","1998","no migration background","West Germany","7555","0.998610328164542","0.997770705972099","0.999449950356986"
"Yes","1998","no migration background","East Germany","3739","0.999548908100477","0.99886837880008","1.00022943740087"
"Yes","1998","direct migration background","West Germany","822","0.442687752051056","0.422397217978425","0.462978286123687"
"Yes","1998","direct migration background","East Germany","111","0.916868590833052","0.867265272667779","0.966471908998326"
"Yes","1998","indirect migration background","West Germany","187","0.468224677914244","0.427545196182202","0.508904159646287"
"Yes","1998","indirect migration background","East Germany","24","","",""
"No","1998","no migration background","West Germany","7","","",""
"No","1998","no migration background","East Germany","1","","",""
"No","1998","direct migration background","West Germany","1480","0.557312247948944","0.537021713876313","0.577602782021575"
"No","1998","direct migration background","East Germany","8","","",""
"No","1998","indirect migration background","West Germany","391","0.531775322085756","0.491095840353713","0.572454803817798"
"No","1998","indirect migration background","East Germany","2","","",""
"Yes","1999","no migration background","West Germany","7254","0.997840623428279","0.99677300822019","0.998908238636368"
"Yes","1999","no migration background","East Germany","3670","0.999478367908622","0.99873974163958","1.00021699417766"
