"plj0014_v3","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence"
"No","1996","16-34 y.","Rural Area","117","0.0389116105901628","0.0293366970363803","0.0484865241439452"
"No","1996","16-34 y.","Urban Area","864","0.157887288023121","0.145279136415187","0.170495439631054"
"No","1996","35-65 y.","Rural Area","141","0.0323752935566476","0.0252344022702757","0.0395161848430195"
"No","1996","35-65 y.","Urban Area","935","0.113257678524719","0.103899147581343","0.122616209468095"
"No","1996","66 and older","Rural Area","3","","",""
"No","1996","66 and older","Urban Area","66","0.0190395754779479","0.0108586003540874","0.0272205506018083"
"Yes","1996","16-34 y.","Rural Area","1450","0.961088389409837","0.951513475856055","0.97066330296362"
"Yes","1996","16-34 y.","Urban Area","2349","0.842112711976879","0.829504560368946","0.854720863584813"
"Yes","1996","35-65 y.","Rural Area","2219","0.967624706443352","0.96048381515698","0.974765597729724"
"Yes","1996","35-65 y.","Urban Area","3470","0.886742321475281","0.877383790531905","0.896100852418656"
"Yes","1996","66 and older","Rural Area","504","0.993989337752085","0.987261180448886","1.00071749505528"
"Yes","1996","66 and older","Urban Area","1006","0.980960424522052","0.972779449398192","0.989141399645913"
"No","1997","16-34 y.","Rural Area","107","0.0392349945121455","0.0294648567650899","0.049005132259201"
"No","1997","16-34 y.","Urban Area","815","0.160355274432031","0.147475761414528","0.173234787449534"
"No","1997","35-65 y.","Rural Area","129","0.0303182097247223","0.0233576630391841","0.0372787564102605"
"No","1997","35-65 y.","Urban Area","878","0.113726444752729","0.104275653580762","0.123177235924697"
"No","1997","66 and older","Rural Area","6","","",""
"No","1997","66 and older","Urban Area","77","0.0272636434879669","0.0176180145119005","0.0369092724640332"
"Yes","1997","16-34 y.","Rural Area","1410","0.960765005487854","0.950994867740799","0.97053514323491"
"Yes","1997","16-34 y.","Urban Area","2303","0.839644725567969","0.826765212550466","0.852524238585472"
"Yes","1997","35-65 y.","Rural Area","2202","0.969681790275278","0.962721243589739","0.976642336960816"
