"plj0014_v3","year","bula_h","e11102","n","percent","lower_confidence","upper_confidence","value"
"No","1996","Hamburg","Employed","14","","","","2"
"No","1996","Schleswig-Holstein","Not Employed","4","","","","2"
"No","1996","Schleswig-Holstein","Employed","15","","","","2"
"No","1996","Hamburg","Not Employed","12","","","","2"
"No","1996","Lower Saxony","Not Employed","49","0.0661425999924653","0.0410550454631377","0.0912301545217928","2"
"No","1996","Bremen","Not Employed","4","","","","2"
"No","1996","Berlin","Not Employed","31","0.118599986578628","0.0733364064373353","0.163863566719921","2"
"No","1996","Lower Saxony","Employed","76","0.0559863033927047","0.0386174718399721","0.0733551349454373","2"
"No","1996","North Rhine-Westphalia","Not Employed","224","0.0985666916582413","0.0793988980380268","0.117734485278456","2"
"No","1996","Bremen","Employed","11","","","","2"
"No","1996","North Rhine-Westphalia","Employed","347","0.102325559229621","0.0876438964494531","0.11700722200979","2"
"No","1996","Berlin","Employed","36","0.0880872197114659","0.0584370191597902","0.117737420263142","2"
"No","1996","Hesse","Not Employed","88","0.112347385498257","0.0778013211063391","0.146893449890174","2"
"No","1996","Hesse","Employed","178","0.155460333919491","0.126321330613265","0.184599337225717","2"
"No","1996","Rhineland-Palatinate,Saarland","Not Employed","32","0.0789962453381095","0.046999876622694","0.110992614053525","2"
"No","1996","Baden-Württemberg","Not Employed","210","0.113754325607349","0.0882633777020396","0.139245273512659","2"
"No","1996","Rhineland-Palatinate,Saarland","Employed","63","0.0829229638114436","0.0566433956276117","0.109202531995276","2"
"No","1996","Brandenburg","Not Employed","1","","","","2"
"No","1996","Baden-Württemberg","Employed","402","0.156702588241452","0.135450901580311","0.177954274902593","2"
"No","1996","Bavaria","Not Employed","102","0.0824817904562399","0.0595741902689524","0.105389390643527","2"
"No","1996","Brandenburg","Employed","1","","","","2"
"No","1996","Bavaria","Employed","218","0.115710073524846","0.0969176222671956","0.134502524782496","2"
"No","1996","Mecklenburg-Western Pomerania","Not Employed","","","","","2"
"No","1996","Mecklenburg-Western Pomerania","Employed","","","","","2"
"No","1996","Saxony","Not Employed","","","","","2"
"No","1996","Saxony","Employed","5","","","","2"
"No","1996","Saxony-Anhalt","Not Employed","","","","","2"
"No","1996","Saxony-Anhalt","Employed","","","","","2"
"No","1996","Thuringia","Not Employed","1","","","","2"
"No","1996","Thuringia","Employed","2","","","","2"
"Yes","1996","Schleswig-Holstein","Not Employed","102","0.975479168252541","0.946036866684488","1.00492146982059","1"
"Yes","1996","Schleswig-Holstein","Employed","167","0.961697894270306","0.933814665948762","0.989581122591851","1"
"Yes","1996","Hamburg","Not Employed","36","0.895564582006838","0.809047904717623","0.982081259296053","1"
"Yes","1996","Hamburg","Employed","66","0.925355468570886","0.867764233333719","0.982946703808054","1"
"Yes","1996","Lower Saxony","Not Employed","328","0.933857400007535","0.908769845478207","0.958944954536862","1"
"Yes","1996","Lower Saxony","Employed","597","0.944013696607295","0.926644865054563","0.961382528160028","1"
"Yes","1996","Bremen","Not Employed","46","0.939060694388843","0.872753802506718","1.00536758627097","1"
"Yes","1996","Bremen","Employed","34","0.731373543619293","0.601868748598507","0.860878338640079","1"
"Yes","1996","North Rhine-Westphalia","Not Employed","705","0.901433308341759","0.882265514721544","0.920601101961973","1"
"Yes","1996","North Rhine-Westphalia","Employed","1290","0.897674440770379","0.88299277799021","0.912356103550547","1"
"Yes","1996","Hesse","Not Employed","233","0.887652614501743","0.853106550109826","0.922198678893661","1"
"Yes","1996","Hesse","Employed","416","0.844539666080509","0.815400662774283","0.873678669386735","1"
"Yes","1996","Rhineland-Palatinate,Saarland","Not Employed","241","0.92100375466189","0.889007385946475","0.953000123377306","1"
"Yes","1996","Rhineland-Palatinate,Saarland","Employed","360","0.917077036188556","0.890797468004724","0.943356604372388","1"
"Yes","1996","Baden-Württemberg","Not Employed","386","0.886245674392651","0.860754726487341","0.91173662229796","1"
"Yes","1996","Baden-Württemberg","Employed","722","0.843297411758548","0.822045725097407","0.864549098419689","1"
"Yes","1996","Bavaria","Not Employed","452","0.91751820954376","0.894610609356473","0.940425809731048","1"
"Yes","1996","Bavaria","Employed","895","0.884289926475154","0.865497475217504","0.903082377732804","1"
"Yes","1996","Berlin","Not Employed","165","0.881400013421372","0.836136433280079","0.926663593562665","1"
"Yes","1996","Berlin","Employed","315","0.911912780288534","0.882262579736858","0.94156298084021","1"
"Yes","1996","Brandenburg","Not Employed","202","0.991852199645763","0.979485786775884","1.00421861251564","1"
"Yes","1996","Brandenburg","Employed","396","0.997142476446601","0.991891665820751","1.00239328707245","1"
"Yes","1996","Mecklenburg-Western Pomerania","Not Employed","137","1","1","1","1"
