"plj0014_v3","year","bula_h","e11103","n","percent","lower_confidence","upper_confidence"
"Yes","1996","Schleswig-Holstein","Full Time","108","0.960093682847933","0.924925312736169","0.995262052959697"
"Yes","1996","Schleswig-Holstein","Part Time","59","0.964110801613741","0.918177975231931","1.01004362799555"
"Yes","1996","Schleswig-Holstein","Not Working","102","0.975479168252541","0.946036866684488","1.00492146982059"
"Yes","1996","Hamburg","Full Time","40","0.892682316915623","0.808556260842142","0.976808372989103"
"Yes","1996","Hamburg","Part Time","26","","",""
"Yes","1996","Hamburg","Not Working","36","0.895564582006838","0.809047904717623","0.982081259296053"
"Yes","1996","Lower Saxony","Full Time","379","0.947227806546271","0.925870974352439","0.968584638740103"
"Yes","1996","Lower Saxony","Part Time","218","0.937915844044572","0.908122438555224","0.96770924953392"
"Yes","1996","Lower Saxony","Not Working","328","0.933857400007535","0.908769845478207","0.958944954536862"
"Yes","1996","Bremen","Full Time","24","","",""
"Yes","1996","Bremen","Part Time","10","","",""
"Yes","1996","Bremen","Not Working","46","0.939060694388843","0.872753802506718","1.00536758627097"
"Yes","1996","North Rhine-Westphalia","Full Time","838","0.903948088350218","0.88614214559554","0.921754031104895"
"Yes","1996","North Rhine-Westphalia","Part Time","452","0.885853605258029","0.86008551482225","0.911621695693809"
"Yes","1996","North Rhine-Westphalia","Not Working","705","0.901433308341759","0.882265514721544","0.920601101961973"
"Yes","1996","Hesse","Full Time","276","0.85798277731641","0.823427462799166","0.892538091833654"
"Yes","1996","Hesse","Part Time","140","0.817392011540512","0.764114063859999","0.870669959221025"
"Yes","1996","Hesse","Not Working","233","0.887652614501743","0.853106550109826","0.922198678893661"
"Yes","1996","Rhineland-Palatinate,Saarland","Full Time","244","0.929054562420357","0.899195802486113","0.958913322354601"
"Yes","1996","Rhineland-Palatinate,Saarland","Part Time","116","0.889265306057267","0.837098022812894","0.94143258930164"
"Yes","1996","Rhineland-Palatinate,Saarland","Not Working","241","0.92100375466189","0.889007385946475","0.953000123377306"
"Yes","1996","Baden-Württemberg","Full Time","476","0.842322926977349","0.815739982885805","0.868905871068894"
"Yes","1996","Baden-Württemberg","Part Time","246","0.845335191283985","0.809988782696437","0.880681599871534"
"Yes","1996","Baden-Württemberg","Not Working","386","0.886245674392651","0.860754726487341","0.91173662229796"
"Yes","1996","Bavaria","Full Time","616","0.890893051823771","0.868712814272476","0.913073289375067"
"Yes","1996","Bavaria","Part Time","279","0.871822583360275","0.836999576012678","0.906645590707872"
"Yes","1996","Bavaria","Not Working","452","0.91751820954376","0.894610609356473","0.940425809731048"
"Yes","1996","Berlin","Full Time","234","0.924315431223982","0.891915664707991","0.956715197739973"
"Yes","1996","Berlin","Part Time","81","0.87911811909092","0.81356543052757","0.94467080765427"
"Yes","1996","Berlin","Not Working","165","0.881400013421372","0.836136433280079","0.926663593562665"
"Yes","1996","Brandenburg","Full Time","291","0.996124290689856","0.98899758164422","1.00325099973549"
"Yes","1996","Brandenburg","Part Time","105","1","1","1"
