"plj0014_v3","year","n","percent","lower_confidence","upper_confidence","value"
"No","1996","2126","0.0844005409310428","0.0796447383994826","0.089156343462603","2"
"Yes","1996","10999","0.915599459068957","0.910843656537397","0.920355261600517","1"
"No","1997","2012","0.086219782074426","0.0813788919862763","0.0910606721625757","2"
"Yes","1997","10903","0.913780217925574","0.908939327837424","0.918621108013724","1"
"No","1998","1889","0.0864572670886758","0.0818553833144519","0.0910591508628997","2"
"Yes","1998","12438","0.913542732911324","0.9089408491371","0.918144616685548","1"
"No","1999","1735","0.0862803733059959","0.0815903484224464","0.0909703981895453","2"
"Yes","1999","12033","0.913719626694004","0.909029601810455","0.918409651577554","1"
"No","2000","2331","0.0835720501008972","0.0800900507530521","0.0870540494487423","2"
"Yes","2000","21935","0.916427949899103","0.912945950551258","0.919909949246948","1"
"No","2001","2044","0.0822504265193317","0.078625101205091","0.0858757518335724","2"
"Yes","2001","20019","0.917749573480668","0.914124248166428","0.921374898794909","1"
"No","2002","1900","0.0812358890073889","0.077717183480708","0.0847545945340698","2"
"Yes","2002","21257","0.918764110992611","0.91524540546593","0.922282816519292","1"
"No","2003","1741","0.0820891775417197","0.0784861459381672","0.0856922091452722","2"
"Yes","2003","20556","0.91791082245828","0.914307790854728","0.921513854061833","1"
"No","2004","1628","0.0824484446851574","0.0787916992946251","0.0861051900756897","2"
"Yes","2004","20105","0.917551555314843","0.91389480992431","0.921208300705375","1"
"No","2005","1544","0.0858614762407848","0.0820552345341414","0.0896677179474281","2"
"Yes","2005","19268","0.914138523759215","0.910332282052572","0.917944765465859","1"
"No","2006","1470","0.0864781770667884","0.0827707627927144","0.0901855913408624","2"
"Yes","2006","20609","0.913521822933212","0.909814408659138","0.917229237207286","1"
"No","2007","1286","0.0867496635845006","0.0829081622340196","0.0905911649349817","2"
"Yes","2007","19337","0.913250336415499","0.909408835065018","0.91709183776598","1"
"No","2008","1132","0.086782794251054","0.0828245337502552","0.0907410547518527","2"
"Yes","2008","18299","0.913217205748946","0.909258945248147","0.917175466249745","1"
"No","2009","989","0.0877872397535945","0.0836675845256378","0.0919068949815512","2"
"Yes","2009","17137","0.912212760246406","0.908093105018449","0.916332415474362","1"
"No","2010","1656","0.0880023669595656","0.0844235040991923","0.0915812298199389","2"
"Yes","2010","22415","0.911997633040434","0.908418770180061","0.915576495900808","1"
"No","2011","1104","0.0727189925211385","0.069307423644664","0.0761305613976131","2"
"Yes","2011","21152","0.927281007478861","0.923869438602387","0.930692576355336","1"
"No","2012","1584","0.0824982037628928","0.0792607400056698","0.0857356675201158","2"
"Yes","2012","26158","0.917501796237107","0.914264332479884","0.92073925999433","1"
"No","2013","1400","0.0506163673188918","0.0479413299956715","0.0532914046421121","2"
"Yes","2013","24397","0.949383632681108","0.946708595357888","0.952058670004329","1"
"No","2014","3108","0.0927984356031346","0.0893511749411734","0.0962456962650959","2"
"Yes","2014","24106","0.907201564396866","0.903754303734904","0.910648825058827","1"
"No","2015","4016","0.0977448095922015","0.0941998788993608","0.101289740285042","2"
"Yes","2015","22943","0.902255190407798","0.898710259714958","0.905800121100639","1"
"No","2016","3157","0.106063915734742","0.102202784779079","0.109925046690406","2"
"Yes","2016","21274","0.893936084265258","0.890074953309594","0.897797215220921","1"
"No","2017","5512","0.116220681226379","0.112554130786818","0.119887231665939","2"
"Yes","2017","23838","0.883779318773622","0.880112768334062","0.887445869213182","1"
"No","2018","6605","0.124962745677367","0.121201054699176","0.128724436655558","2"
"Yes","2018","23080","0.875037254322633","0.871275563344442","0.878798945300824","1"
"No","2019","5817","0.126875632319753","0.123074328292256","0.13067693634725","2"
"Yes","2019","23633","0.873124367680247","0.86932306365275","0.876925671707744","1"
