"plj0014_v3","year","bula_h","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"No","1996","Schleswig-Holstein","(Married) couple without C. ","1","","","","2"
"No","1996","Schleswig-Holstein","Couple + C. LE 16 ","4","","","","2"
"No","1996","Schleswig-Holstein","Single parent ","","","","","2"
"No","1996","Schleswig-Holstein","1-pers.-HH","1","","","","2"
"No","1996","Schleswig-Holstein","Couple + C. LE and GT 16","","","","","2"
"No","1996","Hamburg","1-pers.-HH","5","","","","2"
"No","1996","Baden-Württemberg","Couple + C. GT 16 ","142","0.188959958382516","0.145659817700705","0.232260099064327","2"
"No","1996","Hesse","Couple + C. LE and GT 16","38","0.321258285526084","0.209445844491297","0.433070726560872","2"
"No","1996","Bavaria","(Married) couple without C. ","75","0.0946326246031892","0.067497789141367","0.121767460065012","2"
"No","1996","Bavaria","Single parent ","17","","","","2"
"No","1996","Lower Saxony","1-pers.-HH","9","","","","2"
"No","1996","Bavaria","Couple + C. LE and GT 16","30","0.100505807325574","0.0508770621183083","0.15013455253284","2"
"No","1996","Berlin","1-pers.-HH","5","","","","2"
"No","1996","Rhineland-Palatinate,Saarland","Single parent ","5","","","","2"
"No","1996","Rhineland-Palatinate,Saarland","Couple + C. LE 16 ","32","0.115454277393208","0.0676959592084115","0.163212595578005","2"
"No","1996","Rhineland-Palatinate,Saarland","Couple + C. GT 16 ","6","","","","2"
"No","1996","Rhineland-Palatinate,Saarland","Couple + C. LE and GT 16","14","","","","2"
"No","1996","Baden-Württemberg","1-pers.-HH","36","0.0775374441350825","0.0386828379997873","0.116392050270378","2"
"No","1996","Schleswig-Holstein","Couple + C. GT 16 ","8","","","","2"
"No","1996","Hamburg","(Married) couple without C. ","6","","","","2"
"No","1996","Hamburg","Single parent ","","","","","2"
"No","1996","Bavaria","1-pers.-HH","21","","","","2"
"No","1996","Hamburg","Couple + C. GT 16 ","1","","","","2"
"No","1996","Hamburg","Couple + C. LE and GT 16","1","","","","2"
"No","1996","Bavaria","Couple + C. LE 16 ","91","0.148204333114866","0.113600935476538","0.182807730753194","2"
"No","1996","Bavaria","Couple + C. GT 16 ","73","0.143454205844376","0.104306648493002","0.18260176319575","2"
"No","1996","Berlin","(Married) couple without C. ","4","","","","2"
"No","1996","Baden-Württemberg","(Married) couple without C. ","81","0.0554836579383944","0.0334056265601193","0.0775616893166694","2"
"No","1996","Baden-Württemberg","Single parent ","24","","","","2"
"No","1996","Baden-Württemberg","Couple + C. LE 16 ","156","0.215220805363283","0.174640449923646","0.255801160802919","2"
"No","1996","Hamburg","Couple + C. LE 16 ","9","","","","2"
"No","1996","Lower Saxony","(Married) couple without C. ","14","","","","2"
"No","1996","Lower Saxony","Single parent ","2","","","","2"
"No","1996","Lower Saxony","Couple + C. LE 16 ","29","","","","2"
"No","1996","Lower Saxony","Couple + C. GT 16 ","32","0.0729809088837667","0.0346622385345449","0.111299579232988","2"
"No","1996","Lower Saxony","Couple + C. LE and GT 16","34","0.312248758588561","0.2107012788715","0.413796238305623","2"
"No","1996","Bremen","1-pers.-HH","1","","","","2"
"No","1996","North Rhine-Westphalia","Couple + C. LE and GT 16","93","0.203596293804276","0.155386834105442","0.251805753503111","2"
"No","1996","Hesse","Single parent ","10","","","","2"
"No","1996","Hesse","Couple + C. LE 16 ","79","0.213076755417869","0.158214276264521","0.267939234571217","2"
"No","1996","Hesse","Couple + C. GT 16 ","71","0.19217652975304","0.132057145238793","0.252295914267287","2"
"No","1996","Rhineland-Palatinate,Saarland","1-pers.-HH","6","","","","2"
"No","1996","Rhineland-Palatinate,Saarland","(Married) couple without C. ","23","","","","2"
"No","1996","Baden-Württemberg","Couple + C. LE and GT 16","98","0.204204116126588","0.150067465932227","0.258340766320949","2"
"No","1996","Bremen","(Married) couple without C. ","5","","","","2"
"No","1996","Bremen","Single parent ","","","","","2"
"No","1996","Bremen","Couple + C. LE 16 ","3","","","","2"
"No","1996","Bremen","Couple + C. GT 16 ","5","","","","2"
"No","1996","Bremen","Couple + C. LE and GT 16","","","","","2"
"No","1996","North Rhine-Westphalia","Single parent ","24","","","","2"
"No","1996","North Rhine-Westphalia","Couple + C. LE 16 ","129","0.130206226476936","0.103368010389341","0.15704444256453","2"
"No","1996","North Rhine-Westphalia","Couple + C. GT 16 ","140","0.150524896270598","0.118367507058661","0.182682285482536","2"
"No","1996","Hesse","1-pers.-HH","17","","","","2"
"No","1996","Hesse","(Married) couple without C. ","44","0.0862676117899706","0.0538983670038257","0.118636856576115","2"
"No","1996","Berlin","Single parent ","7","","","","2"
"No","1996","Berlin","Couple + C. LE 16 ","29","","","","2"
"No","1996","Berlin","Couple + C. GT 16 ","22","","","","2"
"No","1996","Berlin","Couple + C. LE and GT 16","","","","","2"
"No","1996","North Rhine-Westphalia","1-pers.-HH","18","","","","2"
"No","1996","North Rhine-Westphalia","(Married) couple without C. ","116","0.0892375258822763","0.0673548404306165","0.111120211333936","2"
"No","1996","Brandenburg","1-pers.-HH","1","","","","2"
"No","1996","Brandenburg","(Married) couple without C. ","1","","","","2"
"No","1996","Brandenburg","Single parent ","","","","","2"
"No","1996","Brandenburg","Couple + C. LE 16 ","","","","","2"
"No","1996","Brandenburg","Couple + C. GT 16 ","","","","","2"
"No","1996","Brandenburg","Couple + C. LE and GT 16","","","","","2"
"No","1996","Mecklenburg-Western Pomerania","1-pers.-HH","","","","","2"
"No","1996","Mecklenburg-Western Pomerania","(Married) couple without C. ","","","","","2"
"No","1996","Mecklenburg-Western Pomerania","Single parent ","","","","","2"
"No","1996","Mecklenburg-Western Pomerania","Couple + C. LE 16 ","","","","","2"
"No","1996","Mecklenburg-Western Pomerania","Couple + C. GT 16 ","","","","","2"
"No","1996","Mecklenburg-Western Pomerania","Couple + C. LE and GT 16","","","","","2"
"No","1996","Saxony","1-pers.-HH","","","","","2"
"No","1996","Saxony","(Married) couple without C. ","2","","","","2"
"No","1996","Saxony","Single parent ","","","","","2"
"No","1996","Saxony","Couple + C. LE 16 ","1","","","","2"
"No","1996","Saxony","Couple + C. GT 16 ","","","","","2"
"No","1996","Saxony-Anhalt","(Married) couple without C. ","","","","","2"
"No","1996","Saxony-Anhalt","Single parent ","","","","","2"
"No","1996","Saxony-Anhalt","Couple + C. LE 16 ","","","","","2"
"No","1996","Saxony","Couple + C. LE and GT 16","1","","","","2"
"No","1996","Saxony-Anhalt","1-pers.-HH","","","","","2"
"No","1996","Saxony-Anhalt","Couple + C. GT 16 ","","","","","2"
