"plj0014_v3","year","e11103","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"No","1996","Full Time","general elemantary","268","0.217648572524399","0.186791936785765","0.248505208263033","2"
"No","1996","Not Working","higher education","24","","","","2"
"No","1996","Part Time","in school","1","","","","2"
"No","1996","Part Time","middle vocational","179","0.0857558284207135","0.0710781479556778","0.100433508885749","2"
"No","1996","Full Time","in school","","","","","2"
"No","1996","Not Working","inadequately","200","0.595538674378135","0.534332800956365","0.656744547799905","2"
"No","1996","Part Time","higher vocational","4","","","","2"
"No","1996","Not Working","middle vocational","169","0.0311792784864418","0.0239051073341917","0.0384534496386919","2"
"No","1996","Full Time","higher vocational","12","","","","2"
"No","1996","Not Working","higher vocational","6","","","","2"
"No","1996","Full Time","inadequately","112","0.642100405321021","0.561532752384411","0.72266805825763","2"
"No","1996","Full Time","middle vocational","329","0.0550138932069836","0.0469300046482586","0.0630977817657087","2"
"No","1996","Full Time","higher education","46","0.0570703568041126","0.043254468893818","0.0708862447144071","2"
"No","1996","Part Time","inadequately","94","0.655367100065162","0.567741792703825","0.742992407426499","2"
"No","1996","Part Time","vocational + Abi","23","","","","2"
"No","1996","Part Time","higher education","18","","","","2"
"No","1996","Not Working","general elemantary","229","0.0734224033901568","0.0586587549367884","0.0881860518435251","2"
"No","1996","Not Working","vocational + Abi","32","0.211227207503562","0.137889809023611","0.284564605983513","2"
"No","1996","Full Time","vocational + Abi","44","0.150464239264514","0.106145686898855","0.194782791630173","2"
"No","1996","Part Time","general elemantary","159","0.144488569104593","0.114356642559325","0.174620495649862","2"
"No","1996","Not Working","in school","44","0.107869390879933","0.0713375514733941","0.144401230286471","2"
"Yes","1996","Full Time","in school","6","","","","1"
"Yes","1996","Full Time","inadequately","24","","","","1"
"Yes","1996","Full Time","general elemantary","419","0.782351427475601","0.751494791736967","0.813208063214235","1"
"Yes","1996","Full Time","middle vocational","2727","0.944986106793016","0.936902218234291","0.953069995351741","1"
"Yes","1996","Full Time","vocational + Abi","206","0.849535760735486","0.805217208369827","0.893854313101145","1"
