"plj0014_v3","year","e11102","sampreg","n","percent","lower_confidence","upper_confidence","value"
"No","1996","Employed","West Germany","1359","0.110742224435173","0.102837306971946","0.118647141898401","2"
"No","1996","Employed","East Germany","9","","","","2"
"No","1996","Not Employed","West Germany","756","0.0929083862300012","0.083114292933787","0.102702479526216","2"
"No","1996","Not Employed","East Germany","2","","","","2"
"Yes","1996","Not Employed","West Germany","2619","0.907091613769999","0.897297520473785","0.916885707066213","1"
"Yes","1996","Not Employed","East Germany","1294","0.997899954858473","0.995407637129361","1.00039227258758","1"
"Yes","1996","Employed","East Germany","2391","0.995636564399102","0.992999582344702","0.998273546453502","1"
"Yes","1996","Employed","West Germany","4695","0.889257775564827","0.881352858101599","0.897162693028054","1"
"No","1997","Employed","West Germany","1225","0.107591805986954","0.0996480260124957","0.115535585961411","2"
"No","1997","Employed","East Germany","8","","","","2"
"No","1997","Not Employed","West Germany","776","0.102498867367867","0.0923322711206617","0.112665463615072","2"
"No","1997","Not Employed","East Germany","3","","","","2"
"Yes","1997","Employed","East Germany","2310","0.995902028469231","0.993301365030782","0.998502691907679","1"
"Yes","1997","Employed","West Germany","4620","0.892408194013046","0.884464414038589","0.900351973987504","1"
"Yes","1997","Not Employed","West Germany","2643","0.897501132632133","0.887334536384928","0.907667728879338","1"
"Yes","1997","Not Employed","East Germany","1330","0.996346078261051","0.993107027569818","0.999585128952284","1"
"No","1998","Employed","East Germany","6","","","","2"
"No","1998","Not Employed","West Germany","727","0.0950947718721924","0.0860154006356507","0.104174143108734","2"
"No","1998","Not Employed","East Germany","5","","","","2"
"No","1998","Employed","West Germany","1151","0.114123677547885","0.10635316798582","0.121894187109951","2"
"Yes","1998","Employed","East Germany","2450","0.997785609685567","0.995926608723774","0.999644610647361","1"
"Yes","1998","Not Employed","East Germany","1424","0.992918690098009","0.988571129741546","0.997266250454471","1"
"Yes","1998","Employed","West Germany","5281","0.885876322452115","0.878105812890049","0.89364683201418","1"
"Yes","1998","Not Employed","West Germany","3283","0.904905228127808","0.895825856891266","0.913984599364349","1"
"No","1999","Employed","East Germany","6","","","","2"
"No","1999","Not Employed","West Germany","666","0.0943125376641932","0.0847455017526924","0.103879573575694","2"
"No","1999","Not Employed","East Germany","3","","","","2"
"No","1999","Employed","West Germany","1060","0.113073664028313","0.105302926148996","0.120844401907631","2"
"Yes","1999","Employed","East Germany","2414","0.99720802561028","0.995105753127701","0.99931029809286","1"
"Yes","1999","Not Employed","East Germany","1380","0.996436586605131","0.993296114517819","0.999577058692443","1"
"Yes","1999","Employed","West Germany","5320","0.886926335971687","0.879155598092369","0.894697073851004","1"
"Yes","1999","Not Employed","West Germany","2919","0.905687462335807","0.896120426424306","0.915254498247308","1"
"No","2000","Employed","East Germany","14","","","","2"
"No","2000","Employed","West Germany","1430","0.107956183990471","0.102298206956796","0.113614161024146","2"
