"plj0014_v3","year","hgtyp1hh","sampreg","n","percent","lower_confidence","upper_confidence"
"Yes","1996","1-pers.-HH","West Germany","1019","0.948612600544018","0.93578487307437","0.961440328013667"
"Yes","1996","1-pers.-HH","East Germany","351","0.997174018794002","0.991628440116781","1.00271959747122"
"Yes","1996","(Married) couple without C. ","West Germany","2159","0.927748081750872","0.917653572891646","0.937842590610097"
"Yes","1996","(Married) couple without C. ","East Germany","1039","0.995360181633574","0.991237892370626","0.999482470896522"
"Yes","1996","Single parent ","West Germany","394","0.896971524521031","0.869860714702023","0.92408233434004"
"Yes","1996","Single parent ","East Germany","171","1","1","1"
"Yes","1996","Couple + C. LE 16 ","West Germany","1624","0.843152004373901","0.827903937242026","0.858400071505776"
"Yes","1996","Couple + C. LE 16 ","East Germany","823","0.998681984459816","0.996204799934289","1.00115916898534"
"Yes","1996","Couple + C. GT 16 ","West Germany","1200","0.866755296240245","0.850600672019764","0.882909920460725"
"Yes","1996","Couple + C. GT 16 ","East Germany","675","0.997660206953737","0.994020773316418","1.00129964059106"
"Yes","1996","Couple + C. LE and GT 16","West Germany","538","0.805402188875276","0.778725109084853","0.832079268665699"
"Yes","1996","Couple + C. LE and GT 16","East Germany","407","0.996271062117647","0.990356816702967","1.00218530753233"
"No","1996","1-pers.-HH","West Germany","119","0.0513873994559817","0.0385596719863332","0.0642151269256302"
"No","1996","1-pers.-HH","East Germany","1","","",""
"No","1996","(Married) couple without C. ","West Germany","368","0.0722519182491283","0.0621574093899026","0.082346427108354"
"No","1996","(Married) couple without C. ","East Germany","5","","",""
"No","1996","Single parent ","West Germany","89","0.103028475478969","0.0759176656599603","0.130139285297977"
"No","1996","Single parent ","East Germany","","","",""
"No","1996","Couple + C. LE 16 ","West Germany","561","0.156847995626099","0.141599928494225","0.172096062757974"
"No","1996","Couple + C. LE 16 ","East Germany","1","","",""
"No","1996","Couple + C. GT 16 ","West Germany","500","0.133244703759755","0.117090079539275","0.149399327980236"
"No","1996","Couple + C. GT 16 ","East Germany","2","","",""
"No","1996","Couple + C. LE and GT 16","West Germany","308","0.194597811124723","0.1679207313343","0.221274890915146"
"No","1996","Couple + C. LE and GT 16","East Germany","1","","",""
"Yes","1997","1-pers.-HH","West Germany","994","0.950426969752863","0.937622969810948","0.963230969694779"
"Yes","1997","1-pers.-HH","East Germany","357","0.99397522148485","0.985970261068338","1.00198018190136"
"Yes","1997","(Married) couple without C. ","West Germany","2161","0.91681786123727","0.906103548219616","0.927532174254923"
"Yes","1997","(Married) couple without C. ","East Germany","1061","0.996512496082177","0.992971935632229","1.00005305653212"
"Yes","1997","Single parent ","West Germany","389","0.914291004594162","0.888653793587302","0.939928215601021"
"Yes","1997","Single parent ","East Germany","180","1","1","1"
"Yes","1997","Couple + C. LE 16 ","West Germany","1613","0.84505071921326","0.829705127572403","0.860396310854117"
"Yes","1997","Couple + C. LE 16 ","East Germany","711","0.998410741452447","0.995484837978906","1.00133664492599"
"Yes","1997","Couple + C. GT 16 ","West Germany","1161","0.867221366908151","0.850768137753304","0.883674596062999"
"Yes","1997","Couple + C. GT 16 ","East Germany","745","0.998570769436481","0.995859833533891","1.00128170533907"
"Yes","1997","Couple + C. LE and GT 16","West Germany","552","0.800722566220695","0.773481245310173","0.827963887131217"
"Yes","1997","Couple + C. LE and GT 16","East Germany","385","0.991111122523354","0.981759709401292","1.00046253564541"
"No","1997","1-pers.-HH","West Germany","110","0.0495730302471368","0.0367690303052214","0.0623770301890521"
"No","1997","1-pers.-HH","East Germany","2","","",""
"No","1997","(Married) couple without C. ","West Germany","391","0.0831821387627302","0.0724678257450769","0.0938964517803836"
"No","1997","(Married) couple without C. ","East Germany","4","","",""
"No","1997","Single parent ","West Germany","69","0.0857089954058383","0.0600717843989788","0.111346206412698"
"No","1997","Single parent ","East Germany","","","",""
"No","1997","Couple + C. LE 16 ","West Germany","523","0.15494928078674","0.139603689145883","0.170294872427597"
"No","1997","Couple + C. LE 16 ","East Germany","1","","",""
"No","1997","Couple + C. GT 16 ","West Germany","473","0.132778633091849","0.116325403937001","0.149231862246696"
"No","1997","Couple + C. GT 16 ","East Germany","1","","",""
"No","1997","Couple + C. LE and GT 16","West Germany","274","0.199277433779305","0.172036112868783","0.226518754689827"
"No","1997","Couple + C. LE and GT 16","East Germany","2","","",""
"Yes","1998","1-pers.-HH","West Germany","1232","0.945025657275271","0.932871573117963","0.957179741432579"
"Yes","1998","1-pers.-HH","East Germany","411","0.987539712388117","0.976854350420869","0.998225074355366"
"Yes","1998","(Married) couple without C. ","West Germany","2652","0.924433241389834","0.915009919317131","0.933856563462536"
"Yes","1998","(Married) couple without C. ","East Germany","1162","0.996888857442752","0.993692302728509","1.000085412157"
"Yes","1998","Single parent ","West Germany","455","0.90305289460922","0.877862546214529","0.92824324300391"
"Yes","1998","Single parent ","East Germany","184","1","1","1"
"Yes","1998","Couple + C. LE 16 ","West Germany","1874","0.854686453646044","0.840471136323517","0.868901770968572"
"Yes","1998","Couple + C. LE 16 ","East Germany","751","0.999014006167726","0.996770836837612","1.00125717549784"
"Yes","1998","Couple + C. GT 16 ","West Germany","1332","0.861559137966451","0.84553312979079","0.877585146142112"
"Yes","1998","Couple + C. GT 16 ","East Germany","785","0.998979547272041","0.996747457991134","1.00121163655295"
"Yes","1998","Couple + C. LE and GT 16","West Germany","620","0.776377384425095","0.748689946864647","0.804064821985543"
"Yes","1998","Couple + C. LE and GT 16","East Germany","386","0.996941989600312","0.991440921369636","1.00244305783099"
"No","1998","1-pers.-HH","West Germany","119","0.0549743427247292","0.0428202585674209","0.0671284268820374"
"No","1998","1-pers.-HH","East Germany","3","","",""
"No","1998","(Married) couple without C. ","West Germany","370","0.0755667586101666","0.0661434365374644","0.0849900806828687"
"No","1998","(Married) couple without C. ","East Germany","4","","",""
"No","1998","Single parent ","West Germany","75","0.0969471053907805","0.0717567569960895","0.122137453785471"
"No","1998","Single parent ","East Germany","","","",""
"No","1998","Couple + C. LE 16 ","West Germany","487","0.145313546353956","0.131098229031428","0.159528863676483"
