"plj0014_v3","year","age_gr","sex","n","percent","lower_confidence","upper_confidence"
"No","1996","16-34 y.","Female","499","0.129576666857849","0.116204553537034","0.142948780178663"
"No","1996","16-34 y.","Male","482","0.114488231683978","0.101636732793666","0.12733973057429"
"No","1996","35-65 y.","Female","502","0.0791279400294586","0.070074423162725","0.0881814568961923"
"No","1996","35-65 y.","Male","574","0.0989329096547233","0.0888223628816714","0.109043456427775"
"No","1996","66 and older","Female","28","","",""
"No","1996","66 and older","Male","41","0.0253427537607705","0.012839973299396","0.0378455342221449"
"Yes","1996","16-34 y.","Female","1924","0.870423333142151","0.857051219821337","0.883795446462966"
"Yes","1996","16-34 y.","Male","1876","0.885511768316022","0.87266026942571","0.898363267206334"
"Yes","1996","35-65 y.","Female","2913","0.920872059970541","0.911818543103808","0.929925576837275"
"Yes","1996","35-65 y.","Male","2776","0.901067090345277","0.890956543572225","0.911177637118329"
"Yes","1996","66 and older","Female","944","0.990676487184133","0.98463462698018","0.996718347388087"
"Yes","1996","66 and older","Male","566","0.97465724623923","0.962154465777855","0.987160026700604"
"No","1997","16-34 y.","Female","453","0.131702062168713","0.117976994626216","0.145427129711209"
"No","1997","16-34 y.","Male","469","0.116196634327219","0.103111401528032","0.129281867126406"
"No","1997","35-65 y.","Female","480","0.0818439957071816","0.0725970454091028","0.0910909460052604"
"No","1997","35-65 y.","Male","527","0.0958327027261903","0.0857742447028851","0.105891160749495"
"No","1997","66 and older","Female","36","0.0206836879011796","0.011727200772384","0.0296401750299752"
"No","1997","66 and older","Male","47","0.0292893151838895","0.016256383513418","0.0423222468543609"
"Yes","1997","16-34 y.","Female","1879","0.868297937831287","0.854572870288791","0.882023005373784"
"Yes","1997","16-34 y.","Male","1835","0.883803365672781","0.870718132873594","0.896888598471968"
"Yes","1997","35-65 y.","Female","2896","0.918156004292819","0.90890905399474","0.927402954590897"
"Yes","1997","35-65 y.","Male","2763","0.90416729727381","0.894108839250505","0.914225755297115"
"Yes","1997","66 and older","Female","934","0.97931631209882","0.970359824970025","0.988272799227616"
"Yes","1997","66 and older","Male","596","0.970710684816111","0.957677753145639","0.983743616486582"
"No","1998","16-34 y.","Female","417","0.130620304918628","0.117322694376488","0.143917915460769"
"No","1998","16-34 y.","Male","433","0.125294203280094","0.112098989386127","0.138489417174061"
"No","1998","35-65 y.","Female","459","0.0831779931320802","0.0744173952858109","0.0919385909783495"
"No","1998","35-65 y.","Male","501","0.0920386412305334","0.0827665068642827","0.101310775596784"
"No","1998","66 and older","Female","33","0.0197281351483014","0.0116091374331269","0.0278471328634758"
"No","1998","66 and older","Male","46","0.0302590285242412","0.018112371339617","0.0424056857088655"
"Yes","1998","16-34 y.","Female","2050","0.869379695081372","0.856082084539231","0.882677305623512"
"Yes","1998","16-34 y.","Male","1985","0.874705796719906","0.861510582825939","0.887901010613872"
"Yes","1998","35-65 y.","Female","3358","0.91682200686792","0.90806140902165","0.925582604714189"
"Yes","1998","35-65 y.","Male","3233","0.907961358769466","0.898689224403216","0.917233493135717"
"Yes","1998","66 and older","Female","1094","0.980271864851699","0.972152867136524","0.988390862566873"
"Yes","1998","66 and older","Male","718","0.969740971475759","0.957594314291135","0.981887628660383"
"No","1999","16-34 y.","Female","380","0.118367081434873","0.105295038801311","0.131439124068434"
"No","1999","16-34 y.","Male","390","0.123209949608429","0.109692018763939","0.136727880452919"
"No","1999","35-65 y.","Female","412","0.0862625247359096","0.0772150427646599","0.0953100067071593"
"No","1999","35-65 y.","Male","463","0.0946509829137269","0.0851110698288366","0.104190895998617"
"No","1999","66 and older","Female","40","0.0249967758049037","0.0156774663287829","0.0343160852810245"
"No","1999","66 and older","Male","50","0.0324606316274504","0.0198361673746543","0.0450850958802465"
"Yes","1999","16-34 y.","Female","1966","0.881632918565127","0.868560875931566","0.894704961198689"
"Yes","1999","16-34 y.","Male","1881","0.876790050391571","0.863272119547081","0.890307981236061"
"Yes","1999","35-65 y.","Female","3287","0.91373747526409","0.904689993292841","0.92278495723534"
"Yes","1999","35-65 y.","Male","3154","0.905349017086273","0.895809104001383","0.914888930171163"
"Yes","1999","66 and older","Female","1038","0.975003224195096","0.965683914718975","0.984322533671217"
"Yes","1999","66 and older","Male","707","0.96753936837255","0.954914904119754","0.980163832625346"
"No","2000","16-34 y.","Female","506","0.124135146669433","0.113490374856557","0.134779918482309"
"No","2000","16-34 y.","Male","492","0.125871466755904","0.114817348537451","0.136925584974357"
"No","2000","35-65 y.","Female","569","0.0794964489090013","0.0730801005686915","0.0859127972493111"
"No","2000","35-65 y.","Male","645","0.089810596750246","0.0829393697601426","0.0966818237403493"
"No","2000","66 and older","Female","54","0.0215773370486354","0.0153555054543509","0.0277991686429198"
"No","2000","66 and older","Male","65","0.0309850209228267","0.0223447971333884","0.039625244712265"
"Yes","2000","16-34 y.","Female","3180","0.875864853330567","0.865220081517691","0.886509625143443"
"Yes","2000","16-34 y.","Male","2967","0.874128533244096","0.863074415025644","0.885182651462549"
"Yes","2000","35-65 y.","Female","6259","0.920503551090999","0.914087202750689","0.926919899431309"
"Yes","2000","35-65 y.","Male","6006","0.910189403249754","0.903318176259651","0.917060630239857"
"Yes","2000","66 and older","Female","2041","0.978422662951365","0.97220083135708","0.984644494545649"
"Yes","2000","66 and older","Male","1480","0.969014979077173","0.960374755287735","0.977655202866612"
"No","2001","16-34 y.","Female","432","0.12463230611386","0.113300905636274","0.135963706591446"
"No","2001","16-34 y.","Male","405","0.12244441029023","0.110784263768654","0.134104556811806"
"No","2001","35-65 y.","Female","517","0.0801994415756288","0.0734707887342468","0.0869280944170108"
"No","2001","35-65 y.","Male","566","0.0863412952096389","0.0792691870753116","0.0934134033439662"
"No","2001","66 and older","Female","54","0.0220998209552018","0.0155882858286191","0.0286113560817845"
"No","2001","66 and older","Male","70","0.0355350444103934","0.0261255938655438","0.0449444949552429"
"Yes","2001","16-34 y.","Female","2832","0.87536769388614","0.864036293408554","0.886699094363726"
"Yes","2001","16-34 y.","Male","2631","0.87755558970977","0.865895443188194","0.889215736231346"
"Yes","2001","35-65 y.","Female","5742","0.919800558424371","0.913071905582989","0.926529211265753"
"Yes","2001","35-65 y.","Male","5493","0.913658704790361","0.906586596656034","0.920730812924688"
"Yes","2001","66 and older","Female","1904","0.977900179044798","0.971388643918215","0.984411714171381"
"Yes","2001","66 and older","Male","1417","0.964464955589607","0.955055505044757","0.973874406134456"
"No","2002","16-34 y.","Female","380","0.11831126643256","0.10712964534156","0.129492887523559"
"No","2002","16-34 y.","Male","333","0.116993424072934","0.105455443647849","0.128531404498018"
"No","2002","35-65 y.","Female","511","0.083037788463702","0.0764598720675674","0.0896157048598365"
"No","2002","35-65 y.","Male","541","0.0835078986389472","0.0768184003475249","0.0901973969303696"
"No","2002","66 and older","Female","57","0.0229366442004653","0.0163986480641605","0.0294746403367701"
"No","2002","66 and older","Male","78","0.0465734750830449","0.0363342461881638","0.056812703977926"
"Yes","2002","16-34 y.","Female","2825","0.88168873356744","0.870507112476441","0.89287035465844"
"Yes","2002","16-34 y.","Male","2648","0.883006575927066","0.871468595501982","0.894544556352151"
"Yes","2002","35-65 y.","Female","6249","0.916962211536298","0.910384295140163","0.923540127932433"
"Yes","2002","35-65 y.","Male","6029","0.916492101361053","0.90980260306963","0.923181599652475"
"Yes","2002","66 and older","Female","1957","0.977063355799535","0.97052535966323","0.98360135193584"
"Yes","2002","66 and older","Male","1549","0.953426524916955","0.943187296022074","0.963665753811836"
"No","2003","16-34 y.","Female","342","0.116873234200553","0.105497674723798","0.128248793677307"
"No","2003","16-34 y.","Male","293","0.117877059118833","0.105979748764948","0.129774369472717"
"No","2003","35-65 y.","Female","474","0.0857013248163631","0.0788805491851589","0.0925221004475673"
"No","2003","35-65 y.","Male","488","0.0841276680977733","0.0772388119779548","0.0910165242175918"
"No","2003","66 and older","Female","62","0.0253886167613794","0.0185491617216948","0.0322280718010639"
"No","2003","66 and older","Male","82","0.0481579289370975","0.0378955911959798","0.0584202666782152"
"Yes","2003","16-34 y.","Female","2722","0.883126765799447","0.871751206322693","0.894502325276202"
"Yes","2003","16-34 y.","Male","2529","0.882122940881167","0.870225630527283","0.894020251235052"
"Yes","2003","35-65 y.","Female","5996","0.914298675183637","0.907477899552433","0.921119450814841"
"Yes","2003","35-65 y.","Male","5749","0.915872331902227","0.908983475782408","0.922761188022045"
"Yes","2003","66 and older","Female","1970","0.974611383238621","0.967771928198936","0.981450838278305"
"Yes","2003","66 and older","Male","1590","0.951842071062903","0.941579733321785","0.96210440880402"
"No","2004","16-34 y.","Female","287","0.108275973083238","0.0970382739701927","0.119513672196284"
"No","2004","16-34 y.","Male","263","0.107668731051951","0.0959965654206577","0.119340896683244"
"No","2004","35-65 y.","Female","469","0.0923484586716999","0.0851885399100367","0.0995083774333631"
"No","2004","35-65 y.","Male","462","0.0885460497328274","0.0813511806540092","0.0957409188116456"
"No","2004","66 and older","Female","66","0.0281291434132736","0.0210337991485429","0.0352244876780043"
"No","2004","66 and older","Male","81","0.0465724189950809","0.036645652397993","0.0564991855921687"
"Yes","2004","16-34 y.","Female","2650","0.891724026916762","0.880486327803716","0.902961726029807"
"Yes","2004","16-34 y.","Male","2446","0.892331268948049","0.880659103316756","0.904003434579342"
"Yes","2004","35-65 y.","Female","5812","0.9076515413283","0.900491622566637","0.914811460089963"
"Yes","2004","35-65 y.","Male","5527","0.911453950267173","0.904259081188354","0.918648819345991"
"Yes","2004","66 and older","Female","2020","0.971870856586727","0.964775512321996","0.978966200851457"
"Yes","2004","66 and older","Male","1650","0.953427581004919","0.943500814407831","0.963354347602007"
"No","2005","16-34 y.","Female","258","0.102006068908827","0.0907675975962867","0.113244540221368"
"No","2005","16-34 y.","Male","247","0.115364711336058","0.102984831118873","0.127744591553243"
"No","2005","35-65 y.","Female","459","0.100013942479419","0.0924263570930554","0.107601527865783"
"No","2005","35-65 y.","Male","438","0.0909282924498024","0.0834269040161295","0.0984296808834753"
"No","2005","66 and older","Female","64","0.027106203874106","0.0201155868991353","0.0340968208490768"
"No","2005","66 and older","Male","78","0.0493159523729261","0.0391595993774269","0.0594723053684254"
"Yes","2005","16-34 y.","Female","2528","0.897993931091173","0.886755459778632","0.909232402403713"
"Yes","2005","16-34 y.","Male","2311","0.884635288663942","0.872255408446757","0.897015168881127"
"Yes","2005","35-65 y.","Female","5547","0.899986057520581","0.892398472134217","0.907573642906945"
"Yes","2005","35-65 y.","Male","5205","0.909071707550198","0.901570319116525","0.91657309598387"
"Yes","2005","66 and older","Female","2009","0.972893796125894","0.965903179150923","0.979884413100865"
"Yes","2005","66 and older","Male","1668","0.950684047627074","0.940527694631575","0.960840400622573"
"No","2006","16-34 y.","Female","237","0.11074617091736","0.0989222524462708","0.12257008938845"
"No","2006","16-34 y.","Male","209","0.113533248220898","0.100950716944985","0.126115779496812"
"No","2006","35-65 y.","Female","458","0.100360467635901","0.0930319746860596","0.107688960585743"
"No","2006","35-65 y.","Male","406","0.0894359177046669","0.0822036843383409","0.0966681510709928"
"No","2006","66 and older","Female","67","0.0294313969098645","0.0226653869785168","0.0361974068412123"
"No","2006","66 and older","Male","93","0.0550732033791201","0.0453047607755886","0.0648416459826517"
"Yes","2006","16-34 y.","Female","2469","0.88925382908264","0.87742991061155","0.901077747553729"
"Yes","2006","16-34 y.","Male","2233","0.886466751779102","0.873884220503188","0.899049283055015"
"Yes","2006","35-65 y.","Female","6000","0.899639532364099","0.892311039414257","0.90696802531394"
"Yes","2006","35-65 y.","Male","5575","0.910564082295333","0.903331848929007","0.917796315661659"
"Yes","2006","66 and older","Female","2330","0.970568603090135","0.963802593158788","0.977334613021483"
"Yes","2006","66 and older","Male","2002","0.94492679662088","0.935158354017348","0.954695239224411"
"No","2007","16-34 y.","Female","184","0.106228061983531","0.0941010100559374","0.118355113911125"
"No","2007","16-34 y.","Male","172","0.100970230814049","0.0885182892441145","0.113422172383983"
"No","2007","35-65 y.","Female","408","0.103925185372701","0.0961868415612522","0.111663529184149"
"No","2007","35-65 y.","Male","368","0.0917575356715908","0.0841385509119208","0.0993765204312609"
"No","2007","66 and older","Female","70","0.0335562788968966","0.026278403524372","0.0408341542694212"
"No","2007","66 and older","Male","84","0.0602780110671807","0.0499828589519019","0.0705731631824595"
"Yes","2007","16-34 y.","Female","2296","0.893771938016469","0.881644886088875","0.905898989944063"
"Yes","2007","16-34 y.","Male","2077","0.899029769185951","0.886577827616017","0.911481710755885"
"Yes","2007","35-65 y.","Female","5566","0.896074814627299","0.888336470815851","0.903813158438748"
"Yes","2007","35-65 y.","Male","5147","0.908242464328409","0.900623479568739","0.915861449088079"
"Yes","2007","66 and older","Female","2282","0.966443721103103","0.959165845730579","0.973721596475628"
"Yes","2007","66 and older","Male","1969","0.939721988932819","0.929426836817541","0.950017141048098"
"No","2008","16-34 y.","Female","154","0.101707310943015","0.0893328638561265","0.114081758029902"
"No","2008","16-34 y.","Male","141","0.0961302264337793","0.083477678955002","0.108782773912557"
"No","2008","35-65 y.","Female","363","0.107239781365592","0.0991190874079646","0.11536047532322"
"No","2008","35-65 y.","Male","323","0.0909872464017065","0.0831074384710694","0.0988670543323436"
"No","2008","66 and older","Female","69","0.0347082271973777","0.0272407190182807","0.0421757353764747"
"No","2008","66 and older","Male","82","0.0646831250319348","0.0540408545012059","0.0753253955626637"
"Yes","2008","16-34 y.","Female","2138","0.898292689056986","0.885918241970098","0.910667136143874"
"Yes","2008","16-34 y.","Male","1944","0.903869773566221","0.891217226087443","0.916522321044998"
"Yes","2008","35-65 y.","Female","5214","0.892760218634408","0.88463952467678","0.900880912592035"
"Yes","2008","35-65 y.","Male","4794","0.909012753598294","0.901132945667657","0.916892561528931"
"Yes","2008","66 and older","Female","2239","0.965291772802622","0.957824264623525","0.972759280981719"
"Yes","2008","66 and older","Male","1970","0.935316874968065","0.924674604437336","0.945959145498794"
"No","2009","16-34 y.","Female","132","0.108799784295489","0.0954178749895843","0.122181693601393"
"No","2009","16-34 y.","Male","122","0.0939332574534063","0.0809042978923119","0.106962217014501"
"No","2009","35-65 y.","Female","325","0.110460384809643","0.101922446925726","0.118998322693561"
"No","2009","35-65 y.","Male","275","0.0920271800528787","0.083783263264618","0.100271096841139"
"No","2009","66 and older","Female","66","0.0370902163789222","0.0292359941934165","0.0449444385644279"
"No","2009","66 and older","Male","69","0.0557462395043675","0.0456785737003303","0.0658139053084046"
"Yes","2009","16-34 y.","Female","1948","0.891200215704511","0.877818306398607","0.904582125010416"
"Yes","2009","16-34 y.","Male","1804","0.906066742546594","0.893037782985499","0.919095702107688"
"Yes","2009","35-65 y.","Female","4853","0.889539615190357","0.881001677306439","0.898077553074274"
"Yes","2009","35-65 y.","Male","4448","0.907972819947121","0.899728903158861","0.916216736735382"
"Yes","2009","66 and older","Female","2158","0.962909783621078","0.955055561435572","0.970764005806583"
"Yes","2009","66 and older","Male","1926","0.944253760495632","0.934186094691595","0.95432142629967"
"No","2010","16-34 y.","Female","360","0.106965313020359","0.0971449756558345","0.116785650384884"
"No","2010","16-34 y.","Male","241","0.088154565201044","0.0776229133632503","0.0986862170388377"
"No","2010","35-65 y.","Female","493","0.114556626324416","0.107184733427653","0.12192851922118"
"No","2010","35-65 y.","Male","435","0.0910241454351737","0.0838849459636453","0.098163344906702"
"No","2010","66 and older","Female","55","0.0339090701169437","0.0262441911701342","0.0415739490637533"
"No","2010","66 and older","Male","72","0.0642443605286601","0.0533169165666147","0.0751718044907055"
"Yes","2010","16-34 y.","Female","3445","0.893034686979641","0.883214349615116","0.902855024344166"
"Yes","2010","16-34 y.","Male","2543","0.911845434798956","0.901313782961162","0.92237708663675"
"Yes","2010","35-65 y.","Female","6677","0.885443373675584","0.87807148077882","0.892815266572347"
"Yes","2010","35-65 y.","Male","5801","0.908975854564826","0.901836655093298","0.916115054036355"
"Yes","2010","66 and older","Female","2087","0.966090929883056","0.958426050936247","0.973755808829866"
