"plj0014_v3","year","regtyp","sex","n","percent","lower_confidence","upper_confidence","value"
"No","1996","Rural Area","Female","127","0.0292689380263983","0.0223546402202455","0.0361832358325511","2"
"No","1996","Rural Area","Male","134","0.0293615842327627","0.0222273663952495","0.0364958020702759","2"
"No","1996","Urban Area","Female","902","0.0966170145474174","0.0880099794005303","0.105224049694304","2"
"No","1996","Urban Area","Male","963","0.120165900659104","0.110289840006975","0.130041961311234","2"
"Yes","1996","Urban Area","Female","3624","0.903382985452583","0.894775950305696","0.91199002059947","1"
"Yes","1996","Urban Area","Male","3201","0.879834099340896","0.869958038688766","0.889710159993025","1"
"Yes","1996","Rural Area","Male","2017","0.970638415767237","0.963504197929724","0.977772633604751","1"
"Yes","1996","Rural Area","Female","2156","0.970731061973602","0.963816764167449","0.977645359779755","1"
"No","1997","Rural Area","Female","123","0.0325468818778939","0.0252115529041768","0.0398822108516111","2"
"No","1997","Rural Area","Male","119","0.0275488412912159","0.0205782329644899","0.0345194496179419","2"
"No","1997","Urban Area","Female","846","0.101620201004905","0.0927217325627391","0.110518669447072","2"
"No","1997","Urban Area","Male","924","0.119210426358585","0.109314751935174","0.129106100781996","2"
"Yes","1997","Rural Area","Male","1999","0.972451158708784","0.965480550382058","0.97942176703551","1"
"Yes","1997","Rural Area","Female","2125","0.967453118122106","0.960117789148389","0.974788447095823","1"
"Yes","1997","Urban Area","Female","3583","0.898379798995095","0.889481330552928","0.907278267437261","1"
"Yes","1997","Urban Area","Male","3195","0.880789573641415","0.870893899218004","0.890685248064826","1"
"No","1998","Rural Area","Male","117","0.0331101504799708","0.0259218091603255","0.0402984917996162","2"
"No","1998","Urban Area","Female","800","0.103002678346711","0.094497094090204","0.111508262603218","2"
"No","1998","Urban Area","Male","863","0.118335090064305","0.108935257471456","0.127734922657154","2"
"No","1998","Rural Area","Female","109","0.0290342502683215","0.022459163486468","0.0356093370501751","2"
"Yes","1998","Rural Area","Male","2263","0.966889849520029","0.959701508200384","0.974078190839674","1"
"Yes","1998","Urban Area","Male","3673","0.881664909935695","0.872265077342846","0.891064742528544","1"
"Yes","1998","Rural Area","Female","2396","0.970965749731678","0.964390662949825","0.977540836513532","1"
"Yes","1998","Urban Area","Female","4106","0.896997321653289","0.888491737396782","0.905502905909796","1"
"No","1999","Rural Area","Male","98","0.0250249104754922","0.0186287614708176","0.0314210594801668","2"
"No","1999","Urban Area","Female","729","0.101099315940671","0.0924680020058635","0.109730629875478","2"
"No","1999","Urban Area","Male","805","0.122186264556744","0.112458428145168","0.131914100968319","2"
"No","1999","Rural Area","Female","103","0.0308061729052096","0.0239458505897126","0.0376664952207066","2"
"Yes","1999","Rural Area","Male","2193","0.974975089524508","0.968578940519833","0.981371238529182","1"
"Yes","1999","Urban Area","Male","3549","0.877813735443257","0.868085899031681","0.887541571854832","1"
"Yes","1999","Rural Area","Female","2334","0.96919382709479","0.962333504779293","0.976054149410287","1"
"Yes","1999","Urban Area","Female","3957","0.898900684059329","0.890269370124522","0.907531997994137","1"
"No","2000","Rural Area","Male","134","0.025947278706032","0.0210346921532905","0.0308598652587736","2"
"No","2000","Rural Area","Female","143","0.0298007842485788","0.0247090272828564","0.0348925412143013","2"
"No","2000","Urban Area","Female","986","0.0983021064222324","0.0919070875961613","0.104697125248303","2"
"No","2000","Urban Area","Male","1068","0.119697753442901","0.112415607732153","0.126979899153648","2"
"Yes","2000","Rural Area","Male","3889","0.974052721293968","0.969140134741226","0.978965307846709","1"
"Yes","2000","Urban Area","Male","6565","0.880302246557099","0.873020100846352","0.887584392267847","1"
"Yes","2000","Rural Area","Female","4141","0.970199215751421","0.965107458785699","0.975290972717144","1"
"Yes","2000","Urban Area","Female","7340","0.901697893577768","0.895302874751697","0.908092912403839","1"
"No","2001","Rural Area","Male","120","0.0269269501259836","0.0216835315076454","0.0321703687443219","2"
"No","2001","Urban Area","Male","921","0.115214581659336","0.107692529018872","0.1227366342998","2"
"No","2001","Rural Area","Female","125","0.0301740446386346","0.0247858399879693","0.0355622492892999","2"
