"plj0014_v3","year","hgtyp1hh","regtyp","n","percent","lower_confidence","upper_confidence"
"No","1996","(Married) couple without C. ","Rural Area","41","0.0205170712463795","0.0122951907911561","0.0287389517016028"
"No","1996","(Married) couple without C. ","Urban Area","332","0.0732001119022488","0.0628419381340748","0.0835582856704228"
"No","1996","1-pers.-HH","Rural Area","18","","",""
"No","1996","1-pers.-HH","Urban Area","102","0.0501803488709043","0.0370747490651749","0.0632859486766337"
"No","1996","Couple + C. GT 16 ","Rural Area","65","0.0319279066910606","0.0201710673831877","0.0436847459989335"
"No","1996","Couple + C. GT 16 ","Urban Area","437","0.151717730278194","0.13367091518521","0.169764545371179"
"No","1996","Couple + C. LE 16 ","Rural Area","75","0.0468364092017811","0.033850775960235","0.0598220424433272"
"No","1996","Couple + C. LE 16 ","Urban Area","487","0.161889441993504","0.145713732342213","0.178065151644795"
"No","1996","Couple + C. LE and GT 16","Rural Area","40","0.0428630762972567","0.0248368040610157","0.0608893485334977"
"No","1996","Couple + C. LE and GT 16","Urban Area","269","0.206526906666629","0.17791549122142","0.235138322111837"
"No","1996","Single parent ","Rural Area","9","","",""
"No","1996","Single parent ","Urban Area","80","0.109873581735259","0.080882340084823","0.138864823385696"
"Yes","1996","(Married) couple without C. ","Rural Area","1101","0.979482928753621","0.971261048298397","0.987704809208844"
"Yes","1996","(Married) couple without C. ","Urban Area","2097","0.926799888097751","0.916441714329577","0.937158061865925"
"Yes","1996","1-pers.-HH","Rural Area","405","0.976095518383392","0.961538791564878","0.990652245201905"
"Yes","1996","1-pers.-HH","Urban Area","964","0.949819651129096","0.936714051323366","0.962925250934825"
"Yes","1996","Couple + C. GT 16 ","Rural Area","794","0.968072093308939","0.956315254001067","0.979828932616812"
"Yes","1996","Couple + C. GT 16 ","Urban Area","1081","0.848282269721806","0.830235454628821","0.86632908481479"
"Yes","1996","Couple + C. LE 16 ","Rural Area","942","0.953163590798219","0.940177957556673","0.966149224039765"
"Yes","1996","Couple + C. LE 16 ","Urban Area","1505","0.838110558006496","0.821934848355205","0.854286267657787"
"Yes","1996","Couple + C. LE and GT 16","Rural Area","445","0.957136923702743","0.939110651466502","0.975163195938984"
"Yes","1996","Couple + C. LE and GT 16","Urban Area","500","0.793473093333371","0.764861677888163","0.82208450877858"
"Yes","1996","Single parent ","Rural Area","198","0.977141871583083","0.956782608036938","0.997501135129229"
"Yes","1996","Single parent ","Urban Area","367","0.890126418264741","0.861135176614304","0.919117659915177"
"No","1997","(Married) couple without C. ","Rural Area","45","0.0206551997456082","0.0124985994617429","0.0288118000294736"
"No","1997","(Married) couple without C. ","Urban Area","350","0.0856516998366812","0.0745681846022034","0.0967352150711591"
"No","1997","1-pers.-HH","Rural Area","18","","",""
"No","1997","1-pers.-HH","Urban Area","94","0.0443481607859572","0.0318961038389709","0.0568002177329436"
