"plj0014_v3","year","e11102","regtyp","n","percent","lower_confidence","upper_confidence"
"No","1996","Employed","Rural Area","182","0.0330893664281809","0.0265736646129506","0.0396050682434112"
"No","1996","Employed","Urban Area","1186","0.11519782793308","0.106805257603847","0.123590398262312"
"No","1996","Not Employed","Rural Area","79","0.0241587837362793","0.0164877146717838","0.0318298528007749"
"No","1996","Not Employed","Urban Area","679","0.0974282175384364","0.0870412251898309","0.107815209887042"
"Yes","1996","Employed","Rural Area","2713","0.966910633571819","0.960394931756589","0.973426335387049"
"Yes","1996","Employed","Urban Area","4373","0.88480217206692","0.876409601737688","0.893194742396153"
"Yes","1996","Not Employed","Rural Area","1460","0.975841216263721","0.968170147199225","0.983512285328216"
"Yes","1996","Not Employed","Urban Area","2452","0.902571782461564","0.892184790112958","0.912958774810169"
"No","1997","Employed","Rural Area","159","0.0311396826602048","0.0246956779648824","0.0375836873555271"
"No","1997","Employed","Urban Area","1074","0.112369450115915","0.103924047909402","0.120814852322428"
"No","1997","Not Employed","Rural Area","83","0.0287974276949094","0.0205381974693872","0.0370566579204315"
"No","1997","Not Employed","Urban Area","696","0.106839433775477","0.0960961164626261","0.117582751088327"
"Yes","1997","Employed","Rural Area","2632","0.968860317339795","0.962416312644473","0.975304322035118"
"Yes","1997","Employed","Urban Area","4298","0.887630549884085","0.879185147677572","0.896075952090598"
"Yes","1997","Not Employed","Rural Area","1492","0.971202572305091","0.962943342079568","0.979461802530613"
"Yes","1997","Not Employed","Urban Area","2480","0.893160566224523","0.882417248911673","0.903903883537374"
"No","1998","Employed","Rural Area","142","0.0297836074000319","0.0237675197313794","0.0357996950686845"
"No","1998","Employed","Urban Area","1015","0.119272213947068","0.110946149257807","0.12759827863633"
"No","1998","Not Employed","Rural Area","84","0.0325439996278095","0.0243875299503578","0.0407004693052612"
"No","1998","Not Employed","Urban Area","648","0.0984235463457653","0.0887210248490696","0.108126067842461"
"Yes","1998","Employed","Rural Area","2925","0.970216392599968","0.964200304931315","0.976232480268621"
"Yes","1998","Employed","Urban Area","4806","0.880727786052932","0.87240172136367","0.889053850742193"
"Yes","1998","Not Employed","Rural Area","1734","0.96745600037219","0.959299530694739","0.975612470049642"
"Yes","1998","Not Employed","Urban Area","2973","0.901576453654235","0.891873932157539","0.91127897515093"
"No","1999","Employed","Rural Area","125","0.0259460293101085","0.0202930008883489","0.0315990577318682"
"No","1999","Employed","Urban Area","941","0.121108598757129","0.112684633607933","0.129532563906326"
"No","1999","Not Employed","Rural Area","76","0.0307933787869881","0.0225568997574286","0.0390298578165477"
"No","1999","Not Employed","Urban Area","593","0.0967740884304155","0.0866531366671949","0.106895040193636"
"Yes","1999","Employed","Rural Area","2913","0.974053970689892","0.968400942268132","0.979706999111651"
"Yes","1999","Employed","Urban Area","4821","0.878891401242871","0.870467436093674","0.887315366392067"
"Yes","1999","Not Employed","Rural Area","1614","0.969206621213012","0.960970142183452","0.977443100242571"
"Yes","1999","Not Employed","Urban Area","2685","0.903225911569584","0.893104959806364","0.913346863332805"
"No","2000","Employed","Rural Area","164","0.0274199233854645","0.0229958019952975","0.0318440447756314"
"No","2000","Employed","Urban Area","1280","0.116565390332805","0.110263531987545","0.122867248678065"
"No","2000","Not Employed","Rural Area","113","0.0286838330022445","0.0227803667598428","0.0345872992446461"
"No","2000","Not Employed","Urban Area","774","0.0966041434723978","0.0891279284324502","0.104080358512346"
"Yes","2000","Employed","Rural Area","5070","0.972580076614535","0.968155955224368","0.977004198004703"
"Yes","2000","Employed","Urban Area","8681","0.883434609667195","0.877132751321935","0.889736468012455"
"Yes","2000","Not Employed","Rural Area","2958","0.971316166997755","0.965412700755354","0.977219633240157"
"Yes","2000","Not Employed","Urban Area","5224","0.903395856527602","0.895919641487654","0.91087207156755"
"No","2001","Employed","Rural Area","163","0.0306248809775122","0.0257120669592935","0.0355376949957309"
"No","2001","Employed","Urban Area","1141","0.113678602037418","0.107192067110814","0.120165136964023"
"No","2001","Not Employed","Rural Area","82","0.0255678562544337","0.0197297432360706","0.0314059692727968"
"No","2001","Not Employed","Urban Area","658","0.0944892257470515","0.0866372001624521","0.102341251331651"
"Yes","2001","Employed","Rural Area","4562","0.969375119022488","0.964462305004269","0.974287933040707"
"Yes","2001","Employed","Urban Area","8058","0.886321397962582","0.879834863035977","0.892807932889186"
"Yes","2001","Not Employed","Rural Area","2726","0.974432143745566","0.968594030727203","0.98027025676393"
"Yes","2001","Not Employed","Urban Area","4673","0.905510774252949","0.897658748668349","0.913362799837548"
"No","2002","Employed","Rural Area","140","0.0312675387764913","0.0263674363173467","0.036167641235636"
"No","2002","Employed","Urban Area","1061","0.110551423576066","0.104406064587723","0.11669678256441"
"No","2002","Not Employed","Rural Area","86","0.0278071971827583","0.0217430385445062","0.0338713558210104"
"No","2002","Not Employed","Urban Area","613","0.0953960313742152","0.08762185886708","0.10317020388135"
"Yes","2002","Employed","Rural Area","4706","0.968732461223509","0.963832358764364","0.973632563682653"
"Yes","2002","Employed","Urban Area","8941","0.889448576423934","0.88330321743559","0.895593935412277"
"Yes","2002","Not Employed","Rural Area","2738","0.972192802817242","0.96612864417899","0.978256961455494"
"Yes","2002","Not Employed","Urban Area","4872","0.904603968625785","0.89682979611865","0.91237814113292"
"No","2003","Employed","Rural Area","134","0.0327194205818267","0.0275716945792979","0.0378671465843554"
"No","2003","Employed","Urban Area","932","0.107940004859181","0.101696862568454","0.114183147149907"
"No","2003","Not Employed","Rural Area","74","0.0275376158514784","0.0214347218323468","0.0336405098706099"
"No","2003","Not Employed","Urban Area","601","0.101216633841453","0.0932141543055994","0.109219113377307"
"Yes","2003","Employed","Rural Area","4454","0.967280579418173","0.962132853415644","0.972428305420702"
"Yes","2003","Employed","Urban Area","8558","0.892059995140819","0.885816852850092","0.898303137431546"
"Yes","2003","Not Employed","Rural Area","2688","0.972462384148522","0.96635949012939","0.978565278167653"
"Yes","2003","Not Employed","Urban Area","4856","0.898783366158547","0.890780886622693","0.9067858456944"
"No","2004","Employed","Rural Area","126","0.0345674599747771","0.0291910054152804","0.0399439145342737"
"No","2004","Employed","Urban Area","856","0.107528266669338","0.101155039411458","0.113901493927217"
"No","2004","Not Employed","Rural Area","76","0.0319316922781478","0.0253712033066682","0.0384921812496274"
"No","2004","Not Employed","Urban Area","570","0.100253574693831","0.0922893686139493","0.108217780773712"
"Yes","2004","Employed","Rural Area","4309","0.965432540025223","0.960056085465726","0.97080899458472"
"Yes","2004","Employed","Urban Area","8220","0.892471733330662","0.886098506072783","0.898844960588542"
"Yes","2004","Not Employed","Rural Area","2683","0.968068307721852","0.961507818750373","0.974628796693332"
