"plj0014_v3","year","age_gr","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"No","1996","35-65 y.","Couple + C. LE and GT 16","189","0.151828901578959","0.126693480222768","0.17696432293515","2"
"No","1996","16-34 y.","Couple + C. LE 16 ","360","0.16669308606749","0.147608156359004","0.185778015775976","2"
"No","1996","16-34 y.","(Married) couple without C. ","120","0.0823418288838699","0.0641697599362899","0.10051389783145","2"
"No","1996","35-65 y.","Couple + C. GT 16 ","286","0.113641434714324","0.0968355691803319","0.130447300248317","2"
"No","1996","16-34 y.","Single parent ","44","0.0954283590134655","0.0633375720730761","0.127519145953855","2"
"No","1996","16-34 y.","1-pers.-HH","50","0.0846388751384699","0.0585120872230874","0.110765663053852","2"
"No","1996","16-34 y.","Couple + C. GT 16 ","195","0.118992102900665","0.0978506579787748","0.140133547822555","2"
"No","1996","35-65 y.","(Married) couple without C. ","228","0.0715212450287698","0.0599158047219457","0.083126685335594","2"
"No","1996","35-65 y.","Single parent ","42","0.0863685243321659","0.054038028263195","0.118699020401137","2"
"No","1996","35-65 y.","Couple + C. LE 16 ","202","0.0966091056127628","0.0818686124669824","0.111349598758543","2"
"No","1996","66 and older","Single parent ","3","","","","2"
"No","1996","66 and older","(Married) couple without C. ","25","","","","2"
"No","1996","16-34 y.","Couple + C. LE and GT 16","120","0.154723720069657","0.122063776664626","0.187383663474688","2"
"No","1996","35-65 y.","1-pers.-HH","58","0.0593377326421879","0.0390898515320988","0.079585613752277","2"
"No","1996","66 and older","1-pers.-HH","12","","","","2"
"No","1996","66 and older","Couple + C. GT 16 ","21","","","","2"
"No","1996","66 and older","Couple + C. LE and GT 16","","","","","2"
"No","1996","66 and older","Couple + C. LE 16 ","","","","","2"
"Yes","1996","16-34 y.","1-pers.-HH","386","0.91536112486153","0.889234336946148","0.941487912776913","1"
"Yes","1996","16-34 y.","(Married) couple without C. ","759","0.91765817111613","0.89948610216855","0.93583024006371","1"
"Yes","1996","16-34 y.","Single parent ","278","0.904571640986535","0.872480854046145","0.936662427926924","1"
"Yes","1996","16-34 y.","Couple + C. LE 16 ","1105","0.83330691393251","0.814221984224024","0.852391843640996","1"
"Yes","1996","16-34 y.","Couple + C. GT 16 ","706","0.881007897099335","0.859866452177445","0.902149342021225","1"
"Yes","1996","16-34 y.","Couple + C. LE and GT 16","351","0.845276279930343","0.812616336525312","0.877936223335374","1"
"Yes","1996","35-65 y.","1-pers.-HH","465","0.940662267357812","0.920414386247723","0.960910148467901","1"
"Yes","1996","35-65 y.","(Married) couple without C. ","1666","0.92847875497123","0.916873314664406","0.940084195278054","1"
"Yes","1996","35-65 y.","Single parent ","248","0.913631475667834","0.881300979598863","0.945961971736805","1"
"Yes","1996","35-65 y.","Couple + C. LE 16 ","1341","0.903390894387237","0.888650401241457","0.918131387533018","1"
"Yes","1996","35-65 y.","Couple + C. GT 16 ","1084","0.886358565285676","0.869552699751683","0.903164430819668","1"
"Yes","1996","35-65 y.","Couple + C. LE and GT 16","594","0.848171098421041","0.82303567706485","0.873306519777232","1"
"Yes","1996","66 and older","1-pers.-HH","519","0.991308404947535","0.983413353458107","0.999203456436963","1"
"Yes","1996","66 and older","(Married) couple without C. ","773","0.980554956964372","0.970974481357925","0.990135432570819","1"
"Yes","1996","66 and older","Single parent ","39","0.990162631296311","0.960314565983246","1.02001069660938","1"
"Yes","1996","66 and older","Couple + C. LE 16 ","1","","","","1"
"Yes","1996","66 and older","Couple + C. GT 16 ","85","0.958163192455163","0.920048346505864","0.996278038404462","1"
"Yes","1996","66 and older","Couple + C. LE and GT 16","","","","","1"
"No","1997","35-65 y.","Couple + C. LE and GT 16","172","0.163668061376587","0.137501973757749","0.189834148995425","2"
"No","1997","16-34 y.","(Married) couple without C. ","123","0.109971466741492","0.0890010526024266","0.130941880880556","2"
"No","1997","35-65 y.","Couple + C. GT 16 ","265","0.108235746785044","0.0917423331076093","0.124729160462479","2"
"No","1997","16-34 y.","1-pers.-HH","42","0.0568635151372393","0.0350256418367903","0.0787013884376884","2"
"No","1997","35-65 y.","Couple + C. LE 16 ","176","0.0910634528528851","0.0762398877431788","0.105887017962591","2"
"No","1997","16-34 y.","Couple + C. LE 16 ","348","0.177064718988214","0.157069188464741","0.197060249511686","2"
"No","1997","35-65 y.","(Married) couple without C. ","239","0.079127911747778","0.0670598949385913","0.0911959285569647","2"
"No","1997","35-65 y.","Single parent ","32","0.0652218830940857","0.0376910225427414","0.09275274364543","2"
"No","1997","16-34 y.","Single parent ","35","0.084212371134349","0.0522503358803956","0.116174406388302","2"
"No","1997","16-34 y.","Couple + C. GT 16 ","186","0.112520032980558","0.0920222492362222","0.133017816724893","2"
"No","1997","66 and older","1-pers.-HH","19","","","","2"
"No","1997","66 and older","Single parent ","2","","","","2"
"No","1997","66 and older","(Married) couple without C. ","33","0.0195819550151957","0.0102119004430412","0.0289520095873502","2"
"No","1997","16-34 y.","Couple + C. LE and GT 16","104","0.159998182574048","0.125936529351156","0.19405983579694","2"
"No","1997","35-65 y.","1-pers.-HH","51","0.0546458005387709","0.034743425615893","0.0745481754616488","2"
"No","1997","66 and older","Couple + C. GT 16 ","23","","","","2"
"No","1997","66 and older","Couple + C. LE and GT 16","","","","","2"
"No","1997","66 and older","Couple + C. LE 16 ","","","","","2"
"Yes","1997","16-34 y.","1-pers.-HH","390","0.943136484862761","0.921298611562312","0.96497435816321","1"
"Yes","1997","16-34 y.","(Married) couple without C. ","732","0.890028533258509","0.869058119119444","0.910998947397573","1"
"Yes","1997","16-34 y.","Single parent ","255","0.915787628865651","0.883825593611698","0.947749664119604","1"
"Yes","1997","16-34 y.","Couple + C. LE 16 ","1052","0.822935281011786","0.802939750488314","0.842930811535259","1"
"Yes","1997","16-34 y.","Couple + C. GT 16 ","727","0.887479967019442","0.866982183275107","0.907977750763778","1"
"Yes","1997","16-34 y.","Couple + C. LE and GT 16","341","0.840001817425952","0.805940164203059","0.874063470648844","1"
"Yes","1997","35-65 y.","1-pers.-HH","450","0.945354199461229","0.925451824538351","0.965256574384107","1"
"Yes","1997","35-65 y.","(Married) couple without C. ","1683","0.920872088252222","0.908804071443035","0.932940105061409","1"
"Yes","1997","35-65 y.","Single parent ","277","0.934778116905914","0.90724725635457","0.962308977457259","1"
