"plj0014_v3","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence","value"
"No","1996","in school","Rural Area","2","","","","2"
"No","1996","general elemantary","Urban Area","565","0.14402751763807","0.127197576622842","0.160857458653297","2"
"No","1996","inadequately","Rural Area","55","0.346046450254975","0.246085790291446","0.446007110218505","2"
"No","1996","higher education","Rural Area","6","","","","2"
"No","1996","inadequately","Urban Area","351","0.694384034779361","0.64973888138934","0.739029188169382","2"
"No","1996","higher vocational","Rural Area","","","","","2"
"No","1996","higher education","Urban Area","82","0.0864622656819931","0.070119126599054","0.102805404764932","2"
"No","1996","in school","Urban Area","43","0.142668913992399","0.0945585065068009","0.190779321477997","2"
"No","1996","higher vocational","Urban Area","22","","","","2"
"No","1996","general elemantary","Rural Area","91","0.0512178004693378","0.0353027480604069","0.0671328528782686","2"
"No","1996","middle vocational","Urban Area","597","0.0683859716666623","0.0607714621161809","0.0760004812171437","2"
"No","1996","middle vocational","Rural Area","80","0.0137219205086993","0.00909172467847259","0.018352116338926","2"
"No","1996","vocational + Abi","Urban Area","89","0.180915567434129","0.141315394384442","0.220515740483816","2"
"No","1996","vocational + Abi","Rural Area","10","","","","2"
"Yes","1996","in school","Urban Area","160","0.857331086007601","0.809220678522003","0.905441493493199","1"
"Yes","1996","in school","Rural Area","89","0.989649604287621","0.968855194438771","1.01044401413647","1"
"Yes","1996","inadequately","Urban Area","58","0.305615965220639","0.260970811830618","0.35026111861066","1"
"Yes","1996","inadequately","Rural Area","32","0.653953549745025","0.553992889781496","0.753914209708554","1"
"Yes","1996","general elemantary","Urban Area","1107","0.85597248236193","0.839142541346703","0.872802423377158","1"
"Yes","1996","general elemantary","Rural Area","646","0.948782199530662","0.932867147121731","0.964697251939593","1"
"Yes","1996","middle vocational","Urban Area","3624","0.931614028333338","0.923999518782856","0.939228537883819","1"
"Yes","1996","middle vocational","Rural Area","2345","0.986278079491301","0.981647883661074","0.990908275321527","1"
"Yes","1996","vocational + Abi","Urban Area","274","0.819084432565871","0.779484259516184","0.858684605615558","1"
"Yes","1996","vocational + Abi","Rural Area","105","0.935530977137127","0.890645711378335","0.980416242895918","1"
"Yes","1996","higher vocational","Urban Area","462","0.976387952151547","0.962860891307218","0.989915012995877","1"
"Yes","1996","higher vocational","Rural Area","286","1","1","1","1"
"Yes","1996","higher education","Urban Area","1054","0.913537734318007","0.897194595235068","0.929880873400946","1"
"Yes","1996","higher education","Rural Area","628","0.981490382556163","0.970998698407762","0.991982066704565","1"
"No","1997","higher education","Rural Area","5","","","","2"
"No","1997","in school","Rural Area","2","","","","2"
"No","1997","higher vocational","Rural Area","","","","","2"
"No","1997","inadequately","Urban Area","334","0.712833251814506","0.667930098761361","0.757736404867652","2"
