"plj0014_v3","year","bula_h","sampreg","n","percent","lower_confidence","upper_confidence"
"No","2002","Baden-Württemberg","West Germany","546","0.1487086634949","0.13557899412096","0.161838332868839"
"No","2002","Baden-Württemberg","East Germany","","","",""
"No","2002","Bavaria","West Germany","278","0.091596296934922","0.0817141002247842","0.10147849364506"
"No","2002","Bavaria","East Germany","","","",""
"No","2002","Berlin","West Germany","49","0.137342316136549","0.106157255307435","0.168527376965664"
"No","2002","Berlin","East Germany","2","","",""
"No","2002","Brandenburg","West Germany","","","",""
"No","2002","Brandenburg","East Germany","1","","",""
"No","2002","Mecklenburg-Western Pomerania","West Germany","","","",""
"No","2002","Mecklenburg-Western Pomerania","East Germany","1","","",""
"No","2002","Saxony","West Germany","","","",""
"No","2002","Saxony","East Germany","4","","",""
"No","2002","Saxony-Anhalt","West Germany","","","",""
"No","2002","Saxony-Anhalt","East Germany","1","","",""
"No","2002","Thuringia","West Germany","","","",""
"No","2002","Thuringia","East Germany","3","","",""
"Yes","2003","Schleswig-Holstein","West Germany","641","0.938758241898952","0.920669976941261","0.956846506856644"
"Yes","2003","Schleswig-Holstein","East Germany","","","",""
"Yes","2003","Hamburg","West Germany","280","0.964862867924362","0.94395759166079","0.985768144187934"
"Yes","2003","Hamburg","East Germany","","","",""
"Yes","2003","Lower Saxony","West Germany","1804","0.945728902502107","0.935584698564458","0.955873106439756"
"Yes","2003","Lower Saxony","East Germany","","","",""
"Yes","2003","Bremen","West Germany","163","0.902309993575266","0.858195995522434","0.946423991628098"
"Yes","2003","Bremen","East Germany","","","",""
"Yes","2003","North Rhine-Westphalia","West Germany","4229","0.900922805935315","0.892377754394671","0.909467857475959"
"Yes","2003","North Rhine-Westphalia","East Germany","","","",""
"Yes","2003","Hesse","West Germany","1322","0.876688434845909","0.860077105654678","0.89329976403714"
"Yes","2003","Hesse","East Germany","","","",""
"Yes","2003","Rhineland-Palatinate,Saarland","West Germany","1262","0.915701218946316","0.900907887526895","0.930494550365738"
"Yes","2003","Rhineland-Palatinate,Saarland","East Germany","","","",""
"Yes","2003","Baden-Württemberg","West Germany","2214","0.854553612743162","0.841272786658605","0.867834438827719"
"Yes","2003","Baden-Württemberg","East Germany","","","",""
"Yes","2003","Bavaria","West Germany","2873","0.901080231742279","0.890645986444655","0.911514477039903"
"Yes","2003","Bavaria","East Germany","","","",""
"Yes","2003","Berlin","West Germany","409","0.859377233087868","0.827400071902009","0.891354394273727"
"Yes","2003","Berlin","East Germany","374","0.994800755013045","0.987541106237272","1.00206040378882"
"Yes","2003","Brandenburg","West Germany","","","",""
"Yes","2003","Brandenburg","East Germany","946","0.9951759631391","0.990767672371638","0.999584253906562"
"Yes","2003","Mecklenburg-Western Pomerania","West Germany","","","",""
"Yes","2003","Mecklenburg-Western Pomerania","East Germany","527","0.999219992068831","0.996838708055185","1.00160127608248"
"Yes","2003","Saxony","West Germany","","","",""
"Yes","2003","Saxony","East Germany","1617","0.99482750941291","0.991336537025999","0.99831848179982"
"Yes","2003","Saxony-Anhalt","West Germany","","","",""
"Yes","2003","Saxony-Anhalt","East Germany","938","1","1","1"
"Yes","2003","Thuringia","West Germany","","","",""
"Yes","2003","Thuringia","East Germany","957","0.998836580849158","0.996677938662276","1.00099522303604"
"No","2003","Schleswig-Holstein","West Germany","34","0.0612417581010475","0.0431534931433558","0.0793300230587392"
"No","2003","Schleswig-Holstein","East Germany","","","",""
"No","2003","Hamburg","West Germany","18","","",""
"No","2003","Hamburg","East Germany","","","",""
"No","2003","Lower Saxony","West Germany","112","0.0542710974978929","0.0441268935602439","0.064415301435542"
"No","2003","Lower Saxony","East Germany","","","",""
"No","2003","Bremen","West Germany","11","","",""
"No","2003","Bremen","East Germany","","","",""
"No","2003","North Rhine-Westphalia","West Germany","467","0.099077194064685","0.0905321425240407","0.107622245605329"
"No","2003","North Rhine-Westphalia","East Germany","","","",""
"No","2003","Hesse","West Germany","183","0.123311565154091","0.10670023596286","0.139922894345322"
"No","2003","Hesse","East Germany","","","",""
"No","2003","Rhineland-Palatinate,Saarland","West Germany","93","0.0842987810536837","0.0695054496342622","0.0990921124731052"
"No","2003","Rhineland-Palatinate,Saarland","East Germany","","","",""
"No","2003","Baden-Württemberg","West Germany","493","0.145446387256838","0.13216556117228","0.158727213341395"
"No","2003","Baden-Württemberg","East Germany","","","",""
"No","2003","Bavaria","West Germany","272","0.0989197682577211","0.0884855229600967","0.109354013555346"
"No","2003","Bavaria","East Germany","","","",""
"No","2003","Berlin","West Germany","45","0.140622766912132","0.108645605726273","0.172599928097991"
"No","2003","Berlin","East Germany","3","","",""
"No","2003","Brandenburg","West Germany","","","",""
"No","2003","Brandenburg","East Germany","3","","",""
"No","2003","Mecklenburg-Western Pomerania","West Germany","","","",""
"No","2003","Mecklenburg-Western Pomerania","East Germany","1","","",""
"No","2003","Saxony","West Germany","","","",""
"No","2003","Saxony","East Germany","5","","",""
"No","2003","Saxony-Anhalt","West Germany","","","",""
"No","2003","Saxony-Anhalt","East Germany","","","",""
"No","2003","Thuringia","West Germany","","","",""
"No","2003","Thuringia","East Germany","1","","",""
"Yes","2004","Schleswig-Holstein","West Germany","643","0.931659787308365","0.912666502418981","0.95065307219775"
"Yes","2004","Schleswig-Holstein","East Germany","","","",""
"Yes","2004","Hamburg","West Germany","280","0.96543420634741","0.944693451099316","0.986174961595505"
"Yes","2004","Hamburg","East Germany","","","",""
"Yes","2004","Lower Saxony","West Germany","1789","0.943261367593961","0.932842666960703","0.953680068227218"
"Yes","2004","Lower Saxony","East Germany","","","",""
"Yes","2004","Bremen","West Germany","157","0.896285212271431","0.850181392682676","0.942389031860186"
"Yes","2004","Bremen","East Germany","","","",""
"Yes","2004","North Rhine-Westphalia","West Germany","4132","0.90203117570211","0.893403917881416","0.910658433522805"
"Yes","2004","North Rhine-Westphalia","East Germany","","","",""
"Yes","2004","Hesse","West Germany","1271","0.863227652243553","0.845523479097358","0.880931825389748"
"Yes","2004","Hesse","East Germany","","","",""
"Yes","2004","Rhineland-Palatinate,Saarland","West Germany","1215","0.90823528768015","0.892578107764866","0.923892467595433"
"Yes","2004","Rhineland-Palatinate,Saarland","East Germany","","","",""
"Yes","2004","Baden-Württemberg","West Germany","2169","0.859969634141408","0.846692056623476","0.873247211659339"
"Yes","2004","Baden-Württemberg","East Germany","","","",""
"Yes","2004","Bavaria","West Germany","2807","0.90363478769071","0.8931827224945","0.91408685288692"
"Yes","2004","Bavaria","East Germany","","","",""
"Yes","2004","Berlin","West Germany","400","0.874566171905856","0.843618682101134","0.905513661710578"
"Yes","2004","Berlin","East Germany","370","0.997752402288895","0.992940162022878","1.00256464255491"
"Yes","2004","Brandenburg","West Germany","","","",""
"Yes","2004","Brandenburg","East Germany","911","0.995316729565715","0.990890537417239","0.999742921714192"
"Yes","2004","Mecklenburg-Western Pomerania","West Germany","","","",""
"Yes","2004","Mecklenburg-Western Pomerania","East Germany","514","0.999235223425617","0.996847711045632","1.0016227358056"
"Yes","2004","Saxony","West Germany","","","",""
"Yes","2004","Saxony","East Germany","1574","0.994237587304919","0.990505370915615","0.997969803694223"
"Yes","2004","Saxony-Anhalt","West Germany","","","",""
"Yes","2004","Saxony-Anhalt","East Germany","928","1","1","1"
"Yes","2004","Thuringia","West Germany","","","",""
"Yes","2004","Thuringia","East Germany","945","0.998847311788857","0.996685051356477","1.00100957222124"
"No","2004","Schleswig-Holstein","West Germany","35","0.0683402126916348","0.0493469278022506","0.087333497581019"
"No","2004","Schleswig-Holstein","East Germany","","","",""
"No","2004","Hamburg","West Germany","18","","",""
"No","2004","Hamburg","East Germany","","","",""
"No","2004","Lower Saxony","West Germany","105","0.0567386324060394","0.0463199317727816","0.0671573330392971"
"No","2004","Lower Saxony","East Germany","","","",""
"No","2004","Bremen","West Germany","11","","",""
"No","2004","Bremen","East Germany","","","",""
"No","2004","North Rhine-Westphalia","West Germany","429","0.0979688242978898","0.0893415664771955","0.106596082118584"
"No","2004","North Rhine-Westphalia","East Germany","","","",""
"No","2004","Hesse","West Germany","176","0.136772347756447","0.119068174610252","0.154476520902642"
"No","2004","Hesse","East Germany","","","",""
"No","2004","Rhineland-Palatinate,Saarland","West Germany","91","0.0917647123198503","0.0761075324045667","0.107421892235134"
"No","2004","Rhineland-Palatinate,Saarland","East Germany","","","",""
"No","2004","Baden-Württemberg","West Germany","455","0.140030365858593","0.126752788340661","0.153307943376524"
"No","2004","Baden-Württemberg","East Germany","","","",""
"No","2004","Bavaria","West Germany","255","0.0963652123092897","0.0859131471130797","0.1068172775055"
"No","2004","Bavaria","East Germany","","","",""
"No","2004","Berlin","West Germany","40","0.125433828094144","0.0944863382894225","0.156381317898866"
"No","2004","Berlin","East Germany","2","","",""
"No","2004","Brandenburg","West Germany","","","",""
"No","2004","Brandenburg","East Germany","3","","",""
"No","2004","Mecklenburg-Western Pomerania","West Germany","","","",""
"No","2004","Mecklenburg-Western Pomerania","East Germany","1","","",""
"No","2004","Saxony","West Germany","","","",""
"No","2004","Saxony","East Germany","6","","",""
"No","2004","Saxony-Anhalt","West Germany","","","",""
"No","2004","Saxony-Anhalt","East Germany","","","",""
"No","2004","Thuringia","West Germany","","","",""
"No","2004","Thuringia","East Germany","1","","",""
"Yes","2005","Schleswig-Holstein","West Germany","621","0.931575737052766","0.912226075851489","0.950925398254044"
"Yes","2005","Schleswig-Holstein","East Germany","","","",""
"Yes","2005","Hamburg","West Germany","273","0.951524638453349","0.926891076582192","0.976158200324506"
"Yes","2005","Hamburg","East Germany","","","",""
"Yes","2005","Lower Saxony","West Germany","1700","0.938659010551183","0.927561533896483","0.949756487205882"
"Yes","2005","Lower Saxony","East Germany","","","",""
"Yes","2005","Bremen","West Germany","145","0.988671617784689","0.971563611393127","1.00577962417625"
"Yes","2005","Bremen","East Germany","","","",""
"Yes","2005","North Rhine-Westphalia","West Germany","3946","0.893890639466729","0.884768858035503","0.903012420897954"
"Yes","2005","North Rhine-Westphalia","East Germany","","","",""
"Yes","2005","Hesse","West Germany","1213","0.870703794302672","0.852943200887059","0.888464387718284"
"Yes","2005","Hesse","East Germany","","","",""
"Yes","2005","Rhineland-Palatinate,Saarland","West Germany","1159","0.898699446805581","0.88191911906874","0.915479774542421"
"Yes","2005","Rhineland-Palatinate,Saarland","East Germany","","","",""
"Yes","2005","Baden-Württemberg","West Germany","2092","0.849349331237571","0.835427313813776","0.863271348661366"
"Yes","2005","Baden-Württemberg","East Germany","","","",""
"Yes","2005","Bavaria","West Germany","2688","0.903904245192476","0.893207106037055","0.914601384347897"
"Yes","2005","Bavaria","East Germany","","","",""
"Yes","2005","Berlin","West Germany","383","0.88093517746084","0.849775873094965","0.912094481826716"
"Yes","2005","Berlin","East Germany","340","0.977798607932736","0.962228784762337","0.993368431103135"
"Yes","2005","Brandenburg","West Germany","","","",""
"Yes","2005","Brandenburg","East Germany","886","0.994987428113663","0.990345094851545","0.999629761375781"
"Yes","2005","Mecklenburg-Western Pomerania","West Germany","","","",""
"Yes","2005","Mecklenburg-Western Pomerania","East Germany","504","0.999364259073035","0.997165870823422","1.00156264732265"
"Yes","2005","Saxony","West Germany","","","",""
"Yes","2005","Saxony","East Germany","1527","0.992765499721077","0.988523168036577","0.997007831405577"
"Yes","2005","Saxony-Anhalt","West Germany","","","",""
"Yes","2005","Saxony-Anhalt","East Germany","899","1","1","1"
"Yes","2005","Thuringia","West Germany","","","",""
"Yes","2005","Thuringia","East Germany","892","0.993454501681332","0.988168531846174","0.99874047151649"
"No","2005","Schleswig-Holstein","West Germany","33","0.0684242629472337","0.0490746017459565","0.0877739241485109"
"No","2005","Schleswig-Holstein","East Germany","","","",""
"No","2005","Hamburg","West Germany","19","","",""
"No","2005","Hamburg","East Germany","","","",""
"No","2005","Lower Saxony","West Germany","96","0.0613409894488174","0.0502435127941181","0.0724384661035168"
"No","2005","Lower Saxony","East Germany","","","",""
"No","2005","Bremen","West Germany","2","","",""
"No","2005","Bremen","East Germany","","","",""
"No","2005","North Rhine-Westphalia","West Germany","433","0.106109360533271","0.0969875791020457","0.115231141964497"
"No","2005","North Rhine-Westphalia","East Germany","","","",""
"No","2005","Hesse","West Germany","158","0.129296205697328","0.111535612281716","0.147056799112941"
"No","2005","Hesse","East Germany","","","",""
"No","2005","Rhineland-Palatinate,Saarland","West Germany","83","0.10130055319442","0.0845202254575788","0.11808088093126"
"No","2005","Rhineland-Palatinate,Saarland","East Germany","","","",""
"No","2005","Baden-Württemberg","West Germany","444","0.150650668762429","0.136728651338634","0.164572686186224"
"No","2005","Baden-Württemberg","East Germany","","","",""
"No","2005","Bavaria","West Germany","228","0.0960957548075245","0.0853986156521036","0.106792893962945"
"No","2005","Bavaria","East Germany","","","",""
"No","2005","Berlin","West Germany","32","0.11906482253916","0.0879055181732838","0.150224126905035"
"No","2005","Berlin","East Germany","4","","",""
"No","2005","Brandenburg","West Germany","","","",""
"No","2005","Brandenburg","East Germany","3","","",""
"No","2005","Mecklenburg-Western Pomerania","West Germany","","","",""
"No","2005","Mecklenburg-Western Pomerania","East Germany","1","","",""
"No","2005","Saxony","West Germany","","","",""
"No","2005","Saxony","East Germany","6","","",""
"No","2005","Saxony-Anhalt","West Germany","","","",""
"No","2005","Saxony-Anhalt","East Germany","","","",""
"No","2005","Thuringia","West Germany","","","",""
"No","2005","Thuringia","East Germany","2","","",""
"Yes","2006","Schleswig-Holstein","West Germany","650","0.941809414069312","0.924161937182832","0.959456890955791"
"Yes","2006","Schleswig-Holstein","East Germany","","","",""
"Yes","2006","Hamburg","West Germany","290","0.9322704549237","0.904298212471541","0.96024269737586"
"Yes","2006","Hamburg","East Germany","","","",""
"Yes","2006","Lower Saxony","West Germany","1888","0.944428464496218","0.934327441650136","0.9545294873423"
"Yes","2006","Lower Saxony","East Germany","","","",""
"Yes","2006","Bremen","West Germany","142","0.985874499741375","0.96666673510846","1.00508226437429"
"Yes","2006","Bremen","East Germany","","","",""
"Yes","2006","North Rhine-Westphalia","West Germany","4150","0.890628578119027","0.8815738478955","0.899683308342553"
"Yes","2006","North Rhine-Westphalia","East Germany","","","",""
"Yes","2006","Hesse","West Germany","1337","0.859539094079484","0.841860745611581","0.877217442547387"
"Yes","2006","Hesse","East Germany","","","",""
"Yes","2006","Rhineland-Palatinate,Saarland","West Germany","1217","0.915015010464088","0.899809463178415","0.93022055774976"
"Yes","2006","Rhineland-Palatinate,Saarland","East Germany","","","",""
"Yes","2006","Baden-Württemberg","West Germany","2320","0.844570071640237","0.83098651673912","0.858153626541355"
"Yes","2006","Baden-Württemberg","East Germany","","","",""
"Yes","2006","Bavaria","West Germany","2932","0.897877031506939","0.887314185551179","0.908439877462699"
"Yes","2006","Bavaria","East Germany","","","",""
"Yes","2006","Berlin","West Germany","404","0.906479355116412","0.879273996315974","0.93368471391685"
"Yes","2006","Berlin","East Germany","342","0.971572810249119","0.954086910100895","0.989058710397344"
"Yes","2006","Brandenburg","West Germany","","","",""
"Yes","2006","Brandenburg","East Germany","942","0.996177311644371","0.992242853253863","1.00011177003488"
"Yes","2006","Mecklenburg-Western Pomerania","West Germany","","","",""
"Yes","2006","Mecklenburg-Western Pomerania","East Germany","552","0.999553827962109","0.997793718031471","1.00131393789275"
"Yes","2006","Saxony","West Germany","","","",""
"Yes","2006","Saxony","East Germany","1581","0.994865667804401","0.991348276353367","0.998383059255434"
"Yes","2006","Saxony-Anhalt","West Germany","","","",""
"Yes","2006","Saxony-Anhalt","East Germany","910","0.992875356419513","0.987431679269393","0.998319033569633"
"Yes","2006","Thuringia","West Germany","","","",""
"Yes","2006","Thuringia","East Germany","952","0.995674457670666","0.991510053527065","0.999838861814268"
"No","2006","Schleswig-Holstein","West Germany","26","","",""
"No","2006","Schleswig-Holstein","East Germany","","","",""
"No","2006","Hamburg","West Germany","20","","",""
"No","2006","Hamburg","East Germany","","","",""
"No","2006","Lower Saxony","West Germany","88","0.055571535503782","0.0454705126576998","0.0656725583498642"
"No","2006","Lower Saxony","East Germany","","","",""
"No","2006","Bremen","West Germany","3","","",""
"No","2006","Bremen","East Germany","","","",""
"No","2006","North Rhine-Westphalia","West Germany","414","0.109371421880973","0.100316691657447","0.1184261521045"
"No","2006","North Rhine-Westphalia","East Germany","","","",""
"No","2006","Hesse","West Germany","147","0.140460905920516","0.122782557452613","0.158139254388419"
"No","2006","Hesse","East Germany","","","",""
"No","2006","Rhineland-Palatinate,Saarland","West Germany","75","0.0849849895359124","0.0697794422502397","0.100190536821585"
"No","2006","Rhineland-Palatinate,Saarland","East Germany","","","",""
"No","2006","Baden-Württemberg","West Germany","413","0.155429928359763","0.141846373458645","0.16901348326088"
"No","2006","Baden-Württemberg","East Germany","","","",""
"No","2006","Bavaria","West Germany","225","0.102122968493061","0.0915601225373008","0.11268581444882"
"No","2006","Bavaria","East Germany","","","",""
"No","2006","Berlin","West Germany","36","0.0935206448835879","0.0663152860831497","0.120726003684026"
"No","2006","Berlin","East Germany","5","","",""
"No","2006","Brandenburg","West Germany","","","",""
"No","2006","Brandenburg","East Germany","3","","",""
"No","2006","Mecklenburg-Western Pomerania","West Germany","","","",""
"No","2006","Mecklenburg-Western Pomerania","East Germany","1","","",""
"No","2006","Saxony","West Germany","","","",""
"No","2006","Saxony","East Germany","5","","",""
"No","2006","Saxony-Anhalt","West Germany","","","",""
"No","2006","Saxony-Anhalt","East Germany","7","","",""
"No","2006","Thuringia","West Germany","","","",""
"No","2006","Thuringia","East Germany","2","","",""
"Yes","2007","Schleswig-Holstein","West Germany","593","0.939476277120224","0.92064570734688","0.958306846893568"
"Yes","2007","Schleswig-Holstein","East Germany","","","",""
"Yes","2007","Hamburg","West Germany","276","0.924862916690757","0.894882634539789","0.954843198841725"
"Yes","2007","Hamburg","East Germany","","","",""
"Yes","2007","Lower Saxony","West Germany","1769","0.942167608905542","0.931501921806661","0.952833296004424"
"Yes","2007","Lower Saxony","East Germany","","","",""
"Yes","2007","Bremen","West Germany","146","0.985762050135586","0.966675518770491","1.00484858150068"
"Yes","2007","Bremen","East Germany","","","",""
"Yes","2007","North Rhine-Westphalia","West Germany","3873","0.898542220343689","0.889433605549385","0.907650835137993"
"Yes","2007","North Rhine-Westphalia","East Germany","","","",""
"Yes","2007","Hesse","West Germany","1264","0.864428191209514","0.846489597654105","0.882366784764923"
"Yes","2007","Hesse","East Germany","","","",""
"Yes","2007","Rhineland-Palatinate,Saarland","West Germany","1117","0.926360026258708","0.911457709065685","0.941262343451731"
"Yes","2007","Rhineland-Palatinate,Saarland","East Germany","","","",""
"Yes","2007","Baden-Württemberg","West Germany","2144","0.834475864011644","0.819924787897881","0.849026940125407"
"Yes","2007","Baden-Württemberg","East Germany","","","",""
"Yes","2007","Bavaria","West Germany","2760","0.89017105137457","0.878927800234036","0.901414302515103"
"Yes","2007","Bavaria","East Germany","","","",""
"Yes","2007","Berlin","West Germany","380","0.918780973715958","0.892339171736526","0.945222775695389"
"Yes","2007","Berlin","East Germany","339","0.953161018318377","0.930897340931409","0.975424695705345"
"Yes","2007","Brandenburg","West Germany","","","",""
"Yes","2007","Brandenburg","East Germany","862","0.991864666103526","0.985885337201522","0.99784399500553"
"Yes","2007","Mecklenburg-Western Pomerania","West Germany","","","",""
"Yes","2007","Mecklenburg-Western Pomerania","East Germany","512","0.999446851200693","0.99741219869539","1.001481503706"
"Yes","2007","Saxony","West Germany","","","",""
"Yes","2007","Saxony","East Germany","1513","0.994342360993092","0.990569265536357","0.998115456449826"
"Yes","2007","Saxony-Anhalt","West Germany","","","",""
"Yes","2007","Saxony-Anhalt","East Germany","875","1","1","1"
"Yes","2007","Thuringia","West Germany","","","",""
"Yes","2007","Thuringia","East Germany","914","0.994863117366476","0.990233641323277","0.999492593409674"
"No","2007","Schleswig-Holstein","West Germany","23","","",""
"No","2007","Schleswig-Holstein","East Germany","","","",""
"No","2007","Hamburg","West Germany","21","","",""
"No","2007","Hamburg","East Germany","","","",""
"No","2007","Lower Saxony","West Germany","71","0.0578323910944577","0.0471667039955761","0.0684980781933393"
"No","2007","Lower Saxony","East Germany","","","",""
"No","2007","Bremen","West Germany","2","","",""
"No","2007","Bremen","East Germany","","","",""
"No","2007","North Rhine-Westphalia","West Germany","348","0.101457779656311","0.0923491648620071","0.110566394450615"
"No","2007","North Rhine-Westphalia","East Germany","","","",""
"No","2007","Hesse","West Germany","135","0.135571808790486","0.117633215235077","0.153510402345895"
"No","2007","Hesse","East Germany","","","",""
"No","2007","Rhineland-Palatinate,Saarland","West Germany","63","0.0736399737412918","0.0587376565482686","0.088542290934315"
"No","2007","Rhineland-Palatinate,Saarland","East Germany","","","",""
"No","2007","Baden-Württemberg","West Germany","362","0.165524135988356","0.150973059874593","0.180075212102119"
"No","2007","Baden-Württemberg","East Germany","","","",""
"No","2007","Bavaria","West Germany","211","0.10982894862543","0.0985856974848967","0.121072199765964"
"No","2007","Bavaria","East Germany","","","",""
"No","2007","Berlin","West Germany","30","0.0812190262840421","0.0547772243046105","0.107660828263474"
"No","2007","Berlin","East Germany","7","","",""
"No","2007","Brandenburg","West Germany","","","",""
"No","2007","Brandenburg","East Germany","5","","",""
"No","2007","Mecklenburg-Western Pomerania","West Germany","","","",""
"No","2007","Mecklenburg-Western Pomerania","East Germany","1","","",""
"No","2007","Saxony","West Germany","","","",""
"No","2007","Saxony","East Germany","5","","",""
"No","2007","Saxony-Anhalt","West Germany","","","",""
"No","2007","Saxony-Anhalt","East Germany","","","",""
"No","2007","Thuringia","West Germany","","","",""
"No","2007","Thuringia","East Germany","2","","",""
"Yes","2008","Schleswig-Holstein","West Germany","540","0.940704780240631","0.921108776733916","0.960300783747346"
"Yes","2008","Schleswig-Holstein","East Germany","","","",""
"Yes","2008","Hamburg","West Germany","268","0.917912517808315","0.885931374385006","0.949893661231624"
"Yes","2008","Hamburg","East Germany","","","",""
"Yes","2008","Lower Saxony","West Germany","1696","0.954886973539638","0.945176587480917","0.96459735959836"
"Yes","2008","Lower Saxony","East Germany","","","",""
"Yes","2008","Bremen","West Germany","136","0.981305447239082","0.958707541513164","1.003903352965"
"Yes","2008","Bremen","East Germany","","","",""
"Yes","2008","North Rhine-Westphalia","West Germany","3636","0.892511893611771","0.882846672377312","0.902177114846229"
"Yes","2008","North Rhine-Westphalia","East Germany","","","",""
"Yes","2008","Hesse","West Germany","1208","0.8723429253703","0.854347473852313","0.890338376888287"
"Yes","2008","Hesse","East Germany","","","",""
"Yes","2008","Rhineland-Palatinate,Saarland","West Germany","1040","0.913593609454943","0.897005123395487","0.930182095514399"
"Yes","2008","Rhineland-Palatinate,Saarland","East Germany","","","",""
"Yes","2008","Baden-Württemberg","West Germany","2055","0.844143645837061","0.829562087675528","0.858725203998595"
"Yes","2008","Baden-Württemberg","East Germany","","","",""
"Yes","2008","Bavaria","West Germany","2582","0.88528073938701","0.873410887753365","0.897150591020654"
"Yes","2008","Bavaria","East Germany","","","",""
"Yes","2008","Berlin","West Germany","362","0.925669006468364","0.899568732953676","0.951769279983052"
"Yes","2008","Berlin","East Germany","329","0.972100070193976","0.954464775145407","0.989735365242545"
"Yes","2008","Brandenburg","West Germany","","","",""
"Yes","2008","Brandenburg","East Germany","823","0.990878949294567","0.984403563342911","0.997354335246222"
"Yes","2008","Mecklenburg-Western Pomerania","West Germany","","","",""
"Yes","2008","Mecklenburg-Western Pomerania","East Germany","494","1","1","1"
"Yes","2008","Saxony","West Germany","","","",""
"Yes","2008","Saxony","East Germany","1431","0.992259291306318","0.987726415500772","0.996792167111863"
"Yes","2008","Saxony-Anhalt","West Germany","","","",""
"Yes","2008","Saxony-Anhalt","East Germany","820","1","1","1"
"Yes","2008","Thuringia","West Germany","","","",""
"Yes","2008","Thuringia","East Germany","879","0.993446447832751","0.988121389010497","0.998771506655005"
"No","2008","Schleswig-Holstein","West Germany","18","","",""
"No","2008","Schleswig-Holstein","East Germany","","","",""
"No","2008","Hamburg","West Germany","15","","",""
"No","2008","Hamburg","East Germany","","","",""
"No","2008","Lower Saxony","West Germany","59","0.0451130264603616","0.0354026404016402","0.0548234125190829"
"No","2008","Lower Saxony","East Germany","","","",""
"No","2008","Bremen","West Germany","2","","",""
"No","2008","Bremen","East Germany","","","",""
"No","2008","North Rhine-Westphalia","West Germany","309","0.107488106388229","0.0978228851537712","0.117153327622688"
"No","2008","North Rhine-Westphalia","East Germany","","","",""
"No","2008","Hesse","West Germany","113","0.1276570746297","0.109661623111713","0.145652526147687"
"No","2008","Hesse","East Germany","","","",""
"No","2008","Rhineland-Palatinate,Saarland","West Germany","62","0.0864063905450567","0.0698179044856007","0.102994876604513"
"No","2008","Rhineland-Palatinate,Saarland","East Germany","","","",""
"No","2008","Baden-Württemberg","West Germany","322","0.155856354162938","0.141274796001405","0.170437912324472"
"No","2008","Baden-Württemberg","East Germany","","","",""
"No","2008","Bavaria","West Germany","187","0.11471926061299","0.102849408979346","0.126589112246635"
"No","2008","Bavaria","East Germany","","","",""
"No","2008","Berlin","West Germany","26","","",""
"No","2008","Berlin","East Germany","6","","",""
"No","2008","Brandenburg","West Germany","","","",""
"No","2008","Brandenburg","East Germany","5","","",""
"No","2008","Mecklenburg-Western Pomerania","West Germany","","","",""
"No","2008","Mecklenburg-Western Pomerania","East Germany","","","",""
"No","2008","Saxony","West Germany","","","",""
"No","2008","Saxony","East Germany","5","","",""
"No","2008","Saxony-Anhalt","West Germany","","","",""
"No","2008","Saxony-Anhalt","East Germany","","","",""
"No","2008","Thuringia","West Germany","","","",""
"No","2008","Thuringia","East Germany","3","","",""
"Yes","2009","Schleswig-Holstein","West Germany","495","0.928945800440038","0.906778474666618","0.951113126213458"
"Yes","2009","Schleswig-Holstein","East Germany","","","",""
"Yes","2009","Hamburg","West Germany","262","0.963424164043178","0.941074585211393","0.985773742874962"
"Yes","2009","Hamburg","East Germany","","","",""
"Yes","2009","Lower Saxony","West Germany","1590","0.947670619630376","0.93691580830485","0.958425430955902"
"Yes","2009","Lower Saxony","East Germany","","","",""
"Yes","2009","Bremen","West Germany","119","0.990968426868307","0.974041852319769","1.00789500141685"
"Yes","2009","Bremen","East Germany","","","",""
"Yes","2009","North Rhine-Westphalia","West Germany","3373","0.891231301974299","0.881123737846132","0.901338866102466"
"Yes","2009","North Rhine-Westphalia","East Germany","","","",""
"Yes","2009","Hesse","West Germany","1124","0.869301081013174","0.850433163733963","0.888168998292386"
"Yes","2009","Hesse","East Germany","","","",""
"Yes","2009","Rhineland-Palatinate,Saarland","West Germany","965","0.909499028220894","0.891952523798102","0.927045532643687"
"Yes","2009","Rhineland-Palatinate,Saarland","East Germany","","","",""
"Yes","2009","Baden-Württemberg","West Germany","1866","0.852206041594162","0.837091820946089","0.867320262242235"
"Yes","2009","Baden-Württemberg","East Germany","","","",""
"Yes","2009","Bavaria","West Germany","2459","0.879963622867485","0.867537827140721","0.892389418594249"
"Yes","2009","Bavaria","East Germany","","","",""
"Yes","2009","Berlin","West Germany","338","0.909076445174831","0.879582011288554","0.938570879061108"
"Yes","2009","Berlin","East Germany","316","0.976290785654795","0.959647320484618","0.992934250824972"
"Yes","2009","Brandenburg","West Germany","","","",""
"Yes","2009","Brandenburg","East Germany","790","0.990044515888768","0.983143340264018","0.996945691513517"
"Yes","2009","Mecklenburg-Western Pomerania","West Germany","","","",""
"Yes","2009","Mecklenburg-Western Pomerania","East Germany","476","1","1","1"
"Yes","2009","Saxony","West Germany","","","",""
"Yes","2009","Saxony","East Germany","1369","0.990192225823343","0.984981482153043","0.995402969493643"
"Yes","2009","Saxony-Anhalt","West Germany","","","",""
"Yes","2009","Saxony-Anhalt","East Germany","772","1","1","1"
"Yes","2009","Thuringia","West Germany","","","",""
"Yes","2009","Thuringia","East Germany","823","0.997934867566544","0.994837118969332","1.00103261616376"
