"plj0014_v3","year","e11102","e11103","n","percent","lower_confidence","upper_confidence"
"Yes","1996","Not Employed","Full Time","","","",""
"Yes","1996","Not Employed","Part Time","","","",""
"Yes","1996","Not Employed","Not Working","3913","0.9247326162117","0.917166819712906","0.932298412710494"
"Yes","1996","Employed","Full Time","4894","0.914767667693836","0.907552299570392","0.92198303581728"
"Yes","1996","Employed","Part Time","2192","0.897100292798413","0.885642172762451","0.908558412834374"
"Yes","1996","Employed","Not Working","","","",""
"No","1996","Not Employed","Full Time","","","",""
"No","1996","Not Employed","Part Time","","","",""
"No","1996","Not Employed","Not Working","758","0.0752673837883001","0.0677015872895058","0.0828331802870944"
"No","1996","Employed","Full Time","859","0.0852323323061639","0.0780169641827197","0.092447700429608"
"No","1996","Employed","Part Time","509","0.102899707201587","0.0914415871656258","0.114357827237549"
"No","1996","Employed","Not Working","","","",""
"Yes","1997","Not Employed","Full Time","","","",""
"Yes","1997","Not Employed","Part Time","","","",""
"Yes","1997","Not Employed","Not Working","3973","0.916678466849722","0.908820738401124","0.924536195298319"
"Yes","1997","Employed","Full Time","4806","0.91669498268158","0.909461131816622","0.923928833546537"
"Yes","1997","Employed","Part Time","2124","0.901022123908693","0.889447163356678","0.912597084460709"
"Yes","1997","Employed","Not Working","","","",""
"No","1997","Not Employed","Full Time","","","",""
"No","1997","Not Employed","Part Time","","","",""
"No","1997","Not Employed","Not Working","779","0.0833215331502784","0.0754638047016807","0.0911792615988761"
"No","1997","Employed","Full Time","800","0.0833050173184203","0.0760711664534626","0.0905388681833779"
"No","1997","Employed","Part Time","433","0.0989778760913069","0.0874029155392912","0.110552836643323"
"No","1997","Employed","Not Working","","","",""
"Yes","1998","Not Employed","Full Time","","","",""
"Yes","1998","Not Employed","Part Time","","","",""
"Yes","1998","Not Employed","Not Working","4707","0.921988314295129","0.914860914813486","0.929115713776772"
"Yes","1998","Employed","Full Time","5283","0.914527568555027","0.907457384735689","0.921597752374365"
"Yes","1998","Employed","Part Time","2448","0.891849989362989","0.880509399328432","0.903190579397545"
"Yes","1998","Employed","Not Working","","","",""
"No","1998","Not Employed","Full Time","","","",""
"No","1998","Not Employed","Part Time","","","",""
"No","1998","Not Employed","Not Working","732","0.0780116857048711","0.0708842862232278","0.0851390851865145"
"No","1998","Employed","Full Time","724","0.085472431444973","0.0784022476256349","0.0925426152643111"
"No","1998","Employed","Part Time","433","0.108150010637011","0.0968094206024547","0.119490600671568"
"No","1998","Employed","Not Working","","","",""
"Yes","1999","Not Employed","Full Time","","","",""
"Yes","1999","Not Employed","Part Time","","","",""
"Yes","1999","Not Employed","Not Working","4299","0.923682495941285","0.916299532234686","0.931065459647885"
"Yes","1999","Employed","Full Time","5163","0.911520175123908","0.90424341075831","0.918796939489507"
"Yes","1999","Employed","Part Time","2571","0.897745945537955","0.886810721138353","0.908681169937556"
"Yes","1999","Employed","Not Working","","","",""
"No","1999","Not Employed","Full Time","","","",""
"No","1999","Not Employed","Part Time","","","",""
"No","1999","Not Employed","Not Working","669","0.0763175040587147","0.0689345403521153","0.0837004677653141"
"No","1999","Employed","Full Time","688","0.0884798248760915","0.0812030605104934","0.0957565892416897"
"No","1999","Employed","Part Time","378","0.102254054462045","0.0913188300624439","0.113189278861647"
"No","1999","Employed","Not Working","","","",""
"Yes","2000","Not Employed","Full Time","","","",""
"Yes","2000","Not Employed","Part Time","","","",""
"Yes","2000","Not Employed","Not Working","8182","0.924686395509228","0.919255113656677","0.930117677361779"
"Yes","2000","Employed","Full Time","9188","0.9156084501548","0.910187027298973","0.921029873010627"
"Yes","2000","Employed","Part Time","4563","0.901527470295164","0.893346959707448","0.909707980882879"
"Yes","2000","Employed","Not Working","","","",""
"No","2000","Not Employed","Full Time","","","",""
"No","2000","Not Employed","Part Time","","","",""
"No","2000","Not Employed","Not Working","887","0.0753136044907725","0.0698823226382215","0.0807448863433235"
"No","2000","Employed","Full Time","911","0.0843915498452002","0.0789701269893734","0.089812972701027"
"No","2000","Employed","Part Time","533","0.0984725297048362","0.0902920191171206","0.106653040292552"
"No","2000","Employed","Not Working","","","",""
"Yes","2001","Not Employed","Full Time","","","",""
"Yes","2001","Not Employed","Part Time","","","",""
"Yes","2001","Not Employed","Not Working","7399","0.927389079482473","0.921751475999462","0.933026682965483"
"Yes","2001","Employed","Full Time","8271","0.917956006889968","0.912312878204658","0.923599135575278"
"Yes","2001","Employed","Part Time","4349","0.899368101959186","0.890891791557229","0.907844412361144"
"Yes","2001","Employed","Not Working","","","",""
"No","2001","Not Employed","Full Time","","","",""
"No","2001","Not Employed","Part Time","","","",""
"No","2001","Not Employed","Not Working","740","0.0726109205175274","0.0669733170345173","0.0782485240005375"
"No","2001","Employed","Full Time","814","0.0820439931100321","0.076400864424722","0.0876871217953423"
"No","2001","Employed","Part Time","490","0.100631898040814","0.092155587638856","0.109108208442771"
"No","2001","Employed","Not Working","","","",""
"Yes","2002","Not Employed","Full Time","","","",""
"Yes","2002","Not Employed","Part Time","","","",""
"Yes","2002","Not Employed","Not Working","7610","0.925951202404406","0.920320964231718","0.931581440577093"
"Yes","2002","Employed","Full Time","8842","0.917641481859355","0.912140801841334","0.923142161877375"
"Yes","2002","Employed","Part Time","4805","0.907361739036236","0.899521490706102","0.915201987366369"
"Yes","2002","Employed","Not Working","","","",""
"No","2002","Not Employed","Full Time","","","",""
"No","2002","Not Employed","Part Time","","","",""
"No","2002","Not Employed","Not Working","699","0.0740487975955941","0.0684185594229068","0.0796790357682815"
"No","2002","Employed","Full Time","753","0.0823585181406451","0.0768578381226246","0.0878591981586656"
"No","2002","Employed","Part Time","448","0.0926382609637642","0.0847980126336307","0.100478509293898"
"No","2002","Employed","Not Working","","","",""
"Yes","2003","Not Employed","Full Time","","","",""
"Yes","2003","Not Employed","Part Time","","","",""
"Yes","2003","Not Employed","Not Working","7544","0.921676049264595","0.915867401461618","0.927484697067572"
"Yes","2003","Employed","Full Time","8278","0.91756687271699","0.911863665189737","0.923270080244243"
"Yes","2003","Employed","Part Time","4734","0.911361061898308","0.903594784327418","0.919127339469199"
"Yes","2003","Employed","Not Working","","","",""
"No","2003","Not Employed","Full Time","","","",""
"No","2003","Not Employed","Part Time","","","",""
"No","2003","Not Employed","Not Working","675","0.078323950735405","0.0725153029324282","0.0841325985383819"
"No","2003","Employed","Full Time","655","0.0824331272830103","0.0767299197557571","0.0881363348102635"
"No","2003","Employed","Part Time","411","0.0886389381016917","0.0808726605308014","0.096405215672582"
"No","2003","Employed","Not Working","","","",""
