"plj0014_v3","year","e11103","migback","n","percent","lower_confidence","upper_confidence","value"
"No","1996","Part Time","indirect migration background","103","0.593909001234922","0.514788529373145","0.673029473096699","2"
"No","1996","Full Time","no migration background","1","","","","2"
"No","1996","Full Time","direct migration background","701","0.585968199831204","0.555561331167851","0.616375068494558","2"
"No","1996","Full Time","indirect migration background","157","0.569049415056898","0.503612098959287","0.634486731154509","2"
"No","1996","Part Time","no migration background","2","","","","2"
"No","1996","Part Time","direct migration background","404","0.574815070073759","0.534822248570594","0.614807891576925","2"
"No","1996","Not Working","no migration background","3","","","","2"
"No","1996","Not Working","direct migration background","632","0.441037237697401","0.410656138790242","0.471418336604559","2"
"No","1996","Not Working","indirect migration background","123","0.489306304797389","0.416481478468479","0.562131131126299","2"
"Yes","1996","Full Time","no migration background","4524","0.999379458230725","0.998653871188588","1.00010504527286","1"
"Yes","1996","Full Time","direct migration background","307","0.414031800168796","0.383624931505442","0.444438668832149","1"
"Yes","1996","Full Time","indirect migration background","63","0.430950584943102","0.365513268845491","0.496387901040713","1"
"Yes","1996","Part Time","no migration background","1964","0.995273268223717","0.992241416321797","0.998305120125638","1"
"Yes","1996","Part Time","direct migration background","183","0.425184929926241","0.385192108423075","0.465177751429406","1"
"Yes","1996","Part Time","indirect migration background","45","0.406090998765078","0.326970526903301","0.485211470626855","1"
"Yes","1996","Not Working","no migration background","3461","0.999642539787681","0.99901304031816","1.0002720392572","1"
"Yes","1996","Not Working","direct migration background","394","0.558962762302599","0.528581663395441","0.589343861209758","1"
"Yes","1996","Not Working","indirect migration background","58","0.510693695202611","0.437868868873701","0.583518521531521","1"
"No","1997","Part Time","indirect migration background","96","0.538078608510587","0.456650612664741","0.619506604356434","2"
"No","1997","Full Time","no migration background","2","","","","2"
"No","1997","Full Time","direct migration background","641","0.558043806374741","0.526546735792027","0.589540876957456","2"
"No","1997","Full Time","indirect migration background","157","0.535315866368016","0.470718571762363","0.59991316097367","2"
"No","1997","Part Time","no migration background","1","","","","2"
"No","1997","Part Time","direct migration background","336","0.549529030985205","0.506724165532178","0.592333896438232","2"
"No","1997","Not Working","no migration background","3","","","","2"
"No","1997","Not Working","direct migration background","635","0.480889303545727","0.450197193303134","0.51158141378832","2"
"No","1997","Not Working","indirect migration background","141","0.538336854033857","0.469588537837904","0.607085170229809","2"
"Yes","1997","Full Time","no migration background","4420","0.998346858060835","0.99714947110817","0.999544245013499","1"
"Yes","1997","Full Time","direct migration background","314","0.441956193625259","0.410459123042544","0.473453264207973","1"
"Yes","1997","Full Time","indirect migration background","72","0.464684133631984","0.40008683902633","0.529281428237637","1"
"Yes","1997","Part Time","no migration background","1893","0.996501991461061","0.99384305706682","0.999160925855302","1"
"Yes","1997","Part Time","direct migration background","183","0.450470969014795","0.407666103561768","0.493275834467822","1"
"Yes","1997","Part Time","indirect migration background","48","0.461921391489413","0.380493395643566","0.543349387335259","1"
"Yes","1997","Not Working","no migration background","3529","0.999633198211438","0.999001697562334","1.00026469886054","1"
"Yes","1997","Not Working","direct migration background","383","0.519110696454273","0.48841858621168","0.549802806696866","1"
"Yes","1997","Not Working","indirect migration background","61","0.461663145966143","0.392914829770191","0.530411462162096","1"
"No","1998","Part Time","indirect migration background","101","0.521192580452244","0.441514444478504","0.600870716425983","2"
"No","1998","Full Time","no migration background","2","","","","2"
