"plj0014_v3","year","e11102","sex","n","percent","lower_confidence","upper_confidence","value"
"No","1996","Employed","Female","529","0.0807621626850373","0.0720134413821241","0.0895108839879505","2"
"No","1996","Employed","Male","839","0.0984485562652306","0.0899565698742839","0.106940542656177","2"
"No","1996","Not Employed","Female","500","0.0731221060498636","0.0639339891048227","0.0823102229949045","2"
"No","1996","Not Employed","Male","258","0.0793801701634735","0.0660800427024536","0.0926802976244933","2"
"Yes","1996","Not Employed","Female","2584","0.926877893950136","0.917689777005096","0.936066010895177","1"
"Yes","1996","Not Employed","Male","1329","0.920619829836526","0.907319702375507","0.933919957297546","1"
"Yes","1996","Employed","Male","3889","0.901551443734769","0.893059457343823","0.910043430125716","1"
"Yes","1996","Employed","Female","3197","0.919237837314963","0.91048911601205","0.927986558617876","1"
"No","1997","Employed","Female","469","0.0777247744859308","0.0689519805258918","0.0864975684459698","2"
"No","1997","Employed","Male","764","0.0961504267189975","0.0876174196056017","0.104683433832393","2"
"No","1997","Not Employed","Female","500","0.0841744136182568","0.0744006083878304","0.0939482188486832","2"
"No","1997","Not Employed","Male","279","0.0817149820807426","0.0685055950881113","0.0949243690733738","2"
"Yes","1997","Employed","Male","3821","0.903849573281002","0.895316566167607","0.912382580394398","1"
"Yes","1997","Employed","Female","3109","0.922275225514069","0.91350243155403","0.931048019474108","1"
"Yes","1997","Not Employed","Female","2600","0.915825586381743","0.906051781151317","0.92559939161217","1"
"Yes","1997","Not Employed","Male","1373","0.918285017919257","0.905075630926626","0.931494404911889","1"
"No","1998","Employed","Male","710","0.0979504871273836","0.0896973105746181","0.106203663680149","2"
"No","1998","Not Employed","Female","462","0.0764796707702439","0.0676825942437218","0.085276747296766","2"
"No","1998","Not Employed","Male","270","0.0807818962619589","0.0686340728451923","0.0929297196787255","2"
"No","1998","Employed","Female","447","0.0860142592561159","0.0772201367983928","0.0948083817138389","2"
"Yes","1998","Employed","Male","4273","0.902049512872616","0.893796336319851","0.910302689425382","1"
"Yes","1998","Not Employed","Male","1663","0.919218103738041","0.907070280321275","0.931365927154808","1"
"Yes","1998","Employed","Female","3458","0.913985740743884","0.905191618286161","0.922779863201607","1"
"Yes","1998","Not Employed","Female","3044","0.923520329229756","0.914723252703234","0.932317405756278","1"
"No","1999","Employed","Male","657","0.0979671795356256","0.0896378133510555","0.106296545720196","2"
"No","1999","Not Employed","Female","423","0.0736800186380707","0.0646508981054501","0.0827091391706914","2"
"No","1999","Not Employed","Male","246","0.0811226378841379","0.0683382232277654","0.0939070525405105","2"
"No","1999","Employed","Female","409","0.0868337504618966","0.0780040577263983","0.0956634431973949","2"
"Yes","1999","Employed","Male","4236","0.902032820464374","0.893703454279804","0.910362186648945","1"
"Yes","1999","Not Employed","Male","1506","0.918877362115862","0.90609294745949","0.931661776772235","1"
"Yes","1999","Employed","Female","3498","0.913166249538103","0.904336556802605","0.921995942273602","1"
"Yes","1999","Not Employed","Female","2793","0.926319981361929","0.917290860829308","0.93534910189455","1"
"No","2000","Employed","Male","899","0.0976241550110207","0.0912625692825826","0.103985740739459","2"
"No","2000","Employed","Female","545","0.0780158925960104","0.0716567928231165","0.0843749923689043","2"
"No","2000","Not Employed","Female","584","0.0764042322177214","0.0695535444573116","0.0832549199781313","2"
"No","2000","Not Employed","Male","303","0.0733700091029118","0.0644643782696148","0.0822756399362089","2"
"Yes","2000","Employed","Male","7463","0.902375844988979","0.896014259260541","0.908737430717418","1"
"Yes","2000","Not Employed","Male","2990","0.926629990897088","0.917724360063791","0.935535621730385","1"
"Yes","2000","Employed","Female","6288","0.92198410740399","0.915625007631096","0.928343207176883","1"
"Yes","2000","Not Employed","Female","5192","0.923595767782278","0.916745080021869","0.930446455542688","1"
"No","2001","Employed","Male","768","0.0917580235426839","0.08523806885698","0.0982779782283878","2"
"No","2001","Not Employed","Male","273","0.0779107642047499","0.0684000704969571","0.0874214579125427","2"
