"plj0014_v3","year","e11102","migback","n","percent","lower_confidence","upper_confidence"
"No","1996","Employed","direct migration background","1105","0.582037729758577","0.557832352485128","0.606243107032027"
"No","1996","Employed","indirect migration background","260","0.579297339923679","0.528858791690059","0.629735888157298"
"No","1996","Employed","no migration background","3","","",""
"No","1996","Not Employed","direct migration background","632","0.441037237697401","0.410656138790242","0.471418336604559"
"No","1996","Not Employed","indirect migration background","123","0.489306304797389","0.416481478468479","0.562131131126299"
"No","1996","Not Employed","no migration background","3","","",""
"Yes","1996","Employed","direct migration background","490","0.417962270241423","0.393756892967973","0.442167647514872"
"Yes","1996","Employed","indirect migration background","108","0.420702660076321","0.370264111842702","0.471141208309941"
"Yes","1996","Employed","no migration background","6488","0.998080312883354","0.997015458418489","0.999145167348219"
"Yes","1996","Not Employed","direct migration background","394","0.558962762302599","0.528581663395441","0.589343861209758"
"Yes","1996","Not Employed","indirect migration background","58","0.510693695202611","0.437868868873701","0.583518521531521"
"Yes","1996","Not Employed","no migration background","3461","0.999642539787681","0.99901304031816","1.0002720392572"
"No","1997","Employed","direct migration background","977","0.555027763707824","0.529657606378256","0.580397921037391"
"No","1997","Employed","indirect migration background","253","0.536431915211141","0.485825247236308","0.587038583185973"
"No","1997","Employed","no migration background","3","","",""
"No","1997","Not Employed","direct migration background","635","0.480889303545727","0.450197193303134","0.51158141378832"
"No","1997","Not Employed","indirect migration background","141","0.538336854033857","0.469588537837904","0.607085170229809"
"No","1997","Not Employed","no migration background","3","","",""
"Yes","1997","Employed","direct migration background","497","0.444972236292176","0.419602078962609","0.470342393621744"
"Yes","1997","Employed","indirect migration background","120","0.463568084788859","0.412961416814027","0.514174752763692"
"Yes","1997","Employed","no migration background","6313","0.997764193831079","0.996599375859209","0.998929011802949"
"Yes","1997","Not Employed","direct migration background","383","0.519110696454273","0.48841858621168","0.549802806696866"
"Yes","1997","Not Employed","indirect migration background","61","0.461663145966143","0.392914829770191","0.530411462162096"
"Yes","1997","Not Employed","no migration background","3529","0.999633198211438","0.999001697562334","1.00026469886054"
"No","1998","Employed","direct migration background","890","0.578147446817074","0.552342635415544","0.603952258218605"
"No","1998","Employed","indirect migration background","263","0.527994304259697","0.478825603053441","0.577163005465953"
"No","1998","Employed","no migration background","4","","",""
"No","1998","Not Employed","direct migration background","598","0.46687968506891","0.436172202207912","0.497587167929909"
"No","1998","Not Employed","indirect migration background","130","0.48935142219944","0.421417308414627","0.557285535984252"
"No","1998","Not Employed","no migration background","4","","",""
"Yes","1998","Employed","direct migration background","517","0.421852553182926","0.396047741781395","0.447657364584456"
"Yes","1998","Employed","indirect migration background","133","0.472005695740303","0.422836994534047","0.521174396946559"
"Yes","1998","Employed","no migration background","7081","0.99878914359143","0.997979374133212","0.999598913049649"
"Yes","1998","Not Employed","direct migration background","416","0.53312031493109","0.502412832070091","0.563827797792088"
"Yes","1998","Not Employed","indirect migration background","78","0.51064857780056","0.442714464015748","0.578582691585373"
"Yes","1998","Not Employed","no migration background","4213","0.998847987180852","0.997824164736924","0.99987180962478"
"No","1999","Employed","direct migration background","796","0.577533050230513","0.550794889110491","0.604271211350536"
"No","1999","Employed","indirect migration background","266","0.524668528561255","0.47685157851955","0.57248547860296"
"No","1999","Employed","no migration background","4","","",""
"No","1999","Not Employed","direct migration background","547","0.459263267410799","0.426920702106524","0.491605832715074"
"No","1999","Not Employed","indirect migration background","117","0.465986182806187","0.395608947293709","0.536363418318665"
"No","1999","Not Employed","no migration background","5","","",""
"Yes","1999","Employed","direct migration background","515","0.422466949769487","0.395728788649465","0.449205110889509"
"Yes","1999","Employed","indirect migration background","153","0.475331471438745","0.42751452139704","0.52314842148045"
"Yes","1999","Employed","no migration background","7066","0.998071397502781","0.997048715645628","0.999094079359933"
"Yes","1999","Not Employed","direct migration background","365","0.540736732589201","0.508394167284926","0.573079297893476"
"Yes","1999","Not Employed","indirect migration background","76","0.534013817193813","0.463636581681335","0.604391052706291"
"Yes","1999","Not Employed","no migration background","3858","0.998363645020401","0.997089059803275","0.999638230237526"
"No","2000","Employed","direct migration background","1105","0.569286739335926","0.547459218489804","0.591114260182047"
"No","2000","Employed","indirect migration background","335","0.522064078588216","0.481551637735198","0.562576519441235"
"No","2000","Employed","no migration background","4","","",""
"No","2000","Not Employed","direct migration background","749","0.481026510621997","0.454540233022971","0.507512788221024"
"No","2000","Not Employed","indirect migration background","130","0.428997384468387","0.36727453243176","0.490720236505015"
"No","2000","Not Employed","no migration background","8","","",""
"Yes","2000","Employed","direct migration background","872","0.430713260664074","0.408885739817953","0.452540781510196"
"Yes","2000","Employed","indirect migration background","249","0.477935921411784","0.437423480558765","0.518448362264802"
"Yes","2000","Employed","no migration background","12630","0.999661856211192","0.999341262556355","0.999982449866029"
"Yes","2000","Not Employed","direct migration background","618","0.518973489378002","0.492487211778976","0.545459766977029"
"Yes","2000","Not Employed","indirect migration background","117","0.571002615531613","0.509279763494985","0.63272546756824"
"Yes","2000","Not Employed","no migration background","7447","0.997472484737196","0.996332703186765","0.998612266287626"
"No","2001","Employed","direct migration background","996","0.569478353895099","0.546572210710146","0.592384497080053"
"No","2001","Employed","indirect migration background","303","0.512417412822295","0.470413990727538","0.554420834917052"
"No","2001","Employed","no migration background","5","","",""
"No","2001","Not Employed","direct migration background","621","0.492158944225856","0.463264405491011","0.521053482960701"
"No","2001","Not Employed","indirect migration background","113","0.392159498100356","0.329469779996759","0.454849216203953"
"No","2001","Not Employed","no migration background","6","","",""
"Yes","2001","Employed","direct migration background","799","0.430521646104901","0.407615502919947","0.453427789289854"
"Yes","2001","Employed","indirect migration background","241","0.487582587177705","0.445579165082948","0.529586009272461"
"Yes","2001","Employed","no migration background","11580","0.999129277637653","0.998592183065027","0.999666372210279"
"Yes","2001","Not Employed","direct migration background","529","0.507841055774144","0.478946517039299","0.536735594508989"
"Yes","2001","Not Employed","indirect migration background","120","0.607840501899644","0.545150783796047","0.670530220003241"
"Yes","2001","Not Employed","no migration background","6750","0.998578315581013","0.997679861391911","0.999476769770116"
"No","2002","Employed","direct migration background","924","0.553858951268962","0.530291493307425","0.577426409230498"
"No","2002","Employed","indirect migration background","272","0.445981520554417","0.404249405377667","0.487713635731167"
"No","2002","Employed","no migration background","5","","",""
"No","2002","Not Employed","direct migration background","584","0.486990181294772","0.457599205659786","0.516381156929759"
"No","2002","Not Employed","indirect migration background","110","0.443823361771063","0.380834959669848","0.506811763872278"
"No","2002","Not Employed","no migration background","5","","",""
"Yes","2002","Employed","direct migration background","785","0.446141048731038","0.422573590769501","0.469708506692575"
"Yes","2002","Employed","indirect migration background","273","0.554018479445583","0.512286364268833","0.595750594622333"
"Yes","2002","Employed","no migration background","12589","0.999245515638117","0.998765972730934","0.9997250585453"
"Yes","2002","Not Employed","direct migration background","527","0.513009818705228","0.483618843070242","0.542400794340214"
"Yes","2002","Not Employed","indirect migration background","129","0.556176638228937","0.493188236127722","0.619165040330152"
"Yes","2002","Not Employed","no migration background","6954","0.998805343807187","0.997993754024865","0.999616933589509"
"No","2003","Employed","direct migration background","816","0.541934182733747","0.517343563846499","0.566524801620995"
"No","2003","Employed","indirect migration background","246","0.424761196774381","0.383069678023079","0.466452715525684"
"No","2003","Employed","no migration background","4","","",""
"No","2003","Not Employed","direct migration background","557","0.497028564777368","0.46704213233829","0.527014997216447"
"No","2003","Not Employed","indirect migration background","110","0.446838834276891","0.385210648460696","0.508467020093085"
"No","2003","Not Employed","no migration background","8","","",""
"Yes","2003","Employed","direct migration background","761","0.458065817266253","0.433475198379005","0.482656436153501"
"Yes","2003","Employed","indirect migration background","294","0.575238803225619","0.533547284474316","0.616930321976921"
"Yes","2003","Employed","no migration background","11957","0.999246206650963","0.998754363361318","0.999738049940608"
