"plj0014_v3","year","e11103","sampreg","n","percent","lower_confidence","upper_confidence"
"No","1996","Full Time","West Germany","854","0.106256403588777","0.0966607428846151","0.115852064292938"
"No","1996","Full Time","East Germany","5","","",""
"No","1996","Not Working","West Germany","756","0.0929083862300012","0.083114292933787","0.102702479526216"
"No","1996","Not Working","East Germany","2","","",""
"No","1996","Part Time","West Germany","505","0.119522413728197","0.105621252484029","0.133423574972364"
"No","1996","Part Time","East Germany","4","","",""
"Yes","1996","Full Time","West Germany","3108","0.893743596411223","0.884147935707062","0.903339257115385"
"Yes","1996","Full Time","East Germany","1786","0.996732587998357","0.994089621994442","0.999375554002272"
"Yes","1996","Not Working","West Germany","2619","0.907091613769999","0.897297520473785","0.916885707066213"
"Yes","1996","Not Working","East Germany","1294","0.997899954858473","0.995407637129361","1.00039227258758"
"Yes","1996","Part Time","West Germany","1587","0.880477586271803","0.866576425027636","0.894378747515971"
"Yes","1996","Part Time","East Germany","605","0.992479224236589","0.985617528177523","0.999340920295655"
"No","1997","Full Time","West Germany","797","0.103373091882623","0.0938096213004297","0.112936562464816"
"No","1997","Full Time","East Germany","3","","",""
"No","1997","Not Working","West Germany","776","0.102498867367867","0.0923322711206617","0.112665463615072"
"No","1997","Not Working","East Germany","3","","",""
"No","1997","Part Time","West Germany","428","0.116044854132701","0.10183674638229","0.130252961883111"
"No","1997","Part Time","East Germany","5","","",""
"Yes","1997","Full Time","West Germany","3096","0.896626908117377","0.887063437535184","0.90619037869957"
"Yes","1997","Full Time","East Germany","1710","0.998179653260344","0.996161050670131","1.00019825585056"
"Yes","1997","Not Working","West Germany","2643","0.897501132632133","0.887334536384928","0.907667728879338"
"Yes","1997","Not Working","East Germany","1330","0.996346078261051","0.993107027569818","0.999585128952284"
"Yes","1997","Part Time","West Germany","1524","0.883955145867299","0.869747038116889","0.89816325361771"
"Yes","1997","Part Time","East Germany","600","0.990039773364383","0.982126952482022","0.997952594246744"
"No","1998","Full Time","West Germany","722","0.106570662510096","0.0972861199236676","0.115855205096524"
"No","1998","Full Time","East Germany","2","","",""
"No","1998","Not Working","West Germany","727","0.0950947718721924","0.0860154006356507","0.104174143108734"
"No","1998","Not Working","East Germany","5","","",""
"No","1998","Part Time","West Germany","429","0.129060949749272","0.115016118666404","0.143105780832139"
"No","1998","Part Time","East Germany","4","","",""
"Yes","1998","Full Time","West Germany","3521","0.893429337489904","0.884144794903476","0.902713880076332"
"Yes","1998","Full Time","East Germany","1762","0.999204885848614","0.997889537400818","1.00052023429641"
"Yes","1998","Not Working","West Germany","3283","0.904905228127808","0.895825856891266","0.913984599364349"
"Yes","1998","Not Working","East Germany","1424","0.992918690098009","0.988571129741546","0.997266250454471"
"Yes","1998","Part Time","West Germany","1760","0.870939050250728","0.856894219167861","0.884983881333596"
"Yes","1998","Part Time","East Germany","688","0.994357314780365","0.988776351154132","0.999938278406597"
"No","1999","Full Time","West Germany","685","0.108731711820302","0.0992547711129459","0.118208652527659"
"No","1999","Full Time","East Germany","3","","",""
"No","1999","Not Working","West Germany","666","0.0943125376641932","0.0847455017526924","0.103879573575694"
"No","1999","Not Working","East Germany","3","","",""
"No","1999","Part Time","West Germany","375","0.121080836818677","0.107556328014007","0.134605345623346"
"No","1999","Part Time","East Germany","3","","",""
"Yes","1999","Full Time","West Germany","3460","0.891268288179698","0.881791347472341","0.900745228887054"
"Yes","1999","Full Time","East Germany","1703","0.997668021728407","0.995379190062091","0.999956853394723"
"Yes","1999","Not Working","West Germany","2919","0.905687462335807","0.896120426424306","0.915254498247308"
"Yes","1999","Not Working","East Germany","1380","0.996436586605131","0.993296114517819","0.999577058692443"
