"plh0173","year","migback","sex","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1984","no migration background","Male","32","0.0108913100970824","0.0071111440006971","0.0146714761934677","0"
"0 Completely dissatisfied","1984","no migration background","Female","21","","","","0"
"0 Completely dissatisfied","1984","direct migration background","Male","39","0.0227772072597919","0.0152397151274416","0.0303146993921421","0"
"0 Completely dissatisfied","1984","direct migration background","Female","22","","","","0"
"0 Completely dissatisfied","1984","indirect migration background","Male","1","","","","0"
"0 Completely dissatisfied","1984","indirect migration background","Female","","","","","0"
"1 on Scale 1 to 10","1984","no migration background","Male","11","","","","1"
"1 on Scale 1 to 10","1984","no migration background","Female","11","","","","1"
"1 on Scale 1 to 10","1984","direct migration background","Male","12","","","","1"
"1 on Scale 1 to 10","1984","direct migration background","Female","6","","","","1"
"1 on Scale 1 to 10","1984","indirect migration background","Male","","","","","1"
"1 on Scale 1 to 10","1984","indirect migration background","Female","","","","","1"
"10 Completely satisfied","1984","no migration background","Female","511","0.284772018363381","0.263928926638645","0.305615110088118","10"
"10 Completely satisfied","1984","no migration background","Male","733","0.255435269853226","0.239551979542228","0.271318560164223","10"
"10 Completely satisfied","1984","direct migration background","Male","406","0.270715315239815","0.248266945820392","0.293163684659237","10"
"10 Completely satisfied","1984","indirect migration background","Female","16","","","","10"
"10 Completely satisfied","1984","direct migration background","Female","208","0.272822736194315","0.241093429894198","0.304552042494432","10"
"10 Completely satisfied","1984","indirect migration background","Male","16","","","","10"
"2 on Scale 1 to 10","1984","no migration background","Male","24","","","","2"
"2 on Scale 1 to 10","1984","no migration background","Female","23","","","","2"
"2 on Scale 1 to 10","1984","direct migration background","Male","22","","","","2"
"2 on Scale 1 to 10","1984","direct migration background","Female","15","","","","2"
"2 on Scale 1 to 10","1984","indirect migration background","Male","","","","","2"
"2 on Scale 1 to 10","1984","indirect migration background","Female","1","","","","2"
"3 on Scale 1 to 10","1984","no migration background","Female","44","0.0253702722865773","0.0181079816442214","0.0326325629289331","3"
"3 on Scale 1 to 10","1984","direct migration background","Male","47","0.0336446563874321","0.024534909383398","0.0427544033914662","3"
"3 on Scale 1 to 10","1984","no migration background","Male","67","0.0227879741590055","0.0173530176540357","0.0282229306639752","3"
"3 on Scale 1 to 10","1984","direct migration background","Female","29","","","","3"
"3 on Scale 1 to 10","1984","indirect migration background","Male","","","","","3"
"3 on Scale 1 to 10","1984","indirect migration background","Female","","","","","3"
"4 on Scale 1 to 10","1984","no migration background","Female","47","0.0260633929396273","0.0187051850218598","0.0334216008573948","4"
"4 on Scale 1 to 10","1984","direct migration background","Female","18","","","","4"
"4 on Scale 1 to 10","1984","direct migration background","Male","48","0.03467085502245","0.0254281343919606","0.0439135756529393","4"
"4 on Scale 1 to 10","1984","no migration background","Male","69","0.0231024104132053","0.0176309661602812","0.0285738546661294","4"
"4 on Scale 1 to 10","1984","indirect migration background","Male","","","","","4"
"4 on Scale 1 to 10","1984","indirect migration background","Female","2","","","","4"
"5 on Scale 1 to 10","1984","no migration background","Male","255","0.0897866171181805","0.0793748073387275","0.100198426897634","5"
"5 on Scale 1 to 10","1984","no migration background","Female","183","0.102346584737581","0.0883480604254449","0.116345109049717","5"
"5 on Scale 1 to 10","1984","indirect migration background","Female","2","","","","5"
"5 on Scale 1 to 10","1984","direct migration background","Male","142","0.0924193730372698","0.0777873640735224","0.107051382001017","5"
"5 on Scale 1 to 10","1984","direct migration background","Female","89","0.135189749915987","0.110832264689866","0.159547235142108","5"
"5 on Scale 1 to 10","1984","indirect migration background","Male","4","","","","5"
"6 on Scale 1 to 10","1984","direct migration background","Female","51","0.0647032599588464","0.0471790703805332","0.0822274495371597","6"
"6 on Scale 1 to 10","1984","no migration background","Female","119","0.0637966572946586","0.052509741363333","0.0750835732259842","6"
"6 on Scale 1 to 10","1984","direct migration background","Male","88","0.0607027131558335","0.0486388771085257","0.0727665492031414","6"
"6 on Scale 1 to 10","1984","no migration background","Male","215","0.0721250261988949","0.0627031686259995","0.0815468837717902","6"
"6 on Scale 1 to 10","1984","indirect migration background","Male","3","","","","6"
"6 on Scale 1 to 10","1984","indirect migration background","Female","1","","","","6"
"7 on Scale 1 to 10","1984","no migration background","Male","393","0.135735565944082","0.12326118616227","0.148209945725894","7"
"7 on Scale 1 to 10","1984","no migration background","Female","226","0.125315266125326","0.110024860789816","0.140605671460835","7"
"7 on Scale 1 to 10","1984","direct migration background","Male","162","0.101718102849481","0.0864464764667215","0.116989729232241","7"
"7 on Scale 1 to 10","1984","direct migration background","Female","78","0.0993873779273996","0.0780748589797082","0.120699896875091","7"
"7 on Scale 1 to 10","1984","indirect migration background","Male","2","","","","7"
"7 on Scale 1 to 10","1984","indirect migration background","Female","3","","","","7"
"8 on Scale 1 to 10","1984","no migration background","Male","683","0.234794482130796","0.219356810392788","0.250232153868803","8"
"8 on Scale 1 to 10","1984","direct migration background","Male","343","0.230444091692928","0.209168447515606","0.25171973587025","8"
"8 on Scale 1 to 10","1984","no migration background","Female","349","0.193718087144165","0.175465695482268","0.211970478806062","8"
