"plh0173","year","hgtyp1hh","sex","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1984","1-pers.-HH","Male","4","","","","0"
"0 Completely dissatisfied","1984","1-pers.-HH","Female","4","","","","0"
"0 Completely dissatisfied","1984","(Married) couple without C. ","Male","10","","","","0"
"0 Completely dissatisfied","1984","(Married) couple without C. ","Female","9","","","","0"
"0 Completely dissatisfied","1984","Single parent ","Male","3","","","","0"
"0 Completely dissatisfied","1984","Single parent ","Female","3","","","","0"
"0 Completely dissatisfied","1984","Couple + C. LE 16 ","Male","30","0.0158546291787864","0.0093781399429754","0.0223311184145974","0"
"0 Completely dissatisfied","1984","Couple + C. LE 16 ","Female","10","","","","0"
"0 Completely dissatisfied","1984","Couple + C. GT 16 ","Male","6","","","","0"
"0 Completely dissatisfied","1984","Couple + C. GT 16 ","Female","5","","","","0"
"0 Completely dissatisfied","1984","Couple + C. LE and GT 16","Male","12","","","","0"
"0 Completely dissatisfied","1984","Couple + C. LE and GT 16","Female","9","","","","0"
"1 on Scale 1 to 10","1984","1-pers.-HH","Male","4","","","","1"
"1 on Scale 1 to 10","1984","Couple + C. GT 16 ","Male","2","","","","1"
"1 on Scale 1 to 10","1984","(Married) couple without C. ","Female","6","","","","1"
"1 on Scale 1 to 10","1984","Single parent ","Male","","","","","1"
"1 on Scale 1 to 10","1984","Couple + C. LE 16 ","Male","9","","","","1"
"1 on Scale 1 to 10","1984","Couple + C. LE 16 ","Female","3","","","","1"
"1 on Scale 1 to 10","1984","Couple + C. GT 16 ","Female","3","","","","1"
"1 on Scale 1 to 10","1984","Single parent ","Female","","","","","1"
"1 on Scale 1 to 10","1984","1-pers.-HH","Female","1","","","","1"
"1 on Scale 1 to 10","1984","(Married) couple without C. ","Male","5","","","","1"
"1 on Scale 1 to 10","1984","Couple + C. LE and GT 16","Male","2","","","","1"
"1 on Scale 1 to 10","1984","Couple + C. LE and GT 16","Female","1","","","","1"
