"plh0173","year","regtyp","sex","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1985","Urban Area","Male","37","0.0113064557312791","0.00762183672824426","0.0149910747343139","0"
"0 Completely dissatisfied","1985","Urban Area","Female","10","","","","0"
"0 Completely dissatisfied","1985","Rural Area","Male","6","","","","0"
"0 Completely dissatisfied","1985","Rural Area","Female","5","","","","0"
"1 on Scale 1 to 10","1985","Urban Area","Male","14","","","","1"
"1 on Scale 1 to 10","1985","Urban Area","Female","12","","","","1"
"1 on Scale 1 to 10","1985","Rural Area","Female","5","","","","1"
"1 on Scale 1 to 10","1985","Rural Area","Male","2","","","","1"
"10 Completely satisfied","1985","Urban Area","Male","636","0.192754426969775","0.179007566909391","0.206501287030159","10"
"10 Completely satisfied","1985","Urban Area","Female","452","0.236059247803503","0.217084067747926","0.25503442785908","10"
"10 Completely satisfied","1985","Rural Area","Male","161","0.199042905648416","0.171058074415175","0.227027736881656","10"
"10 Completely satisfied","1985","Rural Area","Female","103","0.217801678216895","0.18036660373549","0.255236752698301","10"
"2 on Scale 1 to 10","1985","Urban Area","Male","45","0.0136883501755647","0.00963903920702911","0.0177376611441002","2"
"2 on Scale 1 to 10","1985","Urban Area","Female","29","","","","2"
"2 on Scale 1 to 10","1985","Rural Area","Male","9","","","","2"
"2 on Scale 1 to 10","1985","Rural Area","Female","3","","","","2"
"3 on Scale 1 to 10","1985","Urban Area","Male","80","0.0236812673346703","0.0183822324761712","0.0289803021931693","3"
"3 on Scale 1 to 10","1985","Urban Area","Female","56","0.0287668567646903","0.0212980106799055","0.036235702849475","3"
"3 on Scale 1 to 10","1985","Rural Area","Male","21","","","","3"
"3 on Scale 1 to 10","1985","Rural Area","Female","12","","","","3"
"4 on Scale 1 to 10","1985","Urban Area","Male","98","0.0302617440418745","0.0242917659656077","0.0362317221181414","4"
"4 on Scale 1 to 10","1985","Rural Area","Female","16","","","","4"
"4 on Scale 1 to 10","1985","Urban Area","Female","69","0.0321118588043321","0.0242343143191523","0.0399894032895119","4"
"4 on Scale 1 to 10","1985","Rural Area","Male","15","","","","4"
"5 on Scale 1 to 10","1985","Urban Area","Male","270","0.0878943127824273","0.0780269416248328","0.0977616839400218","5"
"5 on Scale 1 to 10","1985","Urban Area","Female","213","0.109594327490075","0.09563599451352","0.12355266046663","5"
"5 on Scale 1 to 10","1985","Rural Area","Male","74","0.100396802003912","0.0793333208045593","0.121460283203265","5"
"5 on Scale 1 to 10","1985","Rural Area","Female","54","0.121732639210439","0.0920770510881359","0.151388227332742","5"
"6 on Scale 1 to 10","1985","Rural Area","Male","60","0.0772457644885868","0.0585335547800373","0.0959579741971362","6"
"6 on Scale 1 to 10","1985","Urban Area","Male","228","0.0730879267411393","0.0640172312877055","0.0821586221945731","6"
"6 on Scale 1 to 10","1985","Urban Area","Female","167","0.0813309883177012","0.0691171233122388","0.0935448533231635","6"
"6 on Scale 1 to 10","1985","Rural Area","Female","39","0.0825016939295228","0.0575486392025454","0.1074547486565","6"
"7 on Scale 1 to 10","1985","Urban Area","Male","469","0.153828186868746","0.141254989503462","0.16640138423403","7"
"7 on Scale 1 to 10","1985","Urban Area","Female","275","0.143937625123881","0.128252592425535","0.159622657822227","7"
"7 on Scale 1 to 10","1985","Rural Area","Male","120","0.15180738530602","0.126657361069673","0.176957409542367","7"
"7 on Scale 1 to 10","1985","Rural Area","Female","69","0.14767909377957","0.115501709977287","0.179856477581853","7"
"8 on Scale 1 to 10","1985","Urban Area","Male","839","0.268724731641907","0.253276002569378","0.284173460714437","8"
"8 on Scale 1 to 10","1985","Urban Area","Female","392","0.204180637242395","0.186168714088848","0.222192560395941","8"
"8 on Scale 1 to 10","1985","Rural Area","Male","193","0.250959479508987","0.220571685550494","0.28134727346748","8"
"8 on Scale 1 to 10","1985","Rural Area","Female","98","0.205573513721365","0.168921310335459","0.24222571710727","8"
"9 on Scale 1 to 10","1985","Urban Area","Male","447","0.140904519670853","0.128779521714149","0.153029517627558","9"
"9 on Scale 1 to 10","1985","Urban Area","Female","249","0.136732164189464","0.121380562946914","0.152083765432013","9"
"9 on Scale 1 to 10","1985","Rural Area","Male","121","0.15564390988467","0.130235727359586","0.181052092409753","9"
"9 on Scale 1 to 10","1985","Rural Area","Female","63","0.132931138197691","0.102139711827649","0.163722564567732","9"
"0 Completely dissatisfied","1986","Urban Area","Male","23","","","","0"
"0 Completely dissatisfied","1986","Urban Area","Female","17","","","","0"
"0 Completely dissatisfied","1986","Rural Area","Male","8","","","","0"
"0 Completely dissatisfied","1986","Rural Area","Female","3","","","","0"
"1 on Scale 1 to 10","1986","Urban Area","Male","13","","","","1"
"1 on Scale 1 to 10","1986","Urban Area","Female","9","","","","1"
"1 on Scale 1 to 10","1986","Rural Area","Male","8","","","","1"
"1 on Scale 1 to 10","1986","Rural Area","Female","6","","","","1"
"10 Completely satisfied","1986","Urban Area","Female","337","0.189685457285824","0.171882772670171","0.207488141901477","10"
"10 Completely satisfied","1986","Urban Area","Male","530","0.167357261893614","0.154135262646314","0.180579261140913","10"
"10 Completely satisfied","1986","Rural Area","Male","160","0.192705010971773","0.164827913508101","0.220582108435445","10"
"10 Completely satisfied","1986","Rural Area","Female","85","0.175392923879516","0.141156493054088","0.209629354704945","10"
"2 on Scale 1 to 10","1986","Urban Area","Male","56","0.0140446318048353","0.00987661650108704","0.0182126471085836","2"
"2 on Scale 1 to 10","1986","Urban Area","Female","31","0.0154510610267296","0.00985039763450317","0.021051724418956","2"
"2 on Scale 1 to 10","1986","Rural Area","Male","7","","","","2"
"2 on Scale 1 to 10","1986","Rural Area","Female","10","","","","2"
"3 on Scale 1 to 10","1986","Urban Area","Male","80","0.0275190164337533","0.0217246959753581","0.0333133368921486","3"
"3 on Scale 1 to 10","1986","Rural Area","Male","12","","","","3"
"3 on Scale 1 to 10","1986","Urban Area","Female","41","0.0236703187578185","0.0167672537542194","0.0305733837614176","3"
"3 on Scale 1 to 10","1986","Rural Area","Female","15","","","","3"
"4 on Scale 1 to 10","1986","Urban Area","Male","92","0.0305846337818207","0.0244857256740808","0.0366835418895605","4"
"4 on Scale 1 to 10","1986","Rural Area","Female","13","","","","4"
"4 on Scale 1 to 10","1986","Urban Area","Female","76","0.0361917520958754","0.0277108551292408","0.0446726490625099","4"
"4 on Scale 1 to 10","1986","Rural Area","Male","23","","","","4"
"5 on Scale 1 to 10","1986","Urban Area","Male","289","0.0968143726857148","0.0863405811748813","0.107288164196548","5"
"5 on Scale 1 to 10","1986","Urban Area","Female","234","0.130598186662769","0.115297162257925","0.145899211067613","5"
"5 on Scale 1 to 10","1986","Rural Area","Male","64","0.0724093679602397","0.0540921093741573","0.0907266265463222","5"
"5 on Scale 1 to 10","1986","Rural Area","Female","53","0.108461993035441","0.0804678200741038","0.136456165996778","5"
"6 on Scale 1 to 10","1986","Urban Area","Female","154","0.0856131401760221","0.0729080759410688","0.0983182044109753","6"
"6 on Scale 1 to 10","1986","Urban Area","Male","256","0.0779525204121174","0.0684565966074351","0.0874484442167996","6"
"6 on Scale 1 to 10","1986","Rural Area","Male","71","0.0953471897573148","0.0745894607431112","0.116104918771518","6"
"6 on Scale 1 to 10","1986","Rural Area","Female","38","0.0871052681237984","0.061719431450405","0.112491104797192","6"
"7 on Scale 1 to 10","1986","Urban Area","Male","494","0.172111530991807","0.158741377329861","0.185481684653753","7"
"7 on Scale 1 to 10","1986","Urban Area","Female","273","0.149408030683816","0.133220176886835","0.165595884480797","7"
"7 on Scale 1 to 10","1986","Rural Area","Male","130","0.173276991055873","0.146526276793206","0.200027705318541","7"
"7 on Scale 1 to 10","1986","Rural Area","Female","76","0.163915383428868","0.130588562071507","0.19724220478623","7"
"8 on Scale 1 to 10","1986","Urban Area","Male","763","0.253292589291361","0.237888643897726","0.268696534684997","8"
"8 on Scale 1 to 10","1986","Urban Area","Female","454","0.233814687936696","0.214595082423653","0.253034293449739","8"
