"plh0173","year","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1984","115","0.0130593188050008","0.0104039584563097","0.0157146791536918","0"
"1 on Scale 1 to 10","1984","40","0.00537807154093967","0.00366742619194816","0.00708871688993117","1"
"10 Completely satisfied","1984","1890","0.26821629067027","0.257854098955112","0.278578482385428","10"
"2 on Scale 1 to 10","1984","85","0.01049686477261","0.00811314023556086","0.0128805893096592","2"
"3 on Scale 1 to 10","1984","187","0.0248190302206819","0.0211802762596874","0.0284577841816763","3"
"4 on Scale 1 to 10","1984","184","0.0252373077647062","0.021568806781622","0.0289058087477905","4"
"5 on Scale 1 to 10","1984","675","0.0960046564692653","0.0891142169645566","0.102895095973974","5"
"6 on Scale 1 to 10","1984","477","0.0681893293251199","0.0622935702564888","0.074085088393751","6"
"7 on Scale 1 to 10","1984","864","0.127948605917877","0.120135809677151","0.135761402158603","7"
"8 on Scale 1 to 10","1984","1532","0.218513858686152","0.208848503641195","0.228179213731109","8"
"9 on Scale 1 to 10","1984","973","0.142136665827378","0.133969341660552","0.150303989994203","9"
"0 Completely dissatisfied","1985","58","0.00928457113928851","0.00692302794208202","0.011646114336495","0"
"1 on Scale 1 to 10","1985","33","0.00560561751158371","0.00376725325064552","0.00744398177252189","1"
"10 Completely satisfied","1985","1352","0.20904922972771","0.199036799118802","0.219061660336619","10"
"2 on Scale 1 to 10","1985","86","0.0127765999178873","0.010011213184814","0.0155419866509606","2"
"3 on Scale 1 to 10","1985","169","0.0254643667553731","0.0215854915369375","0.0293432419738088","3"
"4 on Scale 1 to 10","1985","198","0.0295906414226668","0.0254181525759836","0.03376313026935","4"
"5 on Scale 1 to 10","1985","611","0.0991741662256422","0.0918144646983524","0.106533867752932","5"
"6 on Scale 1 to 10","1985","494","0.0769974720941857","0.0704332965692022","0.0835616476191692","6"
"7 on Scale 1 to 10","1985","933","0.149988683251275","0.141196796063088","0.158780570439461","7"
"8 on Scale 1 to 10","1985","1522","0.241071035965587","0.230538969584755","0.25160310234642","8"
"9 on Scale 1 to 10","1985","880","0.140997615988801","0.132428350934916","0.149566881042685","9"
"0 Completely dissatisfied","1986","51","0.00640630297049009","0.00441524429213856","0.00839736164884161","0"
"1 on Scale 1 to 10","1986","36","0.00586574190314754","0.00396001834189936","0.00777146546439571","1"
"10 Completely satisfied","1986","1112","0.178352802206214","0.168799388912821","0.187906215499606","10"
"2 on Scale 1 to 10","1986","104","0.0144607275829675","0.0114814707203952","0.0174399844455397","2"
"3 on Scale 1 to 10","1986","148","0.0260771154923688","0.0221000021400294","0.0300542288447081","3"
"4 on Scale 1 to 10","1986","204","0.0331217655616495","0.0286557674009996","0.0375877637222995","4"
"5 on Scale 1 to 10","1986","640","0.104567242141468","0.0969308147869082","0.112203669496028","5"
"6 on Scale 1 to 10","1986","519","0.0835236552543152","0.0766190113655739","0.0904282991430566","6"
"7 on Scale 1 to 10","1986","973","0.164722763227762","0.155465810605076","0.173979715850448","7"
"8 on Scale 1 to 10","1986","1501","0.243525394022521","0.232814019300144","0.254236768744899","8"
"9 on Scale 1 to 10","1986","880","0.139376489637097","0.130733235703611","0.148019743570582","9"
"0 Completely dissatisfied","1987","42","0.00511867798053703","0.0033358944826322","0.00690146147844186","0"
"1 on Scale 1 to 10","1987","41","0.00669103565192018","0.00465435512146407","0.00872771618237629","1"
"10 Completely satisfied","1987","1025","0.165793556644489","0.156502723587408","0.175084389701571","10"
"2 on Scale 1 to 10","1987","78","0.0125109114237404","0.00973411085374753","0.0152877119937333","2"
"3 on Scale 1 to 10","1987","177","0.0306808817482424","0.0263726270521909","0.034989136444294","3"
"4 on Scale 1 to 10","1987","225","0.0357244843097079","0.0310876922898214","0.0403612763295943","4"
"5 on Scale 1 to 10","1987","534","0.0867613309586186","0.0797291617626691","0.0937935001545681","5"
"6 on Scale 1 to 10","1987","574","0.0940550942998125","0.0867625996765865","0.101347588923038","6"
"7 on Scale 1 to 10","1987","986","0.158881803961536","0.149749094165","0.168014513758072","7"
"8 on Scale 1 to 10","1987","1599","0.260060763820369","0.249101799632326","0.271019728008413","8"
"9 on Scale 1 to 10","1987","874","0.143721459201026","0.134957458542805","0.152485459859247","9"
"0 Completely dissatisfied","1988","42","0.00605646947736601","0.00406605342087872","0.0080468855338533","0"
"1 on Scale 1 to 10","1988","37","0.0060650085878248","0.00407319842232205","0.00805681875332755","1"
