"plh0173","year","e11103","n","percent","lower_confidence","upper_confidence","value"
"9 on Scale 1 to 10","1985","Not Working","17","","","","9"
"9 on Scale 1 to 10","1985","Full Time","679","0.143814816648822","0.133854672184674","0.153774961112971","9"
"9 on Scale 1 to 10","1985","Part Time","184","0.132743289944451","0.115033286012947","0.150453293875956","9"
"0 Completely dissatisfied","1986","Full Time","35","0.00586617446301074","0.00367594526774244","0.00805640365827905","0"
"0 Completely dissatisfied","1986","Part Time","11","","","","0"
"0 Completely dissatisfied","1986","Not Working","5","","","","0"
"1 on Scale 1 to 10","1986","Full Time","18","","","","1"
"1 on Scale 1 to 10","1986","Part Time","16","","","","1"
"1 on Scale 1 to 10","1986","Not Working","2","","","","1"
"10 Completely satisfied","1986","Part Time","249","0.178263538913279","0.157778761807901","0.198748316018656","10"
"10 Completely satisfied","1986","Full Time","836","0.179114157862658","0.16811660669685","0.190111709028466","10"
"10 Completely satisfied","1986","Not Working","27","","","","10"
"2 on Scale 1 to 10","1986","Full Time","78","0.0141188977516107","0.010735116200364","0.0175026793028574","2"
"2 on Scale 1 to 10","1986","Part Time","22","","","","2"
"2 on Scale 1 to 10","1986","Not Working","4","","","","2"
"3 on Scale 1 to 10","1986","Part Time","31","0.0242190367819191","0.0159911500193583","0.0324469235444798","3"
"3 on Scale 1 to 10","1986","Full Time","108","0.0256503619731531","0.0211162335800553","0.030184490366251","3"
"3 on Scale 1 to 10","1986","Not Working","9","","","","3"
"4 on Scale 1 to 10","1986","Full Time","148","0.0332262637135034","0.0280859121053696","0.0383666153216371","4"
"4 on Scale 1 to 10","1986","Not Working","5","","","","4"
"4 on Scale 1 to 10","1986","Part Time","51","0.0337062160393539","0.0240469685208481","0.0433654635578597","4"
"5 on Scale 1 to 10","1986","Full Time","464","0.0977953266785651","0.0892760791332824","0.106314574223848","5"
"5 on Scale 1 to 10","1986","Part Time","155","0.1223740041332","0.104833865289844","0.139914142976557","5"
"5 on Scale 1 to 10","1986","Not Working","21","","","","5"
"6 on Scale 1 to 10","1986","Full Time","387","0.0811287643351389","0.0732979953928302","0.0889595332774477","6"
"6 on Scale 1 to 10","1986","Part Time","119","0.0914475088484085","0.0760200408771047","0.106874976819712","6"
"6 on Scale 1 to 10","1986","Not Working","13","","","","6"
"7 on Scale 1 to 10","1986","Full Time","756","0.168386887476838","0.157654299685148","0.179119475268529","7"
"7 on Scale 1 to 10","1986","Not Working","25","","","","7"
"7 on Scale 1 to 10","1986","Part Time","192","0.156470130746126","0.137025501913202","0.175914759579051","7"
"8 on Scale 1 to 10","1986","Not Working","28","","","","8"
"8 on Scale 1 to 10","1986","Part Time","321","0.241911392921201","0.21899101109888","0.264831774743522","8"
"8 on Scale 1 to 10","1986","Full Time","1152","0.245237228940992","0.232897998187236","0.257576459694747","8"
"9 on Scale 1 to 10","1986","Not Working","18","","","","9"
"9 on Scale 1 to 10","1986","Full Time","688","0.145658647475505","0.135541140763161","0.155776154187848","9"
"9 on Scale 1 to 10","1986","Part Time","174","0.118341345304198","0.101053049265584","0.135629641342813","9"
"0 Completely dissatisfied","1987","Full Time","28","","","","0"
"0 Completely dissatisfied","1987","Part Time","13","","","","0"
"0 Completely dissatisfied","1987","Not Working","1","","","","0"
"1 on Scale 1 to 10","1987","Full Time","31","0.00637921911431965","0.00410697343877234","0.00865146478986697","1"
"1 on Scale 1 to 10","1987","Not Working","1","","","","1"
"1 on Scale 1 to 10","1987","Part Time","9","","","","1"
"10 Completely satisfied","1987","Full Time","768","0.162387738107569","0.151861836106607","0.17291364010853","10"
"10 Completely satisfied","1987","Part Time","230","0.170576415615967","0.150338754848913","0.19081407638302","10"
"10 Completely satisfied","1987","Not Working","27","","","","10"
"2 on Scale 1 to 10","1987","Full Time","60","0.0128865213570218","0.00966758357230639","0.0161054591417371","2"
"2 on Scale 1 to 10","1987","Not Working","","","","","2"
"2 on Scale 1 to 10","1987","Part Time","18","","","","2"
