"plh0173","year","pgisced97","sex","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1984","in school","Male","","","","","0"
"0 Completely dissatisfied","1984","in school","Female","","","","","0"
"0 Completely dissatisfied","1984","inadequately","Male","8","","","","0"
"0 Completely dissatisfied","1984","inadequately","Female","7","","","","0"
"0 Completely dissatisfied","1984","general elemantary","Male","24","","","","0"
"0 Completely dissatisfied","1984","general elemantary","Female","15","","","","0"
"0 Completely dissatisfied","1984","middle vocational","Male","31","0.0100117523218988","0.00598315225843791","0.0140403523853597","0"
"0 Completely dissatisfied","1984","middle vocational","Female","19","","","","0"
"0 Completely dissatisfied","1984","vocational + Abi","Male","2","","","","0"
"0 Completely dissatisfied","1984","vocational + Abi","Female","","","","","0"
"0 Completely dissatisfied","1984","higher vocational","Male","2","","","","0"
"0 Completely dissatisfied","1984","higher vocational","Female","1","","","","0"
"0 Completely dissatisfied","1984","higher education","Male","3","","","","0"
"0 Completely dissatisfied","1984","higher education","Female","1","","","","0"
"1 on Scale 1 to 10","1984","higher education","Male","","","","","1"
"1 on Scale 1 to 10","1984","inadequately","Female","2","","","","1"
"1 on Scale 1 to 10","1984","middle vocational","Male","10","","","","1"
"1 on Scale 1 to 10","1984","higher education","Female","","","","","1"
"1 on Scale 1 to 10","1984","in school","Male","","","","","1"
"1 on Scale 1 to 10","1984","higher vocational","Male","3","","","","1"
"1 on Scale 1 to 10","1984","higher vocational","Female","","","","","1"
"1 on Scale 1 to 10","1984","in school","Female","","","","","1"
"1 on Scale 1 to 10","1984","inadequately","Male","4","","","","1"
"1 on Scale 1 to 10","1984","general elemantary","Male","5","","","","1"
"1 on Scale 1 to 10","1984","general elemantary","Female","7","","","","1"
"1 on Scale 1 to 10","1984","middle vocational","Female","7","","","","1"
"1 on Scale 1 to 10","1984","vocational + Abi","Male","1","","","","1"
"1 on Scale 1 to 10","1984","vocational + Abi","Female","","","","","1"
"10 Completely satisfied","1984","middle vocational","Male","619","0.264012141444402","0.246174749224208","0.281849533664596","10"
"10 Completely satisfied","1984","vocational + Abi","Male","35","0.194420877703054","0.128391972164042","0.260449783242065","10"
"10 Completely satisfied","1984","higher education","Female","48","0.315318216108317","0.244205857346935","0.386430574869698","10"
"10 Completely satisfied","1984","middle vocational","Female","336","0.289475482868774","0.263433109808483","0.315517855929065","10"
"10 Completely satisfied","1984","higher vocational","Male","90","0.294061208709184","0.242589660004952","0.345532757413416","10"
"10 Completely satisfied","1984","in school","Male","","","","","10"
"10 Completely satisfied","1984","in school","Female","","","","","10"
"10 Completely satisfied","1984","inadequately","Male","90","0.236682669289406","0.191831441706581","0.281533896872231","10"
"10 Completely satisfied","1984","general elemantary","Male","214","0.261843774445647","0.23188040797384","0.291807140917454","10"
"10 Completely satisfied","1984","general elemantary","Female","216","0.271916663267288","0.240731130238435","0.303102196296142","10"
"10 Completely satisfied","1984","vocational + Abi","Female","21","","","","10"
"10 Completely satisfied","1984","higher education","Male","101","0.213396660716581","0.175626348388713","0.251166973044449","10"
"10 Completely satisfied","1984","inadequately","Female","63","0.194254811098811","0.145016062933494","0.243493559264128","10"
"10 Completely satisfied","1984","higher vocational","Female","48","0.320757167542609","0.244783199990147","0.396731135095072","10"
"2 on Scale 1 to 10","1984","in school","Male","1","","","","2"
"2 on Scale 1 to 10","1984","inadequately","Male","4","","","","2"
