"plh0173","year","migback","regtyp","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1985","no migration background","Urban Area","30","0.00900871084401565","0.005806269389918","0.0122111522981133","0"
"0 Completely dissatisfied","1985","no migration background","Rural Area","8","","","","0"
"0 Completely dissatisfied","1985","direct migration background","Urban Area","17","","","","0"
"0 Completely dissatisfied","1985","direct migration background","Rural Area","3","","","","0"
"0 Completely dissatisfied","1985","indirect migration background","Urban Area","","","","","0"
"0 Completely dissatisfied","1985","indirect migration background","Rural Area","","","","","0"
"1 on Scale 1 to 10","1985","direct migration background","Urban Area","11","","","","1"
"1 on Scale 1 to 10","1985","direct migration background","Rural Area","","","","","1"
"1 on Scale 1 to 10","1985","no migration background","Urban Area","15","","","","1"
"1 on Scale 1 to 10","1985","no migration background","Rural Area","7","","","","1"
"1 on Scale 1 to 10","1985","indirect migration background","Urban Area","","","","","1"
"1 on Scale 1 to 10","1985","indirect migration background","Rural Area","","","","","1"
"10 Completely satisfied","1985","no migration background","Urban Area","711","0.213199945951502","0.199318308672121","0.227081583230883","10"
"10 Completely satisfied","1985","no migration background","Rural Area","205","0.202706200056533","0.177888556963514","0.227523843149552","10"
"10 Completely satisfied","1985","direct migration background","Urban Area","356","0.185923357846678","0.167358562166084","0.204488153527271","10"
"10 Completely satisfied","1985","direct migration background","Rural Area","57","0.249703412849611","0.194125932334775","0.305280893364446","10"
"10 Completely satisfied","1985","indirect migration background","Urban Area","21","","","","10"
"10 Completely satisfied","1985","indirect migration background","Rural Area","2","","","","10"
"2 on Scale 1 to 10","1985","no migration background","Urban Area","44","0.0131025815640995","0.00924842458828068","0.0169567385399184","2"
"2 on Scale 1 to 10","1985","direct migration background","Urban Area","30","0.0193407115690673","0.0127688887362628","0.0259125344018719","2"
"2 on Scale 1 to 10","1985","indirect migration background","Urban Area","","","","","2"
"2 on Scale 1 to 10","1985","no migration background","Rural Area","7","","","","2"
"2 on Scale 1 to 10","1985","indirect migration background","Rural Area","","","","","2"
"2 on Scale 1 to 10","1985","direct migration background","Rural Area","5","","","","2"
"3 on Scale 1 to 10","1985","direct migration background","Urban Area","51","0.028455562514319","0.020521319975198","0.03638980505344","3"
"3 on Scale 1 to 10","1985","no migration background","Urban Area","84","0.0253120586508412","0.0199883842335153","0.0306357330681672","3"
"3 on Scale 1 to 10","1985","no migration background","Rural Area","25","","","","3"
"3 on Scale 1 to 10","1985","direct migration background","Rural Area","8","","","","3"
"3 on Scale 1 to 10","1985","indirect migration background","Urban Area","1","","","","3"
"3 on Scale 1 to 10","1985","indirect migration background","Rural Area","","","","","3"
"4 on Scale 1 to 10","1985","direct migration background","Rural Area","6","","","","4"
"4 on Scale 1 to 10","1985","no migration background","Urban Area","107","0.0315414424038996","0.0256176988088818","0.0374651859989174","4"
