"plh0173","year","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1984","in school","","","","","0"
"0 Completely dissatisfied","1984","inadequately","15","","","","0"
"0 Completely dissatisfied","1984","general elemantary","39","0.0206925436457006","0.0137369125634113","0.0276481747279899","0"
"0 Completely dissatisfied","1984","middle vocational","50","0.0120184518508686","0.00841406532875787","0.0156228383729793","0"
"0 Completely dissatisfied","1984","vocational + Abi","2","","","","0"
"0 Completely dissatisfied","1984","higher vocational","3","","","","0"
"0 Completely dissatisfied","1984","higher education","4","","","","0"
"1 on Scale 1 to 10","1984","in school","","","","","1"
"1 on Scale 1 to 10","1984","inadequately","6","","","","1"
"1 on Scale 1 to 10","1984","general elemantary","12","","","","1"
"1 on Scale 1 to 10","1984","middle vocational","17","","","","1"
"1 on Scale 1 to 10","1984","vocational + Abi","1","","","","1"
"1 on Scale 1 to 10","1984","higher vocational","3","","","","1"
"1 on Scale 1 to 10","1984","higher education","","","","","1"
"10 Completely satisfied","1984","in school","","","","","10"
"10 Completely satisfied","1984","inadequately","153","0.22071223728831","0.187332502702407","0.254091971874212","10"
"10 Completely satisfied","1984","general elemantary","430","0.267416429380707","0.245789607711183","0.289043251050231","10"
"10 Completely satisfied","1984","middle vocational","955","0.272768138436018","0.258035994777413","0.287500282094624","10"
"10 Completely satisfied","1984","vocational + Abi","56","0.224263837001192","0.16798520834681","0.280542465655575","10"
"10 Completely satisfied","1984","higher vocational","138","0.302487654966976","0.259858135378233","0.345117174555718","10"
"10 Completely satisfied","1984","higher education","149","0.239917338758796","0.206194900711107","0.273639776806485","10"
"2 on Scale 1 to 10","1984","general elemantary","23","","","","2"
"2 on Scale 1 to 10","1984","inadequately","7","","","","2"
"2 on Scale 1 to 10","1984","in school","1","","","","2"
"2 on Scale 1 to 10","1984","higher vocational","5","","","","2"
"2 on Scale 1 to 10","1984","higher education","5","","","","2"
"2 on Scale 1 to 10","1984","vocational + Abi","1","","","","2"
"2 on Scale 1 to 10","1984","middle vocational","43","0.0107378787330671","0.00732871692946223","0.0141470405366719","2"
"3 on Scale 1 to 10","1984","inadequately","21","","","","3"
"3 on Scale 1 to 10","1984","general elemantary","43","0.0243363667729318","0.0168071812467268","0.0318655522991368","3"
"3 on Scale 1 to 10","1984","middle vocational","94","0.0250047086419886","0.0198400117958942","0.030169405488083","3"
