"plh0037","year","regtyp","sex","n","percent","lower_confidence","upper_confidence"
"Big worries","2009","Rural Area","Female","875","0.274270086369794","0.258833901672327","0.289706271067262"
"Big worries","2009","Rural Area","Male","730","0.23837408851095","0.223167464760001","0.253580712261899"
"Big worries","2009","Urban Area","Female","1925","0.317652129586411","0.306076589256377","0.329227669916446"
"Big worries","2009","Urban Area","Male","1514","0.276517326765344","0.264797443452042","0.288237210078646"
"No worries","2009","Rural Area","Female","470","0.151097829951296","0.138706407368553","0.163489252534039"
"No worries","2009","Rural Area","Male","648","0.211242595728734","0.196674764726186","0.225810426731282"
"No worries","2009","Urban Area","Female","788","0.126093762586094","0.117840195452316","0.134347329719872"
"No worries","2009","Urban Area","Male","1064","0.192332704842731","0.182005308040908","0.202660101644554"
"Some worries","2009","Rural Area","Female","1864","0.57463208367891","0.557526396222528","0.591737771135291"
"Some worries","2009","Rural Area","Male","1638","0.550383315760316","0.532629722664488","0.568136908856144"
"Some worries","2009","Urban Area","Female","3501","0.556254107827495","0.543901283791034","0.568606931863956"
"Some worries","2009","Urban Area","Male","3017","0.531149968391925","0.518074007880032","0.544225928903817"
"Big worries","2010","Rural Area","Female","1222","0.288475280544563","0.275134061140039","0.301816499949087"
"Big worries","2010","Rural Area","Male","882","0.248748746933978","0.23497156529177","0.262525928576186"
"Big worries","2010","Urban Area","Female","2807","0.327523019134341","0.317612297386978","0.337433740881705"
"Big worries","2010","Urban Area","Male","1961","0.285531882364892","0.275050941526169","0.296012823203616"
"No worries","2010","Rural Area","Female","725","0.161476000671867","0.150640275817414","0.172311725526321"
"No worries","2010","Rural Area","Male","893","0.234555918144745","0.221051767900575","0.248060068388916"
"No worries","2010","Urban Area","Female","1215","0.140770261746732","0.133425871144327","0.148114652349136"
"No worries","2010","Urban Area","Male","1488","0.207693393403769","0.198280145023965","0.217106641783573"
"Some worries","2010","Rural Area","Female","2483","0.55004871878357","0.535398991061819","0.564698446505321"
"Some worries","2010","Rural Area","Male","2007","0.516695334921277","0.500769027572022","0.532621642270532"
"Some worries","2010","Urban Area","Female","4592","0.531706719118927","0.521169143727695","0.542244294510159"
"Some worries","2010","Urban Area","Male","3685","0.506774724231339","0.495173290232079","0.518376158230599"
"Big worries","2011","Rural Area","Female","1137","0.304074369041205","0.289277939191875","0.318870798890535"
"Big worries","2011","Rural Area","Male","868","0.256059602187586","0.241431949418321","0.270687254956852"
"Big worries","2011","Urban Area","Female","2366","0.333531182768533","0.322602103359571","0.344460262177496"
"Big worries","2011","Urban Area","Male","1753","0.26352579981054","0.252649047709139","0.27440255191194"
"No worries","2011","Rural Area","Female","517","0.141075169699428","0.129878509817272","0.152271829581585"
"No worries","2011","Rural Area","Male","740","0.204169104099065","0.190659567654738","0.217678640543391"
"No worries","2011","Urban Area","Female","907","0.128439631064462","0.12068388280213","0.136195379326794"
"No worries","2011","Urban Area","Male","1218","0.195811500619049","0.186014189073238","0.20560881216486"
"Some worries","2011","Rural Area","Female","2059","0.554850461259366","0.538864949071168","0.570835973447565"
"Some worries","2011","Rural Area","Male","1812","0.539771293713349","0.523067051374883","0.556475536051814"
"Some worries","2011","Urban Area","Female","3876","0.538029186167005","0.526472438536999","0.549585933797011"
"Some worries","2011","Urban Area","Male","3331","0.540662699570411","0.528358936691394","0.552966462449428"
"Big worries","2012","Rural Area","Female","1102","0.293417620629943","0.278942451287635","0.30789278997225"
"Big worries","2012","Rural Area","Male","783","0.247741731182585","0.233351046068999","0.262132416296171"
"Big worries","2012","Urban Area","Female","2154","0.306952496021146","0.296161575456378","0.317743416585914"
"Big worries","2012","Urban Area","Male","1583","0.251198568680565","0.240399549820442","0.261997587540689"
"No worries","2012","Rural Area","Female","621","0.171015867398977","0.159045968867658","0.182985765930295"
"No worries","2012","Rural Area","Male","817","0.237715366099322","0.223525261008792","0.251905471189853"
"No worries","2012","Urban Area","Female","960","0.137008299053385","0.128963445253067","0.145053152853703"
"No worries","2012","Urban Area","Male","1348","0.224952945617507","0.214556083996827","0.235349807238188"
"Some worries","2012","Rural Area","Female","2078","0.535566511971081","0.519711461585551","0.55142156235661"
"Some worries","2012","Rural Area","Male","1857","0.514542902718093","0.497882533386798","0.531203272049387"
"Some worries","2012","Urban Area","Female","3904","0.556039204925469","0.544414915191501","0.567663494659437"
"Some worries","2012","Urban Area","Male","3265","0.523848485701927","0.511412854960055","0.536284116443799"
"Big worries","2013","Rural Area","Female","924","0.265467891462897","0.250830160131522","0.280105622794273"
"Big worries","2013","Rural Area","Male","696","0.21933888465038","0.204895293221565","0.233782476079195"
"Big worries","2013","Urban Area","Female","1882","0.286182870060038","0.275226311889345","0.297139428230732"
"Big worries","2013","Urban Area","Male","1343","0.239730364412519","0.228626925636426","0.250833803188612"
"No worries","2013","Rural Area","Female","588","0.162022764680366","0.149808523011758","0.174237006348975"
"No worries","2013","Rural Area","Male","817","0.264799324554928","0.249398375267032","0.280200273842824"
"No worries","2013","Urban Area","Female","1078","0.169785915545166","0.160684588355596","0.178887242734737"
"No worries","2013","Urban Area","Male","1322","0.243589948988513","0.232425932109754","0.254753965867271"
"Some worries","2013","Rural Area","Female","1984","0.572509343856736","0.556110358355207","0.588908329358266"
"Some worries","2013","Rural Area","Male","1640","0.515861790794692","0.498418136700189","0.533305444889195"
"Some worries","2013","Urban Area","Female","3577","0.544031214394795","0.531957571837377","0.556104856952213"
"Some worries","2013","Urban Area","Male","3014","0.516679686598968","0.503682768726811","0.529676604471126"
"Big worries","2014","Rural Area","Female","1378","0.284407797808078","0.271852968796972","0.296962626819184"
"Big worries","2014","Rural Area","Male","974","0.215689434806222","0.203388872199223","0.227989997413221"
"Big worries","2014","Urban Area","Female","3001","0.308003601421122","0.298799593658656","0.317207609183587"
"Big worries","2014","Urban Area","Male","2110","0.257424941379251","0.24792404016055","0.266925842597952"
"No worries","2014","Rural Area","Female","827","0.167834804737105","0.157434332944544","0.178235276529665"
"No worries","2014","Rural Area","Male","1103","0.260901577346523","0.247768817667644","0.274034337025401"
"No worries","2014","Urban Area","Female","1448","0.148069972070387","0.140989167271019","0.155150776869755"
"No worries","2014","Urban Area","Male","1861","0.22716279273557","0.218057751369098","0.236267834102042"
"Some worries","2014","Rural Area","Female","2755","0.547757397454817","0.533906206571058","0.561608588338576"
"Some worries","2014","Rural Area","Male","2218","0.523408987847256","0.508472103482935","0.538345872211576"
"Some worries","2014","Urban Area","Female","5216","0.543926426508491","0.533996759246702","0.553856093770281"
"Some worries","2014","Urban Area","Male","4164","0.515412265885179","0.504552189102436","0.526272342667922"
"Big worries","2015","Rural Area","Female","1209","0.277313602008433","0.264447841953837","0.290179362063029"
"Big worries","2015","Rural Area","Male","824","0.201558738822999","0.18912053545536","0.213996942190637"
"Big worries","2015","Urban Area","Female","2690","0.297634225942415","0.288128852724374","0.307139599160457"
"Big worries","2015","Urban Area","Male","1865","0.251543404320052","0.241687294882408","0.261399513757697"
"No worries","2015","Rural Area","Female","788","0.158045522624852","0.1475619254499","0.168529119799804"
"No worries","2015","Rural Area","Male","1005","0.253982647340239","0.240486436980361","0.267478857700116"
"No worries","2015","Urban Area","Female","1349","0.152219078718297","0.144750767078183","0.159687390358412"
"No worries","2015","Urban Area","Male","1659","0.219388638789674","0.209988370676627","0.228788906902721"
"Some worries","2015","Rural Area","Female","2654","0.564640875366715","0.55039185838602","0.578889892347411"
"Some worries","2015","Rural Area","Male","2167","0.544458613836763","0.529017390400798","0.559899837272727"
"Some worries","2015","Urban Area","Female","4849","0.550146695339288","0.53980430844896","0.560489082229615"
"Some worries","2015","Urban Area","Male","3921","0.529067956890274","0.517729587794069","0.540406325986479"
"Big worries","2016","Rural Area","Female","1372","0.314245451278714","0.300639903177383","0.327850999380044"
"Big worries","2016","Rural Area","Male","969","0.258508236362442","0.244703761501752","0.272312711223132"
