"plh0037","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence"
"Big worries","2009","general elemantary","West Germany","405","0.257451891229837","0.235521876979636","0.279381905480037"
"Big worries","2009","general elemantary","East Germany","62","0.299553462772988","0.244402915994933","0.354704009551043"
"Big worries","2009","higher education","West Germany","874","0.30438615298184","0.287420969247942","0.321351336715738"
"Big worries","2009","higher education","East Germany","314","0.260447699679855","0.235698604093277","0.285196795266434"
"Big worries","2009","higher vocational","West Germany","302","0.336633354040933","0.306693649518107","0.366573058563759"
"Big worries","2009","higher vocational","East Germany","96","0.254196361998577","0.210009761613332","0.298382962383822"
"Big worries","2009","in school","West Germany","76","0.293758930869176","0.237854011590959","0.349663850147392"
"Big worries","2009","in school","East Germany","","","",""
"Big worries","2009","inadequately","West Germany","39","0.249070601328286","0.179629636718008","0.318511565938564"
"Big worries","2009","inadequately","East Germany","","","",""
"Big worries","2009","middle vocational","West Germany","1887","0.28171105996627","0.270915710332174","0.292506409600367"
"Big worries","2009","middle vocational","East Germany","581","0.26489490705049","0.24725515893358","0.2825346551674"
"Big worries","2009","vocational + Abi","West Germany","271","0.33891642218811","0.307095473803233","0.370737370572987"
"Big worries","2009","vocational + Abi","East Germany","41","0.186341938454395","0.124642864467291","0.248041012441498"
"No worries","2009","general elemantary","West Germany","267","0.171271342177716","0.152375027975254","0.190167656380177"
"No worries","2009","general elemantary","East Germany","83","0.34629072092378","0.289006118126216","0.403575323721343"
"No worries","2009","higher education","West Germany","424","0.157365972090963","0.143940272563634","0.170791671618293"
"No worries","2009","higher education","East Germany","210","0.187981603839666","0.165949537362292","0.21001367031704"
"No worries","2009","higher vocational","West Germany","134","0.12855084410073","0.107345241650326","0.149756446551134"
"No worries","2009","higher vocational","East Germany","56","0.128351760655366","0.0944075886887834","0.162295932621949"
"No worries","2009","in school","West Germany","55","0.204592145135582","0.155079353155277","0.254104937115888"
"No worries","2009","in school","East Germany","","","",""
"No worries","2009","inadequately","West Germany","38","0.237831788185555","0.169469699535675","0.306193876835434"
"No worries","2009","inadequately","East Germany","","","",""
"No worries","2009","middle vocational","West Germany","967","0.14880234241232","0.140261410339379","0.157343274485261"
"No worries","2009","middle vocational","East Germany","492","0.214036362920838","0.19764081754596","0.230431908295717"
"No worries","2009","vocational + Abi","West Germany","118","0.137939764638522","0.114757696670721","0.161121832606324"
"No worries","2009","vocational + Abi","East Germany","","","",""
"Some worries","2009","general elemantary","West Germany","855","0.571276766592448","0.546454561295094","0.596098971889802"
"Some worries","2009","general elemantary","East Germany","120","0.354155816303232","0.296573885969163","0.411737746637301"
"Some worries","2009","higher education","West Germany","1528","0.538247874927197","0.519867362044668","0.556628387809725"
