"plh0037","year","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Big worries","2009","(0) in school","85","0.280828888617161","0.23072102821767","0.330936749016652"
"Big worries","2009","(1a) inadequately completed","44","0.245066492328854","0.180408837469681","0.309724147188027"
"Big worries","2009","(1b) general elementary school","356","0.259788557673735","0.236752063843491","0.282825051503979"
"Big worries","2009","(1c) basic vocational qualification","1347","0.274305714812168","0.261715338211879","0.286896091412458"
"Big worries","2009","(2a) intermediate vocational","1157","0.273312153169093","0.260110946420771","0.286513359917415"
"Big worries","2009","(2b) intermediate general qualification","120","0.274455791694764","0.232472994980148","0.31643858840938"
"Big worries","2009","(2c_gen) general maturity certificate","205","0.349963056698038","0.314503295297543","0.385422818098532"
"Big worries","2009","(2c_voc) vocational maturity certificate","427","0.345629154409833","0.32005117644844","0.371207132371227"
"Big worries","2009","(3a) lower tertiary education","418","0.269358188931636","0.247504488483949","0.291211889379323"
"Big worries","2009","(3b) higher tertiary education","770","0.311327241057555","0.292996017700667","0.329658464414444"
"No worries","2009","(0) in school","75","0.226787877358392","0.180097423385046","0.273478331331738"
"No worries","2009","(1a) inadequately completed","38","0.218071400259012","0.155997857116542","0.280144943401481"
"No worries","2009","(1b) general elementary school","266","0.183029345672102","0.162715503897254","0.203343187446949"
"No worries","2009","(1c) basic vocational qualification","730","0.152048792314014","0.141916181536495","0.162181403091532"
"No worries","2009","(2a) intermediate vocational","693","0.156863773939618","0.146091176851716","0.16763637102752"
"No worries","2009","(2b) intermediate general qualification","97","0.231969063930621","0.192258357034383","0.27167977082686"
"No worries","2009","(2c_gen) general maturity certificate","141","0.207479905472781","0.177332575755804","0.237627235189757"
"No worries","2009","(2c_voc) vocational maturity certificate","188","0.13447255385565","0.116123811523971","0.15282129618733"
"No worries","2009","(3a) lower tertiary education","251","0.170511407162307","0.151985070074232","0.189037744250383"
"No worries","2009","(3b) higher tertiary education","383","0.160026040969027","0.145511454165666","0.174540627772387"
"Some worries","2009","(0) in school","149","0.492383234024447","0.436640475269563","0.54812599277933"
"Some worries","2009","(1a) inadequately completed","88","0.536862107412134","0.461905458236888","0.61181875658738"
"Some worries","2009","(1b) general elementary school","770","0.557182096654163","0.531088158083086","0.583276035225241"
"Some worries","2009","(1c) basic vocational qualification","2747","0.573645492873818","0.559689791637429","0.587601194110207"
"Some worries","2009","(2a) intermediate vocational","2528","0.569824072891289","0.555158343731557","0.584489802051021"
"Some worries","2009","(2b) intermediate general qualification","217","0.493575144374615","0.446538387140959","0.540611901608272"
"Some worries","2009","(2c_gen) general maturity certificate","349","0.442557037829182","0.405630334872403","0.47948374078596"
"Some worries","2009","(2c_voc) vocational maturity certificate","713","0.519898291734516","0.493027845773606","0.546768737695427"
"Some worries","2009","(3a) lower tertiary education","914","0.560130403906057","0.535678415610322","0.584582392201791"
"Some worries","2009","(3b) higher tertiary education","1298","0.528646717973418","0.508884646155217","0.548408789791619"
"Big worries","2010","(0) in school","141","0.337813962837787","0.292309619631775","0.383318306043798"
"Big worries","2010","(1a) inadequately completed","95","0.254522241738836","0.208822305654518","0.300222177823154"
"Big worries","2010","(1b) general elementary school","541","0.320688033029837","0.299578612747868","0.341797453311807"
"Big worries","2010","(1c) basic vocational qualification","1689","0.316184043725995","0.304019658646282","0.328348428805708"
