"plh0037","year","education","sampreg","n","percent","lower_confidence","upper_confidence"
"Big worries","2009","college entrance qualification","West Germany","1194","0.318319677298406","0.303530271056009","0.333109083540804"
"Big worries","2009","college entrance qualification","East Germany","281","0.297929351883257","0.270728642361096","0.325130061405419"
"Big worries","2009","lower secondary degree","West Germany","1314","0.273781221285505","0.261069895328289","0.28649254724272"
"Big worries","2009","lower secondary degree","East Germany","326","0.268652400540259","0.243625224383763","0.293679576696755"
"Big worries","2009","no degree/no degree yet","West Germany","117","0.273254680866413","0.230013958934365","0.316495402798462"
"Big worries","2009","no degree/no degree yet","East Germany","12","","",""
"Big worries","2009","Other degree","West Germany","223","0.304549769544936","0.27178737368463","0.337312165405242"
"Big worries","2009","Other degree","East Germany","9","","",""
"Big worries","2009","secondary school degree","West Germany","971","0.283178744024586","0.268039063895339","0.298318424153833"
"Big worries","2009","secondary school degree","East Germany","469","0.245223083623565","0.226429215158947","0.264016952088183"
"No worries","2009","college entrance qualification","West Germany","584","0.161721682848064","0.150031888820895","0.173411476875233"
"No worries","2009","college entrance qualification","East Germany","213","0.200989832445976","0.177155863158269","0.224823801733682"
"No worries","2009","lower secondary degree","West Germany","682","0.146581994980392","0.136499302894558","0.156664687066227"
"No worries","2009","lower secondary degree","East Germany","245","0.229092104090766","0.205364118223238","0.252820089958294"
"No worries","2009","no degree/no degree yet","West Germany","90","0.211978985537583","0.172320756760661","0.251637214314505"
"No worries","2009","no degree/no degree yet","East Germany","23","","",""
"No worries","2009","Other degree","West Germany","128","0.150605113050636","0.125143367860278","0.176066858240993"
"No worries","2009","Other degree","East Germany","10","","",""
"No worries","2009","secondary school degree","West Germany","496","0.147667775564166","0.135746348202535","0.159589202925796"
"No worries","2009","secondary school degree","East Germany","389","0.202518824333612","0.184963085051577","0.220074563615646"
"Some worries","2009","college entrance qualification","West Germany","2033","0.51995863985353","0.504096844406086","0.535820435300973"
"Some worries","2009","college entrance qualification","East Germany","592","0.501080815670767","0.471343472266406","0.530818159075129"
"Some worries","2009","lower secondary degree","West Germany","2731","0.579636783734103","0.565565114699202","0.593708452769003"
