"plh0037","year","migback","sampreg","n","percent","lower_confidence","upper_confidence"
"Big worries","2009","direct migration background","West Germany","455","0.290498821461754","0.268113244332012","0.312884398591495"
"Big worries","2009","direct migration background","East Germany","","","",""
"Big worries","2009","indirect migration background","West Germany","194","0.255324183097151","0.222306979295864","0.288341386898438"
"Big worries","2009","indirect migration background","East Germany","","","",""
"Big worries","2009","no migration background","West Germany","3274","0.292992108054298","0.284573939017009","0.301410277091587"
"Big worries","2009","no migration background","East Germany","1087","0.257286037089749","0.244426527054789","0.270145547124708"
"No worries","2009","direct migration background","West Germany","270","0.158770096217092","0.140749827919322","0.176790364514863"
"No worries","2009","direct migration background","East Germany","","","",""
"No worries","2009","indirect migration background","West Germany","108","0.156760586261781","0.129230689803023","0.184290482720539"
"No worries","2009","indirect migration background","East Germany","","","",""
"No worries","2009","no migration background","West Germany","1673","0.15392326299224","0.147248519849058","0.160598006135423"
"No worries","2009","no migration background","East Germany","894","0.211842634922427","0.199822241769666","0.223863028075188"
"Some worries","2009","direct migration background","West Germany","855","0.550731082321154","0.526204189786909","0.575257974855399"
"Some worries","2009","direct migration background","East Germany","39","0.540704271682431","0.427921292396318","0.653487250968544"
"Some worries","2009","indirect migration background","West Germany","368","0.587915230641068","0.550645064653223","0.625185396628914"
"Some worries","2009","indirect migration background","East Germany","","","",""
"Some worries","2009","no migration background","West Germany","6282","0.553084628953461","0.543888903627578","0.562280354279345"
"Some worries","2009","no migration background","East Germany","2458","0.530871327987824","0.516190649015049","0.5455520069606"
"Big worries","2010","direct migration background","West Germany","792","0.306656704779978","0.289441631457458","0.323871778102498"
"Big worries","2010","direct migration background","East Germany","34","0.286121022413341","0.207207759848978","0.365034284977704"
"Big worries","2010","indirect migration background","West Germany","370","0.324523274783478","0.296496132527551","0.352550417039404"
"Big worries","2010","indirect migration background","East Germany","","","",""
"Big worries","2010","no migration background","West Germany","4471","0.307104336606165","0.299637132849071","0.314571540363259"
"Big worries","2010","no migration background","East Germany","1189","0.238554208718628","0.227047375452546","0.250061041984711"
"No worries","2010","direct migration background","West Germany","547","0.171468533211753","0.157396553368413","0.185540513055093"
"No worries","2010","direct migration background","East Germany","","","",""
"No worries","2010","indirect migration background","West Germany","171","0.163871581635044","0.141713150237841","0.186030013032246"
"No worries","2010","indirect migration background","East Germany","","","",""
"No worries","2010","no migration background","West Germany","2318","0.165033409550549","0.159024418030219","0.171042401070878"
"No worries","2010","no migration background","East Germany","1239","0.247592056438201","0.235939054387146","0.259245058489256"
"Some worries","2010","direct migration background","West Germany","1417","0.521874762008269","0.503225464976195","0.540524059040342"
"Some worries","2010","direct migration background","East Germany","71","0.559981231148041","0.473307966562266","0.646654495733816"
"Some worries","2010","indirect migration background","West Germany","531","0.511605143581479","0.481682242964844","0.541528044198113"
"Some worries","2010","indirect migration background","East Germany","35","0.466515885355752","0.354356593346832","0.578675177364673"
"Some worries","2010","no migration background","West Germany","7871","0.527862253843286","0.519781055409389","0.535943452277183"
"Some worries","2010","no migration background","East Germany","2842","0.513853734843171","0.50035956975748","0.527347899928862"
"Big worries","2011","direct migration background","West Germany","538","0.263430590646849","0.243540004394261","0.283321176899438"
"Big worries","2011","direct migration background","East Germany","","","",""
"Big worries","2011","indirect migration background","West Germany","230","0.302529537710554","0.269544517345553","0.335514558075555"
"Big worries","2011","indirect migration background","East Germany","","","",""
"Big worries","2011","no migration background","West Germany","4164","0.311481974315415","0.303547489199271","0.319416459431558"
"Big worries","2011","no migration background","East Germany","1160","0.246621869946002","0.234340465866594","0.25890327402541"
