"year","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2003","3.42","3","22157","2","3","4","5","5","3.41","3.43","1","5","3","3"
"2004","","","","","","","","","","","","","",""
"2005","","","","","","","","","","","","","",""
"2006","","","","","","","","","","","","","",""
"2007","","","","","","","","","","","","","",""
"2008","3.46","3","19289","2","3","4","5","5","3.45","3.47","1","5","3","3"
"2009","","","","","","","","","","","","","",""
"2010","","","","","","","","","","","","","",""
"2011","","","","","","","","","","","","","",""
"2012","","","","","","","","","","","","","",""
"2013","3.47","3","25524","2","3","4","5","5","3.46","3.48","1","5","3","3"
"2014","","","","","","","","","","","","","",""
"2015","","","","","","","","","","","","","",""
"2016","","","","","","","","","","","","","",""
"2017","","","","","","","","","","","","","",""
"2018","3.37","3","25707","2","3","4","5","5","3.36","3.38","1","5","3","3"
