"plj0588","year","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Never","2013","Rural Area","2565","0.277800925097159","0.268617222274203","0.286984627920114","5"
"Never","2013","Urban Area","4943","0.295068606206451","0.288079559902723","0.302057652510179","5"
"Often","2013","Rural Area","472","0.0573139057825451","0.0525481029918014","0.0620797085732888","2"
"Often","2013","Urban Area","852","0.0536691617338574","0.0502156026410337","0.0571227208266812","2"
"Rarely ","2013","Urban Area","7183","0.435601273393874","0.428002901040952","0.443199645746795","4"
"Rarely ","2013","Rural Area","4114","0.442574415328896","0.432390632828285","0.452758197829507","4"
"Sometimes","2013","Rural Area","1898","0.213328933069602","0.204929615852717","0.221728250286487","3"
"Sometimes","2013","Urban Area","3202","0.205095488535281","0.198907941352042","0.211283035718521","3"
"Very often","2013","Urban Area","178","0.0105654701305369","0.00899864353881546","0.0121322967222584","1"
"Very often","2013","Rural Area","89","0.00898182072179862","0.00704742414076639","0.0109162173028308","1"
"Never","2014","Rural Area","","","","","5"
"Never","2014","Urban Area","","","","","5"
"Often","2014","Rural Area","","","","","2"
"Often","2014","Urban Area","","","","","2"
"Rarely ","2014","Urban Area","","","","","4"
"Rarely ","2014","Rural Area","","","","","4"
"Sometimes","2014","Rural Area","","","","","3"
"Sometimes","2014","Urban Area","","","","","3"
"Very often","2014","Urban Area","","","","","1"
"Very often","2014","Rural Area","","","","","1"
"Never","2015","Rural Area","","","","","5"
"Never","2015","Urban Area","","","","","5"
"Often","2015","Urban Area","","","","","2"
"Often","2015","Rural Area","","","","","2"
"Rarely ","2015","Urban Area","","","","","4"
"Rarely ","2015","Rural Area","","","","","4"
"Sometimes","2015","Rural Area","","","","","3"
"Sometimes","2015","Urban Area","","","","","3"
"Very often","2015","Urban Area","","","","","1"
"Very often","2015","Rural Area","","","","","1"
"Never","2016","Urban Area","993","0.276607433307285","0.260324114435285","0.292890752179285","5"
"Never","2016","Rural Area","367","0.243510302368499","0.220347778909996","0.266672825827002","5"
"Often","2016","Urban Area","363","0.170234744290029","0.156553496534843","0.183915992045215","2"
"Often","2016","Rural Area","203","0.174991213812421","0.154486056668145","0.195496370956698","2"
"Rarely ","2016","Urban Area","593","0.179001095238891","0.165046311311722","0.19295587916606","4"
"Rarely ","2016","Rural Area","259","0.190695177631633","0.169494408700631","0.211895946562634","4"
"Sometimes","2016","Urban Area","728","0.282551679636513","0.26616208389466","0.298941275378367","3"
"Sometimes","2016","Rural Area","388","0.292907385510806","0.268347349176571","0.317467421845041","3"
"Very often","2016","Urban Area","222","0.0916050475272818","0.0811042800525872","0.102105815001976","1"
"Very often","2016","Rural Area","102","0.0978959206766409","0.0818584337940225","0.113933407559259","1"
"Never","2017","Urban Area","6055","0.309755179252863","0.303222709093595","0.316287649412131","5"
"Never","2017","Rural Area","2984","0.28365076784805","0.274898175704506","0.292403359991594","5"
"Often","2017","Urban Area","1150","0.0522055570256005","0.0490630083457178","0.0553481057054833","2"
"Often","2017","Rural Area","651","0.0568201137535001","0.0523251041425967","0.0613151233644035","2"
"Rarely ","2017","Urban Area","7630","0.41910931801616","0.412138601341298","0.426080034691023","4"
"Rarely ","2017","Rural Area","4355","0.452131461166846","0.442467551651988","0.461795370681704","4"
"Sometimes","2017","Rural Area","2027","0.194889120368595","0.187197745917349","0.202580494819841","3"
"Sometimes","2017","Urban Area","4037","0.206479673447505","0.200761145496455","0.212198201398555","3"
"Very often","2017","Rural Area","172","0.0125085368630081","0.0103505328835549","0.0146665408424613","1"
"Very often","2017","Urban Area","375","0.0124502722578707","0.0108837539352505","0.0140167905804909","1"
"Never","2018","Urban Area","102","0.387781910138064","0.329117865041717","0.446445955234412","5"
"Never","2018","Rural Area","58","0.367267041110223","0.291377234057301","0.443156848163146","5"
"Often","2018","Urban Area","27","","","","2"
"Often","2018","Rural Area","15","","","","2"
"Rarely ","2018","Rural Area","31","0.148511275900653","0.0925288895468479","0.204493662254458","4"
"Rarely ","2018","Urban Area","37","0.118784843728177","0.0798313291079091","0.157738358348444","4"
"Sometimes","2018","Rural Area","41","0.326074243094945","0.252275916032539","0.399872570157351","3"
"Sometimes","2018","Urban Area","74","0.298088068928025","0.243015065296795","0.353161072559255","3"
"Very often","2018","Rural Area","10","","","","1"
"Very often","2018","Urban Area","25","","","","1"
"Never","2019","Urban Area","87","0.522085444016718","0.446997614308338","0.597173273725098","5"
"Never","2019","Rural Area","38","0.401537692964523","0.30593525551481","0.497140130414236","5"
"Often","2019","Urban Area","14","","","","2"
"Often","2019","Rural Area","8","","","","2"
"Rarely ","2019","Rural Area","24","","","","4"
"Rarely ","2019","Urban Area","36","0.155494230768533","0.101021132062932","0.209967329474135","4"
"Sometimes","2019","Rural Area","27","","","","3"
"Sometimes","2019","Urban Area","29","","","","3"
"Very often","2019","Rural Area","4","","","","1"
"Very often","2019","Urban Area","4","","","","1"
