"plj0588","year","education","sampreg","n","percent","lower_confidence","upper_confidence"
"Very often","2013","lower secondary degree","West Germany","83","0.0128610088602668","0.00996499988521653","0.015757017835317"
"Very often","2013","lower secondary degree","East Germany","","","",""
"Very often","2013","secondary school degree","West Germany","51","0.00918905578109284","0.00659884521874002","0.0117792663434457"
"Very often","2013","secondary school degree","East Germany","","","",""
"Very often","2013","college entrance qualification","West Germany","","","",""
"Very often","2013","college entrance qualification","East Germany","","","",""
"Very often","2013","Other degree","West Germany","30","0.0224790744323937","0.0148805957587416","0.0300775531060458"
"Very often","2013","Other degree","East Germany","","","",""
"Very often","2013","no degree/no degree yet","West Germany","","","",""
"Very often","2013","no degree/no degree yet","East Germany","","","",""
"Often","2013","lower secondary degree","West Germany","307","0.0529890021327274","0.04723137397832","0.0587466302871348"
"Often","2013","lower secondary degree","East Germany","98","0.0768682279375357","0.0622864875306724","0.091449968344399"
"Often","2013","secondary school degree","West Germany","239","0.0538715888089073","0.0477430186432615","0.0600001589745532"
"Often","2013","secondary school degree","East Germany","179","0.072343031920524","0.0624947003605583","0.0821913634804897"
"Often","2013","college entrance qualification","West Germany","221","0.0427958668691789","0.0376630587391852","0.0479286749991726"
"Often","2013","college entrance qualification","East Germany","48","0.0357915537432507","0.0261224611912006","0.0454606462953008"
"Often","2013","Other degree","West Germany","112","0.0693187268760111","0.0562990507425471","0.0823384030094751"
"Often","2013","Other degree","East Germany","","","",""
"Often","2013","no degree/no degree yet","West Germany","58","0.0840245451747732","0.0635023157614771","0.104546774588069"
"Often","2013","no degree/no degree yet","East Germany","","","",""
"Sometimes","2013","lower secondary degree","West Germany","1157","0.20382841797608","0.193474399529035","0.214182436423125"
"Sometimes","2013","lower secondary degree","East Germany","301","0.258825530982562","0.234850020619292","0.282801041345831"
"Sometimes","2013","secondary school degree","West Germany","1014","0.205221691153819","0.194258452642491","0.216184929665148"
"Sometimes","2013","secondary school degree","East Germany","572","0.224815877428979","0.208945526613727","0.240686228244231"
"Sometimes","2013","college entrance qualification","West Germany","1025","0.17558186296961","0.165933237943019","0.185230487996201"
"Sometimes","2013","college entrance qualification","East Germany","292","0.24028990265805","0.218051597486179","0.262528207829921"
"Sometimes","2013","Other degree","West Germany","364","0.250909322664221","0.228686460130086","0.273132185198356"
"Sometimes","2013","Other degree","East Germany","41","0.261809930631131","0.185651100680111","0.337968760582152"
"Sometimes","2013","no degree/no degree yet","West Germany","153","0.226237282025523","0.195286935027445","0.2571876290236"
"Sometimes","2013","no degree/no degree yet","East Germany","","","",""
"Rarely ","2013","lower secondary degree","West Germany","2349","0.401565136855174","0.388965452214322","0.414164821496027"
"Rarely ","2013","lower secondary degree","East Germany","471","0.354033492328301","0.327855806358457","0.380211178298146"
"Rarely ","2013","secondary school degree","West Germany","2404","0.462962485755298","0.449426825621741","0.476498145888855"
"Rarely ","2013","secondary school degree","East Germany","1220","0.456242084911605","0.437306833745819","0.47517733607739"
"Rarely ","2013","college entrance qualification","West Germany","2949","0.496922210702423","0.484242375478548","0.509602045926298"
"Rarely ","2013","college entrance qualification","East Germany","713","0.485102061787563","0.459089261166959","0.511114862408167"
"Rarely ","2013","Other degree","West Germany","511","0.351072207048267","0.326605765064836","0.375538649031698"
"Rarely ","2013","Other degree","East Germany","44","0.252150605031582","0.176922488816037","0.327378721247127"
"Rarely ","2013","no degree/no degree yet","West Germany","288","0.374104196948436","0.338308827855678","0.409899566041193"
"Rarely ","2013","no degree/no degree yet","East Germany","50","0.548430350235305","0.454574937003851","0.642285763466759"
"Never","2013","lower secondary degree","West Germany","1919","0.328756434175751","0.316682454790113","0.34083041356139"
"Never","2013","lower secondary degree","East Germany","389","0.292032747403142","0.267142658927883","0.3169228358784"
"Never","2013","secondary school degree","West Germany","1505","0.268755178500883","0.25672106645046","0.280789290551305"
"Never","2013","secondary school degree","East Germany","664","0.240769280120956","0.224515363562648","0.257023196679264"
"Never","2013","college entrance qualification","West Germany","1753","0.280690412511278","0.269295170647601","0.292085654374956"
"Never","2013","college entrance qualification","East Germany","356","0.229934991447411","0.208033373240351","0.25183660965447"
"Never","2013","Other degree","West Germany","445","0.306220668979107","0.282594008860136","0.329847329098079"
"Never","2013","Other degree","East Germany","","","",""
"Never","2013","no degree/no degree yet","West Germany","191","0.293621125924917","0.259931822153034","0.3273104296968"
"Never","2013","no degree/no degree yet","East Germany","","","",""
"Very often","2014","lower secondary degree","West Germany","","","",""
"Very often","2014","lower secondary degree","East Germany","","","",""
"Very often","2014","secondary school degree","West Germany","","","",""
"Very often","2014","secondary school degree","East Germany","","","",""
"Very often","2014","college entrance qualification","West Germany","","","",""
"Very often","2014","college entrance qualification","East Germany","","","",""
"Very often","2014","Other degree","West Germany","","","",""
"Very often","2014","Other degree","East Germany","","","",""
"Very often","2014","no degree/no degree yet","West Germany","","","",""
"Very often","2014","no degree/no degree yet","East Germany","","","",""
"Often","2014","lower secondary degree","West Germany","","","",""
"Often","2014","lower secondary degree","East Germany","","","",""
"Often","2014","secondary school degree","West Germany","","","",""
"Often","2014","secondary school degree","East Germany","","","",""
"Often","2014","college entrance qualification","West Germany","","","",""
"Often","2014","college entrance qualification","East Germany","","","",""
"Often","2014","Other degree","West Germany","","","",""
"Often","2014","Other degree","East Germany","","","",""
"Often","2014","no degree/no degree yet","West Germany","","","",""
"Often","2014","no degree/no degree yet","East Germany","","","",""
"Sometimes","2014","lower secondary degree","West Germany","","","",""
"Sometimes","2014","lower secondary degree","East Germany","","","",""
"Sometimes","2014","secondary school degree","West Germany","","","",""
"Sometimes","2014","secondary school degree","East Germany","","","",""
"Sometimes","2014","college entrance qualification","West Germany","","","",""
"Sometimes","2014","college entrance qualification","East Germany","","","",""
"Sometimes","2014","Other degree","West Germany","","","",""
"Sometimes","2014","Other degree","East Germany","","","",""
"Sometimes","2014","no degree/no degree yet","West Germany","","","",""
"Sometimes","2014","no degree/no degree yet","East Germany","","","",""
"Rarely ","2014","lower secondary degree","West Germany","","","",""
"Rarely ","2014","lower secondary degree","East Germany","","","",""
"Rarely ","2014","secondary school degree","West Germany","","","",""
"Rarely ","2014","secondary school degree","East Germany","","","",""
"Rarely ","2014","college entrance qualification","West Germany","","","",""
"Rarely ","2014","college entrance qualification","East Germany","","","",""
"Rarely ","2014","Other degree","West Germany","","","",""
"Rarely ","2014","Other degree","East Germany","","","",""
"Rarely ","2014","no degree/no degree yet","West Germany","","","",""
"Rarely ","2014","no degree/no degree yet","East Germany","","","",""
"Never","2014","lower secondary degree","West Germany","","","",""
"Never","2014","lower secondary degree","East Germany","","","",""
"Never","2014","secondary school degree","West Germany","","","",""
"Never","2014","secondary school degree","East Germany","","","",""
"Never","2014","college entrance qualification","West Germany","","","",""
"Never","2014","college entrance qualification","East Germany","","","",""
"Never","2014","Other degree","West Germany","","","",""
"Never","2014","Other degree","East Germany","","","",""
"Never","2014","no degree/no degree yet","West Germany","","","",""
"Never","2014","no degree/no degree yet","East Germany","","","",""
"Very often","2015","lower secondary degree","West Germany","","","",""
"Very often","2015","lower secondary degree","East Germany","","","",""
"Very often","2015","secondary school degree","West Germany","","","",""
"Very often","2015","secondary school degree","East Germany","","","",""
"Very often","2015","college entrance qualification","West Germany","","","",""
"Very often","2015","college entrance qualification","East Germany","","","",""
"Very often","2015","Other degree","West Germany","","","",""
"Very often","2015","Other degree","East Germany","","","",""
"Very often","2015","no degree/no degree yet","West Germany","","","",""
"Very often","2015","no degree/no degree yet","East Germany","","","",""
