"plj0588","year","age_gr","migback","n","percent","lower_confidence","upper_confidence"
"Very often","2013","16-34 y.","no migration background","38","0.00734810044837111","0.00481910821470254","0.00987709268203969"
"Very often","2013","16-34 y.","direct migration background","5","","",""
"Very often","2013","16-34 y.","indirect migration background","6","","",""
"Very often","2013","35-65 y.","no migration background","123","0.00890498834630821","0.00727136409724301","0.0105386125953734"
"Very often","2013","35-65 y.","direct migration background","35","0.0253037334946761","0.0177671064999637","0.0328403604893886"
"Very often","2013","35-65 y.","indirect migration background","5","","",""
"Very often","2013","66 and older","no migration background","49","0.0111756654087274","0.00813550753701138","0.0142158232804434"
"Very often","2013","66 and older","direct migration background","6","","",""
"Very often","2013","66 and older","indirect migration background","","","",""
"Often","2013","16-34 y.","no migration background","246","0.0528607329755053","0.0462349840325767","0.0594864819184339"
"Often","2013","16-34 y.","direct migration background","29","","",""
"Often","2013","16-34 y.","indirect migration background","31","0.0566034202524633","0.0389200655999786","0.074286774904948"
"Often","2013","35-65 y.","no migration background","636","0.0578842426650976","0.0538234561328839","0.0619450291973112"
"Often","2013","35-65 y.","direct migration background","121","0.0645011094663201","0.0527126976604185","0.0762895212722217"
"Often","2013","35-65 y.","indirect migration background","22","","",""
"Often","2013","66 and older","no migration background","205","0.0482957798223957","0.0420955832692389","0.0544959763755526"
"Often","2013","66 and older","direct migration background","34","0.0892230316270254","0.0600581937520903","0.11838786950196"
"Often","2013","66 and older","indirect migration background","","","",""
"Sometimes","2013","16-34 y.","no migration background","965","0.22190544210544","0.209601008421698","0.234209875789183"
"Sometimes","2013","16-34 y.","direct migration background","158","0.225246360856713","0.19182045621915","0.258672265494275"
"Sometimes","2013","16-34 y.","indirect migration background","131","0.240919130749006","0.208194418366373","0.273643843131639"
"Sometimes","2013","35-65 y.","no migration background","2410","0.199823528484172","0.192870179149182","0.206776877819163"
"Sometimes","2013","35-65 y.","direct migration background","405","0.250924759562635","0.230118953432544","0.271730565692727"
"Sometimes","2013","35-65 y.","indirect migration background","111","0.198987525254709","0.164738721673867","0.233236328835552"
"Sometimes","2013","66 and older","no migration background","828","0.196677432049595","0.185182084218704","0.208172779880486"
"Sometimes","2013","66 and older","direct migration background","90","0.245559214344307","0.20152342800922","0.289595000679393"
"Sometimes","2013","66 and older","indirect migration background","2","","",""
"Rarely ","2013","16-34 y.","no migration background","2054","0.483548167462805","0.46875039835393","0.49834593657168"
"Rarely ","2013","16-34 y.","direct migration background","230","0.351607596025875","0.313402565638146","0.389812626413604"
"Rarely ","2013","16-34 y.","indirect migration background","291","0.432286715218078","0.39437733846525","0.470196091970906"
"Rarely ","2013","35-65 y.","no migration background","5963","0.466283904132167","0.457609129300235","0.474958678964099"
"Rarely ","2013","35-65 y.","direct migration background","609","0.367686512621973","0.344546950288071","0.390826074955876"
"Rarely ","2013","35-65 y.","indirect migration background","231","0.470548567134863","0.427730394270522","0.513366739999204"
"Rarely ","2013","66 and older","no migration background","1811","0.386665362875172","0.372581679620783","0.400749046129561"
"Rarely ","2013","66 and older","direct migration background","106","0.266912532302654","0.221656399588346","0.312168665016962"
"Rarely ","2013","66 and older","indirect migration background","2","","",""
"Never","2013","16-34 y.","no migration background","1078","0.234337557007879","0.221794566724658","0.2468805472911"
"Never","2013","16-34 y.","direct migration background","178","0.381507133468234","0.342639227377084","0.420375039559383"
"Never","2013","16-34 y.","indirect migration background","197","0.266032903562996","0.232218467875109","0.299847339250883"
"Never","2013","35-65 y.","no migration background","3572","0.267103336372255","0.259409572077029","0.274797100667481"
"Never","2013","35-65 y.","direct migration background","498","0.291583884854395","0.269772861497745","0.313394908211045"
"Never","2013","35-65 y.","indirect migration background","153","0.301613855758068","0.26224196321939","0.340985748296747"
"Never","2013","66 and older","no migration background","1700","0.35718575984411","0.343328106885435","0.371043412802784"
"Never","2013","66 and older","direct migration background","131","0.384106022941754","0.334344507721564","0.433867538161945"
"Never","2013","66 and older","indirect migration background","1","","",""
"Very often","2014","16-34 y.","no migration background","","","",""
"Very often","2014","16-34 y.","direct migration background","","","",""
"Very often","2014","16-34 y.","indirect migration background","","","",""
"Very often","2014","35-65 y.","no migration background","","","",""
"Very often","2014","35-65 y.","direct migration background","","","",""
"Very often","2014","35-65 y.","indirect migration background","","","",""
"Very often","2014","66 and older","no migration background","","","",""
"Very often","2014","66 and older","direct migration background","","","",""
"Very often","2014","66 and older","indirect migration background","","","",""
"Often","2014","16-34 y.","no migration background","","","",""
"Often","2014","16-34 y.","direct migration background","","","",""
"Often","2014","16-34 y.","indirect migration background","","","",""
"Often","2014","35-65 y.","no migration background","","","",""
"Often","2014","35-65 y.","direct migration background","","","",""
"Often","2014","35-65 y.","indirect migration background","","","",""
"Often","2014","66 and older","no migration background","","","",""
"Often","2014","66 and older","direct migration background","","","",""
"Often","2014","66 and older","indirect migration background","","","",""
"Sometimes","2014","16-34 y.","no migration background","","","",""
"Sometimes","2014","16-34 y.","direct migration background","","","",""
"Sometimes","2014","16-34 y.","indirect migration background","","","",""
"Sometimes","2014","35-65 y.","no migration background","","","",""
"Sometimes","2014","35-65 y.","direct migration background","","","",""
"Sometimes","2014","35-65 y.","indirect migration background","","","",""
"Sometimes","2014","66 and older","no migration background","","","",""
"Sometimes","2014","66 and older","direct migration background","","","",""
"Sometimes","2014","66 and older","indirect migration background","","","",""
"Rarely ","2014","16-34 y.","no migration background","","","",""
"Rarely ","2014","16-34 y.","direct migration background","","","",""
"Rarely ","2014","16-34 y.","indirect migration background","","","",""
"Rarely ","2014","35-65 y.","no migration background","","","",""
"Rarely ","2014","35-65 y.","direct migration background","","","",""
"Rarely ","2014","35-65 y.","indirect migration background","","","",""
"Rarely ","2014","66 and older","no migration background","","","",""
"Rarely ","2014","66 and older","direct migration background","","","",""
"Rarely ","2014","66 and older","indirect migration background","","","",""
"Never","2014","16-34 y.","no migration background","","","",""
"Never","2014","16-34 y.","direct migration background","","","",""
"Never","2014","16-34 y.","indirect migration background","","","",""
"Never","2014","35-65 y.","no migration background","","","",""
"Never","2014","35-65 y.","direct migration background","","","",""
"Never","2014","35-65 y.","indirect migration background","","","",""
"Never","2014","66 and older","no migration background","","","",""
"Never","2014","66 and older","direct migration background","","","",""
"Never","2014","66 and older","indirect migration background","","","",""
"Very often","2015","16-34 y.","no migration background","","","",""
"Very often","2015","16-34 y.","direct migration background","","","",""
"Very often","2015","16-34 y.","indirect migration background","","","",""
"Very often","2015","35-65 y.","no migration background","","","",""
"Very often","2015","35-65 y.","direct migration background","","","",""
"Very often","2015","35-65 y.","indirect migration background","","","",""
"Very often","2015","66 and older","no migration background","","","",""
"Very often","2015","66 and older","direct migration background","","","",""
"Very often","2015","66 and older","indirect migration background","","","",""
"Often","2015","16-34 y.","no migration background","","","",""
"Often","2015","16-34 y.","direct migration background","","","",""
"Often","2015","16-34 y.","indirect migration background","","","",""
"Often","2015","35-65 y.","no migration background","","","",""
"Often","2015","35-65 y.","direct migration background","","","",""
"Often","2015","35-65 y.","indirect migration background","","","",""
"Often","2015","66 and older","no migration background","","","",""
"Often","2015","66 and older","direct migration background","","","",""
"Often","2015","66 and older","indirect migration background","","","",""
"Sometimes","2015","16-34 y.","no migration background","","","",""
"Sometimes","2015","16-34 y.","direct migration background","","","",""
"Sometimes","2015","16-34 y.","indirect migration background","","","",""
"Sometimes","2015","35-65 y.","no migration background","","","",""
"Sometimes","2015","35-65 y.","direct migration background","","","",""
"Sometimes","2015","35-65 y.","indirect migration background","","","",""
