"plj0588","year","e11103","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Very often","2013","Full Time","(0) in school","","","",""
"Very often","2013","Full Time","(1a) inadequately completed","","","",""
"Very often","2013","Full Time","(1b) general elementary school","3","","",""
"Very often","2013","Full Time","(1c) basic vocational qualification","11","","",""
"Very often","2013","Full Time","(2b) intermediate general qualification","2","","",""
"Very often","2013","Full Time","(2a) intermediate vocational","17","","",""
"Very often","2013","Full Time","(2c_gen) general maturity certificate","2","","",""
"Very often","2013","Full Time","(2c_voc) vocational maturity certificate","3","","",""
"Very often","2013","Full Time","(3a) lower tertiary education","4","","",""
"Very often","2013","Full Time","(3b) higher tertiary education","6","","",""
"Very often","2013","Part Time","(0) in school","","","",""
"Very often","2013","Part Time","(1a) inadequately completed","3","","",""
"Very often","2013","Part Time","(1b) general elementary school","6","","",""
"Very often","2013","Part Time","(1c) basic vocational qualification","18","","",""
"Very often","2013","Part Time","(2b) intermediate general qualification","4","","",""
"Very often","2013","Part Time","(2a) intermediate vocational","16","","",""
"Very often","2013","Part Time","(2c_gen) general maturity certificate","1","","",""
"Very often","2013","Part Time","(2c_voc) vocational maturity certificate","4","","",""
"Very often","2013","Part Time","(3a) lower tertiary education","3","","",""
"Very often","2013","Part Time","(3b) higher tertiary education","6","","",""
"Very often","2013","Not Working","(0) in school","1","","",""
"Very often","2013","Not Working","(1a) inadequately completed","8","","",""
"Very often","2013","Not Working","(1b) general elementary school","35","0.0252977769498078","0.0160517454504409","0.0345438084491746"
"Very often","2013","Not Working","(1c) basic vocational qualification","52","0.01677189034583","0.0119784441363885","0.0215653365552715"
"Very often","2013","Not Working","(2b) intermediate general qualification","5","","",""
"Very often","2013","Not Working","(2a) intermediate vocational","24","","",""
"Very often","2013","Not Working","(2c_gen) general maturity certificate","5","","",""
"Very often","2013","Not Working","(2c_voc) vocational maturity certificate","11","","",""
"Very often","2013","Not Working","(3a) lower tertiary education","1","","",""
