"plj0588","year","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Never","2013","in school","120","0.275086498660206","0.233549574076955","0.316623423243456","5"
"Never","2013","inadequately","75","0.261584875328297","0.214022035636892","0.309147715019703","5"
"Never","2013","general elemantary","815","0.312968413637981","0.29506178742748","0.330875039848481","5"
"Never","2013","middle vocational","3682","0.297608493732324","0.289563476357239","0.305653511107409","5"
"Never","2013","vocational + Abi","476","0.24866249185117","0.228531670896367","0.268793312805973","5"
"Never","2013","higher vocational","465","0.270032472130244","0.248783333664145","0.291281610596342","5"
"Never","2013","higher education","1724","0.274683190233265","0.263220672016342","0.286145708450188","5"
"Often","2013","inadequately","49","0.121496466134835","0.0861403339707558","0.156852598298914","2"
"Often","2013","vocational + Abi","102","0.0542421632166045","0.0436935034404227","0.0647908229927863","2"
"Often","2013","general elemantary","183","0.0787748958080796","0.0683720547623062","0.089177736853853","2"
"Often","2013","in school","21","","","","2"
"Often","2013","middle vocational","665","0.0542416421143623","0.0502562486126917","0.0582270356160329","2"
"Often","2013","higher vocational","76","0.0492062555719176","0.038854002588118","0.0595585085557172","2"
"Often","2013","higher education","203","0.041254527572737","0.036147271914235","0.046361783231239","2"
"Rarely ","2013","in school","226","0.507658658134318","0.461156227115918","0.554161089152719","4"
"Rarely ","2013","inadequately","98","0.285243192807406","0.236378185984563","0.334108199630249","4"
"Rarely ","2013","middle vocational","5371","0.427082163564829","0.418378209535863","0.435786117593795","4"
"Rarely ","2013","general elemantary","939","0.360699105340381","0.342155236352996","0.379242974327767","4"
"Rarely ","2013","higher vocational","791","0.461938518960382","0.438077466263116","0.485799571657648","4"
"Rarely ","2013","higher education","2868","0.503798265193772","0.490958484700519","0.516638045687025","4"
"Rarely ","2013","vocational + Abi","812","0.45607724740135","0.432880524914682","0.479273969888017","4"
"Sometimes","2013","in school","76","0.146676666274286","0.11376923886617","0.179584093682403","3"
"Sometimes","2013","general elemantary","588","0.230928867230016","0.214654746651315","0.247202987808716","3"
"Sometimes","2013","inadequately","96","0.312663418319036","0.262494535007359","0.362832301630712","3"
"Sometimes","2013","middle vocational","2545","0.210045360856332","0.202877784571647","0.217212937141018","3"
"Sometimes","2013","vocational + Abi","366","0.231664203967299","0.212015052045416","0.251313355889182","3"
"Sometimes","2013","higher vocational","333","0.211663900510582","0.192113274667969","0.231214526353196","3"
"Sometimes","2013","higher education","1000","0.174759912403138","0.165007519414023","0.184512305392252","3"
"Very often","2013","in school","1","","","","1"
"Very often","2013","inadequately","10","","","","1"
"Very often","2013","general elemantary","51","0.0166287179835427","0.0116905790310665","0.0215668569360189","1"
"Very often","2013","middle vocational","144","0.0110223397321525","0.00918518880169252","0.0128594906626124","1"
"Very often","2013","vocational + Abi","15","","","","1"
"Very often","2013","higher vocational","12","","","","1"
"Very often","2013","higher education","30","0.00550410459708763","0.00360414238755101","0.00740406680662426","1"
"Never","2014","in school","","","","","5"
"Never","2014","inadequately","","","","","5"
"Never","2014","general elemantary","","","","","5"
"Never","2014","middle vocational","","","","","5"
"Never","2014","vocational + Abi","","","","","5"
"Never","2014","higher vocational","","","","","5"
"Never","2014","higher education","","","","","5"
"Often","2014","vocational + Abi","","","","","2"
"Often","2014","in school","","","","","2"
"Often","2014","inadequately","","","","","2"
"Often","2014","general elemantary","","","","","2"
"Often","2014","middle vocational","","","","","2"
"Often","2014","higher vocational","","","","","2"
"Often","2014","higher education","","","","","2"
"Rarely ","2014","in school","","","","","4"
"Rarely ","2014","inadequately","","","","","4"
"Rarely ","2014","middle vocational","","","","","4"
"Rarely ","2014","general elemantary","","","","","4"
"Rarely ","2014","higher vocational","","","","","4"
"Rarely ","2014","vocational + Abi","","","","","4"
"Rarely ","2014","higher education","","","","","4"
"Sometimes","2014","in school","","","","","3"
"Sometimes","2014","general elemantary","","","","","3"
"Sometimes","2014","vocational + Abi","","","","","3"
"Sometimes","2014","higher vocational","","","","","3"
"Sometimes","2014","inadequately","","","","","3"
"Sometimes","2014","middle vocational","","","","","3"
"Sometimes","2014","higher education","","","","","3"
"Very often","2014","in school","","","","","1"
"Very often","2014","general elemantary","","","","","1"
"Very often","2014","inadequately","","","","","1"
"Very often","2014","higher education","","","","","1"
"Very often","2014","middle vocational","","","","","1"
"Very often","2014","vocational + Abi","","","","","1"
"Very often","2014","higher vocational","","","","","1"
"Never","2015","in school","","","","","5"
"Never","2015","inadequately","","","","","5"
"Never","2015","general elemantary","","","","","5"
"Never","2015","middle vocational","","","","","5"
"Never","2015","vocational + Abi","","","","","5"
"Never","2015","higher vocational","","","","","5"
"Never","2015","higher education","","","","","5"
"Often","2015","middle vocational","","","","","2"
"Often","2015","in school","","","","","2"
"Often","2015","inadequately","","","","","2"
"Often","2015","general elemantary","","","","","2"
"Often","2015","vocational + Abi","","","","","2"
"Often","2015","higher vocational","","","","","2"
"Often","2015","higher education","","","","","2"
"Rarely ","2015","in school","","","","","4"
"Rarely ","2015","inadequately","","","","","4"
"Rarely ","2015","general elemantary","","","","","4"
"Rarely ","2015","middle vocational","","","","","4"
"Rarely ","2015","vocational + Abi","","","","","4"
"Rarely ","2015","higher vocational","","","","","4"
"Rarely ","2015","higher education","","","","","4"
"Sometimes","2015","in school","","","","","3"
"Sometimes","2015","inadequately","","","","","3"
"Sometimes","2015","general elemantary","","","","","3"
