"plj0588","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence"
"Very often","2013","16-34 y.","in school","1","","",""
"Very often","2013","16-34 y.","inadequately","5","","",""
"Very often","2013","16-34 y.","general elemantary","13","","",""
"Very often","2013","16-34 y.","middle vocational","21","","",""
"Very often","2013","16-34 y.","vocational + Abi","1","","",""
"Very often","2013","16-34 y.","higher vocational","1","","",""
"Very often","2013","16-34 y.","higher education","6","","",""
"Very often","2013","35-65 y.","in school","","","",""
"Very often","2013","35-65 y.","inadequately","4","","",""
"Very often","2013","35-65 y.","general elemantary","21","","",""
"Very often","2013","35-65 y.","middle vocational","95","0.0124361489262477","0.00991728938978871","0.0149550084627067"
"Very often","2013","35-65 y.","vocational + Abi","13","","",""
"Very often","2013","35-65 y.","higher vocational","9","","",""
"Very often","2013","35-65 y.","higher education","19","","",""
"Very often","2013","66 and older","in school","","","",""
"Very often","2013","66 and older","inadequately","1","","",""
"Very often","2013","66 and older","general elemantary","17","","",""
"Very often","2013","66 and older","middle vocational","28","","",""
"Very often","2013","66 and older","vocational + Abi","1","","",""
"Very often","2013","66 and older","higher vocational","2","","",""
"Very often","2013","66 and older","higher education","5","","",""
"Often","2013","16-34 y.","in school","21","","",""
"Often","2013","16-34 y.","inadequately","24","","",""
"Often","2013","16-34 y.","general elemantary","55","0.0842902539764888","0.0659448307105771","0.102635677242401"
"Often","2013","16-34 y.","middle vocational","137","0.0473519921184298","0.0388916864267675","0.0558122978100921"
"Often","2013","16-34 y.","vocational + Abi","22","","",""
"Often","2013","16-34 y.","higher vocational","8","","",""
"Often","2013","16-34 y.","higher education","20","","",""
"Often","2013","35-65 y.","in school","","","",""
"Often","2013","35-65 y.","inadequately","17","","",""
"Often","2013","35-65 y.","general elemantary","82","0.0881322283454852","0.0702922003030733","0.105972256387897"
"Often","2013","35-65 y.","middle vocational","401","0.0575836388136005","0.0522888412332265","0.0628784363939745"
"Often","2013","35-65 y.","vocational + Abi","72","0.0526691970075353","0.0402012275208953","0.0651371664941752"
"Often","2013","35-65 y.","higher vocational","51","0.0490484377011191","0.0367363658800771","0.0613605095221611"
"Often","2013","35-65 y.","higher education","152","0.0524069261179728","0.0453841286994226","0.0594297235365231"
"Often","2013","66 and older","in school","","","",""
"Often","2013","66 and older","inadequately","8","","",""
"Often","2013","66 and older","general elemantary","46","0.0676253931921088","0.0493473706814682","0.0859034157027495"
"Often","2013","66 and older","middle vocational","127","0.052016042659147","0.0433972357943468","0.0606348495239471"
"Often","2013","66 and older","vocational + Abi","8","","",""
"Often","2013","66 and older","higher vocational","17","","",""
"Often","2013","66 and older","higher education","31","0.0275406707730982","0.0180862830315013","0.0369950585146951"
"Sometimes","2013","16-34 y.","in school","76","0.146676666274286","0.11376923886617","0.179584093682403"
"Sometimes","2013","16-34 y.","inadequately","34","0.281904268278346","0.201736941088205","0.362071595468488"
"Sometimes","2013","16-34 y.","general elemantary","198","0.21548802746419","0.188337923460666","0.242638131467715"
"Sometimes","2013","16-34 y.","middle vocational","564","0.232623471629972","0.215793564543058","0.249453378716887"
"Sometimes","2013","16-34 y.","vocational + Abi","83","0.194898420179193","0.156924148866147","0.232872691492238"
"Sometimes","2013","16-34 y.","higher vocational","33","0.239966012856015","0.169724267656787","0.310207758055244"
"Sometimes","2013","16-34 y.","higher education","181","0.218389654269666","0.189866880971055","0.246912427568278"
"Sometimes","2013","35-65 y.","in school","","","",""
"Sometimes","2013","35-65 y.","inadequately","50","0.370402378591937","0.295103593298031","0.445701163885843"
"Sometimes","2013","35-65 y.","general elemantary","230","0.234233556129996","0.207581240632846","0.260885871627146"
"Sometimes","2013","35-65 y.","middle vocational","1516","0.211948621689927","0.202659578860848","0.221237664519006"
"Sometimes","2013","35-65 y.","vocational + Abi","254","0.235068977233295","0.211400225791417","0.258737728675172"
"Sometimes","2013","35-65 y.","higher vocational","224","0.203029522378841","0.180097620954715","0.225961423802968"
"Sometimes","2013","35-65 y.","higher education","642","0.164412899506933","0.152732204992625","0.17609359402124"
"Sometimes","2013","66 and older","in school","","","",""
"Sometimes","2013","66 and older","inadequately","12","","",""
"Sometimes","2013","66 and older","general elemantary","160","0.23798418062591","0.206986076974901","0.268982284276918"
"Sometimes","2013","66 and older","middle vocational","465","0.19143954940419","0.176169161129028","0.206709937679352"
"Sometimes","2013","66 and older","vocational + Abi","29","","",""
"Sometimes","2013","66 and older","higher vocational","76","0.221475679975068","0.178158532256994","0.264792827693141"
"Sometimes","2013","66 and older","higher education","177","0.167307014898971","0.145743976439199","0.188870053358744"
"Rarely ","2013","16-34 y.","in school","226","0.507658658134318","0.461156227115918","0.554161089152719"
"Rarely ","2013","16-34 y.","inadequately","36","0.28692941311572","0.206334208488269","0.367524617743171"
"Rarely ","2013","16-34 y.","general elemantary","360","0.438357512753303","0.405592952700171","0.471122072806436"
