"plj0588","year","bula_h","sex","n","percent","lower_confidence","upper_confidence"
"Very often","2013","Schleswig-Holstein","Male","","","",""
"Very often","2013","Schleswig-Holstein","Female","","","",""
"Very often","2013","Hamburg","Male","","","",""
"Very often","2013","Hamburg","Female","","","",""
"Very often","2013","Lower Saxony","Male","","","",""
"Very often","2013","Lower Saxony","Female","","","",""
"Very often","2013","Bremen","Male","","","",""
"Very often","2013","Bremen","Female","","","",""
"Very often","2013","North Rhine-Westphalia","Male","","","",""
"Very often","2013","North Rhine-Westphalia","Female","32","0.0125034148234118","0.00837435049106834","0.0166324791557554"
"Very often","2013","Hesse","Male","","","",""
"Very often","2013","Hesse","Female","","","",""
"Very often","2013","Rhineland-Palatinate,Saarland","Male","","","",""
"Very often","2013","Rhineland-Palatinate,Saarland","Female","","","",""
"Very often","2013","Baden-Württemberg","Male","","","",""
"Very often","2013","Baden-Württemberg","Female","","","",""
"Very often","2013","Bavaria","Male","","","",""
"Very often","2013","Bavaria","Female","","","",""
"Very often","2013","Berlin","Male","","","",""
"Very often","2013","Berlin","Female","","","",""
"Very often","2013","Brandenburg","Male","","","",""
"Very often","2013","Brandenburg","Female","","","",""
"Very often","2013","Mecklenburg-Western Pomerania","Male","","","",""
"Very often","2013","Mecklenburg-Western Pomerania","Female","","","",""
"Very often","2013","Saxony","Male","","","",""
"Very often","2013","Saxony","Female","","","",""
"Very often","2013","Saxony-Anhalt","Male","","","",""
"Very often","2013","Saxony-Anhalt","Female","","","",""
"Very often","2013","Thuringia","Male","","","",""
"Very often","2013","Thuringia","Female","","","",""
"Often","2013","Schleswig-Holstein","Male","","","",""
"Often","2013","Schleswig-Holstein","Female","32","0.0645364618622865","0.0430853982346445","0.0859875254899285"
"Often","2013","Hamburg","Male","","","",""
"Often","2013","Hamburg","Female","","","",""
"Often","2013","Lower Saxony","Male","53","0.0480744809168646","0.0354669711259578","0.0606819907077715"
"Often","2013","Lower Saxony","Female","75","0.0558685331212796","0.0436036288248803","0.0681334374176789"
"Often","2013","Bremen","Male","","","",""
"Often","2013","Bremen","Female","","","",""
"Often","2013","North Rhine-Westphalia","Male","95","0.0561012810259795","0.0467253263101793","0.0654772357417796"
"Often","2013","North Rhine-Westphalia","Female","150","0.0530723237903341","0.0447419980277463","0.061402649552922"
"Often","2013","Hesse","Male","32","0.0442080885348943","0.0299817397831852","0.0584344372866034"
"Often","2013","Hesse","Female","64","0.0844674350889617","0.0667372308502041","0.102197639327719"
"Often","2013","Rhineland-Palatinate,Saarland","Male","","","",""
"Often","2013","Rhineland-Palatinate,Saarland","Female","52","0.0623009473571311","0.0454144417409754","0.0791874529732868"
"Often","2013","Baden-Württemberg","Male","46","0.0322298701477077","0.0228607857751302","0.0415989545202853"
"Often","2013","Baden-Württemberg","Female","89","0.0569084384265214","0.0457098715410605","0.0681070053119823"
"Often","2013","Bavaria","Male","66","0.0421396242261805","0.0328686311299182","0.0514106173224428"
"Often","2013","Bavaria","Female","112","0.0494379921856239","0.0403979413739415","0.0584780429973063"
"Often","2013","Berlin","Male","32","0.0601514498408297","0.037782004588818","0.0825208950928415"
"Often","2013","Berlin","Female","43","0.0885580324997939","0.0648145052367496","0.112301559762838"
"Often","2013","Brandenburg","Male","","","",""
"Often","2013","Brandenburg","Female","43","0.0740586517397911","0.0523505510763407","0.0957667524032415"
"Often","2013","Mecklenburg-Western Pomerania","Male","","","",""
"Often","2013","Mecklenburg-Western Pomerania","Female","31","0.0698900703806358","0.0421708322229469","0.0976093085383247"
"Often","2013","Saxony","Male","45","0.0752779202352465","0.0571863408378315","0.0933694996326616"
"Often","2013","Saxony","Female","56","0.0779377801350942","0.0603652837987656","0.0955102764714229"
"Often","2013","Saxony-Anhalt","Male","","","",""
