"plj0588","year","migback","n","percent","lower_confidence","upper_confidence"
"Very often","2013","no migration background","210","0.00922242625402021","0.00794995152979913","0.0104949009782413"
"Very often","2013","direct migration background","46","0.019383803267767","0.014119670805021","0.024647935730513"
"Very often","2013","indirect migration background","11","","",""
"Often","2013","no migration background","1087","0.0542319228982828","0.0512171242472205","0.057246721549345"
"Often","2013","direct migration background","184","0.0652165904840621","0.0557891820193598","0.0746439989487643"
"Often","2013","indirect migration background","53","0.0420352280711395","0.0306002011311386","0.0534702550111404"
"Sometimes","2013","no migration background","4203","0.203355435103345","0.197997484863009","0.20871338534368"
"Sometimes","2013","direct migration background","653","0.245138225011313","0.228713541237674","0.261562908784952"
"Sometimes","2013","indirect migration background","244","0.224188439982623","0.200423296021452","0.247953583943794"
"Rarely ","2013","no migration background","9828","0.447712891316548","0.44109345912182","0.454332323511276"
"Rarely ","2013","direct migration background","945","0.340823818185618","0.322726113249511","0.358921523121724"
"Rarely ","2013","indirect migration background","524","0.448930698758472","0.420587524953119","0.477273872563824"
"Never","2013","no migration background","6350","0.285477324427804","0.279465139897038","0.29148950895857"
"Never","2013","direct migration background","807","0.32943756305124","0.311491716476984","0.347383409625496"
"Never","2013","indirect migration background","351","0.279528969496706","0.253956221916119","0.305101717077292"
"Very often","2014","no migration background","","","",""
"Very often","2014","direct migration background","","","",""
"Very often","2014","indirect migration background","","","",""
"Often","2014","no migration background","","","",""
"Often","2014","direct migration background","","","",""
"Often","2014","indirect migration background","","","",""
"Sometimes","2014","no migration background","","","",""
"Sometimes","2014","direct migration background","","","",""
"Sometimes","2014","indirect migration background","","","",""
"Rarely ","2014","no migration background","","","",""
"Rarely ","2014","direct migration background","","","",""
"Rarely ","2014","indirect migration background","","","",""
"Never","2014","no migration background","","","",""
"Never","2014","direct migration background","","","",""
"Never","2014","indirect migration background","","","",""
"Very often","2015","no migration background","","","",""
"Very often","2015","direct migration background","","","",""
"Very often","2015","indirect migration background","","","",""
"Often","2015","no migration background","","","",""
"Often","2015","direct migration background","","","",""
"Often","2015","indirect migration background","","","",""
"Sometimes","2015","no migration background","","","",""
"Sometimes","2015","direct migration background","","","",""
"Sometimes","2015","indirect migration background","","","",""
"Rarely ","2015","no migration background","","","",""
"Rarely ","2015","direct migration background","","","",""
"Rarely ","2015","indirect migration background","","","",""
"Never","2015","no migration background","","","",""
"Never","2015","direct migration background","","","",""
"Never","2015","indirect migration background","","","",""
"Very often","2016","no migration background","","","",""
"Very often","2016","direct migration background","324","0.0935928640318355","0.0848030875789206","0.10238264048475"
"Very often","2016","indirect migration background","","","",""
"Often","2016","no migration background","","","",""
"Often","2016","direct migration background","566","0.17173771349566","0.160355896852273","0.183119530139047"
"Often","2016","indirect migration background","","","",""
"Sometimes","2016","no migration background","","","",""
"Sometimes","2016","direct migration background","1116","0.285823919048195","0.272189182886218","0.299458655210172"
"Sometimes","2016","indirect migration background","","","",""
"Rarely ","2016","no migration background","","","",""
"Rarely ","2016","direct migration background","852","0.182696240480895","0.171034822638684","0.194357658323106"
"Rarely ","2016","indirect migration background","","","",""
"Never","2016","no migration background","","","",""
"Never","2016","direct migration background","1360","0.266149262943415","0.252812166102626","0.279486359784204"
"Never","2016","indirect migration background","","","",""
"Very often","2017","no migration background","187","0.0100455727086038","0.00867338753730365","0.011417757879904"
"Very often","2017","direct migration background","331","0.0241153309529798","0.020629490671741","0.0276011712342186"
"Very often","2017","indirect migration background","29","","",""
"Often","2017","no migration background","1003","0.0496520030844095","0.0466629922542465","0.0526410139145725"
"Often","2017","direct migration background","703","0.0761461826711067","0.0701193751685065","0.082172990173707"
"Often","2017","indirect migration background","95","0.0474814120352903","0.0373928359629104","0.0575699881076701"
"Sometimes","2017","no migration background","3751","0.191263194617646","0.185851452705814","0.196674936529478"
"Sometimes","2017","direct migration background","1976","0.254469456380232","0.244572260295944","0.264366652464521"
"Sometimes","2017","indirect migration background","337","0.222863547700348","0.203121168447132","0.242605926953565"
"Rarely ","2017","no migration background","9159","0.445849474056022","0.439009951688774","0.452688996423271"
"Rarely ","2017","direct migration background","2138","0.35037264917867","0.339531910581466","0.361213387775874"
"Rarely ","2017","indirect migration background","688","0.418229123278657","0.394829198861357","0.441629047695957"
"Never","2017","no migration background","6189","0.303189755533319","0.296865166729774","0.309514344336863"
"Never","2017","direct migration background","2292","0.294896380817011","0.284534876399875","0.305257885234148"
"Never","2017","indirect migration background","558","0.297143982771478","0.275464546547428","0.318823418995528"
"Very often","2018","no migration background","","","",""
"Very often","2018","direct migration background","35","0.0809327011809247","0.0548496063425027","0.107015796019347"
"Very often","2018","indirect migration background","","","",""
"Often","2018","no migration background","","","",""
"Often","2018","direct migration background","42","0.101638994744147","0.0727402437746506","0.130537745713644"
"Often","2018","indirect migration background","","","",""
"Sometimes","2018","no migration background","","","",""
"Sometimes","2018","direct migration background","115","0.307698354329106","0.263558213488117","0.351838495170096"
"Sometimes","2018","indirect migration background","","","",""
"Rarely ","2018","no migration background","","","",""
"Rarely ","2018","direct migration background","68","0.128992723355792","0.096936161351764","0.161049285359819"
"Rarely ","2018","indirect migration background","","","",""
"Never","2018","no migration background","","","",""
"Never","2018","direct migration background","160","0.38073722639003","0.334299216089851","0.427175236690209"
"Never","2018","indirect migration background","","","",""
"Very often","2019","no migration background","","","",""
"Very often","2019","direct migration background","8","","",""
"Very often","2019","indirect migration background","","","",""
"Often","2019","no migration background","","","",""
"Often","2019","direct migration background","22","","",""
"Often","2019","indirect migration background","","","",""
"Sometimes","2019","no migration background","","","",""
"Sometimes","2019","direct migration background","56","0.237682775101793","0.187373453009953","0.287992097193633"
"Sometimes","2019","indirect migration background","","","",""
"Rarely ","2019","no migration background","","","",""
"Rarely ","2019","direct migration background","62","0.197462245240553","0.15041258237604","0.244511908105066"
"Rarely ","2019","indirect migration background","","","",""
"Never","2019","no migration background","","","",""
"Never","2019","direct migration background","127","0.479906279205317","0.420858881081728","0.538953677328905"
"Never","2019","indirect migration background","","","",""
