"plj0588","year","age_gr","n","percent","lower_confidence","upper_confidence"
"Never","2017","66 and older","1848","0.361410678859826","0.348148922083643","0.374672435636009"
"Very often","2018","16-34 y.","","","",""
"Very often","2018","35-65 y.","","","",""
"Very often","2018","66 and older","","","",""
"Often","2018","16-34 y.","","","",""
"Often","2018","35-65 y.","","","",""
"Often","2018","66 and older","","","",""
"Sometimes","2018","16-34 y.","69","0.282267311172925","0.227022733592619","0.33751188875323"
"Sometimes","2018","35-65 y.","45","0.358691848201273","0.284607018554338","0.432776677848209"
"Sometimes","2018","66 and older","","","",""
"Rarely ","2018","16-34 y.","37","0.128670725276832","0.0875738286413922","0.169767621912273"
"Rarely ","2018","35-65 y.","31","0.133142690036051","0.0806658561601368","0.185619523911966"
"Rarely ","2018","66 and older","","","",""
"Never","2018","16-34 y.","105","0.395880843213186","0.335857311129756","0.455904375296616"
"Never","2018","35-65 y.","54","0.349643682403927","0.275985045546448","0.423302319261406"
"Never","2018","66 and older","","","",""
"Very often","2019","16-34 y.","","","",""
"Very often","2019","35-65 y.","","","",""
"Very often","2019","66 and older","","","",""
"Often","2019","16-34 y.","","","",""
"Often","2019","35-65 y.","","","",""
"Often","2019","66 and older","","","",""
"Sometimes","2019","16-34 y.","","","",""
"Sometimes","2019","35-65 y.","","","",""
"Sometimes","2019","66 and older","","","",""
"Rarely ","2019","16-34 y.","","","",""
"Rarely ","2019","35-65 y.","32","0.272543948963048","0.194172315091561","0.350915582834535"
"Rarely ","2019","66 and older","","","",""
"Never","2019","16-34 y.","77","0.5183407086266","0.437012403796995","0.599669013456204"
"Never","2019","35-65 y.","47","0.38484187215555","0.299202831999951","0.470480912311149"
"Never","2019","66 and older","","","",""
