"plj0588","year","e11103","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Never","2013","Full Time","Rural Area","936","0.263599641161873","0.248950907272025","0.278248375051721","5"
"Never","2013","Part Time","Rural Area","696","0.268356255633543","0.251007702869184","0.285704808397901","5"
"Never","2013","Not Working","Urban Area","1830","0.331267278215827","0.318947628214496","0.343586928217158","5"
"Never","2013","Not Working","Rural Area","933","0.298115559411958","0.282159122135293","0.314071996688623","5"
"Never","2013","Part Time","Urban Area","1266","0.272292829389279","0.259429138229176","0.285156520549382","5"
"Never","2013","Full Time","Urban Area","1847","0.272221204201116","0.261097846535993","0.28334456186624","5"
"Often","2013","Full Time","Rural Area","140","0.0483097667269674","0.0411806461035604","0.0554388873503744","2"
"Often","2013","Full Time","Urban Area","248","0.0424274103035309","0.0373902665817503","0.0474645540253116","2"
"Often","2013","Part Time","Urban Area","258","0.05466123439683","0.048092183505989","0.0612302852876709","2"
"Often","2013","Part Time","Rural Area","129","0.062418040885997","0.0529465739960311","0.0718895077759628","2"
"Often","2013","Not Working","Urban Area","346","0.0643098781571481","0.0578890997975305","0.0707306565167656","2"
"Often","2013","Not Working","Rural Area","203","0.0633295259584302","0.0548336662184813","0.0718253856983792","2"
"Rarely ","2013","Full Time","Rural Area","1722","0.492945980403908","0.476323437356946","0.509568523450871","4"
"Rarely ","2013","Full Time","Urban Area","2929","0.493144473246834","0.48065038969599","0.505638556797677","4"
"Rarely ","2013","Part Time","Urban Area","2085","0.447795398919384","0.433425325100448","0.46216547273832","4"
"Rarely ","2013","Part Time","Rural Area","1131","0.451484793607369","0.432001002827068","0.47096858438767","4"
"Rarely ","2013","Not Working","Urban Area","2169","0.370981938405729","0.35833775595281","0.383626120858649","4"
"Rarely ","2013","Not Working","Rural Area","1261","0.385736406214952","0.368756569748944","0.40271624268096","4"
"Sometimes","2013","Full Time","Rural Area","664","0.19221431396671","0.179113097387622","0.205315530545798","3"
"Sometimes","2013","Part Time","Urban Area","949","0.216302814578232","0.204404802539945","0.228200826616518","3"
"Sometimes","2013","Not Working","Rural Area","705","0.237590453859819","0.22274411200829","0.252436795711349","3"
"Sometimes","2013","Not Working","Urban Area","1162","0.217193806804199","0.206401018513224","0.227986595095174","3"
"Sometimes","2013","Full Time","Urban Area","1091","0.186379697820179","0.176648071650208","0.196111323990149","3"
"Sometimes","2013","Part Time","Rural Area","529","0.208888870647967","0.192972869721784","0.224804871574149","3"
"Very often","2013","Full Time","Urban Area","36","0.00582721442834038","0.003925099900815","0.00772932895586577","1"
"Very often","2013","Full Time","Rural Area","13","","","","1"
"Very often","2013","Part Time","Urban Area","42","0.00894772271627526","0.00622643967212707","0.0116690057604234","1"
"Very often","2013","Part Time","Rural Area","21","","","","1"
"Very often","2013","Not Working","Urban Area","100","0.0162470984170963","0.0129379691570914","0.0195562276771013","1"
"Very often","2013","Not Working","Rural Area","55","0.0152280545548402","0.0109563535592749","0.0194997555504056","1"
"Never","2014","Full Time","Rural Area","","","","","5"
"Never","2014","Not Working","Rural Area","","","","","5"
"Never","2014","Part Time","Urban Area","","","","","5"
"Never","2014","Full Time","Urban Area","","","","","5"
"Never","2014","Not Working","Urban Area","","","","","5"
"Never","2014","Part Time","Rural Area","","","","","5"
"Often","2014","Full Time","Rural Area","","","","","2"
"Often","2014","Part Time","Urban Area","","","","","2"
"Often","2014","Part Time","Rural Area","","","","","2"
"Often","2014","Full Time","Urban Area","","","","","2"
"Often","2014","Not Working","Urban Area","","","","","2"
"Often","2014","Not Working","Rural Area","","","","","2"
"Rarely ","2014","Full Time","Rural Area","","","","","4"
"Rarely ","2014","Not Working","Urban Area","","","","","4"
"Rarely ","2014","Not Working","Rural Area","","","","","4"
"Rarely ","2014","Full Time","Urban Area","","","","","4"
"Rarely ","2014","Part Time","Urban Area","","","","","4"
"Rarely ","2014","Part Time","Rural Area","","","","","4"
"Sometimes","2014","Full Time","Rural Area","","","","","3"
"Sometimes","2014","Part Time","Urban Area","","","","","3"
"Sometimes","2014","Full Time","Urban Area","","","","","3"
"Sometimes","2014","Part Time","Rural Area","","","","","3"
"Sometimes","2014","Not Working","Urban Area","","","","","3"
"Sometimes","2014","Not Working","Rural Area","","","","","3"
"Very often","2014","Part Time","Urban Area","","","","","1"
"Very often","2014","Full Time","Urban Area","","","","","1"
"Very often","2014","Full Time","Rural Area","","","","","1"
"Very often","2014","Part Time","Rural Area","","","","","1"
"Very often","2014","Not Working","Urban Area","","","","","1"
"Very often","2014","Not Working","Rural Area","","","","","1"
"Never","2015","Full Time","Rural Area","","","","","5"
"Never","2015","Part Time","Urban Area","","","","","5"
"Never","2015","Not Working","Urban Area","","","","","5"
"Never","2015","Not Working","Rural Area","","","","","5"
"Never","2015","Full Time","Urban Area","","","","","5"
"Never","2015","Part Time","Rural Area","","","","","5"
"Often","2015","Part Time","Rural Area","","","","","2"
"Often","2015","Full Time","Urban Area","","","","","2"
"Often","2015","Part Time","Urban Area","","","","","2"
"Often","2015","Full Time","Rural Area","","","","","2"
"Often","2015","Not Working","Urban Area","","","","","2"
"Often","2015","Not Working","Rural Area","","","","","2"
"Rarely ","2015","Full Time","Rural Area","","","","","4"
"Rarely ","2015","Part Time","Urban Area","","","","","4"
"Rarely ","2015","Full Time","Urban Area","","","","","4"
"Rarely ","2015","Not Working","Urban Area","","","","","4"
"Rarely ","2015","Part Time","Rural Area","","","","","4"
"Rarely ","2015","Not Working","Rural Area","","","","","4"
"Sometimes","2015","Part Time","Urban Area","","","","","3"
"Sometimes","2015","Part Time","Rural Area","","","","","3"
"Sometimes","2015","Full Time","Urban Area","","","","","3"
"Sometimes","2015","Full Time","Rural Area","","","","","3"
"Sometimes","2015","Not Working","Urban Area","","","","","3"
"Sometimes","2015","Not Working","Rural Area","","","","","3"
"Very often","2015","Full Time","Urban Area","","","","","1"
"Very often","2015","Full Time","Rural Area","","","","","1"
"Very often","2015","Part Time","Urban Area","","","","","1"
"Very often","2015","Part Time","Rural Area","","","","","1"
"Very often","2015","Not Working","Urban Area","","","","","1"
"Very often","2015","Not Working","Rural Area","","","","","1"
"Never","2016","Full Time","Urban Area","","","","","5"
"Never","2016","Full Time","Rural Area","","","","","5"
"Never","2016","Part Time","Urban Area","","","","","5"
"Never","2016","Part Time","Rural Area","","","","","5"
"Never","2016","Not Working","Urban Area","988","0.276109399303696","0.259801359475198","0.292417439132194","5"
"Never","2016","Not Working","Rural Area","362","0.242314192990264","0.219102208583964","0.265526177396564","5"
"Often","2016","Full Time","Urban Area","","","","","2"
"Often","2016","Full Time","Rural Area","","","","","2"
"Often","2016","Part Time","Urban Area","","","","","2"
"Often","2016","Part Time","Rural Area","","","","","2"
"Often","2016","Not Working","Urban Area","363","0.17073883035655","0.157013066747295","0.184464593965805","2"
"Often","2016","Not Working","Rural Area","203","0.17615615944022","0.15551901357116","0.196793305309279","2"
"Rarely ","2016","Full Time","Urban Area","","","","","4"
"Rarely ","2016","Full Time","Rural Area","","","","","4"
"Rarely ","2016","Part Time","Urban Area","","","","","4"
"Rarely ","2016","Part Time","Rural Area","","","","","4"
"Rarely ","2016","Not Working","Urban Area","591","0.179180981205876","0.165191733518193","0.193170228893558","4"
"Rarely ","2016","Not Working","Rural Area","257","0.190225625864629","0.168964082178032","0.211487169551226","4"
"Sometimes","2016","Full Time","Urban Area","","","","","3"
"Sometimes","2016","Full Time","Rural Area","","","","","3"
"Sometimes","2016","Part Time","Urban Area","","","","","3"
"Sometimes","2016","Part Time","Rural Area","","","","","3"
"Sometimes","2016","Not Working","Urban Area","725","0.28248885057002","0.266066335017633","0.298911366122407","3"
"Sometimes","2016","Not Working","Rural Area","385","0.292756391595031","0.268106445370583","0.317406337819478","3"
"Very often","2016","Full Time","Urban Area","","","","","1"
"Very often","2016","Full Time","Rural Area","","","","","1"
"Very often","2016","Part Time","Urban Area","","","","","1"
"Very often","2016","Part Time","Rural Area","","","","","1"
"Very often","2016","Not Working","Urban Area","220","0.091481938563859","0.0809657307105799","0.101998146417138","1"
"Very often","2016","Not Working","Rural Area","102","0.0985476301098572","0.0824013399595868","0.114693920260128","1"
