"plj0588","year","hgtyp1hh","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Never","2013","Couple + C. GT 16 ","East Germany","146","0.241074914504706","0.205616635586337","0.276533193423076","5"
"Never","2013","(Married) couple without C. ","West Germany","1921","0.323415693982845","0.311190185251924","0.335641202713765","5"
"Never","2013","(Married) couple without C. ","East Germany","556","0.252778775488949","0.233703078439934","0.271854472537964","5"
"Never","2013","Couple + C. GT 16 ","West Germany","664","0.280552920970506","0.261860038986425","0.299245802954587","5"
"Never","2013","1-pers.-HH","East Germany","230","0.246623653253329","0.218383963112288","0.27486334339437","5"
"Never","2013","Single parent ","West Germany","523","0.276354253639606","0.256915183564792","0.29579332371442","5"
"Never","2013","Single parent ","East Germany","149","0.320449631927211","0.282039369343743","0.35885989451068","5"
"Never","2013","Couple + C. LE 16 ","West Germany","1530","0.288685393441455","0.276323575034094","0.301047211848817","5"
"Never","2013","Couple + C. LE 16 ","East Germany","320","0.254968964374281","0.23135825095125","0.278579677797311","5"
"Never","2013","1-pers.-HH","West Germany","767","0.276592953253399","0.259641844077652","0.293544062429146","5"
"Never","2013","Couple + C. LE and GT 16","West Germany","497","0.325119401977623","0.30300809696622","0.347230706989026","5"
"Never","2013","Couple + C. LE and GT 16","East Germany","72","0.220085544364746","0.172319595018194","0.267851493711299","5"
"Often","2013","(Married) couple without C. ","West Germany","214","0.0366858505826526","0.0317727155421584","0.0415989856231469","2"
"Often","2013","Single parent ","West Germany","151","0.0700778797608134","0.0589811970661642","0.0811745624554626","2"
"Often","2013","Single parent ","East Germany","58","0.0913567748909176","0.0676417471091048","0.11507180267273","2"
"Often","2013","(Married) couple without C. ","East Germany","94","0.0552995749246472","0.0452674376563964","0.065331712192898","2"
"Often","2013","1-pers.-HH","East Germany","84","0.100016144584114","0.0803604232010237","0.119671865967204","2"
"Often","2013","Couple + C. LE 16 ","East Germany","68","0.0384909840042912","0.0280693826853167","0.0489125853232658","2"
"Often","2013","1-pers.-HH","West Germany","204","0.0807570533755072","0.0704320171737765","0.0910820895772379","2"
"Often","2013","Couple + C. LE 16 ","West Germany","213","0.0429681020410585","0.0374361885129892","0.0485000155691278","2"
"Often","2013","Couple + C. GT 16 ","West Germany","78","0.0381509139178652","0.0301806008354635","0.0461212270002668","2"
