"plj0588","year","sampreg","n","percent","lower_confidence","upper_confidence"
"Very often","2013","West Germany","207","0.0101080790407242","0.00871386635301617","0.0115022917284322"
"Very often","2013","East Germany","60","0.00975513579912775","0.00720852765657683","0.0123017439416787"
"Often","2013","West Germany","965","0.0518191134489845","0.0487295905842162","0.0549086363137529"
"Often","2013","East Germany","359","0.0677937180654605","0.0612800607975413","0.0743073753333797"
"Sometimes","2013","West Germany","3849","0.201363718018086","0.195774308180094","0.206953127856079"
"Sometimes","2013","East Germany","1251","0.235112850011256","0.224125042827621","0.246100657194891"
"Rarely ","2013","West Germany","8750","0.438883814163382","0.431967065312437","0.445800563014327"
"Rarely ","2013","East Germany","2547","0.433811654597557","0.420970465696895","0.446652843498218"
"Never","2013","West Germany","6003","0.297825275328823","0.291451390697243","0.304199159960404"
"Never","2013","East Germany","1505","0.253526641526599","0.242254845475115","0.264798437578083"
"Very often","2014","West Germany","","","",""
"Very often","2014","East Germany","","","",""
"Often","2014","West Germany","","","",""
"Often","2014","East Germany","","","",""
"Sometimes","2014","West Germany","","","",""
"Sometimes","2014","East Germany","","","",""
"Rarely ","2014","West Germany","","","",""
"Rarely ","2014","East Germany","","","",""
"Never","2014","West Germany","","","",""
"Never","2014","East Germany","","","",""
"Very often","2015","West Germany","","","",""
"Very often","2015","East Germany","","","",""
"Often","2015","West Germany","","","",""
"Often","2015","East Germany","","","",""
"Sometimes","2015","West Germany","","","",""
"Sometimes","2015","East Germany","","","",""
"Rarely ","2015","West Germany","","","",""
"Rarely ","2015","East Germany","","","",""
"Never","2015","West Germany","","","",""
"Never","2015","East Germany","","","",""
"Very often","2016","West Germany","261","0.0902678213019101","0.0807632128163149","0.0997724297875054"
"Very often","2016","East Germany","63","0.109168719640603","0.0864843550794581","0.131853084201749"
"Often","2016","West Germany","452","0.17086072749457","0.158376955093977","0.183344499895163"
"Often","2016","East Germany","114","0.175845873430253","0.148154143333534","0.203537603526973"
"Sometimes","2016","West Germany","890","0.281024907891003","0.266116189786769","0.295933625995237"
"Sometimes","2016","East Germany","226","0.308304443637113","0.274713116249853","0.341895771024373"
"Rarely ","2016","West Germany","731","0.187168086655571","0.174231275245845","0.200104898065297"
"Rarely ","2016","East Germany","121","0.161748290039684","0.134963585889776","0.188532994189591"
"Never","2016","West Germany","1158","0.270678456656946","0.255941855131292","0.285415058182599"
"Never","2016","East Germany","202","0.244932673252347","0.213650567427505","0.276214779077189"
"Very often","2017","West Germany","458","0.0123336006402753","0.0109238886952508","0.0137433125852998"
"Very often","2017","East Germany","89","0.0131136169511096","0.010208108526155","0.0160191253760643"
"Often","2017","West Germany","1426","0.0526692660557587","0.0498162136697269","0.0555223184417906"
"Often","2017","East Germany","375","0.0583570494321324","0.052369941238492","0.0643441576257729"
"Sometimes","2017","West Germany","4919","0.203381153881596","0.198239996000934","0.208522311762257"
"Sometimes","2017","East Germany","1145","0.200272288109963","0.190050925008559","0.210493651211367"
"Rarely ","2017","West Germany","9483","0.426171010750666","0.419854699922259","0.432487321579072"
"Rarely ","2017","East Germany","2502","0.445236745173452","0.432543383423474","0.45793010692343"
"Never","2017","West Germany","7261","0.305444968671704","0.299561951475518","0.31132798586789"
"Never","2017","East Germany","1778","0.283020300333343","0.271515223130065","0.294525377536621"
"Very often","2018","West Germany","31","0.0785860036164387","0.0512042574201246","0.105967749812753"
"Very often","2018","East Germany","","","",""
"Often","2018","West Germany","35","0.0841322756421451","0.0558861535822505","0.11237839770204"
"Often","2018","East Germany","","","",""
"Sometimes","2018","West Germany","103","0.3222756463532","0.274720072542683","0.369831220163716"
"Sometimes","2018","East Germany","","","",""
"Rarely ","2018","West Germany","60","0.12619031287623","0.0924007500932932","0.159979875659167"
"Rarely ","2018","East Germany","","","",""
"Never","2018","West Germany","142","0.388815761511986","0.339211482683945","0.438420040340027"
"Never","2018","East Germany","","","",""
"Very often","2019","West Germany","","","",""
"Very often","2019","East Germany","","","",""
"Often","2019","West Germany","","","",""
"Often","2019","East Germany","","","",""
"Sometimes","2019","West Germany","49","0.221808047849267","0.170512480459743","0.273103615238791"
"Sometimes","2019","East Germany","","","",""
"Rarely ","2019","West Germany","57","0.193272548104459","0.144520111674772","0.242024984534146"
"Rarely ","2019","East Germany","","","",""
"Never","2019","West Germany","119","0.496021136752732","0.434290028541654","0.55775224496381"
"Never","2019","East Germany","","","",""
