"plj0588","year","e11102","education","n","percent","lower_confidence","upper_confidence"
"Very often","2013","Not Employed","lower secondary degree","74","0.0182903992859132","0.013942652210298","0.0226381463615284"
"Very often","2013","Not Employed","secondary school degree","30","0.0133331971015575","0.00838381612425629","0.0182825780788587"
"Very often","2013","Not Employed","college entrance qualification","15","","",""
"Very often","2013","Not Employed","Other degree","24","","",""
"Very often","2013","Not Employed","no degree/no degree yet","9","","",""
"Very often","2013","Employed","lower secondary degree","32","0.00765077230371255","0.00474240422735166","0.0105591403800734"
"Very often","2013","Employed","secondary school degree","44","0.00615179707687152","0.00414087234117476","0.00816272181256828"
"Very often","2013","Employed","college entrance qualification","19","","",""
"Very often","2013","Employed","Other degree","11","","",""
"Very often","2013","Employed","no degree/no degree yet","3","","",""
"Often","2013","Not Employed","lower secondary degree","232","0.0625124641147977","0.0546578072089009","0.0703671210206945"
"Often","2013","Not Employed","secondary school degree","141","0.0760363871026783","0.0645987411840438","0.0874740330213129"
"Often","2013","Not Employed","college entrance qualification","61","0.0430652108341246","0.0333289025627393","0.0528015191055099"
"Often","2013","Not Employed","Other degree","52","0.0713155796541972","0.0508930534629123","0.0917381058454822"
"Often","2013","Not Employed","no degree/no degree yet","47","0.0786333568797468","0.0559729293983408","0.101293784361153"
"Often","2013","Employed","lower secondary degree","173","0.048835018298059","0.0416412231558969","0.0560288134402212"
"Often","2013","Employed","secondary school degree","277","0.0530556504650381","0.0472911346192906","0.0588201663107856"
"Often","2013","Employed","college entrance qualification","208","0.041258205391888","0.0361045175015725","0.0464118932822035"
"Often","2013","Employed","Other degree","71","0.0673991889173718","0.0517024193517188","0.0830959584830248"
"Often","2013","Employed","no degree/no degree yet","23","","",""
"Sometimes","2013","Not Employed","lower secondary degree","772","0.219361138841412","0.205934537659509","0.232787740023315"
"Sometimes","2013","Not Employed","secondary school degree","459","0.241416016563594","0.222949569249525","0.259882463877663"
"Sometimes","2013","Not Employed","college entrance qualification","314","0.200318504734174","0.18112258551799","0.219514423950357"
"Sometimes","2013","Not Employed","Other degree","167","0.279361767450699","0.243755593596552","0.314967941304846"
"Sometimes","2013","Not Employed","no degree/no degree yet","111","0.210398872992244","0.17608466083332","0.244713085151168"
"Sometimes","2013","Employed","lower secondary degree","686","0.202592649416279","0.189176854157364","0.216008444675193"
"Sometimes","2013","Employed","secondary school degree","1127","0.199414198528204","0.1891383719164","0.209690025140009"
"Sometimes","2013","Employed","college entrance qualification","1003","0.18090600076311","0.170931171384659","0.190880830141561"
"Sometimes","2013","Employed","Other degree","238","0.228510575646505","0.20222283908498","0.254798312208031"
"Sometimes","2013","Employed","no degree/no degree yet","63","0.227611351453556","0.177412290399077","0.277810412508034"
"Rarely ","2013","Not Employed","lower secondary degree","1320","0.361084422443755","0.34550012336236","0.376668721525149"
"Rarely ","2013","Not Employed","secondary school degree","843","0.380444074568958","0.359494068811048","0.401394080326868"
"Rarely ","2013","Not Employed","college entrance qualification","754","0.439566537058177","0.415761755723405","0.46337131839295"
"Rarely ","2013","Not Employed","Other degree","198","0.300895094341424","0.264498403314251","0.337291785368596"
"Rarely ","2013","Not Employed","no degree/no degree yet","222","0.377653720115419","0.33683951147512","0.418467928755718"
"Rarely ","2013","Employed","lower secondary degree","1500","0.4378487228532","0.42128899836646","0.454408447339939"
"Rarely ","2013","Employed","secondary school degree","2781","0.492272238395527","0.479414845517654","0.505129631273399"
"Rarely ","2013","Employed","college entrance qualification","2908","0.513186055328789","0.500234228008116","0.526137882649462"
"Rarely ","2013","Employed","Other degree","357","0.381107987779747","0.350701481834841","0.411514493724652"
"Rarely ","2013","Employed","no degree/no degree yet","116","0.426482703690573","0.367271394263187","0.48569401311796"
"Never","2013","Not Employed","lower secondary degree","1251","0.338751575314122","0.323395361646462","0.354107788981782"
"Never","2013","Not Employed","secondary school degree","590","0.288770324663212","0.269214339818788","0.308326309507636"
"Never","2013","Not Employed","college entrance qualification","526","0.30699689419561","0.28487489170604","0.32911889668518"
"Never","2013","Not Employed","Other degree","169","0.32617180816103","0.28896855027378","0.36337506604828"
"Never","2013","Not Employed","no degree/no degree yet","153","0.31377728434414","0.274711932259766","0.352842636428514"
"Never","2013","Employed","lower secondary degree","1057","0.30307283712875","0.287732614393412","0.318413059864088"
"Never","2013","Employed","secondary school degree","1579","0.249106115534359","0.237983260792897","0.260228970275821"
"Never","2013","Employed","college entrance qualification","1583","0.261603089534107","0.250214275881843","0.272991903186371"
"Never","2013","Employed","Other degree","303","0.300457760208957","0.271754334149734","0.32916118626818"
"Never","2013","Employed","no degree/no degree yet","63","0.225230463571768","0.175217737512126","0.275243189631411"
"Very often","2014","Not Employed","lower secondary degree","","","",""
"Very often","2014","Not Employed","secondary school degree","","","",""
"Very often","2014","Not Employed","college entrance qualification","","","",""
"Very often","2014","Not Employed","Other degree","","","",""
"Very often","2014","Not Employed","no degree/no degree yet","","","",""
"Very often","2014","Employed","lower secondary degree","","","",""
"Very often","2014","Employed","secondary school degree","","","",""
"Very often","2014","Employed","college entrance qualification","","","",""
"Very often","2014","Employed","Other degree","","","",""
"Very often","2014","Employed","no degree/no degree yet","","","",""
"Often","2014","Not Employed","lower secondary degree","","","",""
"Often","2014","Not Employed","secondary school degree","","","",""
"Often","2014","Not Employed","college entrance qualification","","","",""
"Often","2014","Not Employed","Other degree","","","",""
"Often","2014","Not Employed","no degree/no degree yet","","","",""
"Often","2014","Employed","lower secondary degree","","","",""
"Often","2014","Employed","secondary school degree","","","",""
"Often","2014","Employed","college entrance qualification","","","",""
"Often","2014","Employed","Other degree","","","",""
"Often","2014","Employed","no degree/no degree yet","","","",""
"Sometimes","2014","Not Employed","lower secondary degree","","","",""
"Sometimes","2014","Not Employed","secondary school degree","","","",""
"Sometimes","2014","Not Employed","college entrance qualification","","","",""
"Sometimes","2014","Not Employed","Other degree","","","",""
"Sometimes","2014","Not Employed","no degree/no degree yet","","","",""
"Sometimes","2014","Employed","lower secondary degree","","","",""
"Sometimes","2014","Employed","secondary school degree","","","",""
"Sometimes","2014","Employed","college entrance qualification","","","",""
"Sometimes","2014","Employed","Other degree","","","",""
"Sometimes","2014","Employed","no degree/no degree yet","","","",""
"Rarely ","2014","Not Employed","lower secondary degree","","","",""
"Rarely ","2014","Not Employed","secondary school degree","","","",""
"Rarely ","2014","Not Employed","college entrance qualification","","","",""
"Rarely ","2014","Not Employed","Other degree","","","",""
"Rarely ","2014","Not Employed","no degree/no degree yet","","","",""
"Rarely ","2014","Employed","lower secondary degree","","","",""
"Rarely ","2014","Employed","secondary school degree","","","",""
"Rarely ","2014","Employed","college entrance qualification","","","",""
"Rarely ","2014","Employed","Other degree","","","",""
"Rarely ","2014","Employed","no degree/no degree yet","","","",""
"Never","2014","Not Employed","lower secondary degree","","","",""
"Never","2014","Not Employed","secondary school degree","","","",""
"Never","2014","Not Employed","college entrance qualification","","","",""
"Never","2014","Not Employed","Other degree","","","",""
"Never","2014","Not Employed","no degree/no degree yet","","","",""
"Never","2014","Employed","lower secondary degree","","","",""
"Never","2014","Employed","secondary school degree","","","",""
"Never","2014","Employed","college entrance qualification","","","",""
