"plj0588","year","e11102","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Never","2013","Not Employed","in school","100","0.303289177395764","0.254853567060162","0.351724787731366","5"
"Never","2013","Not Employed","vocational + Abi","87","0.24048688060861","0.195712725091112","0.285261036126108","5"
"Never","2013","Not Employed","higher vocational","147","0.3091361288003","0.267576428299263","0.350695829301336","5"
"Never","2013","Not Employed","higher education","482","0.3109146547847","0.287196383546987","0.334632926022414","5"
"Never","2013","Employed","in school","20","","","","5"
"Never","2013","Employed","inadequately","36","0.261085129771934","0.189839220261923","0.332331039281945","5"
"Never","2013","Employed","general elemantary","384","0.295685406761724","0.270213301446633","0.321157512076815","5"
"Never","2013","Employed","middle vocational","2262","0.274864763721294","0.265070737364677","0.284658790077911","5"
"Never","2013","Employed","vocational + Abi","389","0.250960033887065","0.228417339174264","0.273502728599866","5"
"Never","2013","Not Employed","inadequately","39","0.261907610435498","0.198031006288104","0.325784214582892","5"
"Never","2013","Not Employed","general elemantary","431","0.325479821596117","0.300420483682424","0.350539159509811","5"
"Never","2013","Not Employed","middle vocational","1420","0.331445546935512","0.317575882919043","0.345315210951982","5"
"Never","2013","Employed","higher vocational","318","0.251509853708591","0.226981612793176","0.276038094624006","5"
"Never","2013","Employed","higher education","1242","0.26078639156289","0.247756743071169","0.273816040054612","5"
"Often","2013","Not Employed","in school","15","","","","2"
"Often","2013","Not Employed","inadequately","33","0.144242319363474","0.0931995595080249","0.195285079218924","2"
"Often","2013","Not Employed","middle vocational","267","0.0582551121678306","0.0513539042711126","0.0651563200645487","2"
"Often","2013","Not Employed","vocational + Abi","26","","","","2"
"Often","2013","Not Employed","general elemantary","112","0.0897662394652497","0.0744785071280567","0.105053971802443","2"
"Often","2013","Not Employed","higher vocational","26","","","","2"
"Often","2013","Not Employed","higher education","56","0.039358371540496","0.0293945672220265","0.0493221758589656","2"
"Often","2013","Employed","in school","6","","","","2"
"Often","2013","Employed","inadequately","16","","","","2"
"Often","2013","Employed","general elemantary","71","0.0635916751312546","0.0499709785556208","0.0772123717068884","2"
"Often","2013","Employed","middle vocational","398","0.051543969868635","0.0466934335297074","0.0563945062075626","2"
"Often","2013","Employed","vocational + Abi","76","0.0484161367694775","0.037255996504526","0.0595762770344289","2"
"Often","2013","Employed","higher vocational","50","0.0341190385061881","0.0238564704048726","0.0443816066075036","2"
"Often","2013","Employed","higher education","147","0.0419818097556105","0.0360303607579751","0.0479332587532458","2"
"Rarely ","2013","Not Employed","inadequately","48","0.230504929154287","0.169318455185264","0.291691403123309","4"
"Rarely ","2013","Not Employed","higher education","640","0.441973960674569","0.41652608689181","0.467421834457327","4"
"Rarely ","2013","Not Employed","in school","170","0.504699736197393","0.45201790527929","0.557381567115497","4"
"Rarely ","2013","Not Employed","vocational + Abi","144","0.385562810572212","0.334571005667552","0.436554615476873","4"
"Rarely ","2013","Not Employed","higher vocational","194","0.365113365756013","0.321815823560903","0.408410907951124","4"
"Rarely ","2013","Not Employed","general elemantary","438","0.313139160712905","0.288335650070753","0.337942671355057","4"
"Rarely ","2013","Not Employed","middle vocational","1719","0.375555628691221","0.361287222350248","0.389824035032195","4"
"Rarely ","2013","Employed","in school","56","0.515050787704825","0.416102516635588","0.613999058774063","4"
"Rarely ","2013","Employed","inadequately","50","0.370003739191613","0.291688964011651","0.448318514371575","4"
"Rarely ","2013","Employed","general elemantary","501","0.426397454621408","0.398792986133468","0.454001923109347","4"
"Rarely ","2013","Employed","middle vocational","3652","0.461715959555634","0.450779281589351","0.472652637521917","4"
"Rarely ","2013","Employed","vocational + Abi","668","0.475893488407167","0.449926851153324","0.50186012566101","4"
"Rarely ","2013","Employed","higher vocational","597","0.507802653395561","0.479539997287752","0.536065309503369","4"
"Rarely ","2013","Employed","higher education","2228","0.527511353347293","0.512695834862747","0.542326871831838","4"
"Sometimes","2013","Employed","general elemantary","263","0.209921783636411","0.187190165568058","0.232653401704765","3"
"Sometimes","2013","Not Employed","in school","60","0.149644938595875","0.112057631838932","0.187232245352818","3"
"Sometimes","2013","Not Employed","inadequately","55","0.339147950834219","0.270368434703066","0.407927466965372","3"
