"plj0588","year","e11103","sex","n","percent","lower_confidence","upper_confidence","value"
"Never","2013","Full Time","Female","857","0.230486077914286","0.216071299447672","0.244900856380901","5"
"Never","2013","Part Time","Female","1497","0.279488611991558","0.267535212107548","0.291442011875568","5"
"Never","2013","Not Working","Male","1155","0.320241944076544","0.304773708082424","0.335710180070663","5"
"Never","2013","Not Working","Female","1608","0.320554402796746","0.307953193955062","0.33315561163843","5"
"Never","2013","Part Time","Male","465","0.251096585118591","0.230434163442651","0.271759006794531","5"
"Never","2013","Full Time","Male","1926","0.290022327545064","0.278858788280149","0.301185866809978","5"
"Often","2013","Full Time","Female","167","0.056915670668725","0.0489857548720984","0.0648455864653516","2"
"Often","2013","Full Time","Male","221","0.0377151693556007","0.033028398800234","0.0424019399109674","2"
"Often","2013","Part Time","Male","89","0.0651610391036245","0.0534009580695823","0.0769211201376667","2"
"Often","2013","Part Time","Female","298","0.0539067577343047","0.0478911772555831","0.0599223382130262","2"
"Often","2013","Not Working","Male","184","0.0579172145945235","0.0501730804257375","0.0656613487633095","2"
"Often","2013","Not Working","Female","365","0.0684300374316377","0.0616126948438085","0.0752473800194669","2"
"Rarely ","2013","Full Time","Female","1548","0.493082169579422","0.475969970837085","0.51019436832176","4"
"Rarely ","2013","Full Time","Male","3103","0.493076779132839","0.480777144522719","0.505376413742959","4"
"Rarely ","2013","Part Time","Male","804","0.477298107760507","0.453498499748839","0.501097715772174","4"
"Rarely ","2013","Part Time","Female","2412","0.436913550975823","0.423701377705021","0.450125724246626","4"
"Rarely ","2013","Not Working","Male","1433","0.389442212175578","0.373275958090996","0.40560846626016","4"
"Rarely ","2013","Not Working","Female","1997","0.365837265136151","0.352831727156863","0.378842803115438","4"
"Sometimes","2013","Full Time","Female","684","0.214515113145179","0.200465148002734","0.228565078287624","3"
"Sometimes","2013","Part Time","Male","320","0.199399933822465","0.18036206949899","0.21843779814594","3"
"Sometimes","2013","Not Working","Female","1188","0.226347959531325","0.215048826515419","0.237647092547232","3"
"Sometimes","2013","Not Working","Male","679","0.220472732059064","0.206728591162803","0.234216872955326","3"
"Sometimes","2013","Full Time","Male","1071","0.174390611077617","0.165055645879601","0.183725576275632","3"
"Sometimes","2013","Part Time","Female","1158","0.219972424409872","0.208938549297013","0.231006299522731","3"
"Very often","2013","Full Time","Male","26","","","","1"
"Very often","2013","Full Time","Female","23","","","","1"
"Very often","2013","Part Time","Male","14","","","","1"
"Very often","2013","Part Time","Female","49","0.00971865488844176","0.00710546274082865","0.0123318470360549","1"
"Very often","2013","Not Working","Male","44","0.0119258970942906","0.00832703845542948","0.0155247557331518","1"
"Very often","2013","Not Working","Female","111","0.0188303351041406","0.0151601744725946","0.0225004957356866","1"
"Never","2014","Full Time","Female","","","","","5"
"Never","2014","Not Working","Female","","","","","5"
"Never","2014","Part Time","Male","","","","","5"
"Never","2014","Full Time","Male","","","","","5"
"Never","2014","Not Working","Male","","","","","5"
