"plj0588","year","age_gr","e11102","n","percent","lower_confidence","upper_confidence"
"Very often","2013","16-34 y.","Not Employed","20","","",""
"Very often","2013","16-34 y.","Employed","29","","",""
"Very often","2013","35-65 y.","Not Employed","85","0.0258082566589503","0.0197332356182128","0.0318832776996879"
"Very often","2013","35-65 y.","Employed","78","0.00712973327293092","0.00564145254791792","0.00861801399794392"
"Very often","2013","66 and older","Not Employed","50","0.0114235345748108","0.00832893562473499","0.0145181335248866"
"Very often","2013","66 and older","Employed","5","","",""
"Often","2013","16-34 y.","Not Employed","102","0.0719135552823741","0.0593216144051449","0.0845054961596032"
"Often","2013","16-34 y.","Employed","204","0.0462375424135988","0.0397459305151167","0.0527291543120808"
"Often","2013","35-65 y.","Not Employed","217","0.0853845940633432","0.0746779036546273","0.0960912844720592"
"Often","2013","35-65 y.","Employed","562","0.0515446100283466","0.0476334818727525","0.0554557381839408"
"Often","2013","66 and older","Not Employed","230","0.0540387727342266","0.0474547943455166","0.0606227511229366"
"Often","2013","66 and older","Employed","9","","",""
"Sometimes","2013","16-34 y.","Not Employed","384","0.236133765298715","0.215433267763133","0.256834262834297"
"Sometimes","2013","16-34 y.","Employed","870","0.220352241267904","0.207539471631002","0.233165010904806"
"Sometimes","2013","35-65 y.","Not Employed","626","0.264716545609469","0.247813530881742","0.281619560337196"
"Sometimes","2013","35-65 y.","Employed","2300","0.19169290728326","0.184729958832047","0.198655855734472"
"Sometimes","2013","66 and older","Not Employed","857","0.205400195162268","0.193635690586204","0.217164699738331"
"Sometimes","2013","66 and older","Employed","63","0.150302212153881","0.116719296968533","0.18388512733923"
"Rarely ","2013","16-34 y.","Not Employed","713","0.440897326905661","0.416697759738203","0.465096894073118"
"Rarely ","2013","16-34 y.","Employed","1862","0.476784351711797","0.461344738253602","0.492223965169991"
"Rarely ","2013","35-65 y.","Not Employed","989","0.35517366591511","0.336838367136708","0.373508964693511"
"Rarely ","2013","35-65 y.","Employed","5814","0.478893237251989","0.470056647968899","0.48772982653508"
"Rarely ","2013","66 and older","Not Employed","1728","0.371876367862922","0.357802260912466","0.385950474813378"
"Rarely ","2013","66 and older","Employed","191","0.432183901506763","0.385631551864758","0.478736251148767"
