"plj0588","year","regtyp","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Never","2013","Rural Area","East Germany","993","0.261074453406168","0.246868208929199","0.275280697883137","5"
"Never","2013","Rural Area","West Germany","1572","0.287736743779397","0.275735363144512","0.299738124414282","5"
"Never","2013","Urban Area","East Germany","512","0.23979763043685","0.221315236883234","0.258280023990467","5"
"Never","2013","Urban Area","West Germany","4431","0.301318423666419","0.293800271450755","0.308836575882083","5"
"Often","2013","Rural Area","West Germany","251","0.0496923682648722","0.0439314696344886","0.0554532668952558","2"
"Often","2013","Rural Area","East Germany","221","0.0701443967172347","0.061883998140727","0.0784047952937425","2"
"Often","2013","Urban Area","East Germany","138","0.0635179764606651","0.0529602790656074","0.0740756738557229","2"
"Often","2013","Urban Area","West Germany","714","0.0525554977649748","0.0488991744468282","0.0562118210831215","2"
"Rarely ","2013","Urban Area","East Germany","915","0.44519753212414","0.423683751950147","0.466711312298133","4"
"Rarely ","2013","Rural Area","East Germany","1632","0.427552029552994","0.411550582791836","0.443553476314152","4"
"Rarely ","2013","Rural Area","West Germany","2482","0.451497976974261","0.438305379898473","0.464690574050048","4"
"Rarely ","2013","Urban Area","West Germany","6268","0.434516167431337","0.426394004601525","0.44263833026115","4"
"Sometimes","2013","Rural Area","East Germany","790","0.231546538508605","0.217903073329443","0.245190003687767","3"
"Sometimes","2013","Rural Area","West Germany","1108","0.202507354687115","0.191853739129939","0.213160970244292","3"
"Sometimes","2013","Urban Area","West Germany","2741","0.200967734468879","0.194401687999077","0.207533780938681","3"
"Sometimes","2013","Urban Area","East Germany","461","0.241599753891562","0.223070043274156","0.260129464508969","3"
"Very often","2013","Urban Area","West Germany","154","0.0106421766683902","0.00896085599303487","0.0123234973437454","1"
"Very often","2013","Urban Area","East Germany","24","","","","1"
"Very often","2013","Rural Area","West Germany","53","0.00856555629435515","0.00612255855229684","0.0110085540364135","1"
"Very often","2013","Rural Area","East Germany","36","0.00968258181499834","0.00651535218786023","0.0128498114421364","1"
"Never","2014","Rural Area","West Germany","","","","","5"
"Never","2014","Rural Area","East Germany","","","","","5"
"Never","2014","Urban Area","East Germany","","","","","5"
"Never","2014","Urban Area","West Germany","","","","","5"
"Often","2014","Rural Area","West Germany","","","","","2"
"Often","2014","Urban Area","East Germany","","","","","2"
"Often","2014","Rural Area","East Germany","","","","","2"
"Often","2014","Urban Area","West Germany","","","","","2"
"Rarely ","2014","Rural Area","West Germany","","","","","4"
"Rarely ","2014","Urban Area","West Germany","","","","","4"
"Rarely ","2014","Urban Area","East Germany","","","","","4"
"Rarely ","2014","Rural Area","East Germany","","","","","4"
"Sometimes","2014","Rural Area","West Germany","","","","","3"
"Sometimes","2014","Rural Area","East Germany","","","","","3"
"Sometimes","2014","Urban Area","West Germany","","","","","3"
"Sometimes","2014","Urban Area","East Germany","","","","","3"
"Very often","2014","Urban Area","West Germany","","","","","1"
"Very often","2014","Urban Area","East Germany","","","","","1"
"Very often","2014","Rural Area","West Germany","","","","","1"
"Very often","2014","Rural Area","East Germany","","","","","1"
"Never","2015","Rural Area","East Germany","","","","","5"
"Never","2015","Rural Area","West Germany","","","","","5"
"Never","2015","Urban Area","East Germany","","","","","5"
"Never","2015","Urban Area","West Germany","","","","","5"
"Often","2015","Rural Area","West Germany","","","","","2"
"Often","2015","Urban Area","East Germany","","","","","2"
"Often","2015","Rural Area","East Germany","","","","","2"
"Often","2015","Urban Area","West Germany","","","","","2"
"Rarely ","2015","Urban Area","West Germany","","","","","4"
"Rarely ","2015","Urban Area","East Germany","","","","","4"
"Rarely ","2015","Rural Area","West Germany","","","","","4"
"Rarely ","2015","Rural Area","East Germany","","","","","4"
"Sometimes","2015","Rural Area","East Germany","","","","","3"
"Sometimes","2015","Rural Area","West Germany","","","","","3"
"Sometimes","2015","Urban Area","East Germany","","","","","3"
"Sometimes","2015","Urban Area","West Germany","","","","","3"
"Very often","2015","Rural Area","East Germany","","","","","1"
"Very often","2015","Urban Area","West Germany","","","","","1"
"Very often","2015","Urban Area","East Germany","","","","","1"
"Very often","2015","Rural Area","West Germany","","","","","1"
"Never","2016","Rural Area","West Germany","252","0.254112155647057","0.225298538633514","0.2829257726606","5"
"Never","2016","Urban Area","East Germany","87","0.279911042473236","0.227696435614423","0.33212564933205","5"
"Never","2016","Rural Area","East Germany","115","0.22328257458998","0.184458966328265","0.262106182851694","5"
"Never","2016","Urban Area","West Germany","906","0.276247175487731","0.259109326828687","0.293385024146776","5"
"Often","2016","Urban Area","East Germany","39","0.150881280209107","0.109252775733952","0.192509784684261","2"
"Often","2016","Rural Area","West Germany","128","0.166444487328618","0.141792594769769","0.191096379887468","2"
"Often","2016","Rural Area","East Germany","75","0.191297877578603","0.154629953487849","0.227965801669357","2"
"Often","2016","Urban Area","West Germany","324","0.172345235095798","0.157869637736365","0.186820832455231","2"
"Rarely ","2016","Rural Area","East Germany","77","0.161066373243196","0.126797233899108","0.195335512587284","4"
"Rarely ","2016","Urban Area","West Germany","549","0.180762367410719","0.166013074460854","0.195511660360584","4"
"Rarely ","2016","Urban Area","East Germany","44","0.16285000961415","0.119907793470956","0.205792225757344","4"
"Rarely ","2016","Rural Area","West Germany","182","0.206224368076783","0.179447044521649","0.233001691631918","4"
"Sometimes","2016","Rural Area","East Germany","141","0.327288539778601","0.28354471344134","0.371032366115862","3"
"Sometimes","2016","Urban Area","East Germany","85","0.277633325943037","0.225549417136342","0.329717234749731","3"
"Sometimes","2016","Rural Area","West Germany","247","0.274887370752564","0.245339348143583","0.304435393361545","3"
"Sometimes","2016","Urban Area","West Germany","643","0.283088024975322","0.265821461440446","0.300354588510198","3"
"Very often","2016","Rural Area","East Germany","34","0.0970646348096202","0.0694654788600655","0.124663790759175","1"
"Very often","2016","Urban Area","West Germany","193","0.0875571970304294","0.0767238914314017","0.0983905026294572","1"
"Very often","2016","Rural Area","West Germany","68","0.0983316181949777","0.0786247184207727","0.118038517969183","1"
"Very often","2016","Urban Area","East Germany","29","","","","1"
"Never","2017","Urban Area","East Germany","606","0.259757400431742","0.240962411406985","0.278552389456499","5"
"Never","2017","Rural Area","West Germany","1812","0.276761448712056","0.265792695541814","0.287730201882298","5"
"Never","2017","Rural Area","East Germany","1172","0.296486196557284","0.281961429979194","0.311010963135374","5"
"Never","2017","Urban Area","West Germany","5449","0.314847107122768","0.307897125219485","0.321797089026051","5"
"Often","2017","Urban Area","West Germany","1029","0.0527327993867523","0.0493884107763128","0.0560771879971918","2"
"Often","2017","Urban Area","East Germany","121","0.0470285498818432","0.0379546953339355","0.0561024044297509","2"
"Often","2017","Rural Area","West Germany","397","0.0524754421105847","0.0470085944401945","0.0579422897809748","2"
"Often","2017","Rural Area","East Germany","254","0.0649146325349453","0.0570791175979171","0.0727501474719735","2"
"Rarely ","2017","Rural Area","East Germany","1611","0.436332472153571","0.420560322603646","0.452104621703496","4"
"Rarely ","2017","Urban Area","West Germany","6739","0.414881818637447","0.407509160944674","0.42225447633022","4"
"Rarely ","2017","Rural Area","West Germany","2744","0.460611448848147","0.448391147698889","0.472831749997404","4"
"Rarely ","2017","Urban Area","East Germany","891","0.460619249873713","0.439254892308417","0.481983607439009","4"
"Sometimes","2017","Rural Area","East Germany","704","0.188494306053047","0.176055877542515","0.20093273456358","3"
"Sometimes","2017","Rural Area","West Germany","1323","0.198321488514081","0.188545769944009","0.208097207084153","3"
"Sometimes","2017","Urban Area","East Germany","441","0.220619245570228","0.20284596442192","0.238392526718535","3"
"Sometimes","2017","Urban Area","West Germany","3596","0.205039655849567","0.198998337289676","0.211080974409458","3"
"Very often","2017","Rural Area","East Germany","57","0.0137723927011517","0.0100658937007657","0.0174788917015377","1"
"Very often","2017","Rural Area","West Germany","115","0.0118301718151312","0.00917938377156418","0.0144809598586982","1"
"Very often","2017","Urban Area","East Germany","32","0.0119755542424736","0.00731322723679713","0.0166378812481501","1"
"Very often","2017","Urban Area","West Germany","343","0.0124986190034651","0.010836202112523","0.0141610358944071","1"
"Never","2018","Urban Area","West Germany","95","0.3805969305689","0.320289929185407","0.440903931952394","5"
"Never","2018","Urban Area","East Germany","7","","","","5"
"Never","2018","Rural Area","West Germany","47","0.406999135517003","0.319824009809075","0.494174261224932","5"
"Never","2018","Rural Area","East Germany","11","","","","5"
"Often","2018","Urban Area","West Germany","25","","","","2"
"Often","2018","Rural Area","West Germany","10","","","","2"
"Often","2018","Rural Area","East Germany","5","","","","2"
"Often","2018","Urban Area","East Germany","2","","","","2"
"Rarely ","2018","Rural Area","East Germany","7","","","","4"
"Rarely ","2018","Urban Area","West Germany","36","0.127640308012385","0.0861935911314488","0.169087024893322","4"
"Rarely ","2018","Rural Area","West Germany","24","","","","4"
"Rarely ","2018","Urban Area","East Germany","1","","","","4"
"Sometimes","2018","Rural Area","West Germany","34","0.392501640760339","0.305853057021907","0.479150224498772","3"
"Sometimes","2018","Rural Area","East Germany","7","","","","3"
"Sometimes","2018","Urban Area","West Germany","69","0.290533705848478","0.234142346575286","0.346925065121669","3"
"Sometimes","2018","Urban Area","East Germany","5","","","","3"
"Very often","2018","Rural Area","East Germany","3","","","","1"
"Very often","2018","Rural Area","West Germany","7","","","","1"
"Very often","2018","Urban Area","West Germany","24","","","","1"
"Very often","2018","Urban Area","East Germany","1","","","","1"
"Never","2019","Urban Area","West Germany","86","0.535224777546886","0.459352410048425","0.611097145045347","5"
"Never","2019","Urban Area","East Germany","1","","","","5"
"Never","2019","Rural Area","West Germany","32","0.435316537444263","0.32865344707676","0.541979627811765","5"
"Never","2019","Rural Area","East Germany","6","","","","5"
"Often","2019","Rural Area","East Germany","1","","","","2"
"Often","2019","Urban Area","East Germany","1","","","","2"
"Often","2019","Urban Area","West Germany","13","","","","2"
"Often","2019","Rural Area","West Germany","7","","","","2"
"Rarely ","2019","Rural Area","East Germany","5","","","","4"
"Rarely ","2019","Rural Area","West Germany","19","","","","4"
"Rarely ","2019","Urban Area","West Germany","36","0.161824287227431","0.105799084769651","0.217849489685211","4"
"Rarely ","2019","Urban Area","East Germany","","","","","4"
"Sometimes","2019","Rural Area","West Germany","22","","","","3"
"Sometimes","2019","Rural Area","East Germany","5","","","","3"
"Sometimes","2019","Urban Area","East Germany","2","","","","3"
"Sometimes","2019","Urban Area","West Germany","27","","","","3"
"Very often","2019","Rural Area","East Germany","1","","","","1"
"Very often","2019","Rural Area","West Germany","3","","","","1"
"Very often","2019","Urban Area","East Germany","","","","","1"
"Very often","2019","Urban Area","West Germany","4","","","","1"
