"plj0588","year","age_gr","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"Never","2013","16-34 y.","1-pers.-HH","140","0.223591162226863","0.191828279353754","0.255354045099972","5"
"Never","2013","16-34 y.","(Married) couple without C. ","193","0.229145527632709","0.199166571539199","0.259124483726218","5"
"Never","2013","16-34 y.","Couple + C. LE 16 ","455","0.268251681284764","0.247319728387058","0.28918363418247","5"
"Never","2013","16-34 y.","Couple + C. GT 16 ","228","0.236238727369084","0.208379008775216","0.264098445962952","5"
"Never","2013","16-34 y.","Couple + C. LE and GT 16","169","0.27670969156148","0.241748093437305","0.311671289685655","5"
"Never","2013","35-65 y.","1-pers.-HH","355","0.217965954678521","0.197196773860719","0.238735135496323","5"
"Never","2013","35-65 y.","(Married) couple without C. ","1067","0.279251938294017","0.264596909356627","0.293906967231406","5"
"Never","2013","35-65 y.","Single parent ","428","0.256087444855841","0.235327110883398","0.276847778828284","5"
"Never","2013","35-65 y.","Couple + C. LE 16 ","1389","0.285734186882406","0.272867898580272","0.298600475184541","5"
"Never","2013","35-65 y.","Couple + C. GT 16 ","523","0.289196877889541","0.267856848762582","0.310536907016501","5"
"Never","2013","66 and older","1-pers.-HH","502","0.348535693036689","0.323494589193829","0.373576796879549","5"
"Never","2013","66 and older","(Married) couple without C. ","1217","0.365123603544301","0.348603829637968","0.381643377450634","5"
"Never","2013","66 and older","Single parent ","23","","","","5"
"Never","2013","16-34 y.","Single parent ","221","0.309697358095505","0.278241787840387","0.341152928350623","5"
"Never","2013","35-65 y.","Couple + C. LE and GT 16","400","0.329591072343094","0.304826110670115","0.354356034016073","5"
"Never","2013","66 and older","Couple + C. GT 16 ","59","0.374327757483337","0.29713810641155","0.451517408555123","5"
"Never","2013","66 and older","Couple + C. LE and GT 16","","","","","5"
"Never","2013","66 and older","Couple + C. LE 16 ","6","","","","5"
"Often","2013","16-34 y.","1-pers.-HH","41","0.0687213822056308","0.049435783750931","0.0880069806603306","2"
"Often","2013","16-34 y.","(Married) couple without C. ","36","0.0440746164921977","0.0294332745602506","0.0587159584241449","2"
"Often","2013","35-65 y.","Single parent ","144","0.0907341331857597","0.0770722666131583","0.104395999758361","2"
"Often","2013","35-65 y.","Couple + C. LE 16 ","177","0.0362013172932606","0.030881489239989","0.0415211453465322","2"
"Often","2013","66 and older","Couple + C. GT 16 ","4","","","","2"
"Often","2013","66 and older","Couple + C. LE and GT 16","","","","","2"
